	"NCI.H1395"	"X8.MG.BA"	"NCI.H1838"	"NCI.H2141"	"NCI.H345"	"TE.5"	"BB49.HNC"	"DMS.79"	"CCRF.CEM"	"MOLT.4"	"NCI.H322M"	"EKVX"	"SNB75"	"X697"	"ECC12"	"HuTu.80"	"KE.37"	"SCH"	"SIG.M5"	"SK.LMS.1"	"SW684"	"RCC10RGB"	"BV.173"	"SNU.C1"	"COR.L95"	"MOLM.13"	"P32.ISH"	"SU.DHL.16"	"NCI.H378"	"NCI.H250"	"NCI.H1623"	"NCI.H2291"	"HGC.27"	"MC.IXC"	"NCI.H2452"	"RCM.1"	"Saos.2"	"YAPC"	"COLO.678"	"MDA.MB.415"	"SKG.IIIa"	"BT.483"	"H2461"	"KYSE.30"	"NCI.H2172"	"NCI.H2444"	"Sarc9371"
"NSC-87877"	1.358031	0.0	0.946411	0.0	1.165503	0.989248	1.365642	1.299455	0.0	0.0	1.526562	3.087729	1.626757	0.0	0.0	0.0	0.0	0.99682	0.0	0.0	2.038251	1.880242	0.0	1.054733	0.561272	0.0	0.0	0.0	0.0	0.0	0.934445	1.421156	0.0	0.0	0.43489	1.272599	0.0	1.271341	0.0	1.141549	1.39981	2.986235	0.820583	0.0	1.68969	1.274409	1.84981
"Bicalutamide"	0.343269	0.0	1.798328	0.857823	1.112639	0.454882	0.070903	0.70583	0.0	0.0	1.375002	3.007032	1.888862	0.0	0.0	0.0	0.0	0.537554	0.0	0.0	2.497835	2.066493	0.0	0.831222	1.570214	0.0	0.0	0.0	0.0	0.0	1.122507	1.423132	0.0	0.0	1.022675	1.283319	0.453818	1.435957	1.641416	1.67193	1.312814	3.679153	0.55761	0.0	1.475501	0.956669	1.290346
"Ponatinib"	1.176834	0.0	1.235414	1.016414	1.058244	1.008641	1.418076	0.921522	0.0	0.0	1.01618	2.321794	0.247347	0.0	0.0	0.0	0.0	1.133785	0.0	0.0	1.622269	0.717716	0.0	1.353749	1.252641	0.0	0.0	0.0	0.0	0.0	1.368552	1.593125	0.0	0.0	0.0	0.985893	0.901819	1.302126	0.282227	0.915828	1.071846	2.021715	1.343642	0.145665	1.551183	0.265304	1.76058
"GSK650394"	1.366627	0.0	1.608299	0.772794	1.590798	0.009077	0.378077	1.40662	0.0	0.0	1.79645	1.562632	0.75568	0.0	0.0	0.0	0.0	1.475217	0.0	0.0	2.01956	2.120467	0.0	1.516792	1.37457	0.0	0.0	0.0	0.0	0.0	1.487251	1.94428	0.0	0.0	1.541364	0.869214	0.716708	1.700087	1.821487	0.338004	1.197718	2.44322	0.711876	0.0	1.680963	1.668582	2.001836
"Avagacestat"	1.330089	0.175745	1.51441	0.761107	1.29365	0.982698	0.933035	1.441667	0.0	0.0	1.506492	3.107561	1.489749	0.0	0.0	0.0	0.0	0.817829	0.0	0.426097	2.16903	2.717226	0.097161	1.692754	1.456329	0.114497	0.0	0.0	0.0	0.0	1.059303	1.685515	0.0	0.0	1.018722	1.231921	1.683725	0.128785	1.581498	1.686835	1.441752	3.002027	0.835626	0.0	1.723852	1.509456	1.134263
"Ruxolitinib"	0.993911	0.0	0.954941	0.0	0.893033	0.583885	0.812127	0.363464	0.0	0.0	0.976906	2.618811	0.568701	0.0	0.0	0.0	0.0	0.729067	0.0	0.02405	1.570595	1.208798	0.0	0.026578	0.0	0.0	0.0	0.0	0.0	0.0	0.978873	1.495648	0.0	0.0	0.875149	1.02606	1.422784	0.956985	1.291867	1.220716	0.902719	2.586568	0.981462	0.0	1.33189	1.02568	1.720539
"Ispinesib Mesylate"	0.571283	0.250694	1.676172	0.0	1.47713	0.366674	1.484989	1.306665	0.0	0.0	1.589874	2.074092	1.021151	0.0	0.0	0.0	0.0	1.544885	0.0	0.0	1.726352	2.385319	0.0	1.04854	0.463974	0.0	0.0	0.0	0.0	0.0	1.50988	1.918501	0.0	0.0	1.551943	1.256573	1.634434	1.286895	1.715256	0.290798	1.787412	2.503065	1.632396	0.0	1.276598	1.681784	1.951087
"TAK-715"	1.37582	0.0	1.721699	0.299898	0.256071	0.057782	1.852374	1.043249	0.0	0.0	0.91683	2.633692	1.759661	0.0	0.0	0.0	0.0	0.503932	0.0	0.0	1.977736	2.391841	0.0	1.03391	1.625458	0.0	0.0	0.0	0.0	0.0	1.365759	1.887949	0.0	0.0	1.350536	0.210812	2.086427	1.343316	1.953827	1.667369	1.296324	2.188416	1.714831	0.0	1.342787	1.237501	2.290135
"BX-912"	0.892492	0.0	1.137077	0.0	1.356406	0.62836	0.903258	0.611986	0.0	0.0	1.391529	2.140864	0.223101	0.0	0.0	0.0	0.0	1.438941	0.0	0.0	1.917043	2.264126	0.0	0.70284	0.831833	0.0	0.0	0.0	0.0	0.0	1.383744	1.72293	0.0	0.0	1.504593	1.422762	1.786753	0.175039	1.558016	1.661506	1.458806	2.392796	1.09248	0.0	1.657616	1.273432	1.945062
"Genentech Cpd 10"	0.055059	0.0	1.678439	0.0	1.683727	1.298795	1.819363	1.001716	0.0	0.0	1.01942	2.445643	0.824776	0.0	0.0	0.0	0.0	1.45662	0.0	0.0	2.115325	1.356668	0.0	0.898995	0.694519	0.0	0.0	0.0	0.0	0.0	1.76825	2.029027	0.0	0.0	1.67639	1.75505	1.966915	1.791805	1.799243	1.911448	1.896676	2.217411	0.010506	0.0	0.106905	1.202156	1.926901
