	"ACH.000013"	"ACH.000035"	"ACH.000040"	"ACH.000045"	"ACH.000052"	"ACH.000067"	"ACH.000070"	"ACH.000075"	"ACH.000086"	"ACH.000092"	"ACH.000142"	"ACH.000148"	"ACH.000215"	"ACH.000260"	"ACH.000278"	"ACH.000318"	"ACH.000322"	"ACH.000331"	"ACH.000368"	"ACH.000407"	"ACH.000433"	"ACH.000445"	"ACH.000463"	"ACH.000502"	"ACH.000510"	"ACH.000522"	"ACH.000550"	"ACH.000616"	"ACH.000637"	"ACH.000657"	"ACH.000673"	"ACH.000699"	"ACH.000734"	"ACH.000766"	"ACH.000799"	"ACH.000811"	"ACH.000834"	"ACH.000887"	"ACH.000928"	"ACH.000993"	"ACH.001048"	"ACH.001050"	"ACH.001523"	"ACH.001654"
"344752"	0.162720082245569	0.024083170714498	0.137208638146481	0.0819482961981332	0.145919190421273	0.0957207889740542	0.161534654445098	-5.08310734952878E-4	0.0649252241229412	0.160894328957659	0.0345060939209368	0.123522968884095	0.0822833432279137	0.124612922921988	0.0970293281280181	0.224741856468996	0.239722579163101	0.0876001419188392	0.0708357388836352	0.197656602771658	0.0530712266129347	0.118192309025035	0.126160928216684	0.131190680710901	0.140975271919361	0.118053024920927	0.185820469855454	0.234866276488024	0.0289236115844053	0.215863981894062	0.0980340422215737	0.0980033229297831	0.11732273059844	0.162946218513309	0.0973937194978565	0.139392902514605	0.17198748214996	0.105369537018161	0.153897976683788	0.0969989604721611	0.187007490430888	0.086098092459878	-0.00464855554661031	0.161676169408636
"641372"	-0.112026034341576	-0.0159026600810755	-0.0353855592455966	-0.103288846096222	-0.0295505480014367	0.124705659545742	0.044102306360173	0.0868791812359083	-0.0121595978712075	-0.0927212595911692	-0.0230261867401627	-0.103170268415525	-0.0209238178051918	-0.0336452897822327	-0.0422143269587144	0.0249679157243032	-0.076934766291762	0.0856643357291901	-0.193109006043598	-0.0725671872210024	-0.092103231288427	8.52714197529652E-4	-0.0706846436388401	-0.113948241517186	0.00709429817578573	-0.0135812010548991	-0.0150716494795098	0.0283023302508603	-0.055781889000352	0.0206244520572714	-0.0902791582892825	-0.0785522329732187	-0.0447271691439951	-0.0621284347601581	-0.110824218672974	-0.114528512060172	5.64782920420936E-4	-0.0320472315887718	0.0221667556879153	-0.100133638039506	0.0513306528040689	-0.119349538766779	-0.0335367176698805	-0.275516806555753
"509"	-0.938499792241464	-0.852436660250954	-0.419883332702458	-0.476407315233604	-0.517760625204379	-0.511713469182845	-0.619154138211868	-0.421842523336009	-0.769327052069133	-0.704943961650344	-0.665963931301852	-0.546501099424608	-0.661431198769061	-0.782544452236075	-0.414254064840767	-0.828820208573913	-0.634493186015178	-0.618867563539891	-0.641530840651855	-0.671676581116806	-0.496988017846991	-0.490817184290979	-0.798704444410829	-0.476809612154714	-0.737317516040865	-0.562568392823635	-0.409551867513503	-0.243195313268965	-0.569814071972884	-0.595954351271056	-0.452235954993743	-0.634450865939554	-0.563435684029865	-0.487013299456534	-0.469280944090718	-0.403873816084655	-0.667412770210081	-0.791018142045299	-0.474745166354385	-0.27900584749612	-0.753416701000328	-0.613268722981487	-0.811145638572105	-0.712274205619529
"514"	-0.740054966235685	-0.730691324790943	-0.570436187771473	-0.636490695619945	-0.72038724253648	-0.408331282346866	-0.541228569354969	-0.659177408876238	-0.694476874347267	-0.529492898436765	-0.809076701124777	-0.611962332590644	-0.786315659767867	-0.907888264647529	-0.522289674261565	-0.626706580344719	-0.632496825744678	-0.750102470426104	-0.723819817470701	-0.569165591077191	-0.445668969515411	-0.689141860563326	-0.732780944699468	-0.543614815388967	-0.864010397612426	-0.724234493386984	-0.562034735247002	-0.601771669449856	-0.643096488131222	-0.664527311226545	-0.479482606453933	-0.675318357794271	-0.715508365156608	-0.62383503340118	-0.63319882309596	-0.587075051444867	-0.775662350289249	-0.761406127178834	-0.568693615853682	-0.399859533661753	-0.782697340706405	-0.833611488784992	-0.580419882691592	-0.896604715409326
"521"	-0.883784269932312	-0.832017641729668	-0.471078973889625	-0.752728576404506	-0.42495445391698	-0.401138653418516	-0.719117129935032	-0.463513956450879	-0.775069642061907	-0.465161051478097	-0.567375549896612	-0.570883816951376	-0.820580682987936	-0.324452052529505	-0.757992558208518	-0.707885305862589	-0.910060386367953	-0.716816541917189	-0.652296091378444	-0.413284800504119	-0.549524046555687	-0.48885498328506	-0.722820444561708	-0.702144753974376	-0.626684180076832	-0.714135755972226	-0.381790061915297	-0.430445315497472	-0.639544533891898	-0.696855914551149	-0.254769002292343	-0.908515378709348	-0.87984698202739	-0.540520631294413	-0.37700868859048	-0.423011578762539	-0.768178263844488	-0.672717459358022	-0.694847531156146	-0.391050589131325	-0.683207404918974	-0.374136233833941	-0.912112822937887	-0.92463781379888
"522"	-0.423756101866348	-0.609367289822417	-0.0788879771650208	-0.348773440553354	-0.522429633157469	-0.169905148249647	-0.265791260208376	-0.306120728648529	-0.524336677943231	-0.332729408745874	-0.404581446014976	-0.378725189139691	-0.367469254329589	-0.348091462425894	-0.418346073229098	-0.532896282510698	-0.435226111617688	-0.452404338017788	-0.344004387350409	-0.25598517213362	-0.324542665151692	-0.115098810407119	-0.480707465568193	-0.30834736863797	-0.272019220642907	-0.384248952156622	-0.265431874214147	-0.305261294570087	-0.322460940106069	-0.353307754188744	-0.226978653208631	-0.463302528935226	-0.399807968629306	-0.302296848602982	-0.193159089939791	-0.299929718172882	-0.216411577910066	-0.57317725497347	-0.323154942011838	-0.251889900770326	-0.39754606778445	-0.324831628157674	-0.502272427014409	-0.499245505661404
"539"	-0.404721804130784	-0.502783454666026	-0.271552049018164	-0.33715646086919	-0.224547208884135	-0.253829006211401	-0.38931419548311	-0.162512262499643	-0.455369412269799	-0.316479932764073	-0.411140590453021	-0.413294674451688	-0.579271631004387	-0.258439860872533	-0.422682336828753	-0.490531642288313	-0.380985428815535	-0.362565284876985	-0.390916816495376	-0.36962882456185	-0.174449420962273	-0.241525632115067	-0.562271656528522	-0.346967348769908	-0.477206238908903	-0.546255643022839	-0.242421857957425	-0.277177156134267	-0.613641017766216	-0.344071163938969	-0.327679751247872	-0.448641951207169	-0.439179967341825	-0.310976442666559	-0.233793751415432	-0.192905844734645	-0.491162372539783	-0.465318170443179	-0.487200663351599	-0.168236878911448	-0.249279388547171	-0.287117044208301	-0.599306705477065	-0.5945664412168
"440603"	-0.0906106003389053	0.0524764214519033	0.027630678964061	0.143213317019222	-0.0296461698381178	-0.0038837250875797	-0.0447762492656246	0.028897711952921	0.0491246447155331	-0.151738341318778	0.0649733079741581	0.0323549468915135	-0.0727029353773389	-0.0381610905684822	-0.0252262354865599	0.0958718563537075	-3.82332911448647E-4	-0.0617961017420411	-0.0799836740048908	0.0342668362843925	-0.0764971024468182	-8.8561476878724E-4	-0.0456355027848897	0.117449152129222	0.0172635604874078	-0.110176390057227	0.0837435943410101	0.0128724802307732	-0.034623749863419	0.043328360348939	0.0394776628834613	0.065283501672314	-0.109212694602832	0.181036340662977	-0.0176947028075038	-0.0541662939030469	0.0788594714729389	-0.0838582425102516	-0.00341480002047654	-0.018274120060184	-0.07223074557138	-0.0674685873084124	0.0278210999503275	0.118286199779091
"1139"	-0.103597172190735	-0.0496846587029368	0.0247724532134488	-0.100251846737962	-0.188229970295801	-0.00382562242776647	-0.0979610448404641	-0.0749935455046078	-0.0242765224330599	-0.0656103287479415	0.0423756110644767	-0.0600881631729261	-0.0889641238475789	-0.157317712611847	-0.0630771090748031	0.0418195909167935	0.13244108791645	-0.192653000790159	-0.0232337057351224	-0.207046634995243	-0.145234525261244	-0.0822732888576509	-0.155387379923808	-0.0192803663672419	-0.111792821512503	-0.164023359016551	-0.0545129376663191	-0.0707055331058172	-0.0144691237690486	-0.148588966809346	-0.0691593248440688	-0.0720268660706485	-0.0984336960692404	-0.126733446095804	-0.176223836699197	-0.14390937829485	-0.0973751520786914	-0.0630731247793353	0.0148539906207663	-0.0737974142381034	0.0148598712074406	-0.186104980532722	0.0693322444582399	-0.157053502489552
"1603"	-1.29597041922828	-1.21110432494985	-1.06502167954444	-1.08577871275846	-1.14002225194181	-1.25230511610999	-1.18064359508792	-1.24682733241328	-1.28813431752557	-1.13643502452342	-1.13665524537942	-1.37165929934708	-1.07003807002963	-1.21427543730955	-1.52658106518885	-1.14857402771832	-1.21689688841013	-1.23405003546305	-1.43795401773014	-1.26251830282769	-1.25934392158237	-1.09816332526387	-1.26455138269971	-1.25452358035375	-1.16936761250948	-1.03113087420797	-1.19710834874447	-0.998797416454163	-1.21081441660357	-1.17169290750828	-1.07354820775502	-1.23934133965407	-1.08155912135869	-1.11700754175885	-1.05643410760398	-1.25814074259072	-1.17046628027374	-1.0413581602107	-1.01353175496474	-1.18092327249163	-1.26336295439579	-1.31377865898603	-1.30269324761828	-1.35979184991024
