	"ACH.000004"	"ACH.000014"	"ACH.000039"	"ACH.000060"	"ACH.000070"	"ACH.000143"	"ACH.000146"	"ACH.000150"	"ACH.000168"	"ACH.000169"	"ACH.000178"	"ACH.000183"	"ACH.000189"	"ACH.000207"	"ACH.000215"	"ACH.000227"	"ACH.000231"	"ACH.000255"	"ACH.000259"	"ACH.000278"	"ACH.000279"	"ACH.000280"	"ACH.000296"	"ACH.000310"	"ACH.000316"	"ACH.000319"	"ACH.000322"	"ACH.000332"	"ACH.000335"	"ACH.000348"	"ACH.000361"	"ACH.000365"	"ACH.000368"	"ACH.000376"	"ACH.000396"	"ACH.000397"	"ACH.000404"	"ACH.000406"	"ACH.000415"	"ACH.000435"	"ACH.000452"	"ACH.000464"	"ACH.000480"	"ACH.000485"	"ACH.000495"	"ACH.000512"	"ACH.000556"	"ACH.000557"	"ACH.000569"	"ACH.000570"	"ACH.000571"	"ACH.000584"	"ACH.000593"	"ACH.000623"	"ACH.000624"	"ACH.000658"	"ACH.000661"	"ACH.000673"	"ACH.000676"	"ACH.000694"	"ACH.000695"	"ACH.000699"	"ACH.000711"	"ACH.000735"	"ACH.000746"	"ACH.000756"	"ACH.000763"	"ACH.000766"	"ACH.000770"	"ACH.000781"	"ACH.000783"	"ACH.000788"	"ACH.000802"	"ACH.000811"	"ACH.000822"	"ACH.000823"	"ACH.000824"	"ACH.000829"	"ACH.000838"	"ACH.000847"	"ACH.000862"	"ACH.000865"	"ACH.000873"	"ACH.000880"	"ACH.000881"	"ACH.000912"	"ACH.000937"	"ACH.000939"	"ACH.000972"	"ACH.000978"	"ACH.001028"	"ACH.001038"	"ACH.001197"	"ACH.001280"	"ACH.001367"	"ACH.001368"	"ACH.001554"	"ACH.001654"	"ACH.001736"
"79370"	-0.260107601295629	-0.0156331737292735	-0.0801356526915683	-0.0568697625684636	-0.0856818082559168	-0.0862210001654795	-0.112736932850035	-0.0348251970991938	-0.139410758861835	0.0856249618663255	-0.0552203157666392	-0.0565142815016208	-0.195171521784465	-0.111917462354884	-0.0584973064140062	-0.185861590526059	-0.0531433760291426	0.0330426955727931	-0.0485433621025303	0.00177429739802922	-0.24757657182153	-0.118744639142877	0.0254920757852799	-0.129757939847107	0.127052477452228	-0.00975321410307382	-0.176811811235651	-0.166976269698318	-0.0699719186429205	-0.0541008252786021	-0.194357564016341	-0.161263481944656	-0.103368297251264	-0.117886845678605	-0.218794210322341	-0.103506220367785	-0.119024019414408	-0.0730039466109725	0.0625503175468379	0.00944490689574675	-0.0947439292367769	-0.14900794319436	-0.0888579354627457	-0.0890119143384818	0.00484583243245453	0.0890770689394435	-0.100083953581768	-0.0981892919103385	-0.252825773105043	-0.0476279456015976	-0.114672120423235	-0.00337744847677386	-0.172394239244146	-0.0886279028574415	-0.149282866376423	0.0337809446396085	-6.31340158107104E-4	-0.0494959743264931	-0.0565641688305795	-0.0985996708755962	-0.0691880489667451	-0.238289063459179	-0.0255545633725046	0.00766266100251736	-0.0325186032897006	-0.100204729748445	-0.173862787311973	0.0513281390904061	0.0304601274264823	-0.0223719744788265	-0.0327890611095617	-0.0472916655813474	-0.0742019287644013	-0.17715605001505	-0.0962073673917947	-0.0772115114308028	0.0117187481604683	-0.166953182990964	0.0247827626524922	0.0351339734857868	-0.0943178801705617	-0.00326895578244434	-0.0653615017100276	0.0734171654023168	-0.100210667326133	-0.0785203017349458	0.0134976581716737	-0.143724061045402	-0.254879653277093	0.103530370182943	-0.0979047126810535	-0.156833854917557	-0.0207659118950093	-0.220248443735794	-0.00508007816998712	-0.0724521051241144	-0.0777094423067394	-0.134328106178553	-0.0381274401807268
"332"	-1.31164086548148	-1.2311217955679	-1.21364523247246	-1.20005791636659	-1.16499979347733	-1.16882787308233	-1.347294407432	-1.21366780051738	-1.13261395134161	-1.21636976813814	-1.12268320347843	-1.21240258466844	-1.39346767749997	-1.04677357602248	-1.16547013555194	-1.61946170714618	-1.26625067543879	-1.11811887025824	-1.30731189400366	-1.21009074479962	-1.10074647573411	-1.0751582169983	-1.39273637867629	-1.14999969884822	-1.25335479652041	-1.11044866072456	-1.15167991622795	-1.22707210659576	-1.0532106750976	-1.02522677455104	-1.33859483786238	-1.10110826086993	-1.45101310706651	-1.13033506835949	-1.211206347835	-1.08590950586993	-1.18906615548506	-1.35088765276013	-1.20952498248612	-1.00780079958372	-1.3933529619613	-1.15775843827743	-1.19760466190891	-1.06685785808963	-1.03967102910117	-1.42679398983184	-1.30315500071278	-1.47229566300653	-1.08276550544155	-1.23335013854908	-1.29749036101977	-1.19844034869375	-1.23708535339151	-1.32052037881486	-1.14541038071944	-1.26157490455084	-1.25181784556877	-1.25536585655592	-1.3220711324392	-1.25786370049389	-1.25201238823093	-0.95978171120909	-1.15939003352808	-1.32798537159751	-1.12723233149921	-1.24209412557382	-1.22229335155261	-1.07086427160172	-1.14797725698805	-1.31005751343632	-1.25411930748761	-1.27113803244872	-1.18364104086658	-1.18081048722753	-1.07540091338885	-1.28197907092786	-1.32827762530947	-1.20138100590733	-1.42657945157146	-1.25759067458682	-1.31398943757963	-1.26351128148929	-1.12787131821903	-1.11196308160982	-0.994008899538839	-1.20457800827333	-1.16202523630135	-1.40743332620528	-1.18723142733898	-1.46931456012938	-1.18026768352506	-1.23801081656705	-1.14305090459837	-1.30766940789545	-1.05734813410685	-1.15376079514095	-1.15693623944594	-1.18289814424418	-1.12763144159754
"10576"	-1.39491378479913	-0.743892951342131	-1.03353134324112	-0.930585170613688	-0.925261466578113	-0.775118827387299	-1.06963734748821	-0.998336715682537	-0.978658765354247	-0.963915810869019	-0.950558418270102	-0.959358170860266	-0.678990339435301	-1.23097384360899	-0.961275057150171	-1.03805816637568	-1.0852822059196	-0.837046604049357	-0.952571817396454	-0.969552665496752	-0.956722263366737	-1.07726582153739	-0.837733705244314	-0.995857227082918	-1.05069662873946	-0.979759224411291	-0.791881486666352	-1.01144132013217	-0.816161526641866	-0.919284527175662	-0.64367681897095	-0.837873098265818	-0.795488345127367	-0.963233058480442	-0.785657855424948	-1.00999158680244	-0.866902430876328	-1.16907149500647	-0.921467675415865	-0.51536362973345	-0.965292316250192	-0.969500698177646	-0.753317017214478	-1.05561382858866	-0.930615013923605	-0.870786877731879	-1.00930064213008	-0.961890301381439	-1.11068369526666	-0.921797191784143	-0.882573186356154	-0.921306028207297	-0.917279343579523	-0.91032709904658	-0.99066776216966	-0.808439103904405	-1.07895961496989	-1.00790429338046	-0.993424887508989	-0.945950805757223	-0.773070730893796	-1.19058590411255	-0.853924881294744	-0.986359493830826	-0.897680598123987	-1.12852371521185	-0.901939642565768	-0.977532902522471	-1.01017418624658	-0.930312983582372	-1.06694754247742	-0.980863822922513	-0.896976803701887	-1.03852656844105	-1.08916966881365	-0.900667290077484	-1.05470022672686	-0.990502529230399	-0.684282698914624	-0.893846361426457	-1.12862658459393	-1.02548834552642	-0.939226381648899	-0.940533648709849	-1.09254413068978	-0.936273370669307	-0.920168577377945	-1.08416807851639	-1.2273839011586	-1.17877379370757	-1.09422206907994	-1.1373373913864	-1.10598258430948	-0.790444724794267	-0.851352649247059	-0.893504945324613	-0.945621873792989	-0.986557489444896	-0.749672241647796
"10575"	-1.33521118613708	-1.14027138480812	-1.27869475569492	-1.209334159792	-1.09809719275763	-1.29444835194577	-1.21015234436523	-1.19855242593179	-1.44965623659348	-1.22264164693597	-1.24999980724001	-1.44737489846171	-1.07562528413557	-1.29015771274266	-1.45455458426855	-1.26530476430979	-1.25840649475154	-1.42466011028478	-1.12998373065533	-1.02393918668347	-1.31282830199611	-1.26122330102757	-1.30753386037109	-1.37019743827901	-1.47581100016702	-1.24992501811327	-1.35875489387851	-1.23106140728716	-1.31193555139336	-1.33524952705587	-1.23602543379216	-1.26078907355445	-1.440013426352	-1.32622312272726	-1.33091379427602	-1.30673741711108	-1.25458689218648	-1.34084960771747	-1.41466111394292	-0.961286369572615	-1.46711514854248	-1.32656454492379	-1.23683945417521	-1.29714138199665	-1.29727530910119	-0.853964356714164	-1.29243845787114	-1.28582733886551	-1.47513170709389	-1.49254653388362	-1.32219438156216	-1.17424356936579	-1.36461613985525	-1.46975857877513	-1.26021687769954	-1.08421902569238	-1.49417053940278	-1.37925910271773	-1.3964676133432	-1.0976254389899	-1.17938576470995	-1.41309618268007	-1.20700400690768	-1.36026753375675	-1.10175838148735	-1.35533385050741	-1.43000590307404	-1.25191421951792	-1.31515605135089	-1.31163376777807	-1.25853513450007	-1.32875958124483	-1.40173677398021	-1.34388254886417	-1.34612754781903	-1.40807619276543	-1.25101500783349	-1.27719673774316	-1.1885239372908	-1.39173959120387	-1.55070832885253	-1.14836801624641	-1.2425374051288	-1.52498365911328	-1.29784572544803	-1.30087426576327	-1.28589196263785	-1.16667652284235	-1.33357970866064	-1.02033165038332	-1.29119359153548	-1.20319217546004	-1.24729132698927	-1.10996249727122	-1.19394696478229	-1.37073530877428	-1.43898789556357	-1.19433619754899	-1.27387696863429
"939"	-0.371686169503397	-0.314332740000696	-0.185561365928924	-0.219154615681096	-0.165253373510354	-0.204783124173055	-0.277345951865328	-0.183237123734894	-0.0552843887587753	-0.143287280549316	-0.148912883872886	-0.423115577239492	-0.370303018627985	-0.153653050202054	-0.298802295250955	-0.0959554053305664	-0.165990204431289	-0.159022011347714	-0.180987280424182	-0.0849875396609698	-0.241686480712616	-0.391402352377824	-0.31100127854179	-0.326996334215111	-0.217788761051434	-0.332626495470205	-0.114491392726667	-0.256884448458994	-0.176621255867325	-0.245466436553807	-0.303876802593672	-0.189035403885985	-0.365560757256379	-0.244037406270867	-0.199852212512465	-0.160704679308097	-0.294685943529953	-0.164841804917057	-0.11383073383217	-0.178953148153332	-0.316331863896916	-0.243657827578725	0.0152054566380303	-0.417390537686068	-0.167780878257117	-0.0209106212519552	-0.327689643386236	-0.342587093631692	-0.422901365823518	-0.188037346822862	-0.206881971441055	-0.162534756162774	-0.345173093945637	-0.30512539523134	-0.22501545283433	-0.0924600679130157	-0.0977667090284038	-0.242882138937785	-0.272771095105459	-0.219547040013082	0.0528922881527632	-0.122633920710836	-0.164354605444855	-0.178359899123122	-0.301360790383217	-0.281751042757265	-0.27318464875384	-0.275341986209795	-0.301775009441784	-0.229439715038299	-0.179779570387193	-0.285699530227317	-0.321658535513862	-0.315858237309932	-0.175416204867034	-0.237199307840817	-0.160275887177317	-0.370835831627849	0.0188042572815111	-0.369369115496733	-0.324399153506403	-0.314243039611828	-0.130925781887604	-0.235324496797942	-0.23085482910443	-0.176603723750844	-0.05792660910511	-0.102352108505712	-0.28248447328543	-0.191082478714978	-0.251326269642237	-0.267275548065862	-0.701204313093978	-0.241729705271724	0.0450971124661827	-0.273339736317921	-0.273223113742294	-0.210413650514194	-0.244075867576916
"8872"	-1.73324192112908	-1.67104509727554	-1.64813529622184	-1.6633299513392	-1.45242453048666	-1.43731899900547	-1.77837062569311	-1.43311421433077	-1.65818581659723	-1.58235790136619	-1.51818723578532	-1.63229875761565	-1.39843845827501	-1.32817388151116	-1.5701161714854	-1.94519349888039	-1.46616755284117	-1.41286473403827	-1.57150243278367	-1.5853030052157	-1.71527021687523	-1.63535380261412	-1.73712615613721	-1.77643720926902	-1.59898008109071	-1.64410675304895	-1.52528691294875	-1.56916338165045	-1.51133598281422	-1.52766222293518	-1.35313619710346	-1.48920019808372	-1.52437458347406	-1.50333484364615	-1.35108478713975	-1.5756945430223	-1.48105691979606	-1.58422610758356	-1.73967299251426	-1.4690634769381	-1.75846856127702	-1.74689391534495	-1.46228303710679	-1.51698054840119	-1.568873764085	-1.30952849891379	-1.57273633443186	-1.75283827622748	-1.51645345996714	-1.51194849778774	-1.62515016106117	-1.67617653945729	-1.61585445226472	-1.72797367359616	-1.50609179840928	-1.66605714993876	-1.98615228918184	-1.58010317016087	-1.50866761489547	-1.51371417051958	-1.45390611233274	-1.77098580775862	-1.44592931016209	-1.64519022969698	-1.68069268103881	-1.4157409184022	-1.51296107713794	-1.66395658025108	-1.62862351699321	-1.65893727265961	-1.93056756501288	-1.4922416331105	-1.61788225873706	-1.52299373366923	-1.86472914578343	-1.52366663196317	-1.68405163870274	-1.57642470755226	-1.75737024037352	-1.60729566378982	-1.69940650452203	-1.61955166128139	-1.47684773796367	-1.63294836007269	-1.74693169568284	-1.51258132983453	-1.76320015667712	-1.60631220032835	-1.53384406808299	-1.34917917002172	-1.44187662363771	-1.34259258256145	-1.68656420015259	-1.61828746929529	-1.60411453654337	-1.62912892772837	-1.71685911734826	-1.7267332883061	-1.49292901177012
"1363"	-0.173450675349623	-0.0926736349824267	-0.159086581909842	-0.168989702146876	-0.207935591349189	-0.0944206800626958	-0.0650608574097388	-0.0709443799598617	-0.243309642079384	-0.0800127034126241	-0.23439926066276	-0.145624839907954	-0.325758996993142	-0.295858190048044	-0.183672337791441	-0.236797366938399	-0.0369414052116331	-0.167819327064539	-0.0959107693263657	-0.375414690059956	-0.220760403671371	-0.181433146582965	-0.101821688090867	-0.323000154959834	-0.21186323614442	-0.0611054981332945	-0.278956610827581	-0.149874640476218	-0.12189804836911	-0.147548174553881	-0.0589061779812959	-0.313207107172077	-0.148259720888773	-0.185989475395847	-0.00257990657781831	-0.0930339032004221	-0.300677914110629	-0.279397324363636	-0.182929057794177	-0.260209708386188	-0.105828648763634	-0.0236917321004953	-0.0766215967794139	-0.185803209948975	-0.192062576216472	-0.0974451917514432	-0.161022222573193	-0.127572179403605	0.0980371126570919	-0.158465845205308	-0.214140568193262	-0.129832440414613	-0.1145405732498	-0.1814952933219	-0.198883295087983	-0.288434233729514	0.0816123960294827	-0.180313578532631	-0.191969721459345	-0.207744595835188	0.243477337418554	-0.186106352948862	-0.163993101844079	-0.220194962586403	-0.269824058143676	-0.0779209120776414	-0.183239439422282	-0.122218630318243	-0.216769027045511	-0.0717382360237198	-0.153307078710752	-0.175052616139213	-0.299404908312189	-0.0209968104111906	-0.108546684437128	-0.282447594074706	-0.128453183561304	0.01451665824207	-0.0447072006070397	-0.0634026001710629	-0.205284882358338	-0.220054921276043	-0.196371190132523	-0.0728429352480608	-0.163216975480744	-0.130804660832769	-0.249004433600142	0.054522021520305	-0.137907188355307	-0.0242486248089398	-0.127633970991388	-0.109888066533077	-0.158998119450095	0.0602276162929127	6.32305267785685E-4	-0.167101812620396	-0.254128308477018	-0.287562307775847	-0.254275785248266
"1915"	-1.02018593538298	-1.22661697796664	-1.07933996186141	-0.995402438179664	-1.22253006982559	-1.23861499284858	-1.25887105042385	-0.896883396262731	-1.0598489643486	-1.09176613722129	-0.984744520666618	-1.05511321274396	-1.02193060914382	-1.13955650858248	-0.976077576088627	-0.907549672999875	-0.997374412164106	-0.808334492985825	-0.819409007384543	-0.798045469423183	-0.928456342237972	-1.02027263448086	-1.14441021018313	-0.689820508378077	-0.910621663935306	-0.895268014882697	-1.34450265591187	-0.964166995884736	-0.981883503544054	-1.08965908068486	-1.05636695221677	-0.83931499542298	-1.11394303216678	-0.931019954868275	-1.01225807380643	-0.895546458408363	-1.42510881962744	-1.35021889835519	-1.17508089429761	-1.16712296109051	-0.890740198475558	-1.10391494940631	-1.03957475945605	-0.83805740723658	-1.17788114678331	-0.903802213161587	-0.976398975245137	-1.06285587874798	-1.10037056447045	-0.962476310200549	-1.06230211602403	-1.0759058027188	-1.00533731177176	-1.15371198451782	-0.955986220330748	-0.919300865394616	-1.23692052489776	-1.05245359866478	-0.938273785031223	-0.966647260739963	-0.967653663859325	-1.24785825397333	-0.969923286733706	-1.01506603990779	-1.01232176374235	-1.06201881884653	-1.12626443373933	-1.0632985946239	-1.01199770994116	-0.966076631849128	-0.739306418656428	-0.934031157167531	-0.945262361498182	-1.2096216112577	-1.14161391095878	-1.04610390117884	-0.933650410781221	-1.09773708667148	-0.692723393849393	-0.868411731979033	-1.0583560661893	-0.889149321761638	-1.01414746644976	-1.02703685789552	-0.869552824295541	-0.989020365169086	-1.04905978447708	-0.483017853490924	-1.28309572680216	-0.751288271504702	-0.921884054048892	-1.15074127579858	-0.942182191956031	-0.871072532154864	-0.953065795555864	-0.949093403947797	-0.93642807873521	-0.907426077367232	-1.23705388643498
"55810"	-0.176688450224739	-0.0892858910671993	-0.133996748059439	0.0223727773527135	-0.0743582788219637	0.0423041244533861	-0.0854839903725759	-0.0205318303815658	-0.0605022815204569	-0.101225156837187	-0.0465570887169422	-0.085736922500692	-0.143557426235054	-0.0526278281465138	-0.1093093139219	-0.0702168165901898	-0.134686142687407	-0.217031581803497	-0.0574658384567538	0.00206395697047662	-0.142369294073135	-0.0852808567210371	-0.172824540371311	0.0588643251213434	-0.0986552146617074	-0.149010886159623	-0.213172458981683	-0.187277971376159	-0.0672043314400029	-0.0862110830083277	-0.0589597880100057	-0.171186296670075	-0.0311358173385606	-0.0833280979830931	-0.0358007616446023	-0.0872299043710348	-0.031838621008307	-0.0970036942240228	0.0777136574271589	-0.0900674467289266	-0.19525423031729	-0.319518912468923	-0.0505777841626327	-0.196402266271947	-0.00249038849833094	-0.0960127878509119	-0.0886905234046271	-0.10200102547127	-0.330056828424482	-0.138349957868391	-0.160642302206697	-0.100587485685474	-0.0519923719474084	-0.149170162886364	-0.0738323953290797	0.118384264107865	-0.0768897947518611	-0.140205504671076	-0.12743343735835	-0.201217826678405	-0.0161347943211538	-0.0774988018754832	-0.0779833637398101	-0.182799763151558	-0.127471736498753	0.134445789806006	-0.106341843384429	0.0720519755404242	-0.0591690934960552	-0.125486178996873	-0.156455861486426	-0.038665507377851	-0.19942602714318	-0.170324335293621	-0.103039617208515	-0.0552558287324609	-0.103243702640651	-0.0489824370115862	-0.1100500667366	-0.192644969278292	-0.184330713349395	-0.118666520761585	-0.172989838937126	-0.112021283309475	-0.0416297146560902	0.0234279967481519	-0.209195769711746	-0.103829087272726	0.115693976658657	0.137220405949268	-0.100422357880582	-0.136343116564582	-0.0719024323686335	-0.113485522087021	-0.151066481211946	-0.0755499493533886	-0.131775952033699	-0.1171028830968	-0.0691717190910966
"10399"	-1.52570530014522	-1.59626555099527	-1.60137427661554	-1.31094540562576	-1.37163855047321	-1.62534012054731	-1.57648912988021	-1.39102899127391	-0.943113677480667	-1.57564362677793	-1.33479330659186	-1.57750676827999	-1.28399040332539	-1.2434564240324	-1.43174559055987	-1.56723188244243	-1.18193005686283	-1.29936576558558	-1.52962720530945	-1.31400067712855	-1.3800728206009	-1.25240627667623	-1.2374274165897	-1.21874080004909	-1.46509238634805	-1.5015374691936	-1.05855375545977	-1.38684460702872	-1.51126277638057	-1.64873932228909	-1.21131894113949	-1.40873633810978	-1.46483640065028	-1.43052172301743	-1.30356158430984	-1.35135225019557	-1.14028213206332	-1.63639472662927	-1.55751269906281	-1.05918579256299	-1.38168244472658	-1.44720894540696	-1.36109235014855	-1.40299434858942	-0.993312927631034	-1.29790366186064	-1.27285499726342	-1.62717766250202	-1.15383197764241	-1.46296153033305	-1.2622344913473	-1.22921095869946	-1.38732250292314	-1.43187599754243	-1.42313439362457	-1.54520269948518	-1.95070476388816	-1.32087773904687	-1.45429037286719	-1.38023135649663	-1.41740041058415	-1.24092369730819	-1.22556408902443	-1.51632170156044	-1.41624029112728	-1.30218615473627	-1.30484687704435	-1.22235832078415	-1.51799654412892	-1.6993093260454	-1.46086476008019	-1.47720534012445	-1.64621073979846	-1.20891221041941	-1.28856796081596	-1.39904234273201	-1.39834932294695	-1.26925667810759	-1.08677493460187	-1.43023964758195	-1.4938958769843	-1.28900735582938	-1.40494586962941	-1.26247470004568	-1.53224021823146	-1.54817269086695	-1.5668375783491	-1.49016938919569	-1.2665696115743	-1.29042968200947	-1.26157970338756	-1.25591365202376	-1.2978509003749	-1.21608472561892	-1.65737225257177	-1.3610613050514	-1.42539597772178	-1.49604061492985	-1.5912373140933
