	"ACH.000022"	"ACH.000042"	"ACH.000047"	"ACH.000075"	"ACH.000098"	"ACH.000137"	"ACH.000143"	"ACH.000160"	"ACH.000183"	"ACH.000190"	"ACH.000204"	"ACH.000215"	"ACH.000288"	"ACH.000307"	"ACH.000319"	"ACH.000320"	"ACH.000331"	"ACH.000336"	"ACH.000350"	"ACH.000361"	"ACH.000364"	"ACH.000389"	"ACH.000411"	"ACH.000421"	"ACH.000425"	"ACH.000460"	"ACH.000463"	"ACH.000466"	"ACH.000467"	"ACH.000468"	"ACH.000470"	"ACH.000477"	"ACH.000485"	"ACH.000496"	"ACH.000502"	"ACH.000520"	"ACH.000527"	"ACH.000591"	"ACH.000593"	"ACH.000614"	"ACH.000620"	"ACH.000623"	"ACH.000627"	"ACH.000657"	"ACH.000661"	"ACH.000694"	"ACH.000713"	"ACH.000720"	"ACH.000721"	"ACH.000753"	"ACH.000762"	"ACH.000784"	"ACH.000792"	"ACH.000840"	"ACH.000872"	"ACH.000887"	"ACH.000906"	"ACH.000912"	"ACH.000953"	"ACH.000986"	"ACH.001031"	"ACH.001054"	"ACH.001067"	"ACH.001096"	"ACH.001151"	"ACH.001232"	"ACH.001274"	"ACH.001408"	"ACH.001430"	"ACH.001550"	"ACH.001554"	"ACH.001765"
"54927"	-0.232262941768972	-0.300567423580452	-0.0124355575893621	-0.268231096586516	-0.118442078971374	-0.149645681507795	-0.237064746304516	-0.415332059868884	-0.289038178896582	-0.414019948732008	-0.128532140816082	-0.210621636216999	-0.218903710396887	-0.272625896187907	-0.0871272615923767	-0.188448101033803	-0.356379961750331	-0.398669177555559	-0.248493567377559	-0.054920247702634	-0.155111492114877	-0.0465468986873123	-0.183658886052647	-0.142110717943321	-0.16966147542669	-0.0284682419346297	-0.329708687791019	-0.115650919961834	-0.132672855489814	-0.205996247022394	-0.0626992738350482	-0.161208391930327	-0.205358985161952	-0.286316729550804	-0.218776878858282	-0.239851283327679	-0.062078913723406	-0.281144658044015	-0.121576063982994	-0.390954313858498	-0.252043629858496	-0.176668570998081	-0.181017791094864	-0.253212437415899	-0.129515353443177	-0.386280212997159	-0.234396323307214	-0.141100064231517	-0.483810088733267	-0.394021633459445	-0.172262306035952	-0.0346686366849013	-0.25974194287522	-0.179234292324944	-0.264043165494865	-0.271934698399417	-0.136208567802127	-0.233613755388274	-0.101844902802339	-0.298096126157862	-0.201288452436199	-0.0960668951300657	-0.360549040443532	-0.208668795704254	-0.20855840081896	-0.195784897583302	-0.131052457114153	-0.283455963007496	-0.20024594015432	-0.356016271152428	-0.166909586925506	-0.346839835669218
"81570"	-0.402555872854206	-0.210761741667765	-0.0203283277722789	0.0457979898236909	-0.144658514913651	-0.333712634679805	-0.0700431088502444	-0.325659779002119	-0.00479838557695434	-0.18766403005261	-0.124225196064421	-0.117204109460607	-0.113025087570338	-0.117538796272548	-0.429173737211455	-0.24960086706435	-0.213967552384905	-0.0246990676843841	-0.18491869710737	-0.262772325790089	-0.0302233744054562	-0.15616664601218	-0.229900289983257	0.00713262936511021	-0.0954671423093054	-0.103463480855328	-0.115189952605213	-0.107158973127933	-0.0696644812862498	-0.243123303336131	-0.209264372978984	-0.202280830890166	-0.310768602205948	-0.190754448896267	-0.304141758657606	0.0166174527543374	-0.214200162943474	-0.210573842234039	-0.187496085747569	-0.301315690411154	-0.188557306941362	-0.245637319958102	-0.073585582778313	-0.134352504315051	0.0101150854860313	-0.122363276055587	-0.228265198179494	-0.120518990643642	-0.0239281477635846	-0.158688523162961	-0.212300733646835	-0.289094161385673	-0.0731915258275803	-0.113244273542909	-0.101000061927828	-0.205191250528843	-0.137119449819882	-0.159958601201659	-0.192942541514953	-0.308678172544532	-0.00232691776325743	-0.194740637754671	-0.186259331440338	-0.172224806444485	0.0018716114592325	-0.0877454614494401	-0.0265782697916024	-0.248869858619361	-0.0408451283868269	-0.272036530739478	-0.110329492993404	-0.315810994536509
"54675"	-0.517909854463238	-0.497358839412745	-0.534937357936513	-0.508428810374836	-0.420504808578007	-0.636579715853426	-0.633692124435007	-0.816669364511193	-0.592796378967537	-0.507891680495154	-0.732560218486212	-0.702752984821457	-0.675690338878123	-0.496423043313954	-0.613609394842924	-0.656138094659994	-0.690811578196847	-0.656003421071118	-0.438850587160834	-0.731744471595708	-0.632691205208201	-0.83039326260126	-0.491970545756492	-0.657212368147565	-0.363657888536348	-0.722202456457932	-0.454742896012587	-0.536928978390912	-0.645172949032947	-0.645603748740975	-0.466740490382398	-0.575885900712633	-0.611678186876513	-0.801859852550766	-0.635758666640886	-0.491565920885751	-0.625271187196235	-0.960143740804046	-0.655661735882106	-0.624566493181629	-0.45039313902216	-0.49386151718567	-0.519108926885051	-0.565887995633595	-0.343308758279007	-0.818803208324706	-0.520239492378643	-0.553596486751175	-0.716155925532146	-0.747428693628462	-0.454393152094698	-0.717314460637337	-0.635647354229008	-0.546998534492601	-0.751857864622088	-0.604476862258052	-0.633189777984413	-0.527066663516473	-0.351007480642152	-0.511787018094318	-0.570781002819838	-0.88624570769449	-0.520093786535793	-0.620204383812246	-0.53578620624024	-0.499365189301392	-0.528097248485245	-0.451319992614471	-0.358625550968526	-0.84757218509417	-0.637029666421156	-0.5989574237095
"55735"	-0.773742534006783	-0.671816406600644	-0.70030549697517	-0.491535615114372	-0.839006036402832	-0.478526695063683	-0.638084666001485	-0.488598255761724	-0.736628149889495	-0.799630999669939	-0.616676621463449	-0.597203042964489	-0.820197363746359	-0.563136904709973	-0.772026399636713	-0.666304699239067	-0.558589536079008	-0.360206335772679	-0.428593064266779	-0.864019324790957	-0.890336523866166	-0.746071557541168	-0.707791038789463	-0.411803796837429	-0.880380249937046	-0.624869851586496	-0.8414334272716	-0.290778405116514	-0.664597155050372	-0.578472901862212	-0.582147027560886	-0.497073675161137	-0.807186901316685	-0.73124985082496	-0.747402509615772	-0.697933552801756	-0.73870899983167	-0.839397992200254	-0.784453011886809	-0.680937641308822	-0.24740045449817	-0.511186497826453	-0.821504539050972	-0.507865308940697	-0.783076888198859	-0.5257254016893	-0.385700075043375	-0.322917377219269	-0.772399258174035	-0.727971279268108	-0.484917259122665	-0.869025255841352	-0.692619843907534	-0.617228811060368	-0.46174530106721	-0.6211903819851	-0.709934620138456	-0.66538629332903	-0.79003318897289	-0.677839955608067	-0.705102901294891	-0.703199344953365	-0.573170214344849	-0.578567327021939	-0.42350406928056	-0.3992856855439	-0.458091677685618	-0.627514781071999	-0.504520363689152	-0.436938078817277	-0.438528092677747	-0.816117976547011
"84908"	-0.446921553717336	-0.543289807909678	-0.471831891335682	-0.355356246961626	-0.481699169463559	-0.592540332206773	-0.41045871913862	-0.594831591289059	-0.546121699621142	-0.337524307802882	-0.382827635291386	-0.384801286804288	-0.564231024004886	-0.478859995348576	-0.631942578747386	-0.422187720402568	-0.595370324675531	-0.281079148435617	-0.624446776933047	-0.525796072338711	-0.559215837115017	-0.357694910124138	-0.59682297649467	-0.420403111741925	-0.523297675693815	-0.424829408334664	-0.452096616206418	-0.395705925509193	-0.427584093693484	-0.362512282716224	-0.515381394437597	-0.494187146301924	-0.458843387068792	-0.443438571306883	-0.579982538666574	-0.349370919999689	-0.564976724330873	-0.668676265708093	-0.527227662787289	-0.443616468518505	-0.587621156661087	-0.566643722689155	-0.510366595707785	-0.655020204697645	-0.9197441577368	-0.563074960156011	-0.548747120653998	-0.554136573410224	-0.456968359515587	-0.451630808025901	-0.398277554261345	-0.967877485671918	-0.577341436262041	-0.569662775005657	-0.492786722220814	-0.423302027246013	-0.447316763948453	-0.478846604794967	-0.579306975175043	-0.6305870347834	-0.469880209289101	-0.550745452375023	-0.599856491545228	-0.588405163696358	-0.469775888723716	-0.478778079602613	-0.372801367845854	-0.506523178011219	-0.339581077238106	-0.585868548697271	-0.435860503305145	-0.625380462833646
"10456"	-0.443696672276168	-0.297849774974516	-0.257279091706877	-0.181796995175942	-0.324215653120266	-0.24180124340767	-0.227793122327243	-0.240415897545484	-0.300109823660271	-0.474088761396349	-0.386652952579611	-0.338380699901018	-0.379161412212823	-0.156436123703871	-0.350557388506196	-0.20767648185611	-0.255167744072388	-0.342305618844819	-0.359508042100019	-0.47043922666189	-0.297226206927323	-0.366383051862423	-0.358452791200668	-0.375399285999226	-0.271241208710019	-0.216098128467191	-0.343305584991541	-0.0334255890225254	-0.365752812916941	-0.300164790893646	-0.373006514919115	-0.259503902242172	-0.259278809175657	-0.324915877158141	-0.275465092491754	-0.258094806229016	-0.343969240279355	-0.113961345373595	-0.363778581811313	-0.192937310132359	-0.368385639474059	-0.345298992508478	-0.516658610125512	-0.449841549298551	-0.0818995489295194	-0.232087076908369	-0.426248257408518	-0.294353475689679	-0.20443794966208	-0.427753624077003	-0.414773380407915	-0.364123924795856	-0.309156691721465	-0.477881391619807	-0.259686696273411	-0.336628477632603	-0.231620199135875	-0.336769706835544	-0.245173607352335	-0.366163371531903	-0.30669120676885	-0.334872867962072	-0.202037870047935	-0.244496832495627	-0.35993114892446	-0.346320074694717	-0.199668789876537	-0.285170353611487	-0.0580402186435145	-0.269081527577088	-0.334401519007298	-0.432514808458409
"4670"	-0.90110876234213	-0.876952630722346	-0.988551737700097	-0.907939267577627	-0.921686000478011	-0.810978319512974	-0.970292671055295	-1.12456610733244	-0.900210663464004	-0.790491439903705	-1.12002495602554	-0.762327428787299	-0.904505800372323	-1.07246514019788	-1.0200055928847	-0.98533047620956	-0.987054580109177	-0.877874172783347	-0.826347940029313	-1.04717852164685	-0.839447242413302	-0.806854619018029	-0.792576621866653	-0.967647835459129	-0.877658514012114	-0.972416779289643	-1.00005525085611	-1.13885331910314	-0.839796680862657	-0.779149343838293	-0.727141750837958	-0.942911938119428	-0.937833829771477	-0.870761023411763	-0.730287852935098	-0.784685667557177	-0.615872815782894	-0.878676353706344	-0.775655588395997	-1.07704618359047	-1.02916350163342	-0.698405439006179	-0.779819364186906	-0.985320754660278	-0.952997944360965	-1.07588105161149	-1.16407391849168	-1.00679601414004	-0.926843228779697	-0.977588305688287	-0.858588647884591	-0.683916662268106	-0.928104746361599	-0.95426682074533	-0.743308450192054	-0.854651135562457	-0.93405588149539	-0.930495458948922	-0.994949959212678	-0.842258298736638	-0.99049141647529	-0.839381999397278	-0.76372501112053	-0.884800216831173	-0.703039903411816	-0.80778143720554	-0.940631997857253	-0.86764785725394	-0.734895281564888	-0.921554472325633	-1.00355991432019	-0.838971999448576
"27429"	-0.446366496380712	-0.241854442933712	-0.20274701771098	-0.229907736635909	-0.0631359633225059	-0.0927376433801264	-0.293526397518693	-0.178308261693501	-0.0395476699947094	-0.159880234805363	-0.111226812287014	-0.086500624140057	-0.135646562951637	-0.11497622610385	-0.232587090562637	-0.0296931084914501	-0.324999004113407	0.036014265884305	-0.0853772893573902	-0.106818172379702	-0.161400781335738	-0.109066715095641	-0.1997757595999	-0.0468400165109919	-0.144310536067321	-0.040490181257092	-0.0867592495919665	0.00278280655515459	-0.0330965725905178	-0.0960335876332356	-0.249294082623489	-0.0866206702781694	-0.0861544714156909	-0.221464843908892	-0.153753931473915	-0.0546042949905974	-0.204375385278868	-0.131988642084075	-0.217850084163585	-0.166086510484063	-0.0674140211603872	-0.0942712837376218	-0.112592464040697	-0.118716200348564	-0.0286939130679508	-0.0928584605135553	-0.136319634533547	0.0473371655201655	-0.307143767497812	-0.13097309883393	-0.0606227557162795	-0.224493545391924	-0.0842651737910093	-0.178458622883342	-0.0767372557825773	-0.184753916465732	-0.0599430831778975	-0.362408230937192	-0.112379762358676	-0.107396932209399	0.0121043832602663	-0.195918490041097	-0.0910500096340445	-0.126873391607336	-0.0857947281417834	-0.124578876645199	0.115065821991782	-0.221416950503218	-0.214762172534603	-0.170715829300253	-0.0570447384804869	-0.317590235230438
"10989"	-0.0923821669187523	-0.0107481304033926	-0.0363951993452707	-0.0969196475235539	-0.112876578952941	-0.217255516088268	-0.190524884318698	-0.217429011941639	-0.00549361249471952	-0.284481490956526	0.0309834443311461	-0.0643126982935921	-0.0310302805707541	-0.147215882200903	-0.145404706503433	-0.163715236377175	-0.385860012265587	-0.0675660079049779	-0.0418782797357231	0.1739028470701	-0.0659930992734068	0.133992989333862	-0.0632811498900761	0.0506365914061347	-0.0144692493573917	-0.022207502259334	-0.0267732553360409	-0.0335073788719503	-0.139444410484522	0.122386096120831	-0.0178148237153093	-0.0356644152369495	0.0128063615907549	0.101630836224841	-0.138136690131808	0.0449773293060979	-0.208680863948002	-0.0447275805135836	-0.149379468685224	-0.180535806855433	0.0256081820980609	-0.0183711677521057	-0.110885736575213	-0.0524417406694991	-0.213481657534999	-0.302679834034045	-0.0569580582629853	-0.0354788787924621	-0.0379463361008328	-0.0393999760109832	-0.0912691920298091	-0.239795223664428	-0.091566764779426	-0.129282649320641	-0.0171628320017801	0.039041898267114	0.0628703642729252	-0.272588536687953	0.0290744058343102	-0.244229075904492	-0.0415129797329631	-0.081362750411169	0.00142945928450964	-0.141191564410513	-0.00705935678516305	-0.107547943759638	0.126745624299821	0.27907449644137	0.131803536417445	-0.266867274688801	-0.0193886625166723	0.0363065312498276
"23788"	-0.324202933380697	-0.226076196165901	-0.105678617091192	-0.366009708470194	-0.209066934711241	-0.172144786807971	-0.0600513494424812	-0.186888285082286	-0.228643400454959	-0.00640264829354437	-0.167201882125574	-0.166153121196925	-0.210523714625947	-0.475653730223682	-0.256400330048845	-0.425381858739994	-0.142861513431484	-0.105452809205008	-0.158682130697405	-0.0809174862038113	-0.252837425102181	0.0334575388710981	-0.204176549556316	-0.180753684085189	-0.338221360728655	-0.245279662940794	-0.0550251695546749	-0.22868052388723	-0.0595675212834201	-0.308734174572922	-0.165234636680732	-0.291362831316229	-0.200359799141428	-0.299713429570485	0.0240295460469712	-0.0997624171368957	-0.152377680651666	-0.277741019413664	-0.216495243951278	-0.4826932844713	-0.116186605377341	-0.202949865451169	-0.157868076994657	-0.491964786406844	-0.461890356499348	-0.0765492956514486	-0.302854176555434	-0.170708989049448	-0.164965076308213	-0.123056124797373	-0.216241403631257	-0.283184248819866	-0.332468575740608	-0.260604542754544	-0.335580859769418	-0.166392481682766	-0.0783765434541024	-0.602493989743115	-0.202532255954783	-0.540184929208644	-0.261118288099312	-0.0549161723866581	-0.461410834662701	-0.0178994106874117	-0.18804581251794	-0.281134945694214	-0.103466702028306	0.00948939336384548	-0.112706755428229	-0.148147278424146	-0.192356448640975	-0.229892827286247
