	"ACH.000007"	"ACH.000009"	"ACH.000035"	"ACH.000036"	"ACH.000040"	"ACH.000060"	"ACH.000085"	"ACH.000127"	"ACH.000143"	"ACH.000163"	"ACH.000178"	"ACH.000198"	"ACH.000215"	"ACH.000231"	"ACH.000232"	"ACH.000248"	"ACH.000261"	"ACH.000266"	"ACH.000272"	"ACH.000291"	"ACH.000307"	"ACH.000322"	"ACH.000323"	"ACH.000324"	"ACH.000331"	"ACH.000339"	"ACH.000365"	"ACH.000389"	"ACH.000401"	"ACH.000416"	"ACH.000502"	"ACH.000511"	"ACH.000537"	"ACH.000550"	"ACH.000580"	"ACH.000601"	"ACH.000606"	"ACH.000673"	"ACH.000684"	"ACH.000688"	"ACH.000693"	"ACH.000725"	"ACH.000738"	"ACH.000748"	"ACH.000764"	"ACH.000796"	"ACH.000799"	"ACH.000820"	"ACH.000841"	"ACH.000859"	"ACH.000866"	"ACH.000878"	"ACH.000881"	"ACH.000907"	"ACH.000950"	"ACH.001075"	"ACH.001119"	"ACH.001212"	"ACH.001277"	"ACH.001306"	"ACH.001552"	"ACH.001554"
"55729"	-0.173661773922869	-0.154516052560607	-0.0127151122881444	-0.177004301696127	-0.303138797215873	-0.194895926540841	-0.140178930715021	0.0933955845697244	-0.490437641923594	-0.0763113471608961	-0.332945594222166	0.134966519528572	-0.26702220215778	0.0552104345162899	-0.152117793021429	-0.28170186372267	-0.178313162996607	-0.14797944123042	-0.0342250119978869	-0.158879413542483	-0.191608777692952	-0.211110210305269	-0.158156623827181	-0.0813221655825664	-0.0933173073890637	-0.0868743570667658	-0.310976454693313	-0.197885711158612	0.00785461104026862	0.108450977768378	0.00430873825033011	0.00296898400455112	-0.152801905412724	0.0624477746273887	-0.496893100078955	0.0159441627746757	-0.0308041938568213	-0.144913243461026	-0.2356350707484	-0.270354456411342	-0.0333675921438295	-0.114921966529361	-0.167081380828378	-0.0906621120812091	-0.0771812763543265	-0.0384071131108817	-0.135464884787605	0.0725132236478955	-0.079651660803677	-0.1538252352849	-0.066613673489727	-0.126294694103873	-0.180738339426829	0.0688182708199754	-0.174817064802977	-0.0592020881565298	-0.140826798000369	0.037998605916462	-0.055171119192008	-0.169755918592435	-0.00909210878324453	-0.100730682515191
"535"	-0.272651200259332	-0.43253288167156	-0.0882091724446901	-0.269475415725692	-0.122140803641746	-0.0741445713743376	0.0547685181050952	-0.440949951100693	-0.187267779708905	-0.309451611315712	-0.176219494092794	-0.136197806974916	-0.337063605925145	-0.144326281333103	-0.0553286478300433	-0.136300417127925	-0.134253387500313	-0.14092648769606	-0.178636419564317	-0.237009159802114	-0.224753555341286	-0.0857596372349082	-0.251454893276465	-0.137704391021602	-0.114083140000145	-0.137335618265284	-0.135545522651817	-0.260223833965963	-0.19575419811468	-0.13540357941063	-0.0871888933752324	-0.0778747089385882	-0.102568189679799	-0.270392916139582	-0.066406684572465	-0.135618858747285	-0.203952199281077	-0.0991445360698726	-0.226817022952298	-0.381342388467972	-0.0893001429394672	-0.232293705553445	-0.0999671468711095	-0.0341380404881052	-0.321463662822647	-0.216757633048654	0.074576816577202	0.341040864841327	-0.447359966639538	-0.2059502442705	-0.111508119174843	-0.197954128418032	-0.0495040953968085	-0.0786834093025036	-0.156253881142543	-0.380985429481573	-0.285332279383259	-0.310942025208836	-0.254145700495736	-0.234979809033592	-0.0374104590520399	-0.0671413756140491
"329"	0.0761999566850672	-0.106089448813384	-0.0891970903964263	0.112085598875244	-0.0541668476403983	-0.158050172143285	-0.18864747143366	-0.150308480764744	-0.109496911287841	-0.17995589746639	-0.0759192921942646	-0.1609345250715	-0.22292897934371	-0.2008427767789	0.0139783846510128	-0.129400810390158	-0.0601330411706117	-0.152823734134203	0.0483516373127579	-0.0822878811021965	-0.223542975988435	-0.0530424632622455	-0.157575511807738	-0.164126629797802	-0.171362805070153	-0.354018012863031	-0.0727631775697631	-0.0674841037963241	-0.0712867580630981	-0.0387813609805126	-0.240057620704592	-0.107848734576617	0.0831131733461174	-0.0615237722596111	-0.0987919642105582	-0.2309605787689	-0.262292006449521	-0.0350811314861416	-0.172662987124169	-0.41069792658708	-0.382212163403605	-0.106266537305622	-0.100623310669625	-0.0685410091213559	0.0737071406278665	-0.148109641948303	-0.22826914197155	0.132963325358212	-0.148926744969753	-0.200565768111163	-0.408745967517572	-0.209117280909444	-0.196033536752945	0.085828346042901	-0.0513960873413817	-0.297125490128849	-0.0681407717996372	-0.447602851576599	-0.130333944253623	-0.100374439066912	-0.0759288226914687	-0.358866173115512
"9044"	-0.291865007428134	-0.332749952402568	-0.203660245956133	-0.243398971387146	-0.434504046324507	-0.40357876064174	-0.340134012513139	-0.360642934977521	-0.462428929857613	-0.32639279165609	-0.473332824750674	-0.408993686416489	-0.310810325264657	-0.513492591172201	-0.505020122370245	-0.142813162112237	-0.329523437816107	-0.0271758423338976	-0.340620461032478	-0.276343148842477	-0.264264625041469	-0.319329923949377	-0.324839413825136	-0.172696802322513	-0.528701802119732	-0.00451976093305136	-0.437212679918215	-0.112012391345126	-0.428305141687845	-0.356523853421697	-0.305032950888533	-0.118025085110582	-0.0689680483437537	-0.17861922643044	-0.333106895828431	-0.128052619401068	-0.263233826283407	-0.429120028216928	-0.144164491774873	-0.290832247452927	-0.289132011903446	-0.273538326890188	-0.301055125974759	-0.292350874329502	-0.0771529576482853	-0.412219440711655	-0.327588314465538	-0.433458499684349	-0.421660730301974	-0.370397799783811	-0.504092861257595	-0.371145823090965	-0.240508287147153	-0.139249173671685	-0.341143674176884	-0.394845009056845	-0.358330595408404	-0.30825156639252	-0.302767153834595	-0.129664819391812	-0.382624305753373	-0.352030536215875
"80169"	-0.209269338246867	-0.413401048022728	-0.410520615171612	-0.333350594257209	-0.394228874814897	-0.637196019838356	-0.419713457960362	-0.263001722860237	-0.460966144535215	-0.463744655691693	-0.445444696268113	-0.286328633964537	-0.649764716767021	-0.707855353996985	-0.099508468009683	-0.375375173667568	-0.228698469462921	-0.79085454002852	-0.641788509240604	-0.455478655140273	-0.643795051935683	-0.290939882813319	-0.212556418088649	-0.435612028093264	-0.434194369621334	-0.479064075837582	-0.0870457856065141	-0.403002345439157	-0.373637049536674	-0.70452509511769	-0.502913411810338	-0.330121284305622	-0.0930817104813038	-0.493770732722176	-0.222513832703326	-0.498320067790515	-0.32123042816447	-0.182590020965536	-0.457710359913258	-0.482502785568693	-0.37861081603135	-0.360310434207822	-0.47100133070839	-0.545464561078102	-0.549670526953133	-0.368350329945179	-0.341942796718206	-0.493409425937943	-0.2617842270556	-0.303872654750051	-0.264096198049499	-0.574468016166119	-0.250012192174386	-0.172968657497174	-0.397442517342974	-0.443152879176032	-0.0546144327280096	-0.430608808053566	-0.29217039696914	-0.361656822370464	-0.151694037757947	-0.341310756128907
"1565"	0.0331931637628091	0.227499537134574	0.28021603383636	0.171297069973757	0.283564798560757	0.0844201421459646	0.250122999351578	0.288100918508589	0.0495895475841101	0.251970560477481	0.115817060714535	0.114304917751635	0.227090834988041	0.11845028524368	0.0972397970609076	0.0346181912546099	0.137760221840497	0.101318936959662	-0.0397539823414177	-5.27885780473989E-4	0.177038935723451	0.371536438078381	0.141451897059273	0.0127264915110294	0.217518463113667	0.246357087890447	0.204474514706751	0.333654539844016	0.123787653435822	0.191855692902755	0.15509556762308	0.182753781265346	0.140431256863553	0.252925011494012	-0.0523345614215945	0.17212381741486	0.220940960023389	0.187487652926952	0.0725901246908008	0.28008567971644	0.177857979157244	0.184549402505648	0.30503172316407	0.206570075462109	-0.0706306574524519	0.149710650939931	0.290033144579768	0.056026901741336	0.210223653423801	0.138523672823793	0.247882246990684	0.0035466722423817	0.0504577323370275	0.233174977854188	0.0334598706594213	0.151836036417292	0.0587031048167139	0.13529992565578	0.125082338463811	0.331970744081966	0.335075644031148	0.221005026903322
"1810"	-0.591722445576025	-0.656556796506394	-0.76604238444383	-0.591280968980654	-0.634623910723219	-0.826601893461427	-0.690107929643499	-0.653051609284737	-0.75419589167024	-0.654986372769946	-0.629129515696129	-0.747003328614304	-0.750916187918089	-0.939689290093754	-0.830020708038516	-0.591673102077532	-0.712636748110877	-0.757085790010627	-0.767077786082498	-0.708356364909432	-0.771882047051045	-0.700592040346049	-0.558924262666507	-0.595769170974799	-0.937212125451559	-0.66188933236191	-0.802291371350504	-0.762574516702922	-0.623786582271602	-0.557537346288724	-0.672301772653354	-0.68149841537264	-0.852388652118762	-0.489461737188921	-0.760513039045007	-0.555523803288983	-0.821369589561032	-0.624060137930035	-0.691156816555864	-0.852094930649189	-0.594590242237157	-0.406716664601339	-0.531134407097797	-0.631473319802708	-0.564388073848605	-0.576914841727157	-0.686229380066225	-0.375394276716171	-0.598418104370245	-0.665480597070038	-0.764380082556645	-0.700433767531003	-0.591544582848762	-0.58566567120678	-0.880079495953017	-0.814316182237048	-0.500080941938791	-0.43124559788156	-0.599332616739096	-0.794514534652217	-0.691456928187173	-0.789079181439244
"10589"	-0.405606099117272	-0.392583800223662	-0.489112867673541	-0.22315634020887	-0.515655274939003	-0.464837843665628	-0.550997186927326	-0.419993882567764	-0.595612206541598	-0.352843479371281	-0.377351686285793	-0.485155034627223	-0.434190248865464	-0.653561056162446	-0.618973859558463	-0.114159865248004	-0.44692783034786	-0.543818081087263	-0.408433990390978	-0.231395767841351	-0.570673427014455	-0.527774183141767	-0.318923497269436	-0.396196516744508	-0.68901808898608	-0.42895823481095	-0.644149946662346	-0.24970458716852	-0.308742887103348	-0.410813562787783	-0.318930791065329	-0.468421953509388	-0.50311913521127	-0.349732780879188	-0.35590996006117	-0.377432987924025	-0.452707635852422	-0.391860714531099	-0.546048246859053	-0.337594941156183	-0.247763788928917	-0.487241630963648	-0.389839667368971	-0.378838311994724	-0.454409490716539	-0.507617070188891	-0.283881780735126	-0.275961462321389	-0.460018196335055	-0.454490740649549	-0.349889590550661	-0.470617707673791	-0.34651741046211	-0.315553386010583	-0.493430356650391	-0.204753097139238	-0.314313459557413	-0.291303116978554	-0.483344490035567	-0.573067531685606	-0.177876658882782	-0.452946203658984
"3274"	0.0996138996628387	0.238411258563678	0.128959492566893	0.0875646353601816	0.0386308946361436	0.207778316288101	0.0290950537557642	0.212376684477916	0.121264008953193	0.214823319140338	0.190897429540281	0.228139025909547	0.100860981211388	0.157500575669893	0.124305591005207	0.102438238348618	0.149311431837034	0.126646814187446	0.118908690156443	0.175506668743273	0.19613982372436	0.0536607121347023	0.0508455100358891	0.142074675524011	0.133370358601329	0.207557522344162	0.194879640258206	0.233363678555556	0.208265900968829	0.110694571537199	0.122503171050082	0.272199702295123	0.207972724025789	0.00977875379811604	0.230887470423438	0.118544934522795	0.173379923047163	0.199534875633271	0.104937909859159	0.00788510606038292	0.202019255859273	0.148156781155619	0.0884218061434963	0.200721304427035	0.235857632263588	0.190290360953312	0.130494400879662	0.287076738972362	0.203744123205391	0.154162600654519	0.203958830384161	0.0519840035259351	0.142999160952545	0.0172248808868154	0.0737862451039446	0.137307481483209	0.0980183463812134	0.171463712932187	0.0951988803695701	0.176172095887728	0.224110221105835	0.1795857685517
"3336"	-1.71463849110211	-1.64701872334544	-1.5075012356736	-1.27011657250949	-1.4275875580228	-1.62355787917863	-1.73156754769425	-1.32637893819632	-1.71399120500171	-1.65072325753774	-1.63591933033995	-1.51014907649123	-1.73812273629291	-1.5746786406843	-1.7172318628559	-1.55570864980084	-1.63777048797484	-1.61335677132097	-1.5024097856382	-1.4600491745748	-1.86013012623283	-1.33164519467692	-1.56820068234032	-1.47609944840258	-1.71434377959135	-1.78888722776902	-1.795050451364	-1.50774143072683	-1.80965282252801	-1.31553603402615	-1.47504707863518	-1.36837678979453	-1.62731981641353	-1.75423325995909	-1.60660219748872	-1.43979895206613	-1.60198016123887	-1.40935480738024	-1.66433741908659	-1.5508542636598	-1.62098961283584	-1.60488392423032	-1.61920353928149	-1.60945383496463	-1.26322238481236	-1.57448437787985	-1.49175873586881	-1.37297070056346	-1.60338963934853	-1.5837043066145	-1.83029549596902	-1.81269374680682	-1.76936669477362	-1.62263548450284	-1.53950666498839	-1.55096201803367	-1.49992867929077	-1.49583293349325	-1.6631725630417	-1.27984383585909	-1.55096642146467	-1.79415159224593
