	"ACH.000013"	"ACH.000021"	"ACH.000030"	"ACH.000118"	"ACH.000128"	"ACH.000148"	"ACH.000227"	"ACH.000232"	"ACH.000235"	"ACH.000259"	"ACH.000266"	"ACH.000281"	"ACH.000302"	"ACH.000307"	"ACH.000308"	"ACH.000332"	"ACH.000339"	"ACH.000352"	"ACH.000416"	"ACH.000448"	"ACH.000480"	"ACH.000488"	"ACH.000499"	"ACH.000556"	"ACH.000601"	"ACH.000616"	"ACH.000618"	"ACH.000620"	"ACH.000621"	"ACH.000633"	"ACH.000638"	"ACH.000657"	"ACH.000661"	"ACH.000671"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000711"	"ACH.000734"	"ACH.000758"	"ACH.000802"	"ACH.000823"	"ACH.000834"	"ACH.000849"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000910"	"ACH.000921"	"ACH.000936"	"ACH.000941"	"ACH.000946"	"ACH.000947"	"ACH.000948"	"ACH.000974"	"ACH.001028"	"ACH.001038"	"ACH.001151"	"ACH.001163"	"ACH.001183"	"ACH.001275"	"ACH.001318"	"ACH.001368"	"ACH.001523"	"ACH.001554"
"259173"	-0.0583826124822825	-0.042765258626521	-0.0609993014486664	-0.169817475646715	-0.0443290868217844	-0.0590045139633338	-0.00378365602607912	-0.0536210418127177	-0.0195392094210267	-0.0221820591513228	-0.0362589839453282	-0.0440647764185598	0.0705721142611321	-0.102612729017524	-0.0010820854868356	-0.0785858373012756	0.052403610032893	-0.0623788027653155	-0.0609321239362216	-0.00645341761839821	-0.0141266695424322	-0.0725820454772788	0.0870888241565612	-0.136104531654384	-0.0471173121048271	-0.0138016403208876	-0.0143299977434608	0.0455425681530694	-0.0141278743362132	-0.0497646201593826	-0.0554613443480162	-0.0359109239185711	-0.0702224392564687	-0.0602194115517355	-0.0495305708035232	-0.065348373399673	-0.054292091875807	-0.0196520992303695	0.0112746441375403	-0.0281577918502501	-0.021624167430344	-0.112080541177234	-0.0774670024057155	0.00362396377292366	-0.131747494748751	0.0115359649431698	-0.0310233052251988	-0.115902646728699	0.0060446269961816	-0.0816357039042686	-0.016963525235541	-0.0348539271312595	0.0576305087437427	-0.125743087816463	-0.0163456270124897	0.0619016459339065	-0.0379912631606552	-0.0331389439853729	-0.0444671380572162	-0.0417509974053506	-0.00677529648510056	0.0268821872457066	-0.0266548095596412	-0.0786549417284467	-0.109376759449727	-0.0714085647688407
"151254"	0.103456229633326	0.110751463176447	0.0327892326291239	0.122249063484058	0.188005263239665	0.114880341696511	-0.0205232893934051	0.0498491091786476	0.101574841961907	0.126626755442078	0.0897899373009131	0.0804105534565553	0.150632491533341	0.018485114442006	0.151052014305729	0.0439549540385911	0.140472189863778	0.137618631046933	0.111811289719817	0.0226164219201615	0.186047189408864	0.113982273945111	0.0210366605244466	0.132852559955427	0.103706155822204	0.0571320899920623	0.0925693888535054	0.0763858358221277	0.0583949528858359	0.0304628591103392	0.0303519923991905	0.118986610821576	0.0391833695124867	0.114362324296832	0.0758412662525811	0.0701920216795446	0.111834791235498	0.110699447110557	0.121991062332538	0.0349406646267626	0.166912136650137	0.0520133616266549	0.215036662798369	0.0510914531958568	0.0675355065024403	0.0859294349130807	0.172930451224834	0.280227493176625	0.0873181944633488	0.0704740953938462	0.0166437138555978	0.185837729630601	0.137490311085896	0.130994928418891	0.00397541172441333	-0.0809085540516876	0.0782311037283151	0.0909032735723555	0.166003831623634	0.0578869266775146	0.0785070872178474	-0.0487289248452027	0.063374909810109	0.0995165128123892	0.114161543175202	0.077631413920777
"221477"	-0.0661779714455338	-0.107540961424454	-0.0690875745485017	0.0244677930777719	0.0113598918676713	0.0903081168453117	-0.069991404370943	-0.0311267435356077	-0.033261581276272	-0.0299318319004846	-0.119480188428073	-0.212873264004436	-0.0895318078312943	0.0767516739642083	-0.0258204654028948	-0.0822138339284312	-0.0834044305785391	-0.0983633367896984	-0.0423150320410228	-0.0739100242988837	-0.0611996435746232	-0.116899812152016	0.0641277533450254	0.0526127705509462	0.0223692198749985	-0.117541243394354	-0.121489704310017	0.0413560543282078	-0.0600878763801236	-0.0352123326030209	-0.101433195690947	-0.0704513856110048	-0.0810968199847364	-0.0254010602917823	-0.0917776595980681	-0.132038430773811	-0.112151090126466	-0.0828550018246977	-0.193838622698777	0.176546600320189	-0.0888539834890998	-0.0456471273128027	-0.141466711653476	0.0689036850389168	-0.0698369048652864	-0.072597720185849	-0.148251128355868	-0.156126360805558	-0.079135846209992	-0.0172241776243817	0.00761843578280713	-0.17763927730022	0.0381230046792634	-0.0779052592535017	0.0624384933253636	0.0465447050998078	0.00305109436956832	-0.0568870811855832	-0.113346218653359	0.0223410566765619	-0.114278202037021	-0.0149029018934812	-0.0639019997835122	-0.0406995732181862	-0.0228465273897323	-0.0526277109404215
"30827"	-0.436179960614786	-0.270003682162538	-0.604009491217997	-0.535295264286095	-0.349308339673477	-0.430932714172598	-0.534847728223044	-0.475263220587848	-0.473985574427124	-0.547204259140481	-0.555993850306596	-0.448500663288637	-0.556753287376268	-0.45849568273405	-0.184536829575175	-0.569733877586197	-0.336875047980956	-0.584266607619939	-0.468558155731964	-0.613953157558258	-0.662410396598122	-0.512400188874096	-0.525671550814126	-0.516498053279026	-0.31868036638325	-0.525979473069003	-0.48868525255163	-0.643050122584141	-0.400413536673974	-0.329421758490723	-0.546997705693543	-0.50145247759624	-0.511739171423875	-0.338873254200485	-0.692629244460127	-0.541750959108552	-0.723750884705192	-0.536247182973906	-0.502553595375549	-0.673397241570984	-0.732506949583681	-0.463225465131999	-0.547807537407532	-0.290550378376928	-0.476142552708655	-0.354989184627272	-0.652053336976981	-0.600220589427506	-0.388661788471357	-0.697528147031446	-0.321514012007487	-0.247484394227703	-0.357697087687996	-0.596838419904324	-0.651332445577702	-0.371673317845828	-0.452483532030449	-0.515536353433899	-0.94239185996444	-0.342874263376418	-0.653240817062259	-0.340920190205928	-0.547590869139215	-0.744589701895022	-0.865233921203035	-0.583210309563652
"8449"	-0.626066785690268	-0.436126414003171	-0.622215226504073	-0.530035238712825	-0.55420144693525	-0.509616805272921	-0.587645520096579	-0.650382148516915	-0.700820719182667	-0.770038109500671	-0.670425952416231	-0.614854531010147	-0.60483046781843	-0.781620875673723	-0.546764823986097	-0.678377891075415	-0.550890948645776	-0.661823676790559	-0.776201732423759	-0.667252691062333	-0.870514369192486	-0.702315214551562	-0.609637426280799	-0.636296391669247	-0.611779956700788	-0.691917813351205	-0.661680773174256	-0.582384533129354	-0.51077224261744	-0.564041340488498	-0.643602307860795	-0.650786717066459	-0.828952220664558	-0.592167942602785	-0.661366051294749	-0.692323235579726	-0.610197856770684	-0.598937893151412	-0.744964478401534	-0.580484990487053	-0.713452074044932	-0.543954347297195	-0.720625723410647	-0.658466620887685	-0.610956089495737	-0.619077591004723	-0.719133194866805	-0.944060182393527	-0.591254430731282	-0.520958388071763	-0.645625760815071	-0.643408239727948	-0.836700270233273	-0.719260252935987	-0.753885776106892	-0.611886329522676	-0.537372178721401	-0.464400658605432	-0.811826187981115	-0.633761231766418	-0.683057032544161	-0.681884055067699	-0.630161267894253	-0.799439512576841	-0.693622732746686	-0.657076340869444
"2324"	0.0597149431511414	0.0111974440122002	0.0492918586966001	0.101538428791662	-0.00468969897406464	0.0937861297724562	0.100445259873102	-0.0426378124051344	0.0410696387281018	0.0390107325814015	0.0481637466583558	-0.0990544906936532	0.0829705202237802	-0.0306901560512096	0.0611292180839	-0.0385458978855098	0.0587419784794807	0.101874414470789	0.0501747138432946	0.0781101439938985	0.098356912997546	0.0207824089344434	-0.0497990721233345	0.0966968405871063	0.0222439161087581	0.0458230664112214	0.10559950988736	0.077729975096435	0.0771397023352787	0.0395389236274167	0.0444680322680541	0.0448749725596411	0.063378902770223	0.0922270875806541	0.104183884087905	0.0653724785092648	0.0751418912914701	0.0876066948021631	0.0644780329771838	-0.0581681451044423	0.0545435990792578	0.0856544745340614	0.100880862079717	-0.0985962489577899	-0.0572410523251432	0.0367055222097665	0.0899654144337391	0.202648614472122	-0.00867250218712105	0.0584800720694326	0.0473644460778509	0.156629032601822	0.0658305727024286	0.103434570435654	0.0875349551479793	0.109173893519158	0.0396633564201073	0.0169327143633399	0.0944803285290936	0.0647138910264614	0.0785350899711203	0.0139806295123692	0.0366268031083776	0.0567085510961911	0.0474514274882364	0.0700742354771275
"2706"	-0.00193937078529334	-0.147866634304791	-0.0696467348148966	-0.210900215943654	0.0215963612977446	-0.146696141401495	-0.130532602275429	0.101936910008258	-0.084237470006759	0.0279609936433819	-0.082168002098872	0.0715489980039379	-0.0833322070057821	0.0592690041889554	0.029111706088644	0.0360582317881225	0.0647612229041621	-0.105193658753347	-0.0592920292676486	-0.144256478527057	-0.166523575200912	-0.0478563272692177	0.0259615517991191	-0.398219057907885	-0.0252305718137165	-0.129278505722431	-0.0708509931445516	-0.116859622088948	-0.0562409714651679	-0.0385420299025972	-0.03670192105105	0.124639700439141	-0.151653680957133	-0.156861325274164	-0.0923380943398302	-0.0239919545455108	-0.0442873142371108	-0.151355705485371	0.0191733473179542	-0.143754351045112	-0.174455861745927	-0.0449630090204253	-0.0996583291729829	-0.0401542636462637	-0.130829159141714	0.00453535797055892	0.0066192363240002	-0.0321700703626907	0.0319041989803985	-0.00635777441731836	-0.144199546162869	0.0175699900172528	-0.111378218467462	-0.0874200045002063	-0.169943854331834	-0.0785367475892319	9.09818527557835E-4	0.0441119583871216	0.055728605704383	-0.125891157206753	-0.174907493466189	-0.0382982408988298	0.013988029033477	0.0696025063329516	0.0135769675098174	0.0303925837581695
"221458"	-0.254633263710146	-0.126526178644213	-0.176786386431126	-0.156550273899565	-0.26003407052419	-0.11121036895818	-0.163323429087436	-0.165439273567211	-0.192809556335193	-0.19196578166905	-0.204468778592895	-0.175064522800476	-0.236993640813641	-0.285003783364847	-0.223089499989982	-0.283273029234887	-0.30691918467651	-0.233425425908461	-0.165286637121369	-0.220725363686297	-0.292673970509418	-0.225499531895446	-0.324322316037332	-0.193777192391334	-0.15122515097126	-0.317293518913943	-0.205254489799762	-0.161128127100284	-0.22524108845092	-0.140063654262264	-0.252891993147181	-0.228661351138677	-0.162086819262241	-0.236978939106721	-0.232089710852882	-0.189139105161693	-0.174472495951049	-0.196310721207105	-0.238192018184587	-0.305715127174558	-0.146853464700941	-0.133438911192066	-0.203252357242409	-0.238841495146873	-0.236583669469615	-0.258467765446166	-0.162067147437665	-0.253892741651071	-0.305682182040708	-0.162639740573117	-0.262597001555917	-0.406180855364755	-0.342162135284299	-0.177868480641964	-0.250562956717097	-0.154822447422374	-0.178791053449853	-0.222808885644532	-0.332994557233526	-0.160851979662622	-0.257379067214152	-0.0663598973266595	-0.253062915219839	-0.270803410702185	-0.0624224923228913	-0.148816205924686
"266812"	0.0111709543572418	-0.0129367474458409	-0.010539658663653	-0.0978528678946272	-0.0144325223446249	-0.0928834714597082	0.00505228184193081	-0.0139737980612597	0.0699432494026406	-0.0941050544123616	-0.0393900199437716	-0.0928362895952595	-0.108867761734885	0.0734599656263701	-0.0190663238528022	-0.0395604837619908	0.028538443889902	0.0418009936675517	-0.0917245090896166	0.0583455167666866	0.0563436493502781	-0.0598548056193773	0.0264880716911	-0.130271242703429	-0.0678116146823658	-0.057633858495472	-0.0647906848904976	0.0187306101387178	-0.0558189020977338	-0.0241702940123442	-0.0953520883412229	-0.0546962930461786	0.0430483955306116	-0.143150935984421	-0.12525203803411	-0.0549313308841854	-0.128781302194021	-0.0922351538096883	0.0310718568547341	-0.04237545157026	-0.0821710431883856	-0.0607277571364855	-0.0448765630047445	-0.0637582173115644	0.0949218120899528	-0.0255924214757255	-0.115948343451672	-0.118955375513563	-0.0719167858513841	-0.0692583592448704	0.0180101888291312	-0.201717101331654	-0.0773858349478507	-0.0704752759500204	-0.0817161188514126	-0.0832838302737286	0.0148107262189555	-0.0309903103714184	-0.191082882262542	-0.0248232590398542	0.0908309811767709	-0.00272862173256059	-0.27492849642287	-0.0328286224188308	-0.081982354752025	-0.0985828274451631
"26245"	0.00470119927432297	0.0139061911881755	-0.00922554633920208	0.0358053646158924	0.0300157722464121	-0.0710348981518665	-0.10077149094967	-0.219664313118258	0.0528497547500841	0.0348565646456934	-0.0659113941041354	-0.0336283976589663	0.026326366997436	0.0557901372889729	0.0244586942491674	-0.0258114292761394	-0.00438005358122679	-0.0691194684816565	-0.0310523381987545	-0.00888352187889286	0.0726282834025257	-0.0255600094828624	0.045918883760212	0.201044665645322	-0.0548979658677359	0.0587387316707941	0.0575045888335212	0.0540661775944609	-0.100087870574601	-0.00484553358395813	-0.0632623868392456	-0.0892990371768048	0.072728836894847	-0.0274375938501201	-0.0719392222443326	0.0998175589897426	0.0810477941259742	-0.0280698678921186	-0.013211631075498	0.0812371230177455	0.0722625532202783	-0.0890247180732977	-0.0990952744733739	-0.088495499813184	0.0269702853115493	-0.0990032998465794	0.0491626885742191	-0.0929840782315655	-0.067994924189107	-0.021836164949572	-0.0568756190908486	0.14192007096392	0.0611311284737856	0.0600392832297898	-0.0958738175978735	-0.00191996657334121	-5.08220331867017E-4	-0.00150272804272031	0.0666790906712738	-0.00182606216286174	-0.0117571589866188	0.0483909478764222	0.0874962086137036	-0.124941640221734	-0.0548143382560822	-0.0719201631745372
