	"ACH.000004"	"ACH.000168"	"ACH.000204"	"ACH.000206"	"ACH.000258"	"ACH.000261"	"ACH.000294"	"ACH.000295"	"ACH.000315"	"ACH.000334"	"ACH.000336"	"ACH.000363"	"ACH.000436"	"ACH.000528"	"ACH.000557"	"ACH.000616"	"ACH.000653"	"ACH.000738"	"ACH.000804"	"ACH.000817"	"ACH.000821"	"ACH.000838"	"ACH.000858"	"ACH.000861"	"ACH.000881"	"ACH.000953"	"ACH.001111"	"ACH.001274"	"ACH.001450"
"10951"	-0.545403107732282	-0.436083116476057	-0.254644644262478	-0.391264427840416	-0.651424282002009	-0.516058734013856	-0.54620363525488	-0.549992383670338	-0.302002322230019	-0.708370166821532	-0.399503767228042	-0.455497429667543	-0.635058535860713	-0.55025247993575	-0.585316363218297	-0.488265098808112	-0.556744380611921	-0.456693371029563	-0.428063778102444	-0.53587216842151	-0.496096793815717	-0.732782747888515	-0.436758862810534	-0.454884591408695	-0.487812064227557	-0.576434599978095	-0.554842517591615	-0.491160076174988	-0.245159341403806
"1294"	-0.392222280254087	-0.163178222312849	-0.158272599879727	-0.0459709702238556	-0.393413793275671	-0.195354130183979	-0.202419477062359	-0.348103144329724	-0.199144525890049	-0.328872584625506	-0.139113188908271	-0.277028873580853	-0.418542032694959	-0.228261537635832	-0.237914660416244	-0.348464717788103	-0.303958991793168	-0.283143281395557	-0.295132331928138	-0.301955899287016	-0.315044205781792	-0.231392509481257	-0.247783505014552	-0.168979291409623	-0.173625690418556	-0.248051195282532	-0.192083341912876	-0.178002238808761	-0.174110178417472
"2044"	-0.209723894317037	-0.0250562429532698	-0.206149946939018	-0.0947462729222695	-0.4438468212024	-0.178764856026695	0.113726093237889	-0.130577160587062	-0.0576376052256774	-0.214405869785795	-0.0925025196358152	-0.269617436629319	-0.31693368892276	-0.261289443339944	-0.179125179517039	-0.17809817280189	-0.229282021146172	-0.188843176173747	-0.336481147760131	-0.103481231366491	-0.228817188741151	-0.267015386647585	-0.164064534569803	-0.257532748842202	-0.151942997682001	-0.417561312440411	-0.0156204088684094	-0.24719539769928	-0.00657119392173956
"342096"	-0.441044391470725	-0.498239136655991	-0.574682125598607	-0.42565400513306	-0.732483044573702	-0.694670909104812	-0.627157525209777	-0.21956400327937	-0.432074059997872	-0.905725768882931	-0.524634106644081	-0.505035019414832	-0.64210576121807	-0.618216798173468	-0.733290839245497	-0.479011545312595	-0.389611653154551	-0.520511115491817	-0.753109170869423	-0.804459868285966	-0.619623821681253	-0.710026253329636	-0.558571331152068	-0.574907680149752	-0.681517363871946	-0.560674936581303	-0.408783225687887	-0.590201948442789	-0.640770218515692
"2958"	-0.895421964707168	-0.826153921182907	-0.924336816150966	-0.859551041717061	-1.13635181973403	-1.07054272157572	-1.0216773127562	-1.1116374305474	-1.33521466588627	-1.29243906905426	-0.474502473413136	-1.01017846963128	-1.02829702592022	-0.977244139754379	-1.21193216050004	-0.975740792348625	-0.912715895911167	-0.978644263630735	-1.06678992088454	-0.913756002356314	-0.812973976467796	-1.24072867839854	-0.927818065789244	-1.01155942893116	-0.999073913698991	-1.01789827108496	-0.881473779545156	-0.911178075850929	-0.922379944635286
"10661"	-0.447671733447243	-0.258486642665417	-0.185612475893934	-0.195026881904746	-0.269517602515932	-0.197876305985184	-0.247132950330556	-0.14251253139056	-0.273610677164076	-0.182334497607744	-0.239526124089827	-0.211608526578039	-0.187141634205607	-0.14196343078985	-0.149422669852523	-0.149112086018698	-0.252924387756702	-0.158158124708715	-0.146507069347446	-0.253228039002281	-0.293097561871658	-0.336422749747269	-0.14194438150675	-0.324541500995603	-0.158999963778407	-0.345099879890599	-0.627819635848921	-0.19943555064322	-0.29978577914251
"83901"	-0.0728185945243821	-0.26246842707897	-0.136771428645849	-0.186340895964421	-0.463812384108464	-0.166679050965659	-0.308640338123079	-0.287995535199899	-0.208100350503156	-0.286288283912089	0.0359911568161937	-0.259740669194481	-0.165542951367073	-0.228303404212482	-0.034998947479059	-0.242906996683397	-0.231790269696572	-0.0755619376893591	-0.202863286595322	-0.265226180931077	-0.342785941674818	-0.398211290235003	-0.145516988756335	-0.217949524275428	-0.221490524880809	-0.0232553622709965	-0.112322421847009	-0.115881068940129	-0.209033267386902
"100505591"	-0.109633067822948	-0.0904478338585335	-0.0482792193503465	-0.0154352685873706	-0.237367063765778	-0.161622892315526	-0.0892984168232606	-0.0204764076732148	-0.264114331144446	-0.402584412871974	-0.208972520160564	-0.320081568243254	-0.268685907069107	-0.201824177666448	-0.1284369840885	-0.143254708140058	-0.304764411236792	-0.221371897145501	-0.142298862913853	-0.286064941153315	-0.631226815623118	-0.419238566369026	-0.166799919018548	-0.160545247384457	-0.167987326653841	-0.214019954005309	-0.328658848568869	-0.129430006436829	-0.113203787595584
"57819"	-1.43778864462864	-1.68023605260836	-1.45787110916555	-1.17627907430015	-1.48662342305329	-1.45590115829613	-1.42257156633886	-1.60148300559148	-1.60818137298872	-1.61224853810607	-1.30664081572663	-1.46730341421823	-1.39582963436577	-1.2645090841354	-1.33188098529855	-1.44063807174858	-1.58786218964419	-1.39095593978133	-1.5639969475	-1.38009701658477	-1.5347252745753	-1.80141438978613	-1.56257216744161	-1.37739354284521	-1.41146547054208	-1.40416928808436	-1.25249713958846	-1.43084279858742	-1.35711666482078
"4331"	-1.02798596282307	-0.989220722124032	-0.868097545116433	-0.447142234025717	-0.919320022090969	-0.875412992805997	-1.11436841967619	-0.959970392773557	-1.15044999758019	-1.15546822098833	-0.903164513546479	-0.995120340461803	-1.09986568122916	-0.843844859597503	-0.674295829493858	-0.972995960110502	-0.990919489114714	-0.870244076165542	-0.927501218032261	-1.13420074340407	-0.932078899102519	-1.15570568422532	-0.861622694919128	-0.828376660224912	-0.865629868216888	-0.760188932793387	-0.776627330144834	-0.787923953563618	-1.01214809467379
