	"ACH.000040"	"ACH.000052"	"ACH.000067"	"ACH.000092"	"ACH.000148"	"ACH.000178"	"ACH.000237"	"ACH.000243"	"ACH.000260"	"ACH.000279"	"ACH.000322"	"ACH.000331"	"ACH.000348"	"ACH.000407"	"ACH.000411"	"ACH.000464"	"ACH.000473"	"ACH.000496"	"ACH.000502"	"ACH.000520"	"ACH.000550"	"ACH.000573"	"ACH.000591"	"ACH.000616"	"ACH.000661"	"ACH.000665"	"ACH.000688"	"ACH.000766"	"ACH.000787"	"ACH.000792"	"ACH.000811"	"ACH.000827"	"ACH.000865"	"ACH.000928"	"ACH.000943"	"ACH.000946"	"ACH.000947"	"ACH.000993"	"ACH.000996"	"ACH.001048"	"ACH.001061"	"ACH.001075"	"ACH.001119"	"ACH.001134"	"ACH.001183"	"ACH.001322"	"ACH.001654"
"10917"	-0.0296187600597162	-0.0364508793857852	-0.259614695785872	0.110669900575626	-0.0775506126166058	-0.0336238796250456	0.0116794451007391	-0.0379408659839849	-0.0620186638208785	-0.0605725701761509	0.0132293950309947	0.043371468786453	-0.0283134830597714	-0.0908571645113996	0.042790036086429	0.0743472539241852	0.0090448422363471	-0.0346270752751943	-0.0454054958087529	-0.117311732989168	0.00196865608392464	-0.0316067048029412	0.0700655780964517	0.127669497665663	-0.0796941650540489	0.0835585705629515	0.0794133685118961	0.0155352446636538	-0.047565151597278	0.0416584137446069	0.0462799905634707	-0.0696979513754482	-0.0906375755158234	-0.0800794952815078	0.13903451393443	-0.00894978929394089	0.0441886576909897	-0.038653576748055	-0.0407209072318067	-0.0899974731884934	-0.0589754540829515	0.0129152022703119	-0.0620945637196226	0.0952321377881166	0.19657962570877	0.135627487514034	0.0396606656406515
"727684"	-0.164154568851567	-0.131867182940717	-0.121618220665013	-0.0287880411512773	-0.0572370339026859	-0.0651983896950596	0.0505471426132424	-0.149447976041456	-0.0916100626814342	-0.0204952624319811	0.0203093640598352	-0.0040189802771265	-0.102302886904187	-0.0481625393998528	-0.0393713029099562	-0.0209895567901061	0.0659853184890182	0.0125890548237228	-0.124754495196895	-0.00419751223190493	-0.17176302764372	0.0553733555055395	-0.0867216294117868	0.0821100558929794	0.00274605541801965	0.0281346865988277	-0.0649386588985563	-0.0964212984382744	-0.0394426896672296	-0.0309997730735227	-0.105058237199524	0.0303110695797674	-0.0387660431171684	-0.096789866881165	-0.0173289893050379	0.0194863381278377	-0.0388243021518649	-0.0743294036537841	0.0185425482978998	-0.124793312249846	-0.0353234415377833	-0.0565039225784099	0.0767105325984777	-0.0238978441969062	0.0305513442094316	0.0152152564882865	-0.149975407387113
"27128"	-0.0252392811003463	-0.136532967824592	-0.0996829257954258	-0.226274864779792	-0.0450887353427092	-0.0528228049948308	-0.0308390939954962	-0.184846204609496	-0.159073717905669	-0.0764172515727747	-0.0948579495977204	0.159774599344741	-0.0708745815420433	-0.0846639374412096	-0.0120762359756701	-0.142472038571978	-0.0236598017153442	0.0160738569649703	-0.141991779441667	-0.0431644527050916	-0.111464759568382	-0.163954483464067	-0.201537624550015	-0.0862829560077447	-0.054179860471551	-0.180953222651177	-0.143356695528886	-0.115623196061676	-0.243232616040222	-0.0454185051261617	-0.094345456369863	-0.184891222139971	-0.150072947226932	-0.108644857752761	-0.100330500187296	-0.00486813871336739	-0.118248549022001	-0.0118104737871531	-0.0220061176515969	-0.0699164313250112	-0.14641830594154	-0.0902216369165027	0.0059382341711449	-0.0479953189617472	-0.14635736893833	-0.0851531668830943	-0.148617975314514
"51163"	-1.32647701376214	-1.55632818484746	-1.36213482510406	-1.42511165993025	-1.61772893024233	-1.3982628074436	-1.64763215155748	-1.53053320131199	-1.52733611067279	-1.59456481675896	-1.16248007012697	-1.48834998473871	-1.73218618115336	-1.34017879693652	-1.4824681782358	-1.38220211446171	-1.52194182496811	-1.59589387318713	-1.49915579756288	-1.38708987595779	-1.55015397118398	-1.6973252291034	-1.25508272920273	-1.28036457324018	-1.84038831111841	-1.43344862117152	-1.47978043171315	-1.36483149185671	-1.53477134617077	-1.61430519774012	-1.54337116083053	-1.52223872920199	-1.32017854656833	-1.31364704885182	-1.62200690214736	-1.38833386412158	-1.42461329167113	-1.58051509547134	-1.22837153669881	-1.54813016574905	-1.50152252880419	-1.58703723156185	-1.55982589805205	-1.32781618698361	-1.31716103449537	-1.46970306012268	-1.52735772516566
"1984"	-0.952532350992848	-0.852658898681347	-1.16449650197945	-0.69507396088259	-0.699591626138106	-0.892700746264769	-0.724749471291991	-0.826528388648795	-0.854137350288201	-0.948233558428433	-0.852704028793777	-0.918732080933833	-0.473381767650605	-0.866825021284868	-0.618372086502853	-0.723966896715595	-0.972588269475969	-1.10343817061866	-0.81390934169854	-0.596957660963046	-0.796583747259152	-0.841554985789487	-0.885251988975334	-0.882402559752402	-0.773300574166536	-0.648670651208524	-0.714666757461748	-0.795597538840253	-0.74167464283122	-0.787847775458272	-0.701463021458724	-0.939508089497108	-0.802389187647104	-0.634704767819615	-0.813756455727842	-0.883886186247168	-0.693207893165881	-0.713479350295433	-0.609824973703285	-0.808657464129366	-0.813252923375667	-0.85879185978947	-0.63039887615016	-0.797067162429432	-0.948164287361681	-0.827641963560762	-0.761970373096353
"150280"	-0.0247881205898215	-0.146825420521582	-0.0483616857106069	-0.154215342463679	-0.0156759629896008	-0.0844241375090396	-0.0551658468712051	-0.15913931667116	-0.0780408947004763	-0.0648311758317517	-0.117927413367156	0.0429549222693823	-0.0727468566182024	-0.136525254427118	-0.0197974904634512	-0.0891447620202104	-0.0196864997890248	0.0983464705345166	-0.156532014344494	-0.00771799761945008	-0.0594673147278363	-0.0893020732650208	-0.114463025073364	-0.152096257593423	-0.0975023877926714	-0.151399777178262	-0.0863762195640727	-0.0122741951006234	-0.167284979228406	0.0330634708774012	-0.0650943018732246	-0.0501731652990001	0.0290373251482366	-0.0962654191989485	-0.141929374980863	-0.0465430154768809	-0.0565960816781933	-0.044755750139626	-0.0320068534729145	-0.0660507082509146	-0.0309730426121205	0.0320881588872096	-0.110383298895641	-0.108420332647021	-0.151223873883634	-0.109487640279327	-0.157664263529692
"3336"	-1.4275875580228	-1.50805704463679	-1.65699138185736	-1.51899289483896	-1.91115211275623	-1.63591933033995	-1.57833847579742	-1.61351483771198	-1.67825901793774	-1.60268760167406	-1.33164519467692	-1.71434377959135	-2.09980316591177	-1.34765131934104	-1.56855098696612	-1.5550942521786	-1.68410759477086	-1.70597939795458	-1.47504707863518	-1.6585742178366	-1.75423325995909	-1.87686860034073	-1.35774333424165	-1.51859080999843	-1.89991721629135	-1.43692424807462	-1.5508542636598	-1.73935287055251	-1.67387551103201	-1.74648847509011	-1.48834526124207	-1.55359371408146	-1.6139939234561	-1.82713314581506	-1.68969455476768	-1.40163522678212	-1.60415809193857	-1.47071937040578	-1.38707600800928	-1.59263824842835	-1.51697064047667	-1.55096201803367	-1.49992867929077	-1.48818886523725	-1.62550303690116	-1.46911431516983	-1.71917323296318
"3749"	-0.341476050963124	-0.198162338470866	-0.513368465229498	-0.406654546810248	-0.164870195830112	-0.192106403068983	-0.0871803263263261	-0.168357122160155	-0.287300662809265	-0.201133656843375	-0.198719016295127	-0.261013044453784	-0.221352990360009	-0.23627411810255	-0.26585871912095	-0.201876031428683	-0.0718687280117625	-0.438964130273447	-0.223885577100176	-0.229585486785707	-0.281256661586413	-0.172050225809652	-0.368215394471448	-0.277307654862103	-0.219916060614794	-0.271950256160929	-0.311632135992243	-0.318446112913811	-0.238778081099572	-0.138479690744465	-0.177820606883173	-0.227086701754212	-0.196614939704094	-0.178509299877277	-0.199023884642913	-0.16397789603639	-0.201079988767127	-0.260103415050133	-0.125548723014119	-0.250590689462131	-0.302672757135441	-0.313395395099327	-0.230997348571472	-0.20418208806647	-0.322709956486253	-0.508812611968589	-0.251267639454676
"4215"	-0.133012118747296	-0.269658186639952	-0.187484088387113	-0.147431624546474	-0.128017482052949	0.0338076099446857	-0.092917857654152	-0.265036066980437	-0.203893733437587	-0.100013604627065	0.117107750456091	-0.0544976755201549	-0.165289329518435	-0.221526596630802	-0.198822764807228	-0.0850439529631781	-0.107373171490687	-0.114125878480834	-0.0945106625117144	-0.0427700839766225	-0.266126063941391	-0.126753483479433	-0.297572465017674	-0.107737137424733	0.0848230325233087	-0.11862293945979	-0.0987887837836778	-0.234936096864148	-0.109259070882368	-0.139162695472087	-0.292371125822155	-0.0869932285942364	-0.09632866205293	-0.11767492503757	-0.0898766624749297	-0.0979325199192512	-0.0645291929353812	-0.0394945724543568	-0.131024583088771	-0.175032462071874	-0.105752841692421	-0.117791136365368	-0.174485203137984	-0.153170593693995	-0.233382225214793	-0.139547170235607	-0.320034820721711
"56339"	-0.897205831210756	-0.705633341647289	-0.816397631234319	-0.75256639885684	-0.76055449080343	-0.771143684205989	-0.4740911652112	-0.873155077114186	-0.697167439600078	-0.848401182702832	-0.788046130280722	-0.851246602594361	-0.715900399674231	-0.677859784416203	-0.899305142701762	-0.672000127330082	-0.581517417075882	-0.816985237194514	-0.791502685561469	-0.571967737368997	-0.7044880096936	-0.783845019177728	-0.972497906974354	-0.596129122163438	-0.827808988229472	-0.986254312610657	-0.617202006156762	-0.47155017233618	-0.972885204787283	-0.903047729652601	-0.589609738938123	-0.799157967867686	-0.763351394836452	-0.857508872576759	-0.891801290203314	-0.981597817993517	-0.647410097122959	-0.479490176330165	-0.718210888442699	-0.818643271634339	-0.802704556898345	-0.763967028009792	-0.914449831213989	-0.770758089104741	-0.530492260355079	-0.896389258346432	-0.959938912281173
