	"ACH.000018"	"ACH.000040"	"ACH.000045"	"ACH.000092"	"ACH.000095"	"ACH.000098"	"ACH.000118"	"ACH.000120"	"ACH.000132"	"ACH.000133"	"ACH.000137"	"ACH.000142"	"ACH.000143"	"ACH.000163"	"ACH.000215"	"ACH.000226"	"ACH.000227"	"ACH.000231"	"ACH.000235"	"ACH.000259"	"ACH.000278"	"ACH.000311"	"ACH.000320"	"ACH.000322"	"ACH.000348"	"ACH.000368"	"ACH.000376"	"ACH.000381"	"ACH.000389"	"ACH.000393"	"ACH.000396"	"ACH.000403"	"ACH.000416"	"ACH.000425"	"ACH.000436"	"ACH.000450"	"ACH.000466"	"ACH.000467"	"ACH.000475"	"ACH.000476"	"ACH.000495"	"ACH.000512"	"ACH.000517"	"ACH.000522"	"ACH.000570"	"ACH.000623"	"ACH.000637"	"ACH.000648"	"ACH.000653"	"ACH.000657"	"ACH.000658"	"ACH.000661"	"ACH.000665"	"ACH.000671"	"ACH.000684"	"ACH.000699"	"ACH.000706"	"ACH.000718"	"ACH.000720"	"ACH.000736"	"ACH.000738"	"ACH.000762"	"ACH.000766"	"ACH.000768"	"ACH.000776"	"ACH.000782"	"ACH.000792"	"ACH.000796"	"ACH.000804"	"ACH.000817"	"ACH.000821"	"ACH.000823"	"ACH.000824"	"ACH.000833"	"ACH.000851"	"ACH.000866"	"ACH.000881"	"ACH.000882"	"ACH.000885"	"ACH.000887"	"ACH.000889"	"ACH.000898"	"ACH.000913"	"ACH.000917"	"ACH.000926"	"ACH.000932"	"ACH.000935"	"ACH.000938"	"ACH.000941"	"ACH.000950"	"ACH.000953"	"ACH.000954"	"ACH.000957"	"ACH.000994"	"ACH.001001"	"ACH.001028"	"ACH.001050"	"ACH.001053"	"ACH.001151"	"ACH.001164"	"ACH.001239"	"ACH.001368"	"ACH.001500"	"ACH.001554"	"ACH.001654"	"ACH.001765"
"54443"	-0.600461532803153	-0.102888660387895	-0.477134178540157	-0.48230214668608	-0.143018875364889	-0.505051472558937	-0.636711656425288	-0.551398815575522	-0.40073339347232	-0.26031342687638	-0.517204593531385	-0.318314995838767	-0.46556909548387	-0.157065532672089	-0.234145093022754	-0.338638196512959	-0.622475252984278	-0.440680373773615	-0.478812283257391	-0.54469065679828	-0.590801890564038	-0.314475760437735	-0.548704790718304	-0.404985314763736	-0.0819517151469167	-0.218977260828079	-0.42726683600666	-0.31902870338604	-0.35328986497884	-0.629394656075958	-0.233113877211264	-0.0745842291001916	-0.699268674945049	-0.485910957211501	-0.58141286394274	-0.269368761730838	-0.589050097472117	-0.484836600881477	-0.353641300840675	-0.320216367402667	-0.267656448565823	-0.135742036364774	-0.178833503352843	-0.484543065294461	-0.446543964159135	-0.379000882508303	-0.557536603443955	-0.208845504321701	-0.194586503926943	-0.483874444138186	-0.475809956781304	-0.292161945741612	-0.199277156686195	-0.116747283937295	-0.353948676078699	-0.681204694327545	-0.481922341549222	-0.227780832220303	-0.451251247639421	-0.471489610207734	-0.244769769064529	-0.460167105818365	-0.381473951448635	-0.361497133907092	-0.41816482483904	-0.561904511472674	-0.221708998584187	-0.516998258649936	-0.284124060838174	-0.130955896822699	-0.162346880871123	-0.379414968055968	-0.683899662507363	-0.33655534838645	-0.614728516493333	-0.271183262299149	-0.425794226051197	-0.267619367821036	-0.595783312449212	-0.490720717772652	-0.117852103873659	-0.231094613082796	-0.56785238051829	-0.245180143646314	-0.273240822471688	-0.385400671522541	-0.0855478608523395	-0.473299240749317	-0.511895442665752	-0.578026523316827	-0.0153256491913828	-0.508551674341209	-0.487626511932398	-0.393927352983483	-0.413954528384214	-0.620576722416763	-0.399903515642801	-0.346100023989154	-0.386500917998631	-0.404143737707495	-0.198988123721149	-0.214199846884402	-0.498221487516858	-0.426182244046358	-0.49548087271796	-0.27467472989688
"699"	-0.590285172469665	-0.577510600910115	-0.405796778056886	-0.534349047771522	-0.571651117100481	-0.718725187178425	-0.593316555097401	-0.69622491244677	-0.79909633319402	-0.68056196995473	-0.764583026509447	-0.629328017961856	-0.690698458773526	-0.507823701394711	-0.61504658130045	-0.569802099574391	-0.50701395069131	-0.70009840501003	-0.451144302040655	-0.820683922939917	-0.626771587555772	-0.523030225102361	-0.574416060336295	-0.700663661790227	-0.3857259435613	-0.561109102831237	-0.558731606086855	-0.491706268261172	-0.517135797544013	-0.702506752769449	-0.756900077747602	-0.580311523574738	-0.523121006424792	-0.554214080757658	-0.509627540381431	-0.660661579158073	-0.604150965251496	-0.544049144134975	-0.511250327477948	-0.481490438223692	-0.968327138182089	-0.473075280477323	-0.553482428496308	-0.532013139816098	-0.612755043719679	-0.501097281725679	-0.78117548156154	-0.672033810447162	-0.627880638647738	-0.584395573133154	-0.375984519729765	-0.704810816685844	-0.776054285526308	-0.301154601091953	-0.732871838108437	-0.674189804982621	-0.749598984561523	-0.445205897848268	-0.667925826519727	-0.536863494120305	-0.576709521189563	-0.547904678130458	-0.615667301506201	-0.653724724523462	-0.522455666293626	-0.680561034194926	-0.520438703147049	-0.536987684067795	-0.42860389257696	-0.527253676302607	-0.647799200950269	-0.630572063341037	-0.38510978665888	-0.532785172702432	-0.666266308733808	-0.492116853891146	-0.574575506620567	-0.476204664080359	-0.60065207675104	-0.598085341813432	-0.247315717251875	-0.641470196198497	-0.372275847314345	-0.46100262351381	-0.433582497293175	-0.559464801922562	-0.579610302342734	-0.605531180841904	-0.974713314038086	-0.39332305076216	-0.248256499249881	-0.738687334148908	-0.776446075997841	-0.615377428965665	-0.587855370771646	-0.546753941410273	-0.656533385037487	-0.475551139428349	-0.480189080180951	-0.669848883802483	-0.61110815199076	-0.55710039633479	-0.619482911683318	-0.589643535459923	-0.595551905721437	-0.339092851484871
"705"	-1.12153499455896	-0.811826768837663	-1.12066710292451	-0.949307619062872	-1.11448293394291	-1.03648157827464	-1.11758219456928	-0.980475507747768	-0.920691444261958	-0.793079877480252	-0.975184915248546	-1.12487939287056	-1.0212307493695	-1.10996833438072	-0.851386677614089	-0.821208671025896	-0.789003293667042	-0.964688386964484	-1.08515350112595	-1.07907956821889	-0.849319775860234	-0.977119151415514	-1.11354022960286	-0.922550214163789	-0.908413540648579	-1.08304113989933	-0.960943893278442	-0.849531252406544	-1.0146452188115	-1.0946782799866	-1.11927573016142	-0.992786797186127	-1.1204833144372	-0.997541560544951	-1.05074095422913	-0.834569261537425	-1.22352726748018	-0.889154355385055	-1.03901774909445	-1.14882507523883	-0.806602776702936	-1.03717521262413	-1.07525837827208	-1.16246999284553	-0.880542508724332	-1.00606644733065	-1.22993239776003	-0.952273844291876	-0.957087219394259	-0.921875341555505	-0.952837051043681	-1.1096617847552	-1.08525666385009	-1.17019450675817	-1.07426469505365	-0.806497046956275	-1.2152443474812	-0.958906624694232	-0.855215402394364	-0.79088929146726	-1.117446647579	-1.02498399171428	-1.13182578100885	-0.705450026991474	-1.03167255907181	-0.996451158472238	-0.60756741013386	-0.846505931231956	-0.964588237756291	-1.29104039843624	-1.03590106970448	-0.934873459637303	-1.06464477086128	-1.13269367809739	-0.919753791065482	-0.947033740938608	-0.970634179335924	-1.11504295396943	-0.792370837886682	-0.863844502483564	-0.925105809614154	-1.03252536720855	-0.870850125408202	-1.05092659628814	-0.882344496815118	-0.955888991597763	-1.13795418214932	-1.05932897806761	-1.06516739635506	-1.25054909311391	-0.773923729823765	-0.924021117882612	-1.01886247359489	-0.989183428729962	-0.805012679141035	-1.06917424423635	-1.15785317813452	-1.00710021862589	-1.03597521164329	-0.741789550072757	-1.04554249664665	-1.01599621631049	-1.01498376132725	-0.85313055215266	-1.30539668973214	-1.00625443402912
"151903"	-0.121012220159136	-0.118294118301123	-0.07609505192114	-0.253519037064967	-0.144137824262798	-0.156003359179072	-0.45909234705845	-0.148491216470195	-0.101377798627323	-0.295964315332676	-0.432129173418189	-0.21748289820259	-0.546699169231451	-0.110722173547614	-0.243392935383575	-0.433447592485559	-0.218710501985767	-0.233121948750521	-0.262039082966488	-0.362992198808487	-0.562409555823131	-0.137824787142462	-0.10523268162051	-0.455469380805441	-0.196526489709855	-0.246160603442873	-0.165968478193409	-0.277736487683758	-0.495884701606856	-0.369215094348409	-0.137725663754634	-0.21951222397628	-0.181626037691186	-0.433414746000367	-0.122841340441453	-0.250974581374134	-0.183759869242533	-0.183781982663216	-0.263219005605855	-0.209740716838536	-0.724199487683328	0.1457694938058	-0.196417522031467	-0.0459819594549265	-0.0514231731894773	-0.115575950306752	-0.428757412984644	-0.258692030368697	-0.324062934875936	-0.344060233362304	-0.101520927594089	-0.158033269822449	-0.475273554466169	-0.270510393505464	-0.366240115480819	-0.475454521032026	-0.157752261317965	-0.283467297432556	-0.235311005584334	-0.424396351194331	-0.205293927758148	-0.406630438522313	-0.3471693664121	-0.45879801281632	-0.377096322187844	-0.123750856724305	-0.334347557336339	-0.0644106418100312	-0.198423366590052	-0.310171918324689	-0.188280822357306	-0.423164177968035	-0.32986927685479	-0.306053177283803	-0.406230184318835	-0.236167589148824	-0.236302027673532	-0.418596419894642	-0.141941092723458	-0.444501252773391	-0.154960061016335	-0.398012018755861	-0.302464237223109	-0.557154213656221	-0.267204931077067	-0.294257882152927	-0.2068438422597	-0.290756821349436	-0.192272639818203	-0.337145318822433	-0.119672253286634	-0.0677617562089822	-0.274583859060244	-0.191400074012339	-0.118379986469694	-0.154844185093463	-0.189392905678424	-0.281376599979569	-0.227586458088191	-0.0764438703187185	-0.364721880992313	-0.351454004264869	-0.153906073132892	-0.310070247710722	-0.318673302675914	-0.3012881443377
"64793"	-0.436836064293972	-0.536740465172397	-0.357121589330384	-0.348390167999414	-0.512216525960056	-0.414072351539176	-0.378837397989783	-0.55164357013491	-0.281736609945904	-0.223343715804156	-0.589530058472134	-0.283090455897574	-0.576567466207592	-0.39293465477341	-0.238442535914317	-0.545895589167776	-0.359413026459834	-0.199336450056609	-0.528323486919269	-0.50297277649764	-0.341371848383273	-0.4336925993924	-0.484500873698264	-0.466183968672189	-0.483108068992369	-0.263899365354271	-0.371156814132455	-0.28536460290553	-0.484988596256953	-0.593720726954393	-0.509287699404937	-0.29036404525659	-0.275891047588275	-0.51514848181884	-0.534549534322502	-0.237547934501755	-0.563162136069458	-0.402033204852394	-0.555699506584428	-0.475687346945765	-0.437205246755681	-0.0765043896560909	-0.706288246782618	-0.461321185321875	-0.515946397528505	-0.360705984060336	-0.390836877874635	-0.415970726935874	-0.340439554399404	-0.494636761758849	-0.295543241293032	-0.449606490070374	-0.49964007218512	-0.389939982727233	-0.293318090569435	-0.434330169692283	-0.550082324956207	-0.253387528052996	-0.335411717824653	-0.261736939421355	-0.376436003228765	-0.340432047001456	-0.423001072268389	-0.162401172506891	-0.438354677201682	-0.592199963530969	-0.355683738455385	-0.409653865326158	-0.641804578470927	-0.376689597024239	-0.404450324312412	-0.354230317816878	-0.423658158631078	-0.358342049953407	-0.590618790452009	-0.355287179449763	-0.423618856075494	-0.528525893708744	-0.426260300709401	-0.571071514232738	-0.232203593418091	-0.463540457010892	-0.11486279019742	-0.205295878076625	-0.308924949851682	-0.417776273057224	-0.381863923714879	-0.491898723847062	-0.416117728900475	-0.507513135173805	-0.384567269376609	-0.724016710795207	-0.226158911305758	-0.473050804133709	-0.463990246333055	-0.378797703991425	-0.408442923006783	-0.472307315488705	-0.389501407079791	-0.481961959313573	-0.407144523264717	-0.626626769135557	-0.319227136381027	-0.413872643892297	-0.518994235093383	-0.442337489803775
"54883"	-0.303617451591818	-0.341005750344175	-0.271955319551281	-0.317306065306352	-0.221887991575369	-0.327468630522612	-0.418640952101141	-0.135890525971976	-0.393414696970243	-0.297152420304356	-0.543512572458023	-0.408830970817984	-0.3603195370634	-0.374265072590964	-0.181380831316867	-0.378351279863099	-0.193728897392291	-0.548189375610099	-0.400484228763979	-0.378693827480898	-0.418808701144015	-0.252709231057325	-0.248989898196543	-0.339175371528599	-0.354300780968977	-0.365703019078385	-0.161419621646705	-0.43084065496502	-0.365726993010107	-0.419295509380065	-0.386797393603517	-0.235683176988589	-0.415855350217738	-0.354734797937915	-0.444243388596594	-0.169197564905214	-0.433587651019121	-0.300369345887422	-0.346207537422913	-0.366315031618716	-0.248618277575971	-0.271342387467668	-0.242273241234791	-0.363947081996878	-0.3207254378529	-0.249697007755874	-0.545796188227542	-0.378369223381542	-0.402798694942338	-0.484241337885859	-0.300948291730483	-0.398523547101484	-0.382915374815411	-0.244199265505946	-0.254907947890102	-0.608712690883157	-0.39180800509315	-0.229083536202906	-0.426450700636599	-0.450711558290712	-0.29244139665316	-0.406031213821009	-0.542788917799508	-0.378151079340438	-0.259349628668279	-0.391203294632274	-0.306088137491711	-0.290758272604415	-0.435235614023659	-0.340097507493718	-0.356165048457688	-0.323847809406444	-0.396428816667797	-0.29515944340457	-0.388612600924522	-0.370784976478366	-0.236691873683747	-0.272634468816268	-0.241175058140536	-0.394756246797994	-0.229031144739074	-0.364182181553456	-0.39184862080571	-0.487350026427381	-0.2505740394608	-0.558135695686217	-0.263902540661603	-0.374907751555412	-0.294386819279953	-0.369157529598441	-0.328825204836581	-0.0189203781869247	-0.283873305071024	-0.0809003150720271	-0.203373558353477	-0.403324480530351	-0.338487401172882	-0.128643551552436	-0.341572038598271	-0.356592952480876	-0.302608764310071	-0.382260626467497	-0.229697916714543	-0.306391916845827	-0.377919888920171	-0.380444716280716
"1639"	-0.301440340853713	-0.435385177227531	-0.274868906931779	-0.573992922969302	-0.406536981017292	-0.518172413666486	-0.308000708189365	-0.352769396511468	-0.328643944814665	-0.457264460911715	-0.557424329818459	-0.379386060546417	-0.404399003122582	-0.272050779819224	-0.346880013847611	-0.471525307807094	-0.492734807344626	-0.612700666146999	-0.420537296845535	-0.458629467992045	-0.541962352127396	-0.345578862772088	-0.417876192618041	-0.537281733086507	-0.375152483418118	-0.378644544139756	-0.323665079244812	-0.521652011829593	-0.317858347378509	-0.550672619005644	-0.373945253559561	-0.416146228573441	-0.473501953640525	-0.405527727712995	-0.261688012315102	-0.573771098166953	-0.548472710638361	-0.486987234615907	-0.366147761492171	-0.356524166350757	-0.476556854700777	-0.297084149239713	-0.489783151884354	-0.378419091299213	-0.595111762803753	-0.462103062768159	-0.556305194992899	-0.426893833845327	-0.452218412714833	-0.459469777122097	-0.288149023003625	-0.397376288052387	-0.54202165104559	-0.302945430486892	-0.48750745088119	-0.569381960386898	-0.499609126854029	-0.384958362496459	-0.337244521698895	-0.553336859404027	-0.328585822496979	-0.390413257566028	-0.605387943980763	-0.53970002441519	-0.218766410441159	-0.485016422738292	-0.51709658705155	-0.588493542320106	-0.470229632001521	-0.34609178513709	-0.242319753125824	-0.363896394831673	-0.189836306218951	-0.292748828886473	-0.555081735696303	-0.39775210769767	-0.439901956603807	-0.448844242847213	-0.536660168911196	-0.411575096339825	-0.307583056941143	-0.266735565646483	-0.452658079284947	-0.552571423152888	-0.40466428828842	-0.375266727819739	-0.417555540755002	-0.426174455933549	-0.429031089738531	-0.474348362256919	-0.156491682004161	-0.507161234516465	-0.387316166271662	-0.904814015806602	-0.522868933367148	-0.265350218883109	-0.281686178873884	-0.250052062035278	-0.478732403501484	-0.285271017597848	-0.468471406877967	-0.295954762766297	-0.439352733785121	-0.45410748975005	-0.320816763762957	-0.189296742280533
"11056"	-0.533045511538753	-0.542619405120272	-0.325631675723696	-0.53930325543719	-0.218580375766031	-0.449555087889859	-0.302083039915183	-0.418871129050905	-0.52635010873955	-0.3998116906774	-0.364172555364476	-0.564732856804679	-0.441032363351991	-0.395988713737003	-0.293368315243863	-0.352572467908671	-0.403515746171907	-0.521535420865347	-0.419792477920224	-0.472130584008032	-0.610862937675191	-0.382716729249042	-0.375685085333363	-0.41290127830603	-0.496637660470117	-0.386123177509629	-0.273656777753399	-0.410437234872785	-0.434400201194418	-0.523828192405471	-0.342538669715239	-0.337533878515338	-0.480009853356783	-0.436047449491831	-0.346303431379395	-0.468557889752227	-0.477633858659276	-0.373184290608382	-0.286715460337947	-0.369135771050492	-0.235528834393503	-0.255766462561495	-0.539345394602219	-0.46627713163989	-0.621165894577009	-0.440994991694253	-0.52129567610819	-0.569427282261217	-0.288256474507741	-0.433348186121451	-0.341463969530987	-0.379704242121218	-0.423829171364452	-0.334291006894062	-0.504701217787296	-0.499381814988943	-0.469384032185912	-0.280911908212736	-0.572333989334536	-0.374568953175298	-0.319035809389358	-0.442078557749638	-0.477015606984651	-0.458437065137595	-0.292453933996115	-0.320678367882962	-0.475951019893149	-0.250211986111195	-0.332265039121862	-0.515695243009207	-0.309065419668655	-0.435424568588506	-0.345272140124502	-0.411477545835726	-0.402910086261597	-0.317858419757431	-0.33562783531109	-0.391043199863166	-0.431060622129196	-0.514344873329851	-0.177927267019446	-0.483211201645659	-0.46921433922961	-0.412259180536514	-0.413985151600461	-0.456344205163185	-0.323686209908426	-0.254717647308336	-0.226087162709548	-0.467202670722479	-0.123073726952775	-0.654680854884	-0.333751286654438	-0.251360830027286	-0.493343515795537	-0.317049312051355	-0.442968842882361	-0.342728959642596	-0.395761467676041	-0.360126448900919	-0.355897205818865	-0.383435519657089	-0.4148344795741	-0.395278310308832	-0.367561931721093	-0.237894305671366
"1659"	-0.916994366643843	-1.13711436434641	-1.18982501642642	-0.973109470511792	-0.897192328950587	-0.833021989242943	-1.28526477300609	-1.20770733514309	-1.12647566610458	-1.19653628875784	-1.05114468356977	-1.02443414680462	-1.12729068781042	-1.08986785919221	-0.944390679751377	-1.23455539759079	-1.26023759107981	-1.18020700824318	-1.1345316998455	-1.13808028972076	-1.33313528594728	-1.04699882514231	-1.2933818689952	-1.23939246648045	-1.1040858937003	-1.15245830709115	-0.89824393824812	-1.00844305938977	-1.0992801912156	-0.989090303849532	-1.00055803488441	-1.12195168266827	-1.39728910706834	-1.08592395561442	-1.21106665189068	-0.963326454920743	-0.961467995131315	-1.26198286063404	-1.15651201738693	-0.954666906530637	-1.00012581891198	-0.863929677289794	-1.13742933655044	-1.06349019073234	-1.08376585924509	-0.945924540235474	-1.57322420869672	-1.01282708194671	-1.09783695370842	-1.26278652543416	-1.11890032628497	-0.928840814777291	-1.02679186631571	-1.38543092321673	-1.05269034301701	-1.52389066042743	-1.01307293445394	-1.29202487130089	-1.19731821990829	-1.24029908677031	-1.00902699399863	-1.14340983038512	-1.06944840064613	-1.16741824298868	-1.10191388231641	-1.21226201936763	-1.25744643077741	-1.20833293102379	-1.21861103334766	-1.07305356927139	-0.884814195060368	-1.16850152753518	-1.08515826914458	-0.937525282088711	-1.02434105003404	-1.20515615565914	-1.21595196318643	-1.15841328970079	-1.20692632289455	-1.09291149503619	-1.14317339585735	-1.25898873075497	-1.08044192134967	-1.20747358227486	-1.1117475595343	-1.34225926578913	-1.12804993291178	-1.07353823579078	-1.08705564280867	-1.17078183644175	-1.01621788831273	-1.24105589784602	-1.05862726859583	-0.928689273599291	-1.12546915151121	-1.16662393937978	-1.05862464699749	-1.10600119265461	-1.15174798027864	-1.14007625464428	-1.06370928961771	-1.20413296634662	-1.2039963118447	-1.43133264901723	-1.03071268289776	-0.966009079036677
"9570"	-0.584254328749217	-0.816763466281847	-0.742615548759521	-0.872074401794806	-0.633222005659231	-0.777016435675051	-0.71681171426976	-0.741252157934944	-0.827691193828276	-0.667910784178381	-0.565875219318906	-0.707618761014339	-0.737554881551367	-0.684793956864414	-0.508790326541619	-0.746455099584882	-0.670919130126847	-0.838476453964819	-0.468273531802454	-0.594448476600061	-0.639532716884094	-0.52710131048564	-0.679496210425522	-0.747596054639925	-0.593600635397981	-0.585530112916067	-0.871145483550781	-0.791465209575844	-0.675241704442466	-0.677455449137852	-0.733544447101434	-0.877826902444965	-0.663267127132814	-0.600459889106054	-0.758606210180882	-0.741796929776087	-0.461523116733466	-0.900950028297425	-0.653464007352596	-0.707068244702839	-0.80440543873192	-0.603912841996966	-0.745582328906331	-0.634471636141741	-0.662516585093409	-0.836894648087261	-0.812229636680521	-0.770444900793495	-0.62487351142811	-0.732438012109048	-0.779260713427114	-0.59714608511609	-0.665566748807764	-0.667585642518061	-0.766193850776963	-0.804620501141289	-0.684985685319605	-0.935219621950575	-0.698569619347522	-0.561510655571466	-0.612804584328147	-0.777099724599304	-0.68626610930244	-0.820551351682278	-0.743640007419691	-0.705409941914858	-0.744492828918134	-0.856986669276636	-0.640924518734634	-0.710218888777526	-0.730757365370454	-0.835821016095399	-0.649023255780917	-0.606534774891879	-0.701313398764244	-0.679038079075243	-0.806284076297706	-0.54937736253154	-0.779748779567795	-0.764196666856104	-0.62732093308607	-0.58238625412324	-0.666030972244553	-0.764805208426035	-0.817709736421208	-0.82866614886722	-0.589661460216295	-0.491045607680535	-0.697330437165477	-0.929506374554973	-0.462796272851938	-0.842564444187327	-0.937907774701219	-0.573426966733674	-0.760452077967834	-0.689823984608973	-0.742631507920789	-0.657103203167206	-0.775007430851502	-0.928914375453737	-0.713869739719169	-0.796807496116085	-0.801007533902035	-0.660450635923086	-0.466630517925594	-0.603801957290267
