	"ACH.000018"	"ACH.000025"	"ACH.000040"	"ACH.000053"	"ACH.000098"	"ACH.000148"	"ACH.000160"	"ACH.000163"	"ACH.000222"	"ACH.000235"	"ACH.000237"	"ACH.000253"	"ACH.000260"	"ACH.000261"	"ACH.000274"	"ACH.000277"	"ACH.000288"	"ACH.000293"	"ACH.000318"	"ACH.000319"	"ACH.000335"	"ACH.000339"	"ACH.000352"	"ACH.000356"	"ACH.000361"	"ACH.000376"	"ACH.000393"	"ACH.000406"	"ACH.000414"	"ACH.000415"	"ACH.000421"	"ACH.000452"	"ACH.000472"	"ACH.000475"	"ACH.000476"	"ACH.000486"	"ACH.000487"	"ACH.000505"	"ACH.000517"	"ACH.000521"	"ACH.000528"	"ACH.000544"	"ACH.000548"	"ACH.000550"	"ACH.000570"	"ACH.000576"	"ACH.000588"	"ACH.000601"	"ACH.000618"	"ACH.000632"	"ACH.000637"	"ACH.000638"	"ACH.000647"	"ACH.000649"	"ACH.000651"	"ACH.000657"	"ACH.000661"	"ACH.000665"	"ACH.000681"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000706"	"ACH.000720"	"ACH.000747"	"ACH.000764"	"ACH.000765"	"ACH.000769"	"ACH.000771"	"ACH.000777"	"ACH.000787"	"ACH.000792"	"ACH.000804"	"ACH.000809"	"ACH.000823"	"ACH.000824"	"ACH.000831"	"ACH.000834"	"ACH.000837"	"ACH.000843"	"ACH.000851"	"ACH.000866"	"ACH.000881"	"ACH.000884"	"ACH.000885"	"ACH.000901"	"ACH.000906"	"ACH.000911"	"ACH.000929"	"ACH.000946"	"ACH.000958"	"ACH.000996"	"ACH.001061"	"ACH.001151"	"ACH.001306"	"ACH.001391"	"ACH.001523"	"ACH.001550"	"ACH.001654"	"ACH.001735"
"6059"	-0.724960072157354	-0.857753975133023	-0.823124557412044	-0.83415237704496	-1.14790073880646	-0.863600234797168	-0.900395883921734	-0.789113182796915	-0.936333660805596	-0.850312054838866	-0.745343392550757	-0.808657301363863	-0.837679587274356	-0.900143621404536	-0.951686960157886	-0.694523572206144	-0.902159697732101	-0.734661145450999	-0.684229494426292	-0.837885969788718	-0.626548493276802	-0.889564854785705	-0.774656792271659	-0.900747765913607	-0.88314505435231	-0.913368590083303	-0.743323593936973	-0.640900114779906	-0.659434975700571	-0.865375480773782	-0.711658571541543	-0.799035911937266	-0.9312811317157	-0.933357661039909	-0.908359565981592	-0.797829999768616	-0.898990402077045	-0.839827517563936	-0.982946522699683	-0.889055233865626	-0.737754972192099	-0.988302216665215	-0.861704067906304	-0.963833390796523	-0.905475008332403	-0.688025643626575	-0.42114053563778	-0.958023646815844	-0.691710301538045	-0.819152130944105	-0.683474602292614	-0.705294367189611	-0.900895176155228	-0.850430830713452	-0.819992220466679	-0.9274906454056	-0.738358905052588	-0.812312721995657	-0.696557189833415	-0.757085916538914	-0.818537696026641	-0.87823897624498	-0.774976862698531	-0.897076771168119	-0.890600874442267	-0.931474666362731	-0.884835946227392	-0.984292645184739	-0.85888624533099	-0.913086713974052	-0.671345806043603	-0.692478689249377	-0.95801037869069	-0.74139825557434	-0.84500531844955	-0.76717758831413	-0.826338012339774	-0.739853268493097	-0.804633771270722	-0.842010838383356	-0.917096486978145	-0.893917551346822	-0.781241407153172	-0.904917901311859	-0.880413399880705	-0.881701480723361	-0.954515519886069	-0.835196735633065	-1.00916201640885	-0.751220842947223	-0.836546077571508	-1.00848257987591	-0.816712339475956	-0.864903682092905	-0.922019628999255	-0.984644244637251	-0.753269248955748	-0.886628882200141	-0.770622218224006	-0.760299188678119
"132612"	0.127016339630603	-0.0132192899644184	0.0920128578678856	-0.00473681398269348	-0.0170157804917551	0.040144292771434	-0.0119389630318115	-0.0693036754858143	0.00995011625965344	0.0144715035800788	-0.0347347861297913	-0.0113654563940399	0.0154411781785067	0.0435218282059145	-0.0695560975184084	0.0197571456336154	-0.0191358389692673	-0.0574726048310462	-0.0287390427472617	0.133396925098556	0.150628979466064	0.0110817970417171	0.0385172686303999	0.228553812146261	0.0722423018081035	-0.00298124432867799	0.0592511592542349	-0.0301475070633522	-0.0134263439576883	-0.0166999594732897	0.0286734097250346	-0.0405131718599128	0.0402227960721452	0.0221400935196981	0.0759917908055198	0.0304137777312924	0.00740142169077095	0.0579894647745185	0.026137976077508	0.0264775930274061	0.0172227028152883	0.0510780803768079	0.00289517528333038	0.0277007828921363	0.003520893620802	0.100575987345587	0.0240336020233242	-0.0153044869334389	-0.0340479558644984	-0.0769384809333175	0.0841441914756394	-0.049195791335152	0.0136934553265393	-0.00837077222272034	-0.0383470645185986	-0.00347953881793689	-0.0138585616561531	0.0855636734471634	0.0162302701470726	0.00362945647916976	-0.0635610377508852	-0.013058032343467	-0.0435907405543002	0.0382980222706676	-0.0104968760090257	0.131296337950118	-0.027664315499324	0.0799546485869076	0.0370086947411073	-0.0549008688479343	0.0506921021103677	0.0694502927435754	0.0294411852984068	0.0294145603756915	0.00831114346984101	-0.0496467938339063	1.49252229606596E-4	0.0380230479590472	-6.31393564425499E-4	-0.00567282005321905	-0.00982657738092359	0.00623213485849156	0.0385270432878233	0.0457814075905938	0.0778786020516594	-0.0265844545310115	-0.0668529526072626	0.0924815603678647	-0.00812712849493903	-0.0359542462480188	0.0472397396341114	0.080545956671647	0.0216701344814608	-0.0693686922388625	-0.0429208021958829	-0.099217498478033	-0.0534468301307842	-0.0403176639300022	0.0326426565225391	-0.00419201600243338
"199857"	-1.0237302644697	-0.975505126264388	-0.874248304625772	-0.740302754162519	-0.943888762395322	-0.972540741970671	-0.867359527699191	-0.866810859983969	-0.97556712176843	-0.897364708416019	-0.974082482953415	-0.911778071796879	-0.916446410882499	-0.955014187510163	-0.878759129553735	-0.672035608696654	-0.984832849344096	-0.827170487479854	-0.913398434603169	-0.984838285768734	-0.779867819039306	-0.840647396004384	-0.691878190528623	-1.050015323147	-0.714409707363221	-0.840991227130458	-0.968581471686225	-0.870832552107742	-0.823681777935711	-1.09559735076394	-0.912885347479318	-1.00432522869178	-0.758055944804317	-0.829351870067571	-0.929840490990327	-0.88652087510344	-0.768128825851581	-0.807094706981611	-0.974146498062893	-0.944748562825153	-0.925263085367203	-0.926384427986607	-0.861533169083051	-1.05932090361244	-0.922676925394098	-0.817004792772522	-0.984182721561911	-0.760986351592211	-0.763099060761671	-0.794446390895275	-0.990335324710786	-0.782253444896728	-0.746138628750579	-1.02023167044722	-0.849576420396256	-0.814419200272467	-0.699692541486992	-0.950027894567853	-0.866181828720453	-0.866804518573979	-0.878202557167008	-0.758824289587043	-0.902087109677562	-0.877634709416231	-0.862734842833124	-0.930743351514244	-0.664854981073522	-0.739775481029744	-0.928676193730761	-0.840071568846102	-1.06929930165831	-0.805495722223933	-0.79597271679135	-0.940906121776733	-0.875772474776774	-0.737645653169304	-0.879773218915617	-0.947380220538945	-0.809431766305668	-0.969300297055412	-0.908756559120917	-0.950557453006701	-0.817230941281446	-0.862918725367676	-0.767286955944276	-0.840325312959836	-0.818519122229974	-0.829117320365858	-0.982062180596939	-0.780797422188824	-0.892686284574458	-0.887022120779506	-0.75969572323715	-0.950837351478773	-0.919461407846127	-0.800351447356967	-0.910290959450031	-0.909568406536732	-0.845369430603811	-0.87699646975126
"64682"	-0.938389979491945	-0.752339661208867	-0.845115101197592	-0.655636082191161	-0.971360973468432	-0.858020579339665	-0.735631868486969	-0.778740653859354	-0.695123703063478	-0.713895205276116	-1.13927429124433	-0.685959298328429	-0.804824136043773	-0.887106523093792	-0.758929037564638	-0.794877176265787	-0.981848677971935	-0.958449843627261	-0.866994571949348	-0.803017142088172	-0.658000490016549	-0.782020050970417	-0.654087727347211	-0.839254701883251	-0.696682925151755	-0.699475344982066	-0.88463426793901	-0.660080199923186	-0.770528287644236	-0.829240436134825	-0.747200205246148	-0.723696095281113	-0.889143813574257	-0.887912566782792	-0.906218313351139	-0.75802491625699	-0.796201713398266	-0.847139591719704	-0.876818744374384	-0.661926848836633	-0.738160161159172	-0.770736300278221	-0.902701997833473	-0.947448756050523	-0.789620276644519	-0.505884103114031	-0.840635747127164	-0.80614589195069	-0.62772474228999	-0.691210165548391	-0.78709016217999	-0.751115822256111	-0.87907575508885	-0.766769528081003	-0.829404834881944	-0.775409655532207	-0.82889128724996	-1.0438599983434	-0.729351743572525	-0.868654662161953	-0.769279053632136	-0.805002173719874	-0.656132428834582	-0.680638422616643	-0.971246047141291	-0.730488832407276	-0.791047906516272	-0.871155779204947	-0.7340313872744	-0.701326163060916	-0.910472608984244	-0.839089014006393	-0.805576840462626	-0.550642930981607	-0.828428873062068	-0.571304763526043	-0.785726934064056	-0.674664081377612	-0.771611029706365	-0.768544805470019	-0.738211876680905	-0.833142552319158	-0.537986828882322	-0.721642015971424	-0.906573096282564	-1.00119914399168	-0.92396666382286	-0.782424516647607	-1.02302507919238	-0.795923133819628	-0.944617748742563	-0.843113754280336	-0.832538800701418	-0.778195873167566	-0.834033132158142	-0.857047903067777	-0.928065450187842	-0.738500104299601	-0.757121112444914	-0.526947272220334
"10393"	-0.497190522303749	-0.447801252873	-0.470470372534061	-0.397584988103382	-0.556594074833484	-0.357961228856397	-0.376631508526725	-0.269030435403157	-0.290221503610058	-0.34565042956409	-0.541398359841861	-0.450388511640646	-0.386487869295683	-0.505722798621322	-0.427587373796474	-0.363382509526939	-0.618632061984858	-0.471538321288296	-0.448789634675098	-0.384295408396347	-0.152513062289849	-0.40109389589925	-0.445196358227828	-0.371710104001322	-0.264667017543469	-0.435701682956574	-0.609301932752108	-0.29391598216492	-0.367425595363626	-0.399388293431086	-0.311233002047802	-0.336558961086048	-0.467620933437199	-0.693678623028815	-0.576374204527178	-0.458516003599205	-0.288549791105327	-0.466637851211159	-0.546709808420726	-0.396339155441166	-0.393695387559522	-0.291099963085121	-0.494435608641988	-0.505381912294642	-0.50161745880821	-0.307433061107027	-0.14064843810993	-0.531096952425905	-0.337453880215473	-0.403270774899826	-0.116899472034651	-0.279239180870079	-0.518140522920238	-0.429957114965709	-0.50740051948304	-0.403081720599733	-0.232072854187935	-0.471618771197727	-0.337540710156603	-0.497611830029528	-0.434935158383176	-0.554371575885435	-0.253994649804818	-0.399989947650033	-0.604975937237174	-0.633861005637796	-0.451566709346277	-0.306630288988332	-0.40643716395675	-0.447586085088855	-0.34273527882626	-0.301077433368367	-0.439663162743672	-0.280241249549921	-0.412829880920424	-0.374610192880907	-0.417494156688545	-0.506707648676789	-0.544576349272969	-0.229331014713296	-0.565576500059798	-0.477884965264384	-0.373607909268097	-0.499197975274465	-0.428721796106249	-0.49274358306931	-0.537739841186263	-0.504293897398315	-0.519155705517644	-0.551164797612689	-0.417712444693924	-0.639448912869233	-0.421591177414191	-0.510683489086018	-0.338494961427848	-0.601437340312443	-0.587579881466504	-0.397570620533495	-0.371752940255887	-0.225068132146271
"488"	-1.18214742164381	-1.21872404692844	-1.10583724840679	-1.10351051308578	-1.26115928208597	-1.25865592742125	-1.34592916654476	-1.17463423763291	-1.02186668729473	-1.14930574920849	-1.10189684729215	-1.08445424864271	-1.14744069629291	-1.19938262609015	-1.15938033211619	-1.01641115145878	-1.27274498025161	-1.12433475206708	-1.270053960602	-1.29818336990868	-1.25236978823006	-1.28084535441466	-1.2059539240841	-1.27930333096815	-1.38245151168609	-1.07574352225833	-1.1397135664913	-1.21730959102233	-0.980392980091385	-1.22093873345534	-1.13794584286635	-1.13952166839319	-1.22214872382119	-1.26059065123132	-1.1483366031872	-1.07100178361012	-1.24270147745035	-1.08853306974614	-1.22498429594452	-1.19580727288433	-1.19708503192233	-1.21340131146682	-1.14254108105631	-1.37229127087881	-1.32065682721806	-1.21592271629031	-1.22104030906417	-1.090030265347	-1.09459377494417	-1.38857545376451	-1.29851036997878	-0.977439532994268	-1.2329030194508	-1.17813258204526	-1.34724911801696	-1.26908313627187	-1.2817032156361	-1.21108239837957	-1.06975335038439	-1.06640638828583	-1.1503602079558	-1.21347433083979	-1.14440135495665	-1.14470392831686	-1.24358398438314	-1.2880005894165	-1.19712192582307	-1.08964104736917	-1.1682863410299	-1.18427417271701	-1.07289631445888	-1.20785897603472	-1.20627699334171	-1.13567592552884	-1.11866559435118	-1.16772866320419	-1.13608099285951	-1.08540242313543	-1.14763745602969	-1.07972583935332	-1.34242829909828	-1.24413140763373	-1.12473021717253	-1.19606027123129	-0.980093907160169	-1.34910392408113	-1.14166428782719	-1.20536945701982	-1.35335958246761	-1.04839452767538	-1.21589377021083	-1.01693104160172	-1.08213272590932	-1.23822694560205	-1.22217554343594	-1.39665811302623	-1.27524183172615	-1.30484772294865	-1.29916558001374	-1.13880272163748
"9184"	-1.33101446821692	-1.52630212991624	-1.44484985794508	-1.51919085872758	-1.55428861448834	-1.7829718629626	-1.73432153580437	-1.68798217389957	-1.74303872480951	-1.56500872189887	-1.76714157376913	-1.510943498514	-1.66804544857928	-1.58721022621327	-1.31473125375893	-1.70402528332992	-1.63713727514318	-1.562155751529	-1.8671596925031	-1.68989550392506	-1.6791093359949	-1.4943938938135	-1.57092560967142	-1.58824660785677	-1.59708019799446	-1.61920179323175	-1.64709743304487	-1.89718190590057	-1.95372225659781	-1.71934764638779	-1.72471527825206	-1.79499563447128	-1.77354788846447	-1.54462625642397	-1.59519360134269	-1.64216869710517	-1.4893988506018	-1.63169553349215	-1.72813850906554	-1.51352442380143	-1.6735872790648	-1.59852031748634	-1.91978075701189	-1.50938469001003	-1.50245558070317	-1.49878588448074	-1.7431286398233	-1.52611886761939	-1.74883092363034	-1.81618781506442	-1.55958212955982	-1.67058938030787	-1.59978452470366	-1.70734700917921	-1.48848900201929	-1.66511166071353	-2.01956228082879	-1.69307637018328	-1.82502621653075	-1.60334198183194	-1.47408856066297	-1.64782910479969	-1.68956767751421	-1.78410242795012	-1.62874647785368	-1.69164385594914	-1.94724024553147	-1.55689704199939	-1.73524865074686	-1.56256861013918	-1.62599303492321	-1.73488891834219	-1.68577882675363	-1.56090691537624	-1.62075213283856	-1.8125363502509	-1.55789060799116	-1.55408270884138	-1.71165312057789	-1.56322851043212	-1.30220388943575	-1.50758954485894	-1.88756418095232	-1.58518012239373	-1.39208881256694	-1.5847226490609	-1.51188995903641	-1.59566518469725	-1.51252623074822	-1.66792224794734	-1.6138025015705	-1.43699195092333	-1.52009856832923	-1.75205847635895	-1.51133236016887	-1.53652091734177	-1.75919800236787	-1.81134519969692	-1.74655993877148	-1.5193243476227
"10574"	-0.592677773871397	-0.459359708028996	-0.604004605607245	-0.497240109869771	-0.545255752720223	-0.49586381372575	-0.416624078331925	-0.389699252895011	-0.501845600371455	-0.32480742025267	-0.447000117249999	-0.473792118076994	-0.621120746731391	-0.686928573033956	-0.525918680165575	-0.551933259707956	-0.505766014059202	-0.512094786106065	-0.39227471916407	-0.436059443372506	-0.336246676004378	-0.464528584706861	-0.438879026648145	-0.469841796270937	-0.752132462147692	-0.358195163006188	-0.623934514102668	-0.575943234887949	-0.425002439065393	-0.321439397456533	-0.408003967598712	-0.450040698900409	-0.368470031174987	-0.477197224344225	-0.552175775484282	-0.231018390432781	-0.363633496038627	-0.318443313585149	-0.560110137626341	-0.444253997568943	-0.446053087152883	-0.231535360037276	-0.392319692680061	-0.558521314807954	-0.581437652648276	-0.591258795859873	-0.468254928981167	-0.432692912123382	-0.57651636628096	-0.459726642745849	-0.253233359762892	-0.508138082770732	-0.405050063891295	-0.495272792924401	-0.335167525885421	-0.401617911513169	-0.395884819643798	-0.526851057237628	-0.318248475746155	-0.418396559203672	-0.279557527517599	-0.544098160272499	-0.303546413245078	-0.565750766257061	-0.646829233572208	-0.544182988318568	-0.305180461732306	-0.45042407176172	-0.515379771529778	-0.458045452246068	-0.471249073173036	-0.538147402133282	-0.511207998946598	-0.426858487342657	-0.468857121002454	-0.261496300107848	-0.62041616289558	-0.385068033871164	-0.322860419219694	-0.783369876832622	-0.568366752277263	-0.337122799517437	-0.484142945256798	-0.464521234443262	-0.387846891658108	-0.54168528230335	-0.419328475933966	-0.458041394348134	-0.273680953360828	-0.383667307735369	-0.509775828475579	-0.496408399444448	-0.455398444508676	-0.49211043078308	-0.386399384876109	-0.451144911940214	-0.389750227486209	-0.393942524285969	-0.377723182108455	-0.488662815120623
"100132463"	-0.0511194551409387	0.0115670407691326	0.0668913477653435	0.00738341099215675	-0.0148468350325371	-0.0321407578818859	-0.071568932456673	0.0241550492001199	-0.0499461004802486	0.0397421199456524	-0.15151018527578	0.0641051629963494	-0.0614902752309486	-0.051680803928236	-0.0010665782481379	0.0252257278474589	0.00503719955047247	0.00798670879016107	-0.1757923641745	-0.0973315167586482	-0.050765579775001	0.0218313635192987	0.0122356621895072	0.0639728903586945	-0.0693687445415023	0.0141291859895168	-0.0208174247111028	0.0372985891721056	0.0889450337429907	0.0363068213075765	0.00618189721457436	0.0136831908486708	-0.0135652328722491	0.0218107430998818	0.117744621906765	-0.0445439143133541	0.0176915750146792	-3.89162166693365E-4	-0.017552586387282	0.0152932302476851	-0.0148490425174897	0.0584523588240397	0.0657171621172171	-0.012204701181886	-0.0134731975507856	-0.0507363746821658	0.0865042883354218	-0.0488849756117823	0.0381814826598868	0.0452898731119238	0.0578391226172607	0.0583274883944415	-0.0653132259722203	0.00306778084230082	0.0350476037110764	0.064242541266695	-0.0258902858347114	0.0395969029315132	0.0434926856525545	-0.0383328927455313	0.0427573517324411	-0.0560741329097605	0.0855664600428997	0.0251622741229904	0.0203793100405675	-0.116834872207108	-0.0236324462761507	-0.117315610981347	0.00642111730678248	-0.100109797513385	-0.0506556174835857	0.00516269375295388	-0.0267191963140138	-0.0898179967943053	-0.0207616202989542	-0.0858701150493947	0.00226339979605373	0.0298331589867038	0.0464930796089617	-0.0109314052663	-0.101605127575109	-0.0302808945661985	-0.0257154945759651	-0.082525620997286	-0.081620105729792	-0.0371389562473227	-0.0456384276292244	0.0116750222723589	0.045060905627098	-0.00218216210294682	-0.0105875035531389	-0.00832852413134275	0.0103777734180204	-0.0317191990467129	0.130080823893347	0.030882997172224	0.0238265260211346	-0.0386790150577366	5.83475736610459E-4	0.0858663317915005
"1207"	-1.34227741352656	-1.33601281909049	-1.33744016571471	-1.20043443137342	-1.13389616131855	-1.33291748919231	-1.48968179404836	-1.36568638559213	-1.24231259659602	-1.201237587126	-0.963730584111251	-1.50890472780017	-1.26367950549212	-1.34117043189896	-0.97472595509825	-1.29462698288617	-1.25921069222834	-1.19399160798103	-1.0944670145618	-0.973580171065872	-1.09518106053119	-1.19955933625938	-1.08229945971879	-1.12928851688045	-1.43487198084446	-1.2773966088462	-1.18129799094824	-1.02042847650283	-0.929591693490948	-1.38360101033991	-0.966656170952415	-1.26740422374295	-1.3279968780052	-1.10486356305204	-0.887577902781191	-1.19324026842591	-0.878028866382401	-1.178007714857	-1.2366562222334	-1.1147594487214	-1.27384552092864	-1.27052844356462	-1.0943342244419	-1.3390005742685	-1.17950323874621	-1.01213945768684	-1.22484536453014	-1.22243875546948	-1.07026953708151	-1.2393907275902	-1.11159698966793	-0.936310066539004	-1.26655727662773	-1.23486120395142	-1.20813765892056	-1.05352130708219	-1.17791314369453	-1.32594398573653	-1.02307757387275	-1.18925772341383	-1.27996669735201	-1.25841628408716	-1.01523803478402	-1.19048619113597	-1.1112358391581	-1.11686237127124	-1.28819191790806	-1.31308955630956	-1.16215319483968	-1.07672551423047	-1.3548099046727	-1.13225487103856	-1.26653063751791	-1.05729929006056	-1.13499361107891	-1.11721643708078	-1.12090923420203	-1.18489798776105	-0.98254953426721	-1.14697660636936	-1.32230353947561	-1.26125292258352	-1.15698841607891	-1.08556553516845	-1.32664307537842	-1.47818102133873	-1.36030201025835	-1.06989705983764	-1.24996795860691	-0.937091497903633	-1.23352478726813	-1.31955427947632	-1.23982764996404	-1.24590574985815	-1.26988400412389	-0.97754705119328	-1.11814676264055	-1.44911984336187	-1.3064333179106	-1.01705633152696
