	"ACH.000014"	"ACH.000036"	"ACH.000082"	"ACH.000178"	"ACH.000207"	"ACH.000222"	"ACH.000272"	"ACH.000281"	"ACH.000339"	"ACH.000393"	"ACH.000464"	"ACH.000470"	"ACH.000491"	"ACH.000548"	"ACH.000588"	"ACH.000653"	"ACH.000694"	"ACH.000777"	"ACH.000783"	"ACH.000841"	"ACH.000926"	"ACH.001053"	"ACH.001054"
"80063"	0.0392868302470698	0.00777641604342053	-0.0210262152328487	-0.00860084747591286	-0.124466074720947	0.00707399838673653	0.0183461476885119	-0.0768469823450744	0.0109693920856791	-0.00966813376574471	-0.0190979594208093	0.00351941354758208	-0.17383188797004	-0.0444254019147426	-0.00994425882294796	0.0382626689667653	-0.0491424532285985	0.0599103583757052	-0.0192405726807637	0.0625485310620603	-0.143821283509594	0.0481899220298585	0.0634752532095156
"22894"	-0.747341387173529	-0.617620029328198	-0.652245401025604	-0.655127052446766	-0.583982380502016	-0.64306265130985	-0.601861324140012	-0.662928860382613	-0.839625908009632	-0.59674216258587	-0.64739689647778	-0.572528113467146	-0.69489059220843	-0.730953072263591	-1.04925555090964	-0.680363967646913	-0.859825916533041	-0.693165221391662	-0.537327533517359	-0.650550056756446	-0.895611635526138	-0.72175905348995	-0.586440313461077
"23234"	-0.778046855994861	-0.863561027629087	-1.1318899736317	-0.975261935645494	-0.946687202620855	-1.05610972899474	-1.03312898403642	-0.884097638177886	-0.932196008160087	-0.996667421937289	-1.02603765418115	-0.699994673706541	-0.757885854751901	-0.928643107160582	-1.12900848892571	-1.06626973337657	-1.0155156894853	-0.959208106618785	-0.560615315263772	-1.11649319785526	-0.785483109622912	-1.04829476785056	-0.896381972976482
"11340"	-1.13630760707383	-0.984992077484134	-1.07027787377506	-0.977973316339615	-0.688356523480453	-1.21084447188763	-1.02275652114162	-0.879338462875528	-1.17189135817284	-0.949022971057376	-1.11503291359653	-0.913612881545038	-1.09107162066264	-1.1307815707913	-1.3622883683796	-0.963877370613087	-1.31827708663663	-1.18232304751881	-0.701363491184201	-1.13628278158039	-1.25234254678146	-1.28202800652803	-1.01795115147072
"2971"	-0.83986372719025	-0.903110305083287	-0.967810572686802	-0.922631738387725	-0.813067069039407	-1.07589915348355	-0.927732299611827	-0.777503652999019	-0.834555828761647	-0.88318270195438	-0.889470352856861	-0.840496972969623	-0.637506236095307	-0.964625395975141	-0.915523616649186	-1.03859265993814	-0.662216227779834	-1.09549782093686	-0.690770119466234	-1.11865779120249	-0.877301629283807	-0.919248648001445	-0.744672470618568
"4762"	0.0198844836044503	-0.00578260174562896	0.110742229486929	0.0179691284149319	0.0804178070768772	0.118169139787899	0.00603351874175172	0.0864216553763536	0.0047303022630652	0.0376670879292112	-0.0185276695765807	0.0188142284741936	-0.120585341894422	-0.108535113445891	0.0238683084787689	0.0510961186991439	0.00915453711969124	0.0514004779068002	-0.0578438342208794	0.00514721242668434	-0.0622237122069121	0.00901263129381054	-0.00191077205646226
"26747"	-0.381844623650021	-0.265506704501874	-0.240044285513597	-0.259440860561276	-0.274351101270029	-0.209139058145612	-0.413097034567115	-0.343268473932866	-0.408179437231681	-0.288257326224352	-0.235762598947192	-0.0883636880965921	-0.364176953557304	-0.375020772566692	-0.27770112342853	-0.153047894734674	-0.285524926460765	-0.456092245378369	-0.0390215929568344	-0.22905985134608	-0.267412660837182	-0.480274645961823	-0.302084550420367
"5441"	-1.74414663910939	-1.53907346646957	-1.57064253471694	-1.5789150598036	-1.68569543694372	-1.60799778562256	-1.5803234552387	-1.52163121284782	-1.61749205941687	-1.6874066119233	-1.52751813282211	-1.66654950555627	-1.95412007004868	-1.56715859538054	-1.47399429212678	-1.70366688344121	-1.58362857441687	-1.59027071925	-1.57608105856377	-1.78706352694377	-1.85116423887202	-1.76922946880011	-1.4697482392014
"5890"	-0.349673594176971	0.0209833671694458	-0.245989407120459	-0.227726757041441	-0.2157857719292	-0.0365433568526335	-0.24579346458384	-0.171688518913592	-0.221161553870087	-0.198655793134494	-0.155005931641104	-0.254999150604462	-0.157393380442371	-0.186309233963147	-0.301035820886533	-0.418288830127118	-0.123942788720508	-0.460124474177108	0.0381138469991656	-0.296856106783796	-0.172901307288312	-0.222388512865893	-0.252962261817577
"5889"	-0.746861765067498	-0.494997581295699	-0.555924708098139	-0.535361953812222	-0.499348429597296	-0.453076107560315	-0.64929557541987	-0.54028830379378	-0.661372728066287	-0.483341699476129	-0.556939985371019	-0.844356149127656	-0.685461512936493	-0.556871387404321	-0.852152148845352	-0.455546397499414	-0.676788764417251	-0.696342300564156	-0.502197261885831	-0.58633411909622	-0.837763250271662	-0.643789376332644	-0.48929316031363
