	"ACH.000009"	"ACH.000017"	"ACH.000018"	"ACH.000025"	"ACH.000035"	"ACH.000040"	"ACH.000047"	"ACH.000075"	"ACH.000085"	"ACH.000086"	"ACH.000092"	"ACH.000132"	"ACH.000133"	"ACH.000142"	"ACH.000167"	"ACH.000168"	"ACH.000188"	"ACH.000204"	"ACH.000223"	"ACH.000231"	"ACH.000246"	"ACH.000250"	"ACH.000256"	"ACH.000261"	"ACH.000264"	"ACH.000265"	"ACH.000279"	"ACH.000280"	"ACH.000288"	"ACH.000320"	"ACH.000335"	"ACH.000337"	"ACH.000348"	"ACH.000368"	"ACH.000376"	"ACH.000381"	"ACH.000396"	"ACH.000401"	"ACH.000403"	"ACH.000414"	"ACH.000420"	"ACH.000433"	"ACH.000448"	"ACH.000464"	"ACH.000469"	"ACH.000485"	"ACH.000488"	"ACH.000502"	"ACH.000505"	"ACH.000511"	"ACH.000517"	"ACH.000527"	"ACH.000570"	"ACH.000571"	"ACH.000573"	"ACH.000601"	"ACH.000619"	"ACH.000623"	"ACH.000633"	"ACH.000638"	"ACH.000647"	"ACH.000648"	"ACH.000649"	"ACH.000652"	"ACH.000671"	"ACH.000683"	"ACH.000699"	"ACH.000711"	"ACH.000714"	"ACH.000718"	"ACH.000721"	"ACH.000734"	"ACH.000753"	"ACH.000756"	"ACH.000757"	"ACH.000758"	"ACH.000760"	"ACH.000765"	"ACH.000767"	"ACH.000770"	"ACH.000787"	"ACH.000792"	"ACH.000820"	"ACH.000821"	"ACH.000829"	"ACH.000834"	"ACH.000836"	"ACH.000837"	"ACH.000841"	"ACH.000846"	"ACH.000849"	"ACH.000851"	"ACH.000858"	"ACH.000861"	"ACH.000884"	"ACH.000887"	"ACH.000901"	"ACH.000910"	"ACH.000911"	"ACH.000913"	"ACH.000920"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000946"	"ACH.000972"	"ACH.000973"	"ACH.001061"	"ACH.001151"	"ACH.001163"	"ACH.001192"	"ACH.001193"	"ACH.001196"	"ACH.001232"	"ACH.001278"	"ACH.001306"	"ACH.001318"	"ACH.001380"	"ACH.001408"	"ACH.001430"	"ACH.001500"	"ACH.001765"
"9738"	-0.113886288381663	-0.232815069169992	-0.586732699299532	-0.377187599468534	-0.398650311238994	-0.329239061185823	-0.172757994671523	-0.363647560397443	-0.251257217187436	-0.0861846688915232	-0.425062651435383	-0.25767275287561	-0.347735141647219	-0.40988927586587	-0.463668182794219	-0.26353701392641	-0.103746339711167	-0.171213444715577	-0.250685370906583	-0.456441378942604	-0.377484741506703	-0.194079823685246	-0.116327971435133	-0.280672743671861	-0.384524116698139	-0.454146564378158	-0.403355929486809	-0.362812522064543	-0.336460251620429	-0.348086995587638	-0.362437584126319	-0.214018560761868	-0.302111531374297	-0.392672426249109	-0.257789719416324	-0.173023604706347	-0.39199054913638	-0.479607297468849	-0.278031370021058	-0.410476036308495	-0.549101940854176	-0.38333395535657	-0.350411859585994	-0.36714317977633	-0.364354999597062	-0.153498259674214	-0.359196588722156	-0.332947352018281	-0.377361020112838	-0.392753177390974	-0.229208588441665	-0.276246313772929	-0.323798312544475	-0.29786357404569	-0.458709505132323	-0.433737133314159	-0.376639063573711	-0.248698043997974	-0.165307715904241	-0.382908905669034	-0.265061039540091	-0.308751595824083	-0.312134882545799	-0.425261272158441	-0.38399725849497	-0.474544893942645	-0.352259054487404	-0.24706259507616	-0.145396317414059	-0.278069311791805	-0.365678708506842	-0.437876978518286	-0.417188517633096	-0.142856595111442	-0.356603475070814	-0.0819616854068219	-0.380160876121366	-0.424818646182074	-0.252604454696946	-0.398703788774146	-0.556542212254868	-0.422919284561548	-0.580241084979783	-0.267941604400341	-0.395372739551486	-0.493141470528492	-0.475257271165183	-0.330429686492594	-0.311977565152143	-0.390773954790143	-0.416317205030234	-0.336828997666015	-0.251672653402164	-0.372400089116446	-0.293133671766511	-0.244921827136054	-0.448337034615906	-0.455557677077832	-0.320556381639216	-0.254200697579558	-0.172432649512544	-0.533718361316278	-0.321804155633002	-0.297798908933455	-0.233042918515048	-0.370162794583246	-0.415623297171566	-0.381912254995761	-0.382458729242976	-0.307901136803636	-0.294820296309896	-0.257027428841221	-0.469960354368502	-0.310627592238377	-0.423737727153135	-0.469702743612171	-0.322643558688593	-0.520144719584461	-0.434585216544711	-0.239438484350955	-0.552529516814433	-0.333724461509408
"79598"	-0.392004395987081	-0.283135347057283	-0.485619790247335	-0.441720225050772	-0.490697008896703	-0.266083574698319	-0.192752938884229	-0.250496163994127	-0.321407026090366	-0.316646532456379	-0.429794690575787	-0.401804974398577	-0.378289891146927	-0.399989532749183	-0.35051686598766	-0.199315914838162	-0.400480077407407	-0.250694570615751	-0.266311146023507	-0.374796930287961	-0.221717731323447	-0.406575402212073	-0.20862643104046	-0.33158893319899	-0.45402588606432	-0.350864234159834	-0.518026452494697	-0.416138697640235	-0.329989524767662	-0.365901389705739	-0.327574442853243	-0.30748121462544	-0.270290841645728	-0.211076283761375	-0.38715306324462	-0.381519036626559	-0.290869564221965	-0.267642631915753	-0.292927264637553	-0.29916128756361	-0.223448698734642	-0.410872861986098	-0.375151628014236	-0.332142182375448	-0.355083888219773	-0.257492037097581	-0.40747801272296	-0.43527926599732	-0.278108590177789	-0.344048853862221	-0.31556867202265	-0.200843726290404	-0.340440920403752	-0.24753067475214	-0.22093601460723	-0.26630001004271	-0.463398063772662	-0.201489022443703	-0.214187319165911	-0.414183973316492	-0.330517845154614	-0.354962768661618	-0.320404482094414	-0.367646980554784	-0.284937912030606	-0.333396942908449	-0.399834218988774	-0.236216623368674	-0.240819349706957	-0.2724783621872	-0.263067127765625	-0.306167578573411	-0.26869453510049	-0.30304153519864	-0.363212252663552	-0.197122044980933	-0.267756555859551	-0.307281913670442	-0.349058195401964	-0.492917600667242	-0.344515109775773	-0.396014999399187	-0.448475427999494	-0.389942061893758	-0.196046945649422	-0.38753919904623	-0.482434976059184	-0.301968992065064	-0.427363545072823	-0.47666532930561	-0.364703919911786	-0.347299472060164	-0.271542276588086	-0.362694953218187	-0.282877727168605	-0.241637218177181	-0.406332206290211	-0.416021097475197	-0.312083662107944	-0.212268309514672	-0.361761813835559	-0.429222777927859	-0.387157480837436	-0.345763625592236	-0.215459282321433	-0.251376837587509	-0.28287448439731	-0.254876847403579	-0.379588565052839	-0.222688591418248	-0.401401396726292	-0.3461159600938	-0.453374091148618	-0.442306004070587	-0.378699020413916	-0.416138823739019	-0.150636157810623	-0.425658580343709	-0.649363416882284	-0.283161642866995	-0.384549496220705	-0.275106020318418
"1650"	-0.816768248942624	-0.904822327084008	-0.917166414980475	-0.767920884500492	-0.731055322758781	-0.752898442207861	-0.596994086065194	-0.962470712415986	-0.866496215509178	-0.759748327228545	-0.729418418987134	-0.996142019844843	-0.773885084424659	-0.734560799456622	-1.13329987858307	-0.755135717696479	-0.739398053371068	-0.833419007281463	-0.849114772486943	-0.803650252947674	-0.93843057859934	-0.746456045934963	-0.716305733391186	-0.751579778947475	-0.925109421677655	-0.766584085846226	-0.554294270380208	-0.914357924154208	-0.735714954154622	-0.812923638115521	-0.718548202078462	-0.694576460731016	-0.753746661880656	-0.74181360310348	-0.884609990012715	-0.838822259306527	-0.84928630676785	-0.744661503012929	-0.868138575718817	-1.01249938344152	-0.929315565996093	-0.868092878365067	-0.713284614400225	-0.969885992950584	-0.790228680124649	-0.772267599013569	-0.724847467317318	-0.839322955852773	-0.797086691895241	-0.87093925079824	-0.939410984864422	-0.785535803534028	-0.690757318013822	-0.756276410995563	-0.985716961854816	-0.759038008840031	-0.88675221641053	-0.780441037254913	-0.856657606149928	-0.608550129794547	-0.711616951891212	-0.864500411146803	-0.74656652062902	-1.02932684695801	-0.750168736329635	-0.731862124539113	-0.789505855220506	-0.746269751075191	-0.789774741483297	-0.703799077913382	-0.603597431791919	-0.720981172929022	-0.672635871031142	-0.624919012668244	-0.87664236274907	-0.826338284285329	-0.818165111352026	-0.783438915486581	-0.874370744087765	-0.739964791174016	-0.774702087108508	-0.849197180327314	-0.807331074705474	-0.778256370860898	-0.686587934900774	-0.911494849477406	-0.904758468194591	-0.798984872696106	-0.903329126912955	-0.679131127513305	-0.830482330207929	-0.767278191655563	-0.650177955028352	-0.666543481938975	-0.878350062751025	-0.782504261749167	-0.69305470990653	-0.555998884174592	-0.844038975204486	-0.800938566710273	-0.662858765140508	-1.05556616655455	-0.782123271096529	-0.851870775310784	-0.705373727954915	-0.611690789762087	-0.74440593505472	-0.807091466613381	-0.885042605336502	-0.732169940424583	-0.669616425531519	-0.678619343725466	-0.70094782995027	-0.748428240859773	-0.752728868495746	-0.769444468931741	-0.86170308295286	-0.895241712046495	-0.815803146184398	-0.871489179223542	-0.66327054839088	-0.648979947898306
"8562"	-0.888523695892013	-0.919512360508826	-0.859617416183688	-0.700235861375334	-0.853385487707004	-0.531181513542714	-0.582290900517004	-0.512839842858993	-0.692542118002166	-0.49929278513628	-0.766154410364922	-0.73788861846006	-0.818204001139378	-0.572823771279856	-0.322951090844302	-0.345472770063931	-0.921449998063532	-0.612650121581255	-0.849194769627752	-0.60963291670238	-0.805562424561039	-0.563427520096922	-0.704038156013143	-0.738144535314896	-0.693685195099234	-0.703906308644176	-0.826814908799563	-0.873380983030318	-0.849439087750286	-0.806172454559562	-0.651316658825098	-0.671809792947702	-0.651414325950682	-0.769705384462349	-0.470740777684562	-0.720521529346619	-0.365067088729582	-0.866721262035009	-0.562809612214572	-0.867442663707719	-0.676595533704046	-0.597716357402358	-0.54136741169397	-0.856656176188275	-0.857893988314108	-0.622018741759415	-0.460197928087196	-0.682686520397482	-0.733241150788903	-0.593967873900146	-0.779492710613299	-0.674995441789691	-0.548942326220558	-0.389638976526558	-0.845266926029581	-0.797615227808928	-0.888825311366881	-0.708436746421762	-0.659589601337054	-0.661899818383459	-0.536246595209937	-0.862235766962994	-0.605685378249541	-0.660283139002497	-0.705074886834664	-0.749001881854488	-0.660192142316603	-0.80937583670276	-0.493925284052267	-0.770891695425606	-0.621704931030653	-0.674494609051771	-0.682791674126844	-0.766918226194003	-0.565080444714079	-0.678061937354183	-0.454783080168562	-1.13142621185906	-0.616430866440251	-0.397623695589829	-0.85843454127701	-0.655749484744828	-0.742621813959322	-0.702577651354347	-0.490683949315151	-0.700375853882288	-0.854657152801159	-0.723650899160141	-0.744611271697239	-0.642221096059861	-0.474461046455806	-0.773974737942831	-0.595074800568643	-0.686257362571066	-0.654937639791539	-0.630175834667732	-0.727270758390825	-0.545872645640846	-0.441021837196381	-0.756523502620181	-0.47724545573109	-0.938770530044438	-0.43262080426445	-0.807069668003999	-0.617814885934437	-0.409501210403127	-0.649568010087411	-0.73457908539787	-0.663464092749949	-0.648457931249404	-0.482183355137293	-0.906600845642265	-0.972218027752638	-0.74754986618944	-0.803316366896223	-0.61994169918468	-0.739080098810785	-0.725698453201349	-0.78260293120682	-0.555489744567346	-0.87013847247965	-0.736307533703174
"2339"	-0.230761983567207	-0.494273650832106	-0.609808329861242	-0.67892603107786	-0.719778784805499	-0.64652180118689	-0.453952075574937	-0.483717863408329	-0.450089957560191	-0.463454700478074	-0.612543945998713	-0.642484615859364	-0.396694405319466	-0.59192755188369	-0.765418869957608	-0.423458512045015	-0.451362656291689	-0.38765616979655	-0.410039953943114	-0.557913962799387	-0.413439294395134	-0.411565001847877	-0.557719488368037	-0.609061845759213	-0.643816636343756	-0.542755920731898	-0.129060976685324	-0.564454062173427	-0.292395680073607	-0.534763585589418	-0.502117314761731	-0.617001524376763	-0.557181939698653	-0.460098376399362	-0.512729437081185	-0.528603074335256	-0.403784120473665	-0.560473255133738	-0.440426500939198	-0.766581352481481	-0.483834536399863	-0.474156573564425	-0.47120739113322	-0.388242824805367	-0.62115801750891	-0.299966553086836	-0.361275040408902	-0.444391229629789	-0.671972027465913	-0.864204108811957	-0.489393250631168	-0.465510575347448	-0.514932888853007	-0.4374421359559	-0.67589428133135	-0.457417285988505	-0.621013114649077	-0.633175809349169	-0.303723515255814	-0.422864517656931	-0.641561067293239	-0.538573361131501	-0.547565788613465	-0.430573572543296	-0.698954486973201	-0.424921795115162	-0.821857308676871	-0.335333782781288	-0.223118623808119	-0.537464710249068	-0.350956503279107	-0.558158977724428	-0.45780981593189	-0.636409533778065	-0.306989744681757	-0.624706437755216	-0.526634299596829	-0.542376608621422	-0.407642634422669	-0.519492271536347	-0.313713642729432	-0.786167073048307	-0.880473185610514	-0.48195452719485	-0.519472349089428	-0.539339614384741	-0.874952651929761	-0.515201024218716	-0.314841649499322	-0.472362973683036	-0.506263160859166	-0.741841305305156	-0.494301850110633	-0.623840948334021	-0.370678468982273	-0.878893003205958	-0.43636071868215	-0.376637173347942	-0.551076388689166	-0.370173866387517	-0.73792142161297	-0.736712148492442	-0.436100725398497	-0.307065013472086	-0.527822310158761	-0.430130331214417	-0.518884279946524	-0.612291266964669	-0.480683487481019	-0.346309163711935	-0.570725833363136	-0.605567930597655	-0.632716878647226	-0.691232517544244	-0.797740982014119	-0.708886416714239	-0.486349315141702	-0.56233610990528	-0.693590879217223	-0.541781246956549	-0.523230986004703	-0.427637830553505
"2342"	-0.764592651120844	-0.863596769559826	-1.18708677864607	-0.942068915521044	-1.20261871569157	-1.05128913915868	-0.904262698891006	-1.00886510549701	-1.04166741127421	-0.961918809559519	-1.04681860588637	-0.821780036190754	-1.04502011825981	-0.987430893862577	-1.14221254679949	-0.570931951246542	-0.88498733692805	-0.939689964837686	-0.857353653420496	-0.812202530775811	-0.997474855885541	-0.814089783464688	-0.945794705066084	-1.11455389646483	-0.951227187845689	-0.821808993372871	-1.05195444368403	-0.878015941495202	-1.02066293027092	-1.08238269274752	-0.989783412846749	-1.18192607194292	-0.954466970180309	-0.98745748777835	-1.07326597521029	-0.959042244891545	-0.60868070267072	-0.880435537177125	-0.738948501859034	-1.01725799768893	-1.02011738827277	-0.683199949700384	-0.636601152614612	-0.930612347633361	-1.03456582491866	-0.775676207083055	-0.868024106772835	-0.923446526753478	-1.04804436223641	-0.987772841817531	-0.971495450418627	-1.11316966197157	-0.951226916348127	-0.881300887564785	-1.18922790586975	-0.922251097679413	-1.00123631146739	-1.07706512927185	-0.709422974320514	-0.890642912687734	-0.944370644743073	-0.886498270655315	-1.03950313330724	-0.940915036911133	-0.973525634845647	-0.824370635811981	-1.01871304343813	-0.807935161052593	-0.828957921188928	-0.900772441839625	-0.948897787381152	-0.93992654780645	-0.997698938811107	-1.28837280474296	-0.764064218319443	-0.828689225133956	-1.14103517902798	-1.13756344036703	-0.968204155595536	-0.975235741184489	-0.905894975873675	-1.07435874304954	-1.24675372780892	-0.649571797735609	-0.812011274193243	-0.995025191019891	-1.20643686561024	-0.975814427024165	-0.903529340024305	-0.770948491198752	-1.06391551834435	-0.88757600491536	-1.12581467333487	-1.07806564368865	-0.830842124038314	-1.06504587756917	-0.924425170360836	-0.971991333935916	-0.841555335435076	-0.792380962756634	-1.06807394063908	-1.01239929693329	-0.695128166666272	-0.987537548924385	-0.806109771698317	-0.754728354324792	-0.974678959377926	-1.04252998100148	-0.651214492810353	-0.810517581297349	-1.01888518572604	-1.0346874200241	-0.997179253147959	-1.12320783853388	-1.02698176328435	-1.15715920228127	-1.02548420111946	-0.989625671664683	-1.03872234890605	-0.866550298192135	-1.05887940323926	-0.925282867042877
"100128731"	-0.298931302579279	-0.338095043660596	-0.415739600650209	-0.543529366615313	-0.0563910767124224	-0.225614377958266	-0.217473953403328	-0.245501934413389	-0.388980072648294	-0.290049004773443	-0.336799797167258	-0.632664329220743	-0.498060581469919	-0.425799529762808	-0.123349964428782	-0.492342107843424	-0.759060604771596	-0.759106882808027	-0.245692281946299	-0.359886178709603	-0.471910596763878	-0.380835004300863	-0.294882164807452	-0.512078589164458	-0.455178126763103	-0.277052074673476	-0.384105654650137	-0.521619256132332	-0.386522791730445	-0.167250069657196	-0.225154021459867	-0.378162357316289	-0.304132751108562	-0.307505679046699	-0.232351359839854	-0.416602659807996	-0.356543770611039	-0.41658134256628	-0.484367300743701	-0.442186483498131	-0.599193660851574	-0.442768131485424	-0.427850070912542	-0.394465171050488	-0.509565000181406	-0.494543356684354	-0.569894112147644	-0.525564998772993	-0.414085215019847	-0.379998998894412	-0.332123364029932	-0.344392323438836	-0.0942993075478427	-0.137130228211851	-0.399106357722962	-0.51327379674024	-0.467134813708608	-0.159265570717552	-0.235539202849516	-0.283546706463958	-0.301234726320431	-0.60195509796003	-0.39785325566093	-0.355845805984941	-0.60083684388313	-0.205161967054427	-0.348523464906502	-0.149206101542294	-0.557988038806465	-0.280338949839389	-0.513345301936845	-0.688553539720441	-0.618946143086831	-0.223964694150519	-0.0496740649045677	-0.210452942234398	-0.250925903104676	-0.346181517230094	-0.243869526300975	-0.198990455908154	-0.743221045310805	-0.646429072479082	-0.496022925204676	-0.424651157255072	-0.373471551612441	-0.744989399715263	-0.630077566596732	-0.381853816379255	-0.383882850225872	-0.36650662078394	-0.412029128667624	-0.475310043451515	-0.23808181168194	-0.309070609540339	-0.550590554550618	-0.519575424113234	-0.291964362063563	-0.158195802875334	-0.237464867875041	-0.501111532436208	-0.241254796557654	-0.310608876896281	-0.162210731442569	-0.265281930026046	-0.197144164809097	-0.118246735413861	-0.199238342084668	-0.519534953736514	-0.593980985773142	-0.273274300339213	-0.353858795240636	-0.353583510980667	-0.599547284237461	-0.413622320237738	-0.365494065509534	-0.42682657545576	-0.365815888434396	-0.588442669615208	-0.350617318419173	-0.636487366145842	-0.343247980557687	-0.320886251929545
"5116"	-0.222267937189599	-0.193765457766676	-0.50516092492727	-0.193650959735498	-0.260021557962933	-0.175638626566394	0.0682728683244193	-0.304264786380667	-0.252424449414325	-0.229159317052117	-0.150642547879588	-0.266229074652995	-0.270383765196473	-0.223990821067013	-0.36404687675434	0.0420752467452358	-0.42927942733051	-0.412142829075392	-0.242914842746505	-0.272600646726976	-0.273551114592769	-0.44642514746008	-0.247373128057622	-0.393556633867175	-0.47111704170462	-0.221322711323373	-0.157181530141013	-0.178220255312785	-0.314844652550103	-0.190980890487549	-0.238274651626863	-0.0352860657749996	-0.0597344381936321	-0.427834670491884	-0.101834175284182	-0.269618273792202	-0.207852897761828	-0.17117936167255	-0.233799536177147	-0.0416453771197897	-0.253364464170079	-0.199651938276719	-0.189800496169255	-0.279126525249966	-0.436917617306024	-0.28774752077013	-0.408323800899896	-0.367455677622084	-0.319819307981015	-0.217617270715047	-0.179700244405936	-0.270376073533327	-0.178671163123225	-0.12571368132427	-0.150933407228571	-0.164938681636619	-0.366330914284473	-0.310284580533586	-0.0960894820229465	-0.104829366383902	-0.295469839387036	-0.178652381635609	-0.129370515792809	0.0391559163630432	-0.185157629622905	-0.255306266021638	-0.293690732959631	-0.132474859593855	-0.0913070076303823	-0.341950649263625	-0.0987306076619959	-0.316194412454246	-0.214455008924086	-0.204006380070343	-0.204035008570877	-0.144629991353766	-0.109533293513091	-0.060775393876954	-0.358118998405642	-0.102284797586532	-0.388694756637983	-0.340447673035918	0.0978709936763448	-0.286079744950292	-0.321749910634814	-0.100114051299942	-0.326836313520039	-0.102966050630849	-0.295696269869166	-0.151410544544275	-0.0117429185219441	-0.40126847598955	-0.0481709513640275	-0.196687285153597	-0.208329428822101	-0.351511713136139	-0.116156607449055	-0.228129354882918	-0.170213189287155	-0.101354768240733	-0.106744134708532	-0.368493771616684	-0.33288137757977	-0.352478354632065	-0.419156748737187	0.111203812181516	-0.220557323407828	-0.0902027591029817	-0.303697857776061	-0.0958882082584372	-0.397629620809252	-0.475664562045218	-0.284622984370606	-0.0879671906800381	-0.45823370931803	-0.259077896647117	-0.112696941974481	-0.396261183353126	-0.432568253369287	-0.209198625483719	-0.197894267442925	-0.259350823792068
"5901"	-1.85909106246129	-1.90648179053055	-1.38964929959628	-1.72474652640474	-1.45148321604258	-1.68454844707961	-1.91992399071282	-1.49282162792232	-1.71890908089565	-1.58354327335824	-1.74420064709858	-1.75145691631828	-1.70556167606237	-1.81026159234384	-2.11184835765089	-1.94819284401721	-1.63337964232961	-1.63697166947627	-1.78744053027619	-1.6411118250057	-1.77745018388462	-1.600712375175	-1.88274561161547	-1.88357385631026	-1.70996337021598	-1.84369396841556	-1.79308394386173	-1.76213623131469	-1.69042197413595	-1.91937289384031	-1.74332438661046	-2.079220692143	-1.94159997111245	-1.50423732453053	-1.63046543493541	-1.61782840679917	-1.44133265620813	-1.9488740863537	-1.9635663211723	-2.08647016985689	-1.66174846371163	-1.57431490356477	-1.88527688775248	-1.64775356627823	-1.68085736238917	-1.83669470242335	-1.78392529135875	-1.76010640379589	-1.68734224150197	-1.58983785682092	-1.77811448702539	-1.78595185770404	-1.77829289862702	-2.04604625684747	-1.81151911715448	-1.75018235005397	-1.91451831846638	-1.67772523325759	-1.76895755471091	-2.09473249986869	-1.60100310233281	-1.92971157499135	-1.73566644453909	-1.50232081360462	-1.63314431901	-1.68090576108895	-2.13645904632646	-1.75494931407939	-1.89571219346856	-1.95255770958828	-1.76530324750627	-1.66170456346541	-1.80742335058046	-1.75077388056882	-1.69710082063272	-1.63151504024211	-1.51338716848656	-2.01198757287085	-1.73254652119699	-2.11786780290696	-1.76163528711278	-1.86718286270949	-1.82446491989929	-2.33410599679937	-1.50896268401427	-2.01694340612984	-1.56594561164509	-2.09670981795969	-1.96604584260513	-1.86233828123382	-1.83929832811704	-1.81878002628507	-1.90518042916754	-2.00164919211621	-1.9000951759845	-1.59466212137263	-1.95055501952161	-1.83467980251939	-1.73659341836454	-1.6669560119762	-2.11139678309686	-1.79724505762726	-1.46422940304525	-1.63679883404324	-1.87305253782603	-1.53161457315501	-1.62315964749337	-1.63983967283518	-1.85552759720072	-1.63388543633712	-1.70747343918113	-1.60777387669352	-1.6644889986896	-1.45194354088868	-1.94583425615392	-1.66312735722687	-1.93785515453896	-1.71236007040665	-2.17772403930928	-1.53852922980434	-1.82162488019521	-1.9492841978742
"6050"	-0.219468953261322	-0.0975470624510645	-0.048587586455494	-0.251013919663584	-0.541090539801531	-0.147217084330564	-0.215683845233786	0.110141107882767	-0.3414609268308	-0.320823837120539	0.0107356569857533	-0.0139186490372143	-0.233911668810407	-0.328459137144346	-0.238868274167764	-0.208498702640163	-0.555411529196661	-0.0577046301263481	-0.157642408964781	-0.144069632939687	-0.216405619707921	-0.176827234701871	-0.480507124031774	-0.0691380209342288	-0.103223822799483	-0.18873165947144	-0.169877382519842	-0.339623548700672	-0.41965855018929	-0.103948118776008	-0.300209060087543	-0.136548360677198	-0.299214884849755	-0.774710177391267	-0.48470164836439	-0.412490035423948	-0.211061061764175	-0.443554842798594	-0.200617663485873	-0.0168493525349071	-0.433039663526335	0.0943660600484338	-0.0682379651591571	-0.12917605273616	-0.321449847159994	-0.0791777971169625	-0.338635854007344	-0.148179760269739	-0.234667570775854	-0.0181382529888503	-0.0541137755568738	-0.156215854087506	-0.12309715866794	-0.155037140360047	-0.205390907326472	-0.219788387168089	-0.207969823779343	-0.305810809708469	-0.167546319416804	-0.17116695877611	-0.249732470646219	-0.362142325281712	-0.220548293974077	-0.203397092382729	-0.265662455040865	-0.228756220848651	0.0072330207140517	-0.207765589165122	0.062869256781338	-0.451707597081019	-0.0648074650139174	-0.402838320609426	-0.453277396531024	-0.126986391368964	-0.21715140387677	-0.0980227528985545	-0.359518139030853	-0.18717077931917	-0.0818507657272763	-0.227540974213345	-0.623022154443015	-0.181495623728956	-0.115509541826798	-0.116906323491295	-0.156513891295913	-0.369230734523738	-0.398362931868449	-0.115648942756663	-0.185246016196637	-0.305810682115641	-0.237350713444751	-0.0506917603766341	-0.537808292247588	-0.390717518816715	-0.168053392099776	-0.437193072248242	-0.511720703809854	-0.375016149804697	-0.268086389754004	-0.184595507352774	-0.491269489154819	0.0154594449347974	-0.731011423489419	-0.169114341216903	-0.0579723970598707	-0.0998653636595651	-0.163195289225502	-0.0510387681206313	-0.236888985191506	-0.404363448831432	-0.2147170230606	-0.345609655170828	-0.544546538983716	-0.185736552969097	-0.0631591427727929	-0.251501960530297	-0.434874443416168	-0.160741989563695	-0.502292688538873	0.0999273326188065	-0.120429163609293	-0.0886126492560692
