	"ACH.000014"	"ACH.000039"	"ACH.000041"	"ACH.000055"	"ACH.000060"	"ACH.000078"	"ACH.000082"	"ACH.000099"	"ACH.000133"	"ACH.000138"	"ACH.000146"	"ACH.000163"	"ACH.000183"	"ACH.000189"	"ACH.000211"	"ACH.000231"	"ACH.000234"	"ACH.000243"	"ACH.000315"	"ACH.000316"	"ACH.000320"	"ACH.000334"	"ACH.000365"	"ACH.000470"	"ACH.000477"	"ACH.000499"	"ACH.000516"	"ACH.000573"	"ACH.000605"	"ACH.000623"	"ACH.000632"	"ACH.000649"	"ACH.000653"	"ACH.000658"	"ACH.000663"	"ACH.000714"	"ACH.000748"	"ACH.000762"	"ACH.000768"	"ACH.000800"	"ACH.000810"	"ACH.000822"	"ACH.000833"	"ACH.000838"	"ACH.000856"	"ACH.000907"	"ACH.000921"	"ACH.000935"	"ACH.000963"	"ACH.000984"	"ACH.000986"	"ACH.001048"	"ACH.001050"	"ACH.001053"	"ACH.001067"	"ACH.001197"	"ACH.001275"	"ACH.001289"	"ACH.001391"	"ACH.001740"	"ACH.001745"
"498"	-0.33885161327121	-0.367247915824737	-0.386639432936772	-0.085859374505703	-0.224642954312896	-0.423298945284558	-0.267665835976521	-0.294419085842761	-0.192805186803259	-0.311677543556606	-0.267059768309651	-0.148002370158788	-0.354767822048071	-0.293818533976924	-0.489492056043926	-0.136927537508565	-0.290670969382513	-0.260392845664765	-0.0713826316107851	-0.299474785287068	-0.416945381540655	-0.228643049250649	-0.0665883434758604	-0.185767484412898	-0.230572424610536	-0.502855668116596	-0.260884600815726	-0.433713695846784	-0.460878859774073	-0.294626272766397	-0.323233884045842	-0.229460295327682	-0.133341526880728	-0.204147823249503	-0.173528296400138	-0.137035284287638	-0.238392047596494	-0.345622529304454	-0.334611927015748	-0.463995429186615	-0.163942710089675	-0.241888265545656	-0.408081057379144	-0.183618101521929	-0.319929872133962	-0.268041060225053	-0.374644772177765	-0.297933340568462	-0.362768607636338	-0.294549762625717	-0.318492756155054	-0.339047166085662	-0.234645072572264	-0.248635314602485	-0.320421215869796	-0.276954668723115	-0.188171939082841	-0.267496962609839	-0.129597811071293	-0.421884672895508	-0.293861180044825
"506"	-0.570570143582157	-0.501186157840232	-0.679409539294434	-0.524646068455403	-0.5524859953824	-0.752378007432559	-0.597620426917765	-0.653497065346069	-0.633322151888123	-0.710867649488024	-0.448980350305144	-0.534119272060984	-0.667996625900448	-0.794288516136847	-0.709388240777001	-0.364932649913034	-0.587486572291676	-0.549769886158343	-0.411126136079566	-0.578295322427289	-0.763651219064696	-0.640337203753529	-0.551862994229069	-0.456113377591828	-0.607491365986412	-0.658587432812046	-0.581782686743266	-0.643709869452263	-0.909376175920527	-0.673578254737025	-0.819253118131827	-0.585630723363034	-0.534674668446177	-0.532917491854874	-0.661279261506775	-0.531849156427808	-0.536600673676008	-0.459937630515118	-0.571615522325182	-0.820827566875051	-0.51415818717438	-0.64868720007909	-0.897427466188165	-0.551259520859386	-0.510291006539783	-0.579405650385853	-0.814114257203925	-0.619987698437483	-0.683509849654262	-0.811415146006242	-0.511398453024886	-0.747867914538166	-0.568542417713179	-0.60691099032837	-0.635075878833817	-0.731725785261495	-0.738221305610414	-0.655824027041386	-0.418670030310169	-0.803010212684287	-0.59920924705738
"509"	-0.567808170167088	-0.717336463832231	-0.577445518591318	-0.300015141917258	-0.484530794454941	-0.63115441358357	-0.47986195237814	-0.5184158381611	-0.52978669206542	-0.48318401853708	-0.40734284219348	-0.536104933067855	-0.644373355287985	-0.596175404587953	-0.630655563644276	-0.377453695375218	-0.377305101961481	-0.411620974653826	-0.425710633233866	-0.43313946265018	-0.523965513863731	-0.612276927405202	-0.484399705353477	-0.318601339289049	-0.54055705654939	-0.804465794379004	-0.384220857686043	-0.732514889295955	-0.686763143852046	-0.686520364436778	-0.592287776183837	-0.489216374401839	-0.67148674756438	-0.483423893411715	-0.520439440279578	-0.496716644521225	-0.43523848302497	-0.655528079240428	-0.506497767752219	-0.674273516009062	-0.563101507357634	-0.571510267739616	-0.785206506614772	-0.901785781855002	-0.612145911080583	-0.330997656716391	-0.589753247203392	-0.710412868409253	-0.64449378695422	-0.45333676039276	-0.539377137167555	-0.753416701000328	-0.613268722981487	-0.43116695537468	-0.57834753528968	-0.612990272581811	-0.682844754297725	-0.399515539847852	-0.413282651968056	-0.531204170565401	-0.599150810359699
"513"	-0.604348003411118	-0.85131841248418	-0.754099583764399	-0.36947250560041	-0.471771494174923	-0.526200457368467	-0.467670596556791	-0.767184542821467	-0.49657900448817	-0.691553970252412	-0.48595589604	-0.618594701465924	-0.733465305115808	-0.735787229212096	-0.742632651360274	-0.234538449972719	-0.624942293346833	-0.515795487823622	-0.63704407811824	-0.676782428855669	-0.710693758217538	-0.589499059042155	-0.51512460790699	-0.413181050430318	-0.560445602104885	-0.754998842816332	-0.482008467855662	-0.808089041897076	-0.889004723813945	-0.584045513982784	-0.771593867554058	-0.661905965695311	-0.527331807153273	-0.497063868799377	-0.588637572428664	-0.623521427536916	-0.443355535202993	-0.739362916165305	-0.740580222484461	-0.732045327857639	-0.551902832840097	-0.590684317807979	-0.748226441856986	-0.986145270986747	-0.867782480170885	-0.713517581913466	-0.662737149980567	-0.808067954634806	-0.581782614884869	-0.68557058610422	-0.668727991043943	-0.832538538083586	-0.645372515291104	-0.563013557747296	-0.651959288002116	-0.382049627455203	-0.773921899933198	-0.458712946992486	-0.375235798534766	-1.01439793635081	-0.77315858041383
"514"	-0.661143759121585	-0.73544599976918	-0.654741661146776	-0.499182132809798	-0.518803424177549	-0.8128629477908	-0.545776891825983	-0.760870338726157	-0.662495022166761	-0.532778787241404	-0.52546729053857	-0.667074996739142	-0.596441041570063	-0.731432463934831	-0.790175068554186	-0.409918921380031	-0.685816193871857	-0.390126951899531	-0.686138334503138	-0.740711588033057	-0.661213252146547	-0.471623584883606	-0.637641131166891	-0.521675430209897	-0.652808462180708	-0.809318625284818	-0.54272470236031	-0.807911251262322	-0.882151680433172	-0.611039958373377	-0.804450822941389	-0.664192435437384	-0.54722395160567	-0.705280486178819	-0.761447569897553	-0.48148950731187	-0.562067178779757	-0.639116681113026	-0.592011669209341	-0.595143521195001	-0.726701308325056	-0.557243325090251	-0.985465528376046	-1.12147580755971	-0.867514074760463	-0.739905958179583	-0.605092671753008	-0.866244409230927	-0.702623289583105	-0.764022395316651	-0.649623366192833	-0.782697340706405	-0.833611488784992	-0.640143977627404	-0.609040938445043	-0.524016363809161	-0.806084104837428	-0.574679231980116	-0.414584710818475	-0.949864631957183	-0.720806931700503
"515"	-0.389921188940161	-0.38719336798099	-0.323724486847703	-0.265876529689992	-0.385850934399594	-0.095424254975982	-0.336098147784495	-0.308994412469751	-0.309095006386151	-0.278660548523844	-0.1519338203834	-0.180352575265646	-0.297214264264174	-0.268245402475223	-0.410159578797383	-0.207733395902809	-0.283678647172595	-0.27752136564865	-0.0893846846448547	-0.278887859031783	-0.343128374316526	0.0209824526036299	-0.104570427973385	-0.162073696012229	-0.353965085056082	-0.338953130440589	-0.241236827646921	-0.476810189746846	-0.287056631446712	-0.392383309089497	-0.385947025197542	-0.246867823058136	-0.171507308451406	-0.156587847138663	-0.275852566463849	0.0705000152762862	-0.15336228729136	-0.278944153669344	-0.268021026971847	-0.314885269863809	-0.254592431965046	-0.238465812637196	-0.385239575205957	-0.121449993146731	-0.223142354920529	-0.269616381442844	-0.457670953231666	-0.600394693168545	-0.364918791095092	-0.322923742724217	-0.382200130829029	-0.393317696938844	-0.347968804281233	-0.409474238094723	-0.393544238212424	-0.236243459719994	-0.411770841369858	-0.254112799186	-0.220012750031115	-0.334056927027005	-0.296033934701717
"10476"	-0.0157218647055876	-0.123917953533192	-0.113549832167097	0.00667148031272533	-0.168333749669963	-0.0693312498937833	-0.050811312600402	-0.100477246188005	0.00467553374904384	-0.18739433638348	0.0386513153594037	-0.0514065911518016	-0.210738446672175	-0.141575984781172	-0.193526396293669	-0.0816833807255598	-0.164027009281835	-0.147240620530455	-0.0839079941230873	-0.227844363463891	-0.233852557462165	-0.260712631069757	-0.0139699768903538	-0.016476359610388	-0.130388890841695	-0.0594633953245774	5.98875596237377E-4	-0.274742176119049	-0.351353965904809	-0.102250411523201	-0.192849494624742	-0.0957899499565706	-0.234463348148044	0.24914577761585	-0.163854042858454	-0.138146664560517	-0.0654394720947221	-0.179951465354453	-0.10544298088686	-0.194487678647534	-0.148089289716064	-0.0606072422293824	-0.182801755463995	-0.156752636757532	-0.161913605734428	-0.0723271280053511	-0.287250037143394	-0.191911709422175	-0.327094190546686	-0.0849933314544013	-0.124734094322343	-0.201257945799437	-0.250643308080338	-0.0088702356948316	-0.261593093014864	0.135444853288161	-0.125042817533346	-0.153477436851467	0.0420214774002456	-0.153978550278146	-0.189249525024787
"522"	-0.0477126148857039	-0.299826154839516	-0.295914693818045	-0.14933024740643	-0.464442251618531	-0.409462992412994	-0.392007803035272	-0.270424675346957	-0.331874169754365	-0.217086471169569	-0.418031791828373	-0.180543502980479	-0.60456172671287	-0.334709252233831	-0.261642965304	-0.25925282435845	-0.156138906902448	-0.190549310027069	-0.251394787693153	-0.293670226679789	-0.347389594521247	-0.0810694501124902	-0.235921641620256	-0.195507454554394	-0.417545490495819	-0.159060417734242	-0.298999992213018	-0.448091406046695	-0.422969479232524	-0.312077945757513	-0.360409679689725	-0.193577729634737	-0.301900972104817	-0.260458650951217	-0.403970852783521	0.0052581964640702	-0.324063581605124	-0.171721694578329	-0.21703063439579	-0.297001628731571	-0.191530714218384	-0.174676587988048	-0.642094671864251	-0.0853256263478464	-0.538752196096743	-0.190894389081786	-0.29018904676389	-0.314026202573516	-0.476159480062545	-0.227756747163241	-0.177744195359466	-0.39754606778445	-0.324831628157674	-0.25783240273025	-0.285642912972525	-0.160947399141844	-0.457598934677654	-0.391832494864143	-0.414189376666387	-0.252368102951037	-0.318430837583669
"9551"	-0.617768955869386	-0.601902747736773	-0.618049821196646	-0.412299888606023	-0.617536156684541	-0.456395284932845	-0.623390279381825	-0.406890018279642	-0.662009682879911	-0.565988291671943	-0.355411050756436	-0.458737643016182	-0.604644126366957	-0.560889397878822	-0.686314679391642	-0.415625348166538	-0.482738800056858	-0.473797132890151	-0.607215002758779	-0.497188641293998	-0.638339000263202	-0.535425099890115	-0.471533719535092	-0.647459634698738	-0.519288216743623	-0.698562605908337	-0.613145324095666	-0.550874941950472	-0.557861931203807	-0.495338408868716	-0.697217305710799	-0.521544783927661	-0.68399068183062	-0.578234418870493	-0.627940712769078	-0.336630126472925	-0.441078596128515	-0.597232965474466	-0.591885282121767	-0.62279432424763	-0.412183926070867	-0.395974784948168	-0.639006333115594	-0.402182332627733	-0.532919101446339	-0.524207647061439	-0.621627789411228	-0.656021868685872	-0.679925642507713	-0.600790102675598	-0.51259368908063	-0.70771595975256	-0.560017319089922	-0.765913761735137	-0.655711031271321	-0.468856271616782	-0.317339837132091	-0.498603456886796	-0.421190727332871	-0.633929837197552	-0.508833721762904
"10632"	-0.367123651184591	-0.402892999581963	-0.377906127245093	-0.332253947001953	-0.42639623911363	-0.279134992531152	-0.445388818304699	-0.399631644200423	-0.411801480682889	-0.369593214391198	-0.256564789855722	-0.276712768323966	-0.481569680949077	-0.654029576925732	-0.472526976407378	-0.243008275570649	-0.289642480343834	-0.277537234118105	-0.534974732170043	-0.498734369464079	-0.399196702894569	-0.376842541541206	-0.421587576016213	-0.345335935952003	-0.436117760011521	-0.26507090868593	-0.392018303863124	-0.466402203328284	-0.578856762075202	-0.426705000299694	-0.525398879237768	-0.348245120066875	-0.443135720586042	-0.454188734078695	-0.383730808891589	-0.277592677098331	-0.382811320847735	-0.258088997309206	-0.333476504335251	-0.464585437479614	-0.367114208502789	-0.366310052169824	-0.34580547829635	-0.493753682214344	-0.417498555183242	-0.300034813085983	-0.472212005416466	-0.335943649825618	-0.543735516692109	-0.397069178761714	-0.192553852828766	-0.394312722524844	-0.404508994252508	-0.408231909058149	-0.476396171530331	-0.439827229571294	-0.363287643496936	-0.585154937966666	-0.325441693353263	-0.494104026572598	-0.281014027032556
"539"	-0.162095231208756	-0.408878106761866	-0.140443880347688	-0.284805894470492	-0.401874861815496	-0.183319948177234	-0.332242347080624	-0.229341556328507	-0.215746545265491	-0.282724096209884	-0.212695995986412	-0.266322015790055	-0.411430632342407	-0.363226087121543	-0.315764080486173	-0.350729019987387	-0.179363039237058	-0.277166719119091	-0.198279350520507	-0.33166400684664	-0.337425315925547	-0.286217555893752	-0.18887609407337	-0.262786945306022	-0.347086615450638	-0.346207125842947	-0.244230096052357	-0.321818453969722	-0.406239945880982	-0.222371449468107	-0.238188358149675	-0.207890412400041	-0.200432565588152	-0.460910947939837	-0.27311912905844	-0.133292223569868	-0.175712195013754	-0.239681877483188	-0.218946848827723	-0.347168374835221	-0.242902466500206	-0.178392515539027	-0.531827386745467	-0.291788467848835	-0.341929211088358	-0.31360466050409	-0.235340602253067	-0.436542055381784	-0.27759424641889	-0.282982814031302	-0.295683430993883	-0.249279388547171	-0.287117044208301	-0.463381605602034	-0.222872664817142	-0.305988678428542	-0.252557687474635	-0.354633781058455	-0.292070354960876	-0.188772207332862	-0.192486815329675
"5441"	-1.74414663910939	-1.49823879461529	-1.80613569625595	-1.92466069027016	-1.78072346894075	-1.71143288918866	-1.57064253471694	-1.66631394250488	-1.56660678201735	-1.72573047200694	-2.00350242416246	-1.56284940986857	-1.6905955767002	-1.6824602434974	-1.43081086443684	-1.40806567727181	-1.489486656333	-1.6886700556001	-1.90034034962853	-1.69154310535657	-1.63518682836188	-2.03552410774337	-1.82564365088778	-1.66654950555627	-1.70825616655106	-1.68436355749364	-1.42920498790328	-1.61890649446658	-1.63128406137743	-1.36081730682116	-1.80804879308628	-1.70253365940466	-1.70366688344121	-1.88432683147198	-1.63927850301491	-1.60158854351213	-1.52312544332134	-1.72114376607192	-1.6439632037439	-1.78948678185217	-1.63926424627957	-1.55161610699347	-1.53340303091797	-2.08571570570736	-1.62714005477155	-1.45743901044556	-1.47008483689626	-1.54432028432659	-1.5754930793463	-1.6277399057577	-1.66807921311717	-1.54700750584526	-1.61463623372045	-1.76922946880011	-1.53488719082589	-1.78654794488867	-1.39501141180154	-1.57838027425755	-1.53492052023877	-1.8276774971272	-1.68545321301399
"5691"	-1.7290313659653	-1.40734024292036	-1.43192396377708	-1.65640026723899	-1.56594699099747	-1.74457363327258	-1.63447570018425	-1.62171375361227	-1.0994939515913	-1.49013996608472	-1.96047741258058	-1.71811582827401	-1.70332473340264	-1.39884862704351	-1.71760435374681	-1.52642777126695	-1.51284256381075	-1.61795698477193	-1.71854159254666	-1.93606323135535	-1.66793463356805	-1.8359908351291	-1.64044547081608	-1.92513170281001	-1.93855969376937	-1.61467104023681	-1.66743234349899	-1.69314912101277	-1.47860123176301	-1.58836567609846	-1.73231007022121	-1.61031671111003	-1.69985678680766	-1.80193947305948	-1.89081966246554	-1.58542728253504	-1.44779355499302	-1.72162030649847	-1.72364287165534	-1.73810514707507	-1.38261348801895	-1.91614074184424	-1.58862041428389	-1.73177229025074	-1.74775117844168	-1.68889937547825	-1.65099342602018	-1.5939846907481	-1.47821171970322	-1.48730441487784	-1.73271960627976	-1.57608199743005	-1.62807058255674	-1.60650446416606	-1.68813859121733	-1.71588120762596	-1.72650192505888	-1.65227428513322	-1.82454415808869	-1.60917653619422	-1.63052072561662
"729873"	2.37784887445286	2.25876268859684	1.93705045548763	2.75654781259432	2.26244374836475	1.84870935497796	2.16919886032556	2.02437632578034	2.03351333005824	2.32896786061474	2.03663833654169	2.37872130871471	2.31216559459896	2.26654637511516	1.92639863419867	2.04869962103284	1.56202695315356	1.85933084521458	2.36056403070333	2.52370825333399	2.41839194750676	2.17031246336582	1.84788306449643	2.50528269044697	2.47436608488277	2.3474167792884	2.18597488740416	2.25797555166389	1.692285988799	2.21535446889562	2.02561528437375	2.024223145192	2.31628358121456	1.92023800976869	2.07160716967961	1.8536837046161	2.12721918386454	2.48244512998603	2.11850573012223	2.22884025122389	2.54178161966227	2.08411033395608	2.48113151933981	2.27686634739259	2.52022450309449	2.37936633488095	2.05502271488513	2.4890970689076	1.67267295270884	2.11065139199764	1.8769844402341	2.25972487363852	2.02325036055043	2.46868175153775	2.40852311976106	2.69056618343643	1.93419615984165	2.41477511779683	2.27503092416884	2.16132964926935	2.0030423618566
