	"ACH.000045"	"ACH.000113"	"ACH.000143"	"ACH.000198"	"ACH.000332"	"ACH.000486"	"ACH.000502"	"ACH.000648"	"ACH.000657"	"ACH.000771"	"ACH.000912"	"ACH.001061"
"340351"	-0.207449991141145	-0.118319334705632	-0.138504035709792	-0.172357538432393	-0.0775666591669486	-0.0482758392430215	0.0312864925973556	-0.193504562530397	-0.154762614608454	-0.113664755067823	-0.078365121735987	-0.114586916678236
"79822"	0.128119573341866	0.0892524317303738	-0.17064893124741	0.1089977872598	0.0940736412554034	0.151977571128603	0.0994858998611267	0.212158466333666	0.0890407671836392	0.0648698776455714	0.0488194239720247	0.127115190747949
"57827"	-0.177921935109649	-0.160307136240772	-0.246953073150034	-0.227251585432364	-0.173642482823182	-0.199342663279636	-0.301763697907941	-0.319633093880717	-0.19320618869643	-0.254433881391809	-0.35811290726192	-0.233710861377091
"782"	-0.165733068455372	-0.150027020134855	-0.283128855484465	-0.260962139798398	-0.146417338707466	-0.157329744368034	-0.201704731647196	-0.182486795537318	-0.215747705202654	-0.140114488368776	-0.21344440131937	-0.161260679925227
"91409"	-0.452247861342718	-0.280606990067226	-0.302181175220611	-0.402592266508134	-0.152864349922472	-0.186684156428771	-0.316845522768833	-0.5763221040766	-0.26790141289654	-0.246195886312194	-0.25311942837711	-0.255246861171591
"6361"	-0.208606761024176	-0.127850509792267	-0.143301886027749	-0.203552395075051	-0.171144204342127	-0.132261347209044	-0.251984998926245	-0.218640354839763	-0.154465834402071	-0.0926393942096978	-0.171286341479238	-0.260232680980385
"57699"	-0.247836144376347	-0.309178654316338	-0.23032081160766	-0.26589206968996	-0.213561102866333	-0.211783452128782	-0.206019294147585	-0.286121682253865	-0.208024324041976	-0.162522424620682	-0.208486850159681	-0.146280046520035
"1663"	-0.566841655921497	-0.617303058190848	-0.825432412225356	-0.714342762456941	-0.571566007712288	-0.648637115112092	-0.811855940743728	-0.747073844138363	-0.622436645687055	-1.04139048417204	-0.890669044106002	-0.711271970674776
"1796"	-0.155972287055916	-0.0775149447662792	-0.00435069445667541	-0.113842840518348	-0.092240398446767	-0.136839854358441	-0.102378186237476	-0.149322500279747	-0.0743415848428752	-0.194480657894676	-0.129221720413299	-0.064906075059585
"10589"	-0.644452052606409	-0.6267852692047	-0.595612206541598	-0.485155034627223	-0.549456186987779	-0.67995162123346	-0.318930791065329	-0.641528302109768	-0.389090351639934	-0.747167800783509	-0.712551027862504	-0.757348233026235
"2059"	0.3066936626798	0.156828340304839	0.12855338099385	0.18841508185742	0.0939216617073968	0.091377653652728	0.149704536808518	0.248451482313329	0.258610303692466	0.190470168080725	0.176802733820024	0.160086339213811
"27248"	-0.190810940122015	-0.0374237806165713	-0.139239990914347	-0.20378534457425	-0.12058877810513	-0.132857392662559	-0.0746272588182782	-0.157341842846852	-0.101039479637199	-0.293846655110863	-0.225809262147317	-0.149205007895805
"9415"	-0.410939349177826	-0.151591083763775	-0.211051295485379	-0.316807289719911	-0.0982809477006625	-0.238103286808671	-0.240576446090701	-0.302822674521563	-0.298064191616205	-0.250772179516673	-0.189651981993377	-0.216847430789408
"2208"	-0.114231828458873	0.0231749484470324	0.00990583472027738	0.0622862639941788	0.0459493192712783	0.0584297208117972	-0.0283558869863561	0.104649841811331	0.0483031586472449	-0.00196148441621014	-0.012599104450529	0.0037591982655492
"2890"	0.135271059017093	-0.0437272205966891	0.0805607438392452	-0.185099755116532	-0.0666416846472186	-0.0266083754347167	-0.0244200989191386	-0.167616971290716	-0.0835350573177933	-0.0110196113612106	-0.00714865788374698	0.00392497100574727
"654502"	0.283572176929268	0.150436811154894	0.115157579061394	0.258651798500945	0.210482792240819	0.173517511994312	0.186608955371296	0.352358620362548	0.279924589219282	0.222533861548023	0.155340811568234	0.167191344728826
"80333"	0.16246396014352	0.0172875431374365	0.116315663424855	0.0903956611629478	0.090036078680037	0.103221859905784	0.0449998870139666	0.15263377445845	0.0628635944961295	0.182075320830388	0.0821133054971627	0.0930188625302581
"353133"	-0.579730139265616	-0.429781997138848	-0.559378544554765	-0.54291012127206	-0.587543057200768	-0.442257413383002	-0.517649227422848	-0.494839318825188	-0.505972113088317	-0.41788639289368	-0.371919135786337	-0.42795490296385
"137797"	-0.368790145842001	-0.136845794124354	-0.290126804316169	-0.232057649565665	-0.296311450651597	-0.230546531617587	-0.434691345089795	-0.403793208760026	-0.259917821883573	-0.33410882023443	-0.350935737346212	-0.333508221052347
"5871"	-0.322397047159596	-0.132050814532803	-0.179453898508428	-0.229875906779557	-0.263388446259879	-0.189730210991281	-0.155398583831677	-0.272926771233721	-0.257477545352467	-0.213931159379796	-0.188388635545038	-0.233246523704208
"100820829"	0.16347902645735	0.14260134749795	0.243985703340726	0.170726012699718	0.147029750821081	0.0747296542552674	0.163533264687203	0.254985370057609	0.159792037577119	0.126102412962972	0.10234006113279	0.0947484058050074
"4887"	0.424513897206391	0.211433881459639	0.327388144630207	0.248893211881459	0.264391720971749	0.193814315271641	0.241633871112148	0.278423504264525	0.250280448408518	0.293992869177124	0.246347371071816	0.273960494740827
"11051"	-1.33962982332517	-1.34801226566619	-1.16092601170145	-1.40451560712401	-1.20159713171999	-1.17490536141332	-1.14711737989214	-1.55682384005088	-1.27527431274688	-1.24725908523222	-1.39831072753437	-1.15237953991829
"4973"	0.206528843499815	0.130800341317364	0.272757404011214	0.165082614155314	0.145172504779881	0.126425212210244	0.215194791283661	0.170243546854381	0.150300732451657	0.204526719920275	0.148427087898758	0.0905438961882
"127623"	-0.199309553243482	-0.237607290111885	-0.149285467016305	-0.0511090734003238	-0.0882361334683891	-0.074270957963282	-0.139991757393367	-0.218814403681569	-0.0908032956264342	-0.0718291788683267	-0.0518363033287662	0.0750345706396194
"23594"	-1.03914769202709	-1.08703973280902	-1.25944833975573	-1.09918058171909	-1.14886520019018	-1.03678068537053	-1.19176378884008	-1.02901223060597	-1.05389375632335	-0.865469114459829	-1.21786533885774	-1.00301620826477
"5048"	-1.32854176891664	-1.39338854667817	-1.49416480182975	-1.36072735890516	-1.49745709111155	-1.3607872933188	-1.49310609040338	-1.47868349492972	-1.43601651228122	-1.26653231947727	-1.47957101439039	-1.22810915178635
"196743"	-0.192388673087353	-0.129161047878003	-0.179494207454662	-0.123114449418145	-0.138061573763666	-0.165183320259873	-0.169263539089718	-0.149729603694704	-0.238717863026394	-0.158759985407219	-0.171682736395642	-0.0657315189073015
"5342"	-0.36090691232998	-0.389126383596769	-0.289223432587387	-0.382633381416571	-0.280150610918753	-0.362699024320959	-0.336282898454708	-0.395290083125711	-0.297411723237261	-0.296207271509919	-0.175626185461798	-0.254441518622073
"5441"	-1.79417072841113	-1.57792400004598	-1.72750299221837	-1.61008845326322	-1.57602649503169	-1.74618032952827	-1.60420714009039	-1.73852456163377	-1.6177860779791	-1.77778436114725	-1.5493071792685	-1.53495547428656
"9883"	-0.230052056456869	-0.252409855681712	-0.208400929390509	-0.289883298931735	-0.128903662702947	-0.176135697153112	-0.347262582516049	-0.288563814929616	-0.241850316308774	-0.241166846986998	-0.309128372779363	-0.185951733217963
"11281"	-0.0755591768169104	0.0501069576562002	-0.154773532148297	-0.0470696159705087	-0.0826530179675694	0.12118588213452	0.0546757661988827	-0.125401714378728	-0.0828828086629789	-0.00225167591177732	0.0192309101371754	-1.44579544744236E-4
"57718"	0.23053279673186	0.0753846195262374	0.147765621382246	0.192861036752468	0.0784308948274841	0.0364318144556902	-0.0814988591236425	0.185287847074583	0.117849254426167	0.0694571349964442	0.0968685110886481	0.0714126583451928
"5551"	-0.17158203397369	-0.037288015286793	-0.0700403851636348	-0.036287734050006	-0.0403870709192649	0.136642864634056	0.0807432634282564	0.191104546373868	0.113544774709882	0.0199593757353191	-0.039757658908303	0.0260404861779177
"5901"	-1.90445197544471	-1.87169294337664	-1.92254820649759	-2.04127338251535	-1.84283516044735	-1.67388257064	-1.76010640379589	-1.92971157499135	-1.94898439210813	-1.77118999759739	-2.02505182739125	-1.63983967283518
"84991"	-0.853494813914064	-0.83564631041569	-1.0331385896234	-0.757978997942879	-0.739499178679988	-0.856745923432427	-0.888957525529932	-0.938463230263045	-0.902673214343697	-0.890796637993246	-0.864858784365169	-0.978996643806621
"79596"	-0.103074437144235	-0.101721878463445	-0.0701450340350448	-0.122767650367915	0.00782241898694136	-0.0250635058698372	0.0204045966750671	-0.263081001880873	-0.0105001548896089	0.0181132478792769	-0.0553169213610435	-0.0135322566039901
"6167"	-1.64152227487885	-1.66310062376058	-1.65349487839749	-1.7247255245442	-1.74176438679744	-1.47657610701325	-1.54739313715107	-1.64029871297684	-1.64981498204024	-1.35797906774533	-1.67193487249627	-1.49143837087758
"140576"	-0.099309564677604	-0.0215232037507129	0.0303134763599476	0.0665477725949382	-0.0868968145474998	-9.19669861771209E-4	0.0165570777529157	0.112280526191179	-0.0419305459230627	-0.0691672602747743	-0.0842242675419628	-0.0149779337559097
"56935"	0.137364712406979	0.00383443863687186	-0.0591548327056363	-0.142714933279333	-0.0364189344509573	-0.0247164598831992	-0.00234169876741136	-0.115355314901748	-0.18272532426375	-0.00548289575826788	-0.0693549295633951	-0.0484392998863233
"23293"	-0.954896929487016	-1.00397407440844	-1.02715886898584	-0.981503516478215	-1.00226192497536	-0.909496777143022	-1.11521798859722	-0.945095324602009	-0.738741956134887	-1.10183705571105	-1.09228158510371	-0.971781933279719
"51188"	-1.60625352464606	-1.72167008789208	-1.54373121430302	-1.56476483791923	-1.64539394628819	-1.57946639141633	-1.5230358895049	-1.62671536344213	-1.56789770478535	-1.62109097030619	-1.67318240567419	-1.52638959425132
"729873"	1.99758285471073	1.9973037361376	2.2100122680549	2.15217072202921	2.03800619409497	1.95563239607761	1.96584178961247	2.12801237140822	1.8980667607905	2.05909488522066	2.06356970095121	2.05401284875104
