	"ACH.000015"	"ACH.000021"	"ACH.000025"	"ACH.000028"	"ACH.000035"	"ACH.000086"	"ACH.000092"	"ACH.000095"	"ACH.000099"	"ACH.000108"	"ACH.000113"	"ACH.000116"	"ACH.000123"	"ACH.000127"	"ACH.000133"	"ACH.000143"	"ACH.000152"	"ACH.000169"	"ACH.000178"	"ACH.000211"	"ACH.000215"	"ACH.000223"	"ACH.000231"	"ACH.000232"	"ACH.000243"	"ACH.000253"	"ACH.000255"	"ACH.000261"	"ACH.000264"	"ACH.000265"	"ACH.000288"	"ACH.000315"	"ACH.000319"	"ACH.000332"	"ACH.000339"	"ACH.000348"	"ACH.000352"	"ACH.000376"	"ACH.000390"	"ACH.000401"	"ACH.000410"	"ACH.000416"	"ACH.000425"	"ACH.000444"	"ACH.000452"	"ACH.000468"	"ACH.000469"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000488"	"ACH.000505"	"ACH.000510"	"ACH.000511"	"ACH.000512"	"ACH.000522"	"ACH.000528"	"ACH.000542"	"ACH.000544"	"ACH.000552"	"ACH.000570"	"ACH.000573"	"ACH.000579"	"ACH.000584"	"ACH.000605"	"ACH.000623"	"ACH.000627"	"ACH.000632"	"ACH.000638"	"ACH.000665"	"ACH.000671"	"ACH.000676"	"ACH.000683"	"ACH.000706"	"ACH.000713"	"ACH.000720"	"ACH.000721"	"ACH.000732"	"ACH.000734"	"ACH.000738"	"ACH.000760"	"ACH.000765"	"ACH.000768"	"ACH.000769"	"ACH.000784"	"ACH.000788"	"ACH.000802"	"ACH.000819"	"ACH.000832"	"ACH.000835"	"ACH.000841"	"ACH.000843"	"ACH.000856"	"ACH.000859"	"ACH.000861"	"ACH.000865"	"ACH.000867"	"ACH.000882"	"ACH.000887"	"ACH.000896"	"ACH.000901"	"ACH.000905"	"ACH.000906"	"ACH.000912"	"ACH.000915"	"ACH.000917"	"ACH.000947"	"ACH.000973"	"ACH.000974"	"ACH.000986"	"ACH.001048"	"ACH.001067"	"ACH.001111"	"ACH.001163"	"ACH.001232"	"ACH.001239"	"ACH.001306"	"ACH.001318"	"ACH.001322"	"ACH.001336"	"ACH.001380"
"51"	-0.0759071676341779	-0.465736272643514	0.0898487394042729	-0.0712666714905606	-0.0850253659697411	0.0345695200459308	0.0511471356320262	0.0669420212090628	-0.141137178821143	-0.123813549891222	-0.0744408329087392	-0.0914437105788708	0.0846184057150043	-0.300569839464026	0.0265712886773567	-0.203093684026924	-0.150960053407683	-0.180216614901609	-0.208950654980275	-0.102181189073227	-7.29645963561878E-4	-0.265326223036954	-0.25524651480961	0.0975278199262718	-0.178669557679819	-0.296191296405302	-0.105901183113783	-0.0762686285263768	-0.152939421452762	-0.155572184639522	9.03839054796831E-4	-0.0436674536689421	-0.136847734657055	-0.130158492209297	0.066095227007274	-0.0267205457266235	-0.101353655849531	-0.0956520078229769	-0.0950967098008109	0.172106424461597	0.113971711254044	-0.089958933402063	-0.064092406143649	-0.111194247125534	-0.0607376628761505	-0.0496830459901882	-0.00555675815358815	-0.115611486830174	-0.0173576738496709	-0.102228467047068	-0.153460593014433	-0.0866947255587353	-0.216144818277363	-0.1322507505146	0.0484250064490335	0.046118255727084	0.0761858899085626	-0.0508188434168337	-0.0786664177622004	-0.0870010403908867	-0.323776597045672	-0.12128680951324	-0.00317964344086001	0.0195642100024045	-0.176851603583942	-0.0251142486358884	-0.192994685105878	-0.0399139227362196	-0.340680684434034	-0.0416335919777725	-0.0400697647789676	-0.176311579560973	0.0320446935135481	-0.192550474294548	0.00353348854649143	0.0283086865204826	-0.0200923119903028	-0.264843939416129	0.0801528093111507	-0.0907060603784729	-0.109296504108594	-0.0910958778187662	-0.0791969765416942	0.0152363412577277	-0.0565281550318221	-0.0705920455992697	-0.00970384220886483	-0.205500331899544	-0.321647797209523	0.0739401064313638	-0.453682932897513	-0.0378538465263614	-0.0337426842287326	-0.00800142671468496	-0.00499963687274023	-0.106734136547716	-0.197199118449527	-0.18298144384899	-0.0753057222890642	0.0559791220849006	-0.123136025832435	-0.112842310880422	-0.0727682313736855	-0.154499322527764	-0.112690863597026	-0.0340222522544445	-0.0102309771454522	-0.277512892757917	-0.156561917534129	-0.0619622391596577	-0.0544686345976124	-0.0446948120465488	-0.179996436387117	-0.210464477779832	0.101543564844791	-0.0679957309051854	0.0964709196541991	-0.336036625144418	0.0858671510450549	-0.162849164082485	-0.103787185826776
"23141"	-1.46131147056841	-1.3609557752118	-1.31654123453804	-1.29409459669635	-1.32913783440375	-1.44299283131924	-1.36576005577462	-1.48048364237802	-1.39796369260294	-1.38250754893571	-1.46512247698125	-1.32433791548536	-1.4764122613049	-1.37694027514868	-1.34554711415214	-1.61314052923134	-1.49942979876802	-1.28004028306183	-1.35853936393429	-1.34724060462001	-1.44136840433323	-1.57850334907385	-1.35237399697335	-1.52734806851843	-1.41872637285653	-1.34425725413199	-1.30830690733494	-1.36485422835062	-1.47904244206424	-1.39226235416765	-1.42150035154171	-1.74496312448645	-1.29886673284385	-1.39099337197639	-1.40973032521069	-1.48641575957668	-1.50200884205651	-1.26637975606742	-1.628769557045	-1.34526231984186	-1.28473154369876	-1.50970518958623	-1.42472931298082	-1.15778694511639	-1.51800910076049	-1.57483597909847	-1.50871571867418	-1.39139611908309	-1.44475296937535	-1.24089956212994	-1.40913333129268	-1.40831167049158	-1.51635973345982	-1.3174259474635	-1.41247178285022	-1.38858151735715	-1.563663082717	-1.345535175287	-1.35853662936876	-1.60582507483583	-1.50517063342956	-1.63875643980138	-1.58388768458183	-1.48873240301755	-1.50201286650328	-1.44960029019135	-1.24437485478726	-1.59947891233978	-1.58255402352216	-1.43449606132176	-1.43143425483126	-1.30562389260986	-1.4544327031997	-1.10015846273549	-1.30073911045471	-1.27035747187436	-1.47659500478266	-1.63964973554742	-1.45277978607075	-1.26530890192765	-1.42880484000482	-1.34219757275815	-1.46997340046594	-1.32921138369446	-1.39218678327983	-1.3721848071121	-1.5246931273969	-1.33321603708082	-1.38573048734142	-1.52828673921121	-1.45504279321069	-1.36608768064776	-1.42280017743374	-1.14799534586866	-1.48572210226858	-1.62514862192339	-1.42793879716716	-1.38462990070376	-1.24109479829301	-1.36117129350227	-1.56359805156252	-1.26598511162448	-1.39534196646542	-1.48141989468011	-1.25873975369379	-1.6053798840754	-1.5432875095409	-1.37141329812717	-1.39031101721031	-1.22183295645967	-1.31745129418415	-1.39466216585515	-1.63154855509967	-1.54391498631435	-1.27953036750784	-1.33396325085084	-1.57820354141564	-1.51219444284202	-1.37736201112913	-1.355622080187	-1.35972599098841
"364"	-0.883879380167207	-0.961642656522171	-0.761741297894309	-0.629730932720338	-0.481396610696613	-0.82619443294482	-0.828309369042005	-0.700389400797551	-0.664590816932176	-0.712185832939692	-0.757082684916163	-0.612480876319581	-0.697139852285094	-0.79579749122387	-0.625160863353767	-0.696447218865356	-0.677478378219586	-0.548618790961027	-0.737977907513791	-0.698540095483204	-0.918929127774422	-0.633108691300356	-0.649956387032702	-0.802615953818695	-0.555050313454807	-0.7581992536747	-0.686254242051313	-0.738546827233502	-0.777036589276761	-0.736434867882629	-0.670657075370353	-0.64250418949555	-0.537272876466555	-0.742679090654859	-0.704666378013333	-0.717671619450393	-0.665066744435557	-0.889860927696841	-0.791815098952923	-0.764308883282344	-0.605193223967689	-0.624162085787286	-0.667595321158278	-0.617100423462795	-0.680277396760697	-0.690612226742385	-0.692548638167903	-0.920015189612045	-0.875313046478936	-0.652411464769374	-0.694026779623508	-0.719938939104643	-0.547049052197453	-0.889722094873949	-0.770270342861735	-0.767889817972153	-0.688712287263917	-0.698988195630144	-0.617560371308138	-0.532620241487714	-0.676600276795461	-0.614638381152772	-0.643288776635065	-0.802401232478426	-0.821467482723956	-0.708778978692597	-0.672709323055704	-0.75059635212166	-0.731534322078386	-0.607218736609441	-0.911161256001992	-0.785424392723947	-0.715008776048409	-0.841763308195876	-0.778594820218689	-0.888244346982669	-0.844503723806407	-0.87207805147005	-0.814050356668457	-0.837715201561415	-0.534333350338101	-1.00925700257993	-0.760994452252544	-0.747476879078212	-0.75164609542733	-0.798266534522259	-0.662558077773909	-0.887879417882705	-0.687754085237422	-1.04642170861453	-0.777479425360057	-0.510033887317236	-0.864543150772293	-0.802380460181968	-0.713857381267458	-0.77791993902359	-0.708129663019851	-0.653146945131376	-0.633488156095371	-1.01303753457597	-0.769911538930182	-0.698932668751081	-0.717948322672392	-0.800744368562089	-0.624253034699959	-0.939608617355166	-0.697220456210594	-0.865219638108278	-0.581641921590376	-0.837406518975459	-0.742093314924373	-0.733610071304618	-0.782938930266102	-0.674002051622783	-0.585954964567787	-0.752613381661147	-0.453168192704694	-0.953679157326153	-0.699432524335441	-0.518116188812671	-0.900022563549037
"79982"	0.160519944090015	0.162224067984021	0.0744731622995701	0.127498295666899	0.177692182155978	0.0763083200909292	0.0615557347017021	0.059658861907376	0.207287872716047	0.1164263209457	0.137097689206768	-0.0468202893594103	0.132869394864197	0.136052383690776	0.171641842861695	0.0513826396359601	0.0411711191005848	0.0907723933283891	0.175910477090857	0.117320359679472	0.25257042782582	0.0650930623803038	0.0958365337589399	0.186130080272971	0.136511384639917	0.222836578874345	0.0574606233396279	0.203753677271353	0.140570723869714	0.043986187119358	0.186469470064573	-0.0216405084805884	0.333175000941919	0.209206604160978	0.176005164291751	0.0842285899161704	0.0796045803771125	0.0461994412239866	0.233389555695372	0.136786100715007	0.146572662941826	0.136689130693205	0.0890496769920117	0.170736641094252	0.092257317873459	0.191730559261169	0.203964697466306	0.13297134967792	0.0918672023789761	0.0659802644123281	0.106793604314056	0.112758349966618	0.0823199746469634	0.155646057250871	0.201853865872232	0.0867307140674587	0.0952671615442483	0.149196055827646	0.133354938329494	0.17870928308765	0.14999589277988	0.168024831759486	0.0908934638017433	0.176079788608458	0.182860628844561	0.0980214036703985	0.122770333554855	0.153029916908444	0.132633959147927	0.0876708479698964	0.146808449758592	0.141718314659692	0.177720566632218	0.144699493709283	0.096208835893322	0.100775281388191	0.1634114378108	0.127212138438738	0.160073264347117	0.153852225493513	0.17479225133642	0.268818391868875	0.157583626927658	0.0738149082025651	0.125355834746417	0.150623515533024	0.0521510742773311	0.173149196012234	0.100174597034	0.120285633769636	-0.0239932669747971	0.197210852059051	0.195700540458009	0.115768483548224	0.142628692413282	0.113212936627799	0.112089993623061	0.218192720511213	0.132981866630625	0.158934500482974	0.11487793440205	0.111283564460408	0.172136301960535	0.261972393719742	0.11709426620798	0.145867234582589	0.0760815835575091	-0.0606584633288082	0.0681741516692333	0.174164273750233	0.145714596771571	0.224315043617769	0.0789521389232014	0.0757188586912966	-0.010724611100508	0.116071460678923	0.129749209125452	0.0737717370709815	-0.0777118412988021	0.0936455696092161	0.115500783843995
"2617"	-1.01298934813764	-0.827382969157944	-0.839324181190122	-0.801356892312386	-1.03452809456876	-0.802911748355478	-0.739532236278192	-0.865905537280017	-0.807836265061573	-0.802187517607457	-0.758688639751986	-1.03270456553367	-0.894686209516024	-1.00329419315085	-0.806347549661466	-0.800153006372657	-0.854760453159044	-0.82355404230115	-0.796489523376129	-0.925027894768275	-0.749747225446041	-0.951717597082093	-0.790854056371932	-0.900875654903236	-0.850006065998107	-0.8658952611263	-0.636311016761632	-0.739714440034374	-0.903445736415505	-0.945815587855078	-0.980342635225106	-0.730764775564917	-0.718315733873926	-0.629679904481337	-0.871954085439941	-1.00723095199738	-1.07704280865745	-0.975908002673858	-1.03783097535463	-0.895983178810478	-0.900038746659178	-0.809229925705558	-0.808333486968009	-0.908012404033554	-1.04645418039533	-0.958424507881176	-0.874844519897264	-0.960302197116552	-0.939392540432504	-0.917700077011156	-0.830903690418924	-0.947102867408101	-0.942606279651048	-0.840371250263173	-0.793031829150915	-0.981385851138855	-0.969765646313977	-0.931309284904181	-0.846819085280863	-0.872578201278983	-0.7001852287095	-0.942572618136964	-0.984443252978336	-1.05188292265958	-1.0071494497683	-0.923966686970627	-0.81143931991148	-1.24541655233521	-0.841042002982463	-0.801008629783929	-0.777120767159413	-0.957782262062311	-1.03511406340196	-1.0128897214419	-1.01439203563618	-0.873045778041184	-0.859800428833135	-1.05551174925833	-0.973631714790606	-0.720409323569741	-0.990408773928279	-1.05440050483706	-0.770540561412796	-0.842634239728716	-0.859961453822073	-0.743333600945033	-0.997577246219614	-0.962424514126857	-0.779704879481736	-1.1290531503735	-0.79674439231303	-0.93307454028985	-0.752842884410402	-0.806916567187066	-1.05249949260319	-1.01051208278833	-0.780739950353517	-1.04144333708693	-0.799694621061444	-0.794187197148917	-0.903921975735737	-0.785164042055539	-0.958676088429664	-0.888593135670441	-0.89984047410426	-0.961693706339928	-0.927581187766868	-0.834595584853805	-0.749218187063882	-0.91466992215993	-0.860480986665424	-0.835589135923992	-0.753828293478409	-0.94683938346576	-0.747562684302384	-0.859495967125002	-0.972246364838293	-1.12272406031191	-0.812944037865375	-0.767823444929406	-0.962137859847217
"342096"	-0.561801498526177	-0.571863927049002	-0.548288770659127	-0.322957144464358	-0.378653580516583	-0.406064424583618	-0.407378070698804	-0.517763221694045	-0.485912177602507	-0.393979806994429	-0.285189230266304	-0.623716615800968	-0.446425191789698	-0.657221082961886	-0.41639350425359	-0.455713901725106	-0.37883998709323	-0.672330514873973	-0.450705303997395	-0.572953166513343	-0.495229015215351	-0.4540486364691	-0.421993820739266	-0.464116012336918	-0.561540770882497	-0.335127284440393	-0.416284339109901	-0.694670909104812	-0.50818348893947	-0.439245685406743	-0.548505643238157	-0.432074059997872	-0.477312745970891	-0.476099230670892	-0.528510311254815	-0.407263299821312	-0.53693194763229	-0.49119342430744	-0.644191572058505	-0.285493641613326	-0.552404651826582	-0.410040042138278	-0.468212955628515	-0.312736615977875	-0.528922928365602	-0.584546475332155	-0.396754340586201	-0.641355069108114	-0.487531516210331	-0.62036908467893	-0.558846295584556	-0.437806509466266	-0.454720885709447	-0.457249589436756	-0.231376325540659	-0.568336744774504	-0.618216798173468	-0.5410141773434	-0.471741119252917	-0.49495357775974	-0.584661447984174	-0.493888995916655	-0.591912654500322	-0.598596546358716	-0.644830534565278	-0.60832047560982	-0.375807875834733	-0.575556258349036	-0.621807504881512	-0.503971691286255	-0.547733963018074	-0.413247073328058	-0.623014831289914	-0.500211548246541	-0.441397306876701	-0.443190984744894	-0.611100117528812	-0.510120962215772	-0.529690339918568	-0.520511115491817	-0.546383862025424	-0.438512491951325	-0.459444297536558	-0.631326944659988	-0.605973495795591	-0.464808808527049	-0.397845006912989	-0.695207310150487	-0.401178942734559	-0.462763624133769	-0.519694766178384	-0.487757045239953	-0.453130924378261	-0.455056451005716	-0.574907680149752	-0.553021396615879	-0.506711373910117	-0.463367578327344	-0.36400258254832	-0.577786837262044	-0.580862608774881	-0.42802407527327	-0.541151664248822	-0.43570474943749	-0.479226782610687	-0.602878180838225	-0.608213901364612	-0.567505185632637	-0.531130454746816	-0.435643348924583	-0.488880176632233	-0.404431825387747	-0.408783225687887	-0.511225531919981	-0.670183838062469	-0.605397888411056	-0.332911484439978	-0.587701397820509	-0.381869159622712	-0.54685634197599	-0.541766448923988
"2976"	-0.54907046312257	-0.537244069540297	-0.500943648300302	-0.346247003904689	-0.698777722770754	-0.560396377911563	-0.682009659001445	-0.518006876932155	-0.483440274893824	-0.517785908292423	-0.555366843533583	-0.563366763733723	-0.615615599878478	-0.537047591190061	-0.532153439957891	-0.481360033438438	-0.63475045631676	-0.485694455528726	-0.5175832698787	-0.479748801376865	-0.461994552347823	-0.608162254397313	-0.587828751762113	-0.562539733592022	-0.591228632676778	-0.548021074461683	-0.330975596148287	-0.711074405512656	-0.636948112018624	-0.421801994896652	-0.576913116111411	-0.507537498926696	-0.605410805912661	-0.443312999191093	-0.450940227549229	-0.619090313083786	-0.539085901454515	-0.456697954677712	-0.598836050609024	-0.602632880893441	-0.463678035623712	-0.660402849716383	-0.6234295544482	-0.460133231822149	-0.703188813335776	-0.689561498675165	-0.519228762557289	-0.637287959833586	-0.447626970746181	-0.577223422515696	-0.613166297661331	-0.553891810364939	-0.55490292802225	-0.483654557979161	-0.678646828580814	-0.579127719945793	-0.533749049565221	-0.549103323393715	-0.551470031249589	-0.566531510299878	-0.51810918278862	-0.821076468607134	-0.596554149629759	-0.626839420862592	-0.581822701095902	-0.561675600750186	-0.42586103807951	-0.570796542377868	-0.54540983018188	-0.721770879110674	-0.533137127412214	-0.561506830799704	-0.488036285404636	-0.545137349399994	-0.523713655225221	-0.510322812213215	-0.670541290395563	-0.468507262426701	-0.530812871493617	-0.562914148689749	-0.630746959383525	-0.662785671559804	-0.531809030246216	-0.334058678366967	-0.662289542321978	-0.725629300757502	-0.661403692714917	-0.540934027660881	-0.567109073950216	-0.590852159329205	-0.436996531302792	-0.490160357306433	-0.417179031941888	-0.560547665091758	-0.551229753580019	-0.632922827634721	-0.463868539602972	-0.458842756131909	-0.430450136185349	-0.736082910074845	-0.689609406834744	-0.613542130227422	-0.541952701488463	-0.481921555754744	-0.566686841272374	-0.590554112612671	-0.623338711296369	-0.595266268969436	-0.69080867775679	-0.403132996884446	-0.657119252877006	-0.527548260429933	-0.423483888462137	-0.624154751417008	-0.610595128250469	-0.510726548921027	-0.420961756371152	-0.687813710209836	-0.680447404944692	-0.468811302147429	-0.480886633518189
"3448"	-0.0997255151282806	-0.229293699576785	-0.239998700908285	0.0529539425601368	0.0928178757618671	-0.0909452302808356	-0.244636834612768	-0.255630173591401	-0.188703074372134	-0.0345822735394047	-0.118289341878293	-0.168978777034983	-0.184672417143823	-0.223663112179295	-0.197105971989642	-0.109890764577056	-0.218240896826991	-0.199397242773246	0.014115692823636	-0.23052416816407	-0.262752379554347	-0.0881605527764988	-0.076863171729763	-0.297665977511473	-0.208907826370215	-0.0969281293696356	-0.0260513697409908	-0.273514745266089	-0.190672495251022	-0.206428092405923	-0.147150136342409	-0.104214279899212	-0.0217181490026274	-0.221052690031965	-0.243714786644549	-0.138280341721722	-0.115539446397364	-0.167468124006248	-0.315860813940578	-0.228135855852511	-0.18735991652063	-0.221796562506555	-0.147386833228671	0.0194283588023891	-0.125547539189023	-0.183253938453831	-0.129509807705777	-0.1345322787615	-0.231718109117353	-0.112041044315431	-0.244083860969196	-0.19489410163401	-0.108029209048182	-0.148159586027736	-0.0394750191339989	-0.164310917655608	-0.185349210173185	-0.153200287183589	-0.059363790324911	-0.0984903177075689	-0.270712207032828	-0.0866908615835973	-0.278268113161391	-0.105883356760843	-0.131308385551761	-0.198244166898921	0.00818926369017988	-0.0765899857514485	-0.0452493450845987	-0.150129291550015	-0.29759312461029	-0.207923852492884	-0.18430043839366	-0.0595571535234496	0.0346027805611299	-0.198353409153903	-0.185387904337673	-0.144643485422977	-0.244640346003403	-0.27852090692324	-0.245231766221534	-0.293238347086539	-0.195524168149843	-0.219493169212239	-0.119547358464366	-0.240281594164254	-0.229794269073069	-0.0795338136029372	-0.0173736315110535	-0.206425008612759	-0.220533565041356	-0.173083093157496	-0.128688726613043	-0.142365087346053	-0.110479703948531	-0.250545374361148	-0.196516495218236	-0.0914507120087919	-0.140989882841676	-0.208611070110299	-0.140154650051359	-0.149348229953827	-0.074677396156149	-0.0597459225106282	-0.208309641369249	-0.242134607771574	-0.253654259172079	-0.200730978072931	-0.18903341354374	-0.277539810537075	-0.275823176206491	-0.0575838737346009	-0.119958268292581	-0.12075172326676	-0.0517589967436027	-0.140706128617812	-0.0483882146320353	-0.258912488831032	-0.242981037302216	-0.183473560412295	-0.256828451390406
"91749"	0.0693947215496502	-0.171233875094598	-0.0540897139619526	-0.0160371306547574	0.106863580117325	0.0850027714711627	-0.0415798959892174	-0.182086803715661	-0.107103947219135	-0.0407922638863696	-0.130084278056585	-0.0291432576594352	-0.0428095316261528	-0.0826777759779112	-0.0311981621943828	-0.198219317571473	-0.0259587183185505	0.0369781191962893	-0.0367652362828658	-0.0602441174956902	0.0228203195365849	-0.0966696480660779	-0.0999859795969944	-0.0464648040882248	-0.0387269698409298	0.0429321797657359	-0.0560898310403107	-0.0492074409951912	-0.0320102962850609	-0.0184318141752908	-0.0920842113780391	0.173756576136904	-0.0344927924001479	-0.0229958497680646	0.00399170840507221	0.00180661008049843	0.00934372898106833	-0.0325023527891346	-0.0178081360391516	0.0242097928424667	-0.0702061333941923	-0.018715785075161	-0.0751379358724413	0.0354343929101392	-0.0894216737019324	-0.0851806324267232	-0.0839064956086526	-0.0464050415950646	-0.0687218461523959	-0.00868577642041118	-0.0409121536916271	-0.0555855214739202	0.0547128838275923	-0.097549592297622	0.0137010584749226	-0.00544439912361582	-0.0151868317806221	-0.129961673028257	0.0572385912161848	0.101521393449072	-0.0435722470944656	-0.129094672393565	0.0527021398906821	-0.157596033876372	-0.106968284868946	0.00961835238231172	0.0420084905057603	-0.0584595116622881	-0.0395234336351127	0.0408149613382879	-0.0662791092647666	-5.60262885586584E-4	-0.162857661627754	-0.0722016734565154	-0.0687674943273257	-0.0908050121416866	-0.0234961680993265	0.104904571669322	-0.049255237077069	-0.0502943004026923	-0.00995392637496898	-0.190290823825026	0.105909421054797	-0.0716628432384048	-0.0858728311457631	-0.135339333236959	-0.0779303119907877	-0.161643201184235	-0.0376526791602733	0.0895058123622108	0.0736756975838092	0.157341152196019	-0.00220914881971946	0.0273012627980691	-0.122334665181669	-0.0171512395045915	-0.0612032855238812	-0.098722672474182	-0.0483267745719908	0.0489990566523818	-0.00105800624796019	0.0228628362183307	-0.0607245721184144	-0.074087958560117	-0.0926945625930263	-0.03880115726411	-0.0554537469974688	-0.0247195113395252	-0.0754775665459088	-0.166829271533826	-0.0787618488828222	0.0131061072632668	-0.251043179586239	-0.0970759052703891	-0.0303097225328738	0.00407633522159367	-0.0373224602862884	0.0166980074716353	0.0128238048445665	-0.0744600674490468	-0.0652112657532998
"22916"	-1.46583942327253	-1.27380350661908	-1.2984841345407	-1.12354380350232	-1.35312289892655	-1.30197849334025	-1.15162829483953	-1.247588822298	-1.17944529984829	-1.42270346915701	-1.30149222328474	-1.40512395077926	-1.14547136808255	-1.30458008356013	-1.34235795899354	-1.28998930645802	-1.30554609023754	-1.41854302222108	-1.43334112661226	-1.34224830886293	-1.41011239113678	-1.21552274122435	-1.14133612351124	-1.45862613434801	-1.52382914279136	-1.29366018700289	-1.18906483224908	-1.60815996154494	-1.29563194284549	-1.42814150874567	-1.33485361703566	-1.12849390891122	-1.4521617343797	-1.2732242127413	-1.4557594527409	-1.14361612942511	-1.49908921497579	-1.26452995290001	-1.21976340767619	-1.25061640814332	-1.3736498020676	-1.26198671437692	-1.11358999693041	-1.0743159037674	-1.34517430253287	-1.35541519354125	-1.39799238948698	-1.18882476926361	-1.28152704019727	-1.11976323460095	-1.37175105722468	-1.27909387763249	-1.14521740062474	-1.35216175939574	-1.22552205553537	-1.43697220403878	-1.18022805089148	-1.33701281102967	-1.09446130566351	-1.28405871483135	-1.34051611148819	-1.49356706853875	-1.26379480550457	-1.68382578313403	-1.42089344258823	-1.36813013810448	-1.46280215776217	-1.07866353097457	-1.25574731463286	-1.43628376214808	-1.40569786826256	-1.29129862761387	-1.23984835173426	-1.39161478978296	-1.24647916037938	-1.69941071674734	-1.38236984642121	-1.23265899567457	-1.5001369275773	-1.3817675030311	-1.36199122763681	-1.33943764129754	-1.39167083833271	-1.21681188034336	-1.20041899458473	-1.37405761775434	-1.15614301426067	-1.34115697603929	-1.32783292691606	-1.46102515663445	-1.48318731189197	-1.23455721284219	-1.18391634059238	-1.15533077202285	-1.3952511198018	-1.44609767505449	-1.42327692630916	-1.22262236037208	-1.42041054667044	-1.59750879290617	-1.4282704448997	-1.44444204386516	-1.27570463418598	-1.4591204153593	-1.04140826663934	-1.54586526328527	-1.33708679690425	-1.4331447146981	-1.20807418821223	-1.38264517027851	-1.15171114418812	-1.16533326965349	-1.48196924396964	-1.30489358613173	-1.51685635009805	-1.16373898576499	-1.175696945283	-1.71052264690571	-1.25828755371508	-1.33262517624983	-1.53893229488696
