	"ACH.000030"	"ACH.000042"	"ACH.000086"	"ACH.000099"	"ACH.000113"	"ACH.000127"	"ACH.000221"	"ACH.000235"	"ACH.000238"	"ACH.000259"	"ACH.000265"	"ACH.000266"	"ACH.000302"	"ACH.000320"	"ACH.000332"	"ACH.000350"	"ACH.000366"	"ACH.000383"	"ACH.000387"	"ACH.000415"	"ACH.000421"	"ACH.000458"	"ACH.000505"	"ACH.000510"	"ACH.000573"	"ACH.000585"	"ACH.000589"	"ACH.000616"	"ACH.000624"	"ACH.000651"	"ACH.000652"	"ACH.000657"	"ACH.000711"	"ACH.000735"	"ACH.000738"	"ACH.000753"	"ACH.000767"	"ACH.000787"	"ACH.000791"	"ACH.000794"	"ACH.000802"	"ACH.000823"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000849"	"ACH.000865"	"ACH.000885"	"ACH.000889"	"ACH.000910"	"ACH.000911"	"ACH.000913"	"ACH.000915"	"ACH.000917"	"ACH.000937"	"ACH.000974"	"ACH.001001"	"ACH.001054"	"ACH.001096"	"ACH.001346"	"ACH.001430"	"ACH.001500"	"ACH.001554"	"ACH.001654"
"696"	-0.0574876253903851	-0.0139547304643076	-0.0704177636517387	-0.0730911850108266	-0.00503620849028727	-0.0116300072514576	-0.0508489365864431	-0.124405122091023	0.0368683847925381	-0.0920912620436134	-0.0865668523536259	-0.174522084773158	-0.169116842307367	-0.104786385047339	-0.0767707779023042	0.0256399040063507	0.0361065366403743	-0.147537357181179	0.0224411002242054	-0.0913800653597706	-0.0908158246204998	-0.116254700216145	-0.092253682310405	-0.031662528202978	-0.0318758513870286	-0.0819862396659194	-0.10384238289539	0.00215016362421948	-0.100975859778229	-0.0535572222830716	0.0767389736369171	0.0133182776401186	-0.0544490359893715	-0.0399531457101762	0.0212836114056257	-0.174411268066492	-0.0285028140163668	-0.0588378270723806	-0.0163693693088508	0.00466818466751073	-0.207034862862197	-0.0180245168057444	-0.155062857596465	-0.0684411854489251	0.126103071201324	-0.0383103342503205	0.0223458526097612	-0.0155677719992921	-0.109621545461773	-0.0982361467645731	-0.0782475584125229	-0.117978840134826	-0.110338190220735	0.0258971537178196	-0.0507731831439242	-0.110382689225998	-0.219779569428691	-0.00588037318492054	-0.0972434539100032	-0.0126267013987694	-0.0419183098905617	-0.120605608515074	-0.00495823755167504	-0.175290742641539
"25871"	-1.05167170076835	-1.08596322947966	-0.890839773694816	-0.967744587683974	-0.981235834468553	-0.918175561303209	-1.17888253973792	-0.984159699156693	-1.03728989573452	-1.10951114817696	-0.939781831343958	-1.06242357482255	-1.01246220482422	-0.927050843779262	-1.01257242203431	-0.859272254562511	-1.10116069678314	-0.894029240614744	-1.24450852424635	-1.08089845713885	-1.10873177099932	-1.06815302286124	-1.18331441378947	-0.84998598799098	-0.926566215348824	-1.15814157762695	-1.2338607448967	-0.806427010681093	-0.822052444817598	-1.00902254856672	-1.04159826874966	-1.09777732953304	-0.872777982180733	-0.791667707135029	-1.06908154630454	-0.649637722292477	-0.987294746062163	-0.920006719866855	-0.963880124649398	-0.776133591559806	-1.33270350524214	-0.924948836850647	-1.13543686131267	-1.02717434156305	-1.07928890563759	-1.06122230598925	-0.839921549801186	-0.916140119697894	-0.986320155387829	-0.91714318614591	-1.2118117596421	-0.976330339832789	-0.83980239348095	-1.21838784552458	-0.876285047556857	-1.01014934099579	-1.01217623370192	-1.02794910644753	-1.06927842245504	-0.970088831599443	-0.820650162338041	-0.760054805824294	-1.01772584769394	-1.12304497081671
"151903"	-0.329608718008112	-0.253405573342078	-0.28622009843563	-0.141441267897059	-0.30102981331127	-0.298841323983439	-0.501589484137345	-0.262039082966488	-0.449440012116134	-0.362992198808487	-0.352030330444107	-0.313404579891748	-0.309566864328897	-0.10523268162051	-0.339554957154688	-0.173656664179691	-0.464188936613894	-0.239392284726613	-0.25875269323264	-0.529245534240827	-0.691193629781099	-0.411262291501514	-0.194922278382379	-0.310583037284546	-0.62357607949677	-0.458305859063629	-0.57639705440167	-0.285457310244737	-0.514962886978339	-0.342005322761763	-0.561173793303953	-0.344060233362304	-0.336480179341678	-0.355664804615768	-0.205293927758148	-0.390605235728027	-0.223060249313301	-0.248050799170906	-0.491135277130308	-0.443192889721314	-0.39642230117787	-0.423164177968035	-0.346014039217681	-0.488493344917662	-0.398130130245367	-0.413251461305449	-0.261541538413854	-0.141941092723458	-0.154960061016335	-0.124541184897135	-0.380502508029712	-0.302464237223109	-0.364794591515892	-0.557154213656221	-0.185732369790535	-0.159901450263837	-0.118379986469694	-0.27512192109905	-0.337519193381948	-0.66684106317167	-0.476362037969799	-0.153906073132892	-0.310070247710722	-0.318673302675914
"157313"	-0.00658565392132392	-0.162877996319834	-0.105375838522648	-0.156499426702264	-0.0723874132824369	-0.0457956567308278	0.103916996783671	-0.103811183155886	-0.0540447441151162	-0.181041661289285	-0.0232360436249887	-0.0542373914055457	-0.0558847755642785	0.0267495408515277	-0.15150959257861	-0.14859130773135	0.057684310915575	-0.070818808220501	-0.0170164926342725	-0.192747036252681	-0.141038113341179	-0.121194775712454	-0.101151117150145	-0.0723599959387827	-0.164308452457608	-0.171441061892896	0.0692292879003943	-0.170845391641797	-0.118175504744129	-0.0567738121939824	-0.295775360601826	-0.10352412578881	-0.0876715016414464	-0.00688174637685977	-0.0517547718589606	-0.0091962178100711	-0.00614922560982999	-0.0500206215021103	0.00360101795375776	-0.218237440685431	-0.19336384675154	-0.182554497752925	-0.0310536198047138	-0.0368438121838111	-0.124351072955614	-0.00123156973335999	-0.141478428133727	0.0847456706189312	-0.0969305259186789	-0.0791057172376756	-0.212029970042132	-0.138910362363586	-0.15035535846561	-0.0588816951345129	-0.0377532678507646	-0.0514663039341862	-0.130475725089855	-0.0148602730692423	-0.476076366683475	-0.065848869526593	-0.0584928349841026	0.0746135644863727	-0.124323534148169	-0.0893347318301562
"26973"	-0.797981452389003	-0.994411619953172	-0.683024431258182	-0.740894873276568	-0.93338501348402	-0.735240215678732	-0.79651772069323	-0.800426647227567	-1.17292015144171	-0.995793407498646	-0.758208617501065	-0.925590088739559	-0.59285476477086	-0.928555719890408	-0.632077116166711	-0.664000415402628	-0.802213213186192	-0.618836760255883	-0.822848371059204	-1.01590738427258	-0.825298975089726	-0.878825678484137	-0.865293515814864	-0.71037687725231	-0.665882970452661	-0.854826855697783	-0.737364866268738	-0.715366637399129	-0.68348251556205	-0.587144326642586	-0.694165597417152	-0.695521749934715	-0.657938958763307	-0.930724940836166	-0.950364812045099	-0.878890906320935	-0.848769219351063	-0.699466399014338	-1.05361843163889	-1.0741603620401	-0.966534242568262	-0.730288457443122	-0.895835449260864	-1.08959287680138	-1.10950007223524	-0.634057374536757	-0.864687811205263	-0.725030014451331	-0.959473784363511	-0.889109726890309	-0.985458983252955	-0.692277412875871	-0.726735039618908	-0.811536413218137	-0.923860080124448	-0.795276711550589	-1.06020893970458	-0.870493602503907	-0.722247761977627	-0.623057937686566	-0.520032414816785	-0.838131823876577	-0.867721108951531	-0.68869559704399
"54883"	-0.480633354879991	-0.385033866008278	-0.457745802978038	-0.280827442944566	-0.321308573750145	-0.269519303669899	-0.595177352597725	-0.400484228763979	-0.370803889888033	-0.378693827480898	-0.49083270980192	-0.274091889569905	-0.364597206201931	-0.248989898196543	-0.337895912436651	-0.278029969913742	-0.207345292096462	-0.363776531313104	-0.477716477551875	-0.423836903292326	-0.492102610843441	-0.288858876182393	-0.287244297606351	-0.414804497233945	-0.56989371630912	-0.322703126809302	-0.518034327910413	-0.486667192008978	-0.514045631851004	-0.408529416380545	-0.389455268474279	-0.484241337885859	-0.490477921504437	-0.330597691608672	-0.29244139665316	-0.331965317987527	-0.13570139112983	-0.332944910452764	-0.482671730701637	-0.264145454690149	-0.228987586258772	-0.323847809406444	-0.339390237447342	-0.310194661960882	-0.329709569612663	-0.367103278144391	-0.277853675900019	-0.241175058140536	-0.229031144739074	-0.282856651654001	-0.345034827422221	-0.39184862080571	-0.287637127660654	-0.487350026427381	-0.260283475577797	-0.418722609175479	-0.203373558353477	-0.281881765547015	-0.303618494353717	-0.32119086438001	-0.350046566441566	-0.229697916714543	-0.306391916845827	-0.377919888920171
"10671"	-0.960141935447597	-0.998356238145546	-0.986728756495552	-0.905187562944631	-0.72745607063266	-0.941024333190281	-1.145957462957	-0.904621854732614	-0.927863632208106	-0.886733384394494	-1.04887908170114	-1.04702449159624	-0.980490551146738	-1.00373906110026	-0.979753713409364	-0.863441703751024	-0.804938829250963	-0.832745873512887	-1.04868953087756	-0.853392478813436	-1.18474569900004	-1.07240149530003	-1.06929314253077	-1.03393209416122	-0.92432630241119	-1.16660107201212	-1.05480743495197	-1.22095828544882	-1.14138021816057	-0.898503029838179	-1.03062921459455	-0.85574737867029	-1.02388030593154	-1.05851412570904	-1.08964547722631	-1.0092277032128	-0.814911470069472	-0.915047182059294	-0.846151795018638	-0.995070455927801	-1.08958629671368	-0.948443996130173	-0.923247207721131	-1.17916730922927	-0.775227463932387	-1.02962732050911	-0.971847403841075	-0.913660445891202	-0.563404490350983	-0.976928261177388	-0.841977434814944	-0.691647564036267	-0.851953487502954	-1.1158012699402	-0.953097244329072	-0.908168855201879	-0.953538936295574	-0.869268424121141	-0.944821963189843	-1.03167741508115	-0.953592138822443	-0.950757336798136	-0.753828024392463	-0.788220293028262
"9249"	-0.0489261664432097	-0.149261560728635	-0.12744303818077	0.0103172535292114	0.0916834219686039	-0.0461636344815756	-0.264808689074867	-0.0621125734972015	-0.183071532178806	-0.04407764557409	0.0590625381506948	-0.224866383225445	-0.15425920529815	-0.0248039301416536	-0.125785012307562	-0.144051968922332	-0.109668439464312	-0.0645186255250861	-0.0813755268686051	-0.0276602520384801	-0.0472419421430107	-0.0839485195981467	-0.133536093154539	-0.0479973826699436	-0.134358572903384	-0.153011046456947	-0.140846385769519	-0.0299579629968663	-0.044702601629357	-0.0640342566569771	-0.459371748090344	-0.0914084715804507	-0.0876047503926463	-0.119125656197834	-0.0131857594176729	-0.115263721172949	-0.0671784388528409	-0.119753011705903	-0.125122258064219	-0.048266688414907	-7.20345220523877E-4	-0.0123616265962578	-0.102211841004923	-0.025000046223766	-0.0916527505916485	-0.0957594950959006	-0.11365186536113	0.00965331354721163	-0.102614309900312	-0.0576672255702429	-0.0386368501309813	-0.116923724878942	-0.221086187742961	-0.105708841595437	-0.0498384795186238	-0.097824859700298	-0.041751869269183	-0.00598683003100807	0.109225063293964	0.0562927110176476	-0.109587034544034	-0.211601780712899	-0.14257033274315	-0.0252914765833168
"22894"	-0.761782293965864	-0.891703607917525	-1.01952527013468	-0.705477556022675	-0.546936556847907	-0.824778891351973	-0.70184487278931	-0.632398206242596	-0.651373385802331	-0.805654736311875	-0.694105818504463	-0.861971870277773	-0.909596928457494	-0.942011155310952	-0.826533699924667	-0.464188371704328	-0.563153149064469	-0.834452165940223	-0.960688088156511	-0.833613997681468	-0.86210628305115	-0.772811002670268	-0.827746034278619	-0.977048684611724	-0.86633493159594	-0.747551152592551	-0.805001267563506	-0.888286805836596	-0.850260134190294	-0.685863882304392	-0.701439966367956	-0.597535595480928	-0.661180807841152	-0.773307004287029	-0.723432267730826	-0.601598872243401	-0.482826843889036	-0.844489014669521	-0.653140373157418	-0.574148190677743	-0.803149216275033	-0.664053656075397	-0.687926769135716	-0.768489442873891	-0.502520422420385	-0.679636831083009	-0.768201125877355	-0.695199825058513	-0.771160806891294	-0.900521488275593	-0.622116302234662	-0.783261976761233	-0.648314546736358	-0.884739695498322	-0.681842491584507	-0.717917515848119	-0.610970628487957	-0.586440313461077	-0.715849835184155	-0.792241466227121	-0.884749508855321	-0.737542643962066	-0.786996045706326	-0.935121008932482
"83658"	-1.36243724675137	-1.4943985569412	-1.27326331360292	-1.45910401344877	-1.1824212771238	-1.36920896140299	-1.45771591482907	-1.35320922340137	-1.59385472101484	-1.31093140947145	-1.3147631486224	-1.35758144650773	-1.15940527797637	-1.47461896807734	-1.33247859910508	-1.25443902356046	-1.19465073695997	-1.35801992272312	-1.67846954679499	-1.76636948377155	-1.35163161916134	-1.37334095232252	-1.40036458623853	-1.26133110733173	-1.52657226512135	-1.7596711650056	-1.50246488704301	-1.3914278292427	-1.39411127653047	-1.40686961512612	-1.27927510734434	-1.43916718222304	-1.38183544417216	-1.32356222787419	-1.377815403905	-1.34324512347041	-1.29984807687677	-1.29261774185103	-1.12297157398897	-1.31712770683013	-1.52036142616933	-1.51287453526632	-1.4645081882318	-1.4376987718278	-1.45759132640679	-1.56819681009394	-1.54318447331882	-1.46663373127722	-0.877453552575016	-1.60137906401353	-1.19466522552965	-1.25052810663955	-1.27422321331478	-1.65195147338203	-1.5457852292053	-1.32224858883262	-1.32414839877069	-1.2443318107772	-1.68541848069135	-1.45131283814656	-1.37287986610438	-1.44857526200473	-1.32561067121995	-1.35411403376017
