	"ACH.000041"	"ACH.000055"	"ACH.000060"	"ACH.000078"	"ACH.000098"	"ACH.000099"	"ACH.000120"	"ACH.000132"	"ACH.000137"	"ACH.000163"	"ACH.000178"	"ACH.000232"	"ACH.000259"	"ACH.000279"	"ACH.000312"	"ACH.000316"	"ACH.000332"	"ACH.000366"	"ACH.000393"	"ACH.000420"	"ACH.000471"	"ACH.000488"	"ACH.000521"	"ACH.000537"	"ACH.000600"	"ACH.000649"	"ACH.000657"	"ACH.000676"	"ACH.000683"	"ACH.000711"	"ACH.000748"	"ACH.000781"	"ACH.000788"	"ACH.000872"	"ACH.000905"	"ACH.000906"	"ACH.000907"	"ACH.000928"	"ACH.001028"	"ACH.001053"	"ACH.001054"	"ACH.001096"	"ACH.001192"	"ACH.001196"	"ACH.001277"	"ACH.001300"	"ACH.001301"	"ACH.001353"	"ACH.001377"	"ACH.001431"	"ACH.001552"	"ACH.001740"	"ACH.001745"	"ACH.001765"
"290"	-0.124029327815738	0.190049691958488	-0.0687124281440337	-0.158738188608594	0.0440601350970209	-0.0426604793364971	-0.083695693244516	0.0546780159885515	0.0309415133801708	0.0488261305626232	-0.0428185539627726	-0.00457045009975176	-0.0578222598392517	-0.0475483022795962	-0.217745844255925	-0.140691791442447	-0.0706065217249104	-0.104000140048679	-0.0332771354173008	0.0395241841252057	-0.0256848596704486	0.0312956526007257	-0.149324176388216	0.0169312892492247	0.106796448729972	-0.084168077497192	0.0146714905314232	-0.159531787734597	-0.114836928581921	-0.0481097113581495	0.0547235734022718	-0.0805904152034513	-0.0565465942184244	-0.0660341146660906	-0.107694490016913	-0.0492394734540295	-0.0279091225494067	-0.0997768127832906	-0.10802306069358	0.118559945145688	0.0328355267615735	-0.00531528599755172	-0.0942322300860524	-0.157253781078247	0.05466637177789	-0.135809519187186	0.0409309024871204	-0.0634558890438229	0.0789831441887703	-0.266043454985504	-0.0620002988536769	0.00871875939773837	-0.115878505887679	-0.0581541692302767
"533"	-0.91888639621915	-1.07100776740474	-1.12419435211041	-1.01090725833227	-1.14241682625693	-1.06134522082111	-1.08409777422859	-1.11082949235072	-0.959637758471141	-0.684267981288089	-1.08431569467061	-1.11596814774653	-1.25793251546293	-1.11255284135747	-1.20246084259859	-1.19260567330701	-1.14922720407168	-1.25312194248209	-1.24623722726266	-1.06037978695133	-1.21250573289248	-1.07736756700717	-1.29770051849285	-1.16861546643171	-1.3830036798294	-1.19971026558776	-1.22338442851077	-1.07486492058624	-1.15587179294876	-1.18471555962504	-0.767326452682081	-1.17056298743604	-1.03766338357293	-1.10479438743308	-1.17737710780881	-1.00572636339178	-1.44033170770233	-1.35895681728212	-1.07565201202804	-1.02751533319259	-1.07667741802623	-1.10462565254531	-0.880561732347356	-1.17045970430915	-0.976381890968335	-1.07398000588521	-0.880096980654989	-1.2762969961711	-1.19026717229457	-1.14946999824335	-1.18186753004094	-1.27285119602065	-1.30782023988355	-1.09026131473128
"527"	-1.22337002514716	-1.49042839640062	-1.1881937325073	-1.40435002410486	-1.45231404694045	-1.16784696545389	-1.29087324235289	-1.35875175935925	-1.07462656188471	-1.20807842220595	-1.37822519049423	-1.42273950644449	-1.4448218983038	-1.53588778080933	-1.40832884479348	-1.20905337693166	-1.28939638112532	-1.24023509710431	-1.52479261738413	-1.16044492648055	-1.4524789378296	-1.3254039577385	-1.6611456662726	-1.51115281577922	-1.35509498430742	-1.54036445274085	-1.36722622886786	-1.34767278962088	-1.33251361442155	-1.35227003996014	-0.894453888394657	-1.48465860099178	-1.39309767341743	-1.41597703251814	-1.46540532618249	-1.430353791721	-1.36733271459811	-1.50888249076463	-1.28353159480206	-1.44120209143967	-1.5700461682607	-1.29522635990935	-1.23459130776477	-1.32868315051788	-1.31071057459788	-1.14872572968187	-1.18850579923464	-1.42126027884252	-1.3832736264531	-1.15052445619988	-1.19803666813504	-1.72137830541775	-1.65012757201496	-1.47091007754575
"526"	-1.08893096736869	-1.40439073405088	-1.28839369963467	-1.28416560197355	-1.28415396774808	-1.13736471595367	-1.2043070013535	-1.49195839499325	-1.31954881482544	-0.970837948050441	-1.38312413116558	-1.38709307491681	-1.54372361333777	-1.29382774997523	-1.3479875836176	-1.19710781780168	-1.41766821222997	-1.32067391787917	-1.27327802735915	-1.32329710443738	-1.3598820834638	-1.19094654500337	-1.45365226740732	-1.59910191986893	-1.50330968503483	-1.52844290442096	-1.36493264456797	-1.36018235823404	-1.4584642309864	-1.45143090104874	-1.01770891407945	-1.48529453612111	-1.44237814592481	-1.8356574476938	-1.31062303036728	-1.44666801809367	-1.3849249861076	-1.23999963205404	-1.41930901045533	-1.56755977432227	-1.26772473929314	-1.43442490963656	-1.34978476789985	-1.3714904663425	-1.54422453352219	-1.43281542174221	-1.10275761922548	-1.4269720663729	-1.49106249160149	-1.40020692972341	-1.1939012444886	-1.59889398556112	-1.55306879222713	-1.43838102766826
"528"	-0.388795306431415	-0.740738775815972	-0.550620964453475	-0.582797798174877	-0.696178030375019	-0.612675568839818	-0.530369760284797	-0.58383245505881	-0.463290374715019	-0.438113626752014	-0.666279416708525	-0.543751050115245	-0.628768898785342	-0.435832152950687	-0.638253570299174	-0.568521419722406	-0.577445910330021	-0.655762476469647	-0.749559541860905	-0.570754770470594	-0.587207292387341	-0.499090667137424	-0.634562131723376	-0.737893227286155	-0.823090203515564	-0.54941172968477	-0.62827067861167	-0.671332930454038	-0.704608849072627	-0.623652014500846	-0.409948108091899	-0.436292610629419	-0.61943963182738	-0.772860374747218	-0.700501860707492	-0.564748094187081	-0.845294377373115	-0.750364145880956	-0.791893640779591	-0.72343532846575	-0.746485782663796	-0.724041448549533	-0.543355826177523	-0.573335978909555	-0.610443725191654	-0.493373661665328	-0.68770745527857	-0.657359079569134	-0.52413266103425	-0.616026801317479	-0.550958394985627	-0.655110558562894	-0.610942764821155	-0.598829546647728
"9296"	-1.19143533767303	-1.42657815621476	-1.24480455890586	-1.41023539000644	-1.12867134802963	-1.34494562587811	-1.15695363559099	-1.25720045249905	-0.870750611858218	-0.985395550760594	-1.3323112784983	-1.41313122162326	-1.46527056668655	-1.63321725948526	-1.35408201536444	-1.38957678185728	-1.28300835846612	-1.31078021206859	-1.30919069642585	-1.28259366250429	-1.444644565493	-1.19341708086797	-1.37799985328656	-1.56301098141109	-1.25640810372517	-1.37848518325525	-1.39044406118964	-1.31367514853294	-1.4158616206486	-1.42339665573963	-0.796375998459278	-1.38971994115958	-1.38515452633766	-1.23655264943273	-1.26618990059455	-1.34866449761501	-1.37397179038718	-1.0235128002422	-1.22571685123332	-1.38821230010883	-1.39863716495076	-1.35386174562105	-1.36927771381223	-1.48772333264645	-1.34822542896544	-1.39201025824495	-1.19156814904863	-1.33727722434474	-1.40746837674037	-1.2624127660807	-1.10142608649546	-1.71681618120872	-1.40240394211034	-1.22385456127631
"650"	0.124796760649099	0.159910991454879	-0.00293570046887504	0.0215511884026633	0.074975398146629	0.0090094690602642	-0.0273693071622051	0.0861617119923849	-0.0117823694921002	9.59866601597291E-4	0.00543818353360011	-0.138459928523722	0.0402784878564594	0.12809485728829	-0.132650795737743	-0.0216165226148412	0.0426050954907542	0.125839369614299	0.0259435955019899	0.00924560696441971	0.0647701722299727	0.0478208455185537	-0.153903953062119	-0.0507226398061276	0.170825068500296	0.0367844571734262	0.0388673341117032	0.0576022013090658	0.0246074013463131	0.0258283605056512	0.0888630230530975	-0.00107716923578198	0.00737590723484587	0.13512726366078	-0.0299044477446936	0.0532333613624087	0.144962461799631	-0.0623281828702474	0.0375417584074347	0.0329157380872103	0.114431653261209	0.0014419149340134	0.145434938274621	0.0496685308384462	0.087676562954142	0.0733173350847538	0.00975479601853973	0.0659093315172851	0.102032026668819	-0.121226405604012	-0.0123767208022878	0.0251465231442687	-0.0357789376091593	0.143200337262319
"114900"	-0.559319488142335	-0.542036700635603	-0.330259012354527	-0.478418542373051	-0.540524399189796	-0.404049655121771	-0.452217194008427	-0.451563056145623	-0.363020803143002	-0.197335489098518	-0.385517701949541	-0.421757841333304	-0.439776196298907	-0.256968733783871	-0.50358095659298	-0.377198782258901	-0.353323210448564	-0.415985727249681	-0.480389164338842	-0.278895455179975	-0.585725479506952	-0.406518382704084	-0.415810492702171	-0.448292878646269	-0.545221147366365	-0.335867734970626	-0.479203317649611	-0.340857390069857	-0.442683174347	-0.458722432688191	-0.470492223699555	-0.368301937409892	-0.368259790715293	-0.562571969365402	-0.315542212924824	-0.287049190305381	-0.599918155755827	-0.404134959205851	-0.347087541999553	-0.32450963165242	-0.38314636504074	-0.44506766214054	-0.476538700814908	-0.468161956788221	-0.254651956431614	-0.659721115447151	-0.469170550502779	-0.456506251165209	-0.379510820146829	-0.574966668846458	-0.413528433709347	-0.382483878485987	-0.521657518817293	-0.336840775949298
"389799"	-0.380457626964002	-0.307350238711975	-0.200986707589092	-0.26607864570833	-0.104695998105662	-0.109385720811893	-0.229618098606044	-0.108022168876107	-0.308726230923824	-0.362590989002503	-0.280884330108584	-0.258269560806878	-0.216917360796725	-0.102848342189861	-0.397167347244982	-0.217297846809784	-0.230277014388217	-0.155696211831795	-0.0289887383063086	-0.153873804189078	-0.158081115481231	-0.263867240513678	-0.235363124784206	-0.205805026664246	-0.191275023939643	-0.226403818874273	-0.21096427661169	-0.237717480256779	-0.259826171808821	-0.0911470148311355	-0.218866302368022	-0.325234229218009	-0.0870488069453132	-0.132107421050322	-0.273854575051411	-0.232230520093421	-0.18798525008161	-0.359457592548237	-0.317771981805499	-0.118591904336952	-0.209904767489441	-0.323986826628481	-0.136534805864089	-0.187817125653225	-0.127299825624734	-0.302408681010091	0.0405736732936594	-0.285497882220825	-0.160054386396549	-0.211133194030664	-0.134912869716014	0.00781429479156619	-0.0588114235186725	-0.19270990325109
"8913"	-0.238903308739051	-0.14252269373026	-0.117815306142129	-0.209763913896207	-0.177018936719442	-0.242910909185243	-0.163235738200894	-0.113040282359201	-0.167243356988205	-0.337475787403981	-0.243781522794063	-0.170846234624426	-0.227774672082412	-0.201251991961858	-0.348767711793814	-0.192859554932062	-0.226850799523578	-0.225338892815499	-0.0271173965014521	-0.0839954568623268	-0.191476095537663	-0.282896941570743	-0.361141937693388	-0.221293912575208	-0.238099010113947	-0.163899375561585	-0.211683815452781	-0.204566428288856	-0.194420413773797	-0.210380573651589	-0.398232519392705	-0.330698808288643	-0.195522691556985	-0.278982601994032	-0.120854450631574	-0.13605851345908	0.0249409207973196	-0.176151089942198	-0.225382324791739	-0.248324400037402	-0.264039763571462	-0.222436524649944	-0.306992085024961	-0.21227974197797	-0.149576764476059	-0.249828044045547	-0.142620051006845	-0.285846265328003	-0.0868133435976842	-0.201937224193278	-0.23756378680896	-0.311629657020819	-0.00103285062371701	-0.293597686880235
