	"ACH.000082"	"ACH.000138"	"ACH.000221"	"ACH.000235"	"ACH.000253"	"ACH.000364"	"ACH.000433"	"ACH.000505"	"ACH.000527"	"ACH.000549"	"ACH.000618"	"ACH.000621"	"ACH.000651"	"ACH.000693"	"ACH.000771"	"ACH.000776"	"ACH.000805"	"ACH.000859"	"ACH.000861"	"ACH.000881"	"ACH.000900"	"ACH.000913"	"ACH.000939"	"ACH.000984"	"ACH.001239"	"ACH.001368"	"ACH.001431"	"ACH.001765"
"3267"	-0.0240096312736981	0.0345771953695163	0.0280982595235517	0.0118218079289897	0.0387726283470234	0.19288554645956	0.0974020414109508	-0.0112178973648991	0.0337271796922013	-0.0941936869324453	-0.0123021145423188	-0.0761780376594519	-0.005492407274798	-0.037660763689485	0.166109695198661	-0.0618605218349	-0.0357166160062549	-0.11705347722784	0.0355901270258809	-0.0584111053295562	0.0670797832657671	-0.0275387763446188	0.240223618922585	-0.0510430502047898	-0.0100030494606718	0.0863387968565208	-0.0497037300365495	0.027370251758902
"56172"	-0.0100577719050617	-0.106761975016818	0.0371952793647208	-0.0921850403858229	0.0546713552946173	-0.151798636479238	0.108619358631016	-0.0815335257744962	0.0352201999974581	-0.0182917805209085	-0.124338734954826	-0.200558866244965	-0.0709338600277787	-0.0278360850103341	0.0379478686257693	-0.172378780207541	-0.00280413996571123	-0.00681834357526818	0.00739441199172272	-0.130670752193853	0.0528744298407217	-0.0731635540174664	-0.0776756672301011	-0.146963460249139	-0.0353702456901202	-0.132014286597505	-0.159120006090715	-0.00965393233423626
"160"	0.0296647937258825	-0.127848067400379	-0.136182782911457	-0.0160126163542378	-0.0428269570337536	-0.0424181357591556	0.118615798591229	-0.0530649037723038	-0.0285223676881048	0.0804932036263179	-0.353464049278596	-0.0518407827787751	0.0246706724291133	-0.122079784150085	-0.0698378473444427	-0.135937965828138	-0.167971905356423	-0.140087170545493	-0.0387662188511233	-0.203810333189578	0.029995459018882	0.0303998237968018	-0.0141610362934219	-0.0738120394495819	-0.0359639383409083	-0.0599867580345274	0.0792807288271389	-0.0633529091493969
"533"	-0.881289915819581	-1.01912388353808	-1.19231744796695	-1.13392016138467	-1.10999757130897	-0.992359232359505	-0.919349034151524	-1.03657321270946	-1.10255635316707	-1.14823353113987	-1.17259650008525	-1.21359069524299	-1.12690152788129	-1.07557528152262	-1.03383480993446	-1.08852886914233	-1.14913356149873	-1.04730899510115	-1.06964418067244	-1.2280573199413	-1.04205372582711	-0.982123371215998	-1.18917758384211	-1.10859339081872	-1.12285199253127	-1.07661936402104	-1.14946999824335	-1.09026131473128
"527"	-1.31940454841383	-1.33911580003081	-1.41881323944168	-1.31449318463436	-1.24708585600315	-1.36404396442652	-1.2904745627491	-1.28136864323364	-1.34949503194925	-1.40476116722504	-1.48734814333504	-1.59396009613098	-1.33100662584947	-1.17875343658553	-1.24678047199075	-1.40483899821256	-1.46899900508621	-1.24056491481447	-1.49977074833158	-1.41993071208477	-1.50842776835728	-1.40678057952374	-1.27800785593896	-1.38491365872479	-1.39119074773551	-1.50289881291507	-1.15052445619988	-1.47091007754575
"523"	-0.928434346315001	-1.16593472066961	-1.37721327467822	-1.01199484626699	-1.23976784325864	-1.0014253714802	-0.938184672984438	-1.09920897613436	-1.2649035745389	-1.01434040784353	-1.12045509524236	-1.33672027874071	-1.12940786054518	-1.14564537907681	-0.871407794117	-1.19915220805603	-1.14913497423981	-0.985876610317809	-1.13215183698655	-1.35598449704753	-1.23057401715219	-1.29681979206935	-0.957617292325284	-1.19147822454521	-1.01356738148437	-1.29821327929904	-1.21016863272217	-1.18458730806699
"526"	-1.08617150944968	-1.55170701879316	-1.46568670109602	-1.33273513827564	-1.29606962833094	-1.42233127251053	-1.26194422003596	-1.30685110835208	-1.37840742034127	-1.11364328127251	-1.41770027704032	-1.56496176415363	-1.36220651503459	-1.34917661921267	-1.14603446407831	-1.3497704642582	-1.61911858731846	-1.49301726057082	-1.36828484071543	-1.92413159525719	-1.28576467251365	-1.52042530908359	-1.15756672609645	-1.41416746212519	-1.32315452703691	-1.53642775810882	-1.40020692972341	-1.43838102766826
"51382"	-0.509511114733162	-0.553556291474046	-0.372193183222901	-0.543657548627321	-0.644503933192037	-0.587193506820096	-0.703963342486403	-0.46851705039284	-0.544646984870952	-0.710732189083997	-0.800833891446787	-0.725666696678184	-0.386209421427491	-0.354307576900957	-0.810478944996762	-0.489544194346104	-0.587189898797144	-0.71156490460438	-0.423786409041424	-0.598328775210858	-0.902373541529822	-0.541455628746213	-0.710352330800678	-0.560063672974668	-0.457150576783607	-0.650825018287667	-0.520074412289771	-0.541500273080333
"529"	-0.803333386590803	-0.895658711493141	-0.900030924243754	-0.691373818066335	-0.735748901567065	-0.711641016622411	-0.94080856505095	-0.826819027518385	-0.872270393072911	-0.895792807076529	-0.799924385533165	-1.07953050777169	-0.682292139779676	-0.846172622248125	-0.709682837957975	-0.860461758058689	-0.735046941297095	-0.991062132506085	-0.927702344092518	-0.670926822694697	-0.821617511424858	-0.885136907219691	-0.890877952004914	-1.01710870402129	-0.696226156694945	-1.05021403870707	-0.88361193716891	-0.894217150502935
"9296"	-0.918541397594482	-1.31497303320603	-1.26683162425168	-1.22767351188197	-1.29549190178257	-1.30978724922133	-1.02541849886598	-1.13678798378615	-1.31650973226194	-1.06515898592471	-1.53718826913017	-1.4893152916335	-1.31996886240137	-1.32559392431456	-1.11544731085825	-1.33542447677515	-1.08626730847969	-1.2905263961459	-1.20514849850718	-1.36953718057003	-1.09479393130827	-1.35957309256019	-1.20526608925934	-1.28452795738307	-1.18590033999999	-1.38291988567086	-1.2624127660807	-1.22385456127631
"51606"	-0.515799882368462	-0.570730862950833	-0.572178662569559	-0.591437996374958	-0.572444110104482	-0.678497628818002	-0.588564497416633	-0.492889447653464	-0.544296376814836	-0.711973529505438	-0.79165271478897	-0.619503971300147	-0.418412729085137	-0.505154228106153	-0.642277839938988	-0.516158659598283	-0.598433641998912	-0.776648196684324	-0.471434970523773	-0.581397815412643	-0.506355049129037	-0.465839638944183	-0.496355846930371	-0.502705168424968	-0.467078817271648	-0.506515419207793	-0.559429570164969	-0.558198937401529
