	"ACH.000007"	"ACH.000018"	"ACH.000030"	"ACH.000042"	"ACH.000087"	"ACH.000099"	"ACH.000116"	"ACH.000118"	"ACH.000123"	"ACH.000138"	"ACH.000142"	"ACH.000148"	"ACH.000163"	"ACH.000183"	"ACH.000188"	"ACH.000221"	"ACH.000222"	"ACH.000223"	"ACH.000235"	"ACH.000243"	"ACH.000253"	"ACH.000256"	"ACH.000260"	"ACH.000266"	"ACH.000280"	"ACH.000281"	"ACH.000307"	"ACH.000308"	"ACH.000320"	"ACH.000332"	"ACH.000350"	"ACH.000365"	"ACH.000374"	"ACH.000387"	"ACH.000408"	"ACH.000415"	"ACH.000421"	"ACH.000448"	"ACH.000452"	"ACH.000454"	"ACH.000458"	"ACH.000461"	"ACH.000463"	"ACH.000475"	"ACH.000485"	"ACH.000487"	"ACH.000490"	"ACH.000491"	"ACH.000505"	"ACH.000517"	"ACH.000518"	"ACH.000524"	"ACH.000542"	"ACH.000544"	"ACH.000545"	"ACH.000548"	"ACH.000549"	"ACH.000571"	"ACH.000584"	"ACH.000585"	"ACH.000588"	"ACH.000593"	"ACH.000606"	"ACH.000608"	"ACH.000619"	"ACH.000624"	"ACH.000630"	"ACH.000633"	"ACH.000646"	"ACH.000651"	"ACH.000652"	"ACH.000657"	"ACH.000658"	"ACH.000671"	"ACH.000677"	"ACH.000683"	"ACH.000735"	"ACH.000738"	"ACH.000746"	"ACH.000757"	"ACH.000762"	"ACH.000767"	"ACH.000769"	"ACH.000770"	"ACH.000771"	"ACH.000777"	"ACH.000787"	"ACH.000794"	"ACH.000796"	"ACH.000798"	"ACH.000800"	"ACH.000802"	"ACH.000809"	"ACH.000824"	"ACH.000832"	"ACH.000833"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000858"	"ACH.000873"	"ACH.000876"	"ACH.000896"	"ACH.000898"	"ACH.000905"	"ACH.000911"	"ACH.000913"	"ACH.000926"	"ACH.000932"	"ACH.000937"	"ACH.000943"	"ACH.000950"	"ACH.000960"	"ACH.000968"	"ACH.000969"	"ACH.000986"	"ACH.000994"	"ACH.001001"	"ACH.001061"	"ACH.001232"	"ACH.001328"	"ACH.001346"	"ACH.001353"	"ACH.001408"	"ACH.001554"	"ACH.001654"	"ACH.001735"	"ACH.001736"
"138715"	-0.186962418650274	-0.139523580268055	-0.203571452981861	-0.181581607767502	-0.356786864753822	-0.208875606689623	-0.0783647703138412	-0.300546301052803	-0.200307378917423	-0.176732547464031	0.0491487355062544	-0.189919173284783	-0.184624032691643	-0.0706502288014961	-0.352970148703198	-0.23220294961584	-0.306811242017101	-0.103857878968449	-0.205833702445472	-0.147091267500973	-0.20069043831012	-0.138023545364313	-0.111585104572766	-0.271355794484428	-0.321815259013104	-0.244689165799886	-0.165623931696469	-0.196628315321974	-0.143714530107935	-0.172319778122078	-0.156783906498783	-0.290117019811561	-0.250428308439433	-0.340229440229073	-0.0318019806584433	-0.202778453237771	-0.19325749735778	-0.255722900596837	-0.211657620226542	-0.0559593154073639	-0.189886709203166	-0.136648507749396	-0.279864940875557	-0.262277657999855	-0.215954739671766	-0.351414220053783	-0.175760491218349	-0.23665206678051	-0.214744772101423	-0.292141116937621	-0.180358467170366	-0.162887874838797	-0.24214665141239	-0.135679063600183	-0.118894553052283	-0.0979202443019448	-0.0714164123557424	-0.123919703554444	-0.150053660636975	-0.15383691799108	0.0039554624526415	-0.0823172338809526	-0.385001976360671	-0.251398431866925	-0.200669991539104	-0.181888482520839	-0.225795547601389	-0.0600031894824716	-0.272689232400445	-0.199271221543393	0.041038877453574	-0.287532242770099	-0.180720137268352	-0.256835260254613	-0.0954494694205353	-0.238464043258435	-0.0993563468292781	-0.251266904671136	-0.105937742999784	-0.319559207322697	-0.196037217175311	-0.321737129681383	-0.115477669689964	-0.287544685811696	-0.142920727344032	-0.311546577335955	-0.104578555021047	-0.197739366249423	-0.201937117409668	-0.2876132715917	-0.169827418390792	-0.253329406756087	-0.118756950856301	-0.0983438397319672	-0.326138043901609	-0.0808212678102443	-0.142334209907345	-0.172100822497205	-0.175449807183696	-0.201954605748153	-0.285470653564159	-0.236380092440401	-0.274612505009322	-0.0747507171669045	-0.0498412203773217	-0.223345934416231	-0.162823388566717	-0.376178790817366	-0.18443747251054	-0.334667979307094	-0.090659636246147	-0.0385769659196282	-0.375902246758453	-0.194912424346574	-0.352858387773623	-0.258363443628935	-0.156633088311436	-0.205936564532753	-0.158043795780704	-0.153583082298611	-0.138109592332602	-0.191286923275222	-0.213281574569515	-0.199133903881253	-0.338251705245344	-0.276313748318603	-0.284394681543872	-0.249879408094422
"444"	0.0455898650224456	0.380653699706248	0.141920649175001	0.255460788965329	0.211281660243873	0.181531996948031	0.192846929176122	0.0833641661746701	0.0261198599274299	0.325326371037668	0.207299474150291	0.226830651968785	0.117721304293708	0.161523149077485	0.268293162449063	0.137444009710019	0.326283048637272	0.230666673767959	0.187902793700826	0.178864718919268	0.118359544848633	0.21655574969425	0.211454414386112	0.232930379190832	0.152918325388923	0.199517942336191	0.235188429190854	0.208717391892674	0.236918929599577	0.187602911987284	0.25584649945625	0.156017636675012	0.286129693595811	0.136808915144799	0.165289646394956	0.219674548192988	0.0997462254496078	0.0798962880104099	0.162929329434164	0.242385413943699	0.204461953851262	0.0504860284047058	0.106327828854576	0.184167986538311	0.159129637306422	0.0929626180897812	0.184050752809314	0.226454289824027	0.050137401015071	0.182950607610771	0.126477964689608	0.162851438664041	0.182386769182475	0.126809534673971	0.133331934981936	0.218198692881627	0.272731274245458	0.243521870175202	0.142104388174898	0.187999433343199	0.141604060450993	0.224536585058659	0.142746576573864	0.185370069026864	0.21086691751318	0.204173798829889	0.214849601176443	0.231563269636007	0.195296794933002	0.118445872914859	0.156036646323085	0.1719946768324	0.171295528618007	0.342909907797973	0.313389871758523	0.166740537930471	0.274113559796398	0.210056972140547	0.122191725659788	0.240984995757304	0.312029488148169	0.178356774041509	-0.0421861152472736	0.134818889477959	0.0786170800276254	0.275282038479985	0.206139951628508	0.206342098527314	0.162734034108758	0.243157167637445	0.281989232806886	0.140705886925364	0.242584133967923	0.180073662043963	0.111847650411574	0.265812872078808	0.154988582910175	0.295109064004521	0.109769225083234	0.151448524993606	0.126974872947294	0.286359346618153	0.088446360399915	0.101775764118907	0.217870738115546	0.0472784662063564	0.150401417299096	0.130084693162253	0.193157636822656	0.175936561719042	0.153131598466179	0.118743278054297	0.170010033291793	0.0923677666824463	0.152048529405211	0.121287996275578	0.106585855543083	0.186141205248458	0.071203897785627	0.180444503048614	0.173316865196469	0.2120360595742	0.190761967878933	0.10281303526521	0.105156913771285	0.136538779964255	0.254992534854392	0.279865976611548
"58509"	-0.811213954134557	-0.713208905599655	-1.05226123056018	-0.889104143973514	-0.897325230540131	-0.901079058660615	-1.01481936622226	-0.844444084260505	-0.755917274740412	-0.979946635175371	-1.03952754763118	-0.869764134525469	-0.707321085430828	-0.759413156464297	-1.00051493639694	-1.03510501591581	-0.92586916213331	-1.01256387700057	-0.930232837263228	-0.913317617191254	-0.961080836584848	-0.804619819578058	-0.9932909775422	-0.869928273625164	-0.645639779038749	-1.00050429602079	-0.9860394833951	-1.00301615783675	-0.55177076635815	-0.884822953528562	-1.0456867904677	-0.813762949111072	-0.803377258750875	-1.13488335911873	-1.04238149868616	-0.831561869793645	-1.04570891082546	-1.00111667209076	-0.750325106195799	-0.831366925050583	-1.01236091033359	-1.15909424969784	-0.963795558939669	-0.816724993881143	-0.97463406199862	-0.842081602642962	-0.970517074039016	-0.998463141255699	-0.681286898845515	-0.832419679046865	-0.830278874006245	-0.903741359305224	-0.928350995252423	-0.765221367912028	-0.883443128356737	-0.750462613590529	-0.896523857262345	-0.950523177278318	-0.926310322216458	-0.902648507166322	-0.639014153725181	-0.754963739709535	-0.858350180283312	-0.883729452858632	-1.10598080020498	-0.80087656439534	-0.877629802252091	-0.854438050460377	-1.00563120603093	-0.962479817895212	-0.708889090261733	-0.797412774476097	-0.684667939301018	-0.759745293005422	-0.736716559030866	-0.947836004868858	-0.936920508836404	-0.785027603641657	-1.03133414586064	-0.757019291512753	-0.941641553126275	-1.06405035484426	-0.78799392294768	-0.741665341973822	-0.889585644691759	-0.725965644713765	-0.863955196138217	-0.752831920464427	-0.75814612633325	-0.796496098852946	-0.522827252402257	-0.911343047079182	-0.807678692245449	-0.969163361189221	-0.728062881626611	-0.964248680336903	-1.09467267018002	-1.0248644340702	-0.69102966158559	-0.875621773398001	-0.827499690158761	-1.14354343004982	-0.84965215380721	-0.72722493631382	-0.728613335270109	-0.956462388156088	-0.883136366652406	-0.81474250275674	-0.740810344609766	-0.810017438674866	-0.98304181123902	-1.03747674705542	-0.967516989071622	-0.69932373747269	-0.832673248950231	-0.739666226509294	-0.88994568955692	-0.949972221582086	-0.87706594669469	-0.74840205206511	-0.92033615686054	-0.934161679627375	-0.854651074452197	-1.04832807831047	-0.965952038836087	-0.877483340449214	-0.899870736506897	-0.982916425496211
"347732"	-0.180551907100894	-0.405931235661092	-0.212757018517384	-0.38763666641904	0.17702951331384	-0.157695116739321	-0.185777985263637	-0.184904418968057	-0.205282481513743	-0.200854850250154	-0.12737943056758	-0.266557364221416	-0.214110810609408	-0.1953191568527	-0.0905890424941168	-0.293712293489448	-0.184252555100992	-0.0472973710247577	-0.210613843538179	-0.250991958036019	-0.221947133119734	-0.31216257501717	-0.195088230838267	-0.276241200480593	-0.224769625883242	-0.320112170842146	-0.265076565218998	-0.215895044591836	-0.216277690377672	-0.265702514755868	-0.293534688757153	-0.291042876659213	-0.118025880163269	-0.239317261918038	-0.151439480990043	-0.239114698419523	-0.275552969410075	-0.157712773904886	-0.21413512097617	-0.397535822963539	-0.127017780877475	-0.230281011828683	-0.107704834660496	-0.314247507543625	-0.310368822519932	-0.274755149150266	-0.180417541414411	-0.312853563108785	-0.310608409136445	-0.249740012234151	-0.367853238950662	-0.236456846779383	-0.179583477973073	-0.167559613824099	-0.186627479090394	-0.250036547729164	-0.0633341887442555	-0.229601844996252	-0.1919729291349	-0.237774672764881	-0.0438280618915669	-0.299852822683117	-0.322847574405378	-0.227741082943776	-0.320758815052385	-0.201224754853086	-0.224171280235484	-0.307063861283457	-0.183095857099551	-0.302544426528737	-0.160928929850756	-0.317689838299893	-0.191942289053963	-0.283473012876858	-0.218784810423481	-0.215417769773837	-0.217975605823397	-0.171730695597937	-0.22014561765083	-0.128313284485972	-0.192817159718198	-0.221318981371981	-0.146155203223171	-0.161692047480902	-0.166767123230421	-0.323545288552223	-0.163247283415542	-0.369990945293331	-0.277483616033474	-0.349168130079992	-0.286679447501836	-0.297517286896411	-0.227412502579599	-0.24376124280707	-0.317421133187588	-0.409442862484398	-0.165394092896627	-0.290463800434409	-0.0758597910034331	-0.0987892369638745	-0.282295450649037	-0.197326137309681	-0.187053359945601	-0.202936297107985	-0.179820020180566	-0.178811235829052	-0.29906170519203	-0.105077612959739	-0.224693238231317	-0.211109147783065	-0.24635022792828	-0.140112406114014	-0.20732127979123	-0.268604913483774	-0.221758404869314	-0.210964887189564	-0.207891348281293	-0.223040961865016	-0.176158742346901	-0.154354665659416	-0.315682859301876	-0.348135134173223	-0.280664393767777	-0.234966348674787	-0.169372899281761	-0.234115901143178	-0.146894212232671	-0.185008019600163
"84952"	0.126882938049668	0.0756650435180599	0.116297243157296	0.055420022022471	-0.0226592459089242	0.121007227902633	0.0235990617014184	0.101992869682814	0.167365899033495	0.151824756212296	0.106391697190787	0.0388974913293083	0.140505315898874	-0.00567237908304716	0.128891038471596	0.071310611224399	0.175942056320468	0.0235471225613775	0.0494449823249169	0.0141504465327535	0.063668478563065	0.0786809435886326	0.133334952019147	0.0438842546951596	0.00263532126378503	0.0664693264649133	-0.0172513049833261	0.0281847613477692	-0.0295748137979076	0.00667344521487621	-0.0860049408209504	0.131892313080464	0.0129206688225109	0.0570636081236411	0.2609339173157	0.0952026089495588	-0.00712352468567446	0.0185501380035537	0.034799239845432	0.0306917099760495	-0.0143738110954007	0.017843313015215	0.0116750284149519	0.0847883993420256	0.0423014667073136	0.078269560356466	0.178148146262021	-0.117987654018412	0.0671832801693816	0.0857236674347337	0.0432789223085942	0.0609777215767918	-0.0313069295229429	0.0287322539154506	0.112542233065718	0.104997086455016	0.212283789850172	0.113951465493496	0.0820413553639308	0.00351662941994522	0.138992232511404	0.093037299088067	0.0158102781179725	0.0460842398254868	0.0110619664407312	0.0466905567367814	0.0740353622248892	0.0547436281323143	0.0506798428734637	-0.0192833206834049	-0.0589701504930724	0.137342433165096	0.186435199973438	-0.0489401960869079	-0.0307795033976025	-0.0344515546573488	0.0948950536999884	0.023490031503276	-0.0277287293913772	-0.134059676117267	0.092347720070303	0.064773957596228	0.136982605769452	0.0670532419699078	0.0539457457189502	0.229142154447308	0.0305913740964039	0.0988190863385392	0.0432497735635259	-0.105146584498457	0.0804295795299826	0.0705237710563821	0.130481557348936	0.0799295599315129	0.113969883719452	-0.0907092415417756	0.0999658808912472	0.107492343209426	-0.0191689358921473	0.259666670575968	0.0385183637538814	0.0389304181876648	-0.00911079250529834	0.0492380054345025	0.00936234643948922	0.0835007812561541	0.144974752143679	0.0477081758651106	0.0757906880868621	0.155046959755179	0.0895392413353653	0.0816529858426572	0.103149321636323	0.0940254313607636	0.0954742017128781	0.0902606651039249	-0.0601718621607458	-0.0101311453041294	-0.0120693314199077	-0.0193608417920262	0.102207503215596	0.0841174991864515	0.0525561648897217	0.0320454720557428	0.120152062926325	0.0284785874072237	0.0627921120632154	0.0581800520218376
"79585"	-0.305964785303117	-0.0439330664331586	0.0181332369773398	-0.0858800548615695	0.0109723843975054	-0.011665462548796	-0.234309209762535	-0.170273363752081	-0.121884818408454	-0.0930450834213301	-0.178527386726318	-0.216066775221425	-0.0658181065961856	0.0465444032771525	0.0544010011766309	0.0128543679922666	-0.226320461371603	-0.0438178580916267	-0.152470968749781	-0.133859692818675	-0.0565632061687018	-0.12630705307749	-0.182144564517045	-0.0176583059695282	-0.203847094062844	-0.0325766640161127	0.00987262869395548	-0.126433400381811	-0.0582836654242046	-0.0986822539781094	-0.132709934382425	0.0212825178524316	-0.0145314861647255	-0.164316447645697	-0.12140884615227	-0.167000858762369	-0.116864361736129	-0.191151785151272	-0.177705217034455	-0.140591596883332	-0.104332091043225	-0.0828903844537769	-0.151907219618513	-0.141333632151797	-0.127918785181596	-0.0364043774995211	-0.0809239631832938	-0.19017348717078	-0.14646613284718	-0.0837934825806007	-0.118269243256997	-0.088731841272192	-0.067702511293572	0.0991960684605177	0.0137302806100976	-0.153479088425681	0.081681782612002	-0.0716160229548825	-0.158379132675744	-0.168396800917376	-0.0960315275781369	-0.190115319243782	-0.0992266205264135	-0.205197288268065	-0.152076869543177	-0.109981259023301	-0.180322414002405	-0.150690672704944	-0.046633751615556	0.0687820995234639	0.00370610880547608	-0.187286995876744	-0.145512418514469	-0.15503423859925	-0.036144388504146	-0.176374018718272	-0.0616560102348481	0.00200882196513205	-0.208457789432977	-0.227225961789444	0.0678831455617437	-0.0572450057978873	-0.249763026351606	-0.0456873435514185	-0.156690918173547	0.0345978077513898	0.00192201439284221	-0.130520546357616	-0.0480846917294631	-0.176955890932948	-0.25635844299417	-0.153014781460796	-0.0594261719050995	-0.139849316683362	-0.243851014016622	-0.0635268905010573	-0.201960558558773	-0.0603396490837184	0.0675378689934363	-0.081663267324069	-0.22144427249289	-0.0865812646657443	-0.20810179005073	-0.146077997984852	-0.191933784449974	-0.175671860938786	-0.0551689563097803	-0.202975968496252	-0.0994775468993335	-0.0392559385144133	-0.106621805283768	0.0597005356351327	-0.146235816055435	-0.09492285560321	-0.0805652873603277	-0.146816012971398	-0.127934684437544	-0.104250043368761	-0.0142325972255102	-0.185130665521782	-0.0906695686706942	-0.0426058127063296	-0.044984389629266	-0.112813947325219	-0.0850951667183454	-0.0714929671947328	-0.0750478342225725	-0.169776162281794
"1773"	0.00675218654652091	0.0162358512921985	0.0182776215559295	-0.133803903658295	-0.114020537617187	-0.107402636994326	-0.128459536813887	-0.118520816510234	-0.0745051757279694	-0.217972808457664	-0.219738836025857	-0.0899998018953935	-0.0509476297887492	-0.133514957589368	-0.0555603708923167	-0.0760121025118673	-0.127152651514005	-0.0321467062096067	-0.0924556862106726	-0.143614874787274	1.19428787287317E-4	-0.102248358356152	-0.162884128843524	-0.100157987553413	-0.169085540825538	-0.111294625127749	-0.0707428203535914	-0.0780331121621044	-0.118361949717508	-0.142072337394727	-0.148438976250316	-0.0933322111674462	0.0348683992037351	-0.074247864023411	-0.344854336779315	-0.170093984800932	-0.0716163334560828	-0.115934056321537	-0.148893564991476	-0.0746412291678402	-0.0708262187788222	0.0536929614656989	-0.0882310758500227	-0.117066460690966	-0.243229078708146	-0.0997522877588693	-0.0505425202091032	0.100776161287045	-0.116600918745598	-0.0854586464198349	-0.145158491292688	-0.272576372001997	-0.0548553607184366	-0.0270019738202527	0.0469465788466942	-0.126315384054038	-0.00573518915654978	-0.065257644905833	-0.204313235706273	-0.125020078256689	-0.0901621103107298	-0.0842212186496107	-0.0612280870824399	-0.142452280578334	-0.180734930207068	-0.224046451810185	-0.154315372280657	-0.126604173860721	-0.0469527888932047	-0.00151284472928333	-0.141336496206933	-0.0690229908260113	-0.0483031443230516	-0.173478922826342	-0.0262071821292769	-0.119650644848751	0.00173987456335988	-0.0130674544846724	-0.174859811151739	-0.193618873712934	-0.0579946754259364	-0.174628120392236	-0.158807794978793	-0.14731911907087	-0.142588098190248	0.0354362829654359	-0.0518123455781178	-0.169565568954808	0.0211533617153506	-0.407566539001019	-0.0785184241295407	-0.0953841519925506	-0.041321421875803	-0.037394015441808	-0.244016756099786	-0.0819167389111594	-0.188436011250109	-0.0174993167955378	0.00736473994772875	-0.0481195112370918	-0.254348757815372	-0.132137318078932	-0.179078189453124	-0.160156802697831	-0.14174616678246	-0.111484497291327	-0.0102784916321027	-0.203327293843806	-0.141285040442678	-0.0674696467836976	0.0206985398958253	-0.244630522960156	-0.0929253206974012	-0.120781879661148	-0.0529385309128759	-0.152690321612376	-0.112353701967656	-0.0720994522038375	-5.02135047375112E-5	-0.189102213048144	-0.0290928135495303	-0.133476780030382	-0.145952532904742	-0.0287272938815254	-0.125282368858794	-0.131849031210551	-0.111694451087902	-0.239076945782887
"373863"	-0.153525315740272	-0.228252572868827	-0.157747487701838	-0.34386760482473	-0.085310379740666	-0.350227927532268	-0.149626571099939	-0.106163496711425	-0.107961879062409	-0.369453971140488	-0.274260149348127	-0.193686094461438	-0.257362836439328	-0.488017384302719	-0.165067958597422	-0.131739716833072	-0.393096906125749	-0.458933946760536	-0.373222034132108	-0.214582497546002	-0.204036214223725	-0.249098751806902	-0.217937206219221	-0.2296689305203	-0.0687634397771273	-0.0934089581598888	-0.186483634741904	-0.164487257521485	-0.138028060872817	-0.272888074136436	-0.237820088878641	-0.275163482273458	-0.35752340621188	-0.177581122851966	-0.096883802591652	-0.203209132770889	-0.0555910444543287	-0.218867784884501	-0.150871814215626	-0.285078166181658	-0.0722418770478559	0.0109081325807476	-0.0897992740590206	-0.174906301185454	-0.107506768154151	-0.32404003482163	-0.184293378053459	-0.26544803637238	-0.128612409471994	-0.249996561225873	-0.20753733542362	-0.182122051803933	-0.28018743935461	-0.294045419516477	-0.0333539937541123	-0.227776824157596	-0.2638385263223	-0.233195461795372	-0.140627171343118	-0.356099085818345	-0.220722758093866	-0.349819444130585	-0.237412479045937	-0.255192863145291	-0.175709902326009	-0.174142392207836	-0.210675525656892	-0.181900439848564	-0.275222685888267	-0.280576203225696	-0.280738243428429	-0.138998780471767	-0.133211954611008	-0.161102518837176	-0.319514722594297	-0.151572152775616	-0.263942553295225	-0.140100085616599	-0.067214087052409	-0.117791714584177	-0.271189703269461	-0.28230859957853	-0.315086882221871	-0.195249671190091	-0.135362234414366	-0.123102370933096	-0.386538535440758	-0.500348955938001	-0.248513976319526	-0.218931542444801	-0.37563516819404	-0.186730127502627	-0.174085939707802	-0.119868049902172	-0.310888041432982	-0.390609002409747	-0.20658907490831	-0.133116268677894	-0.0579997459046475	-0.129742173475179	-0.00675554975539815	-0.0873913659709143	-0.201431541952583	-0.381869902674909	-0.0995459619519206	-0.201823162359528	-0.383089742807677	-0.177501507435427	-0.0639105950116015	-0.151818846811816	-0.273398337026092	-0.238259679898307	-0.0780702031799814	-0.152612823654568	-0.29937656342811	-0.0528811206489259	-0.325408241109168	-0.199367928807158	-0.121688993165923	-0.191449308896926	-0.169748827617984	-0.111901546681653	-0.226036849843829	-0.225216229077424	-0.284619202736143	-0.234636778530512	-0.193160182844593	-0.205553070144454
"1789"	-0.069058883138603	-0.10426198979431	-0.117286331117668	-0.109076444718623	0.208817927753223	-0.044588643958666	-1.41200703818536E-4	-0.00595670401193544	-0.117174572751784	-0.148197486335339	-0.106872993060717	-0.0525124925098189	-0.113933436437211	-0.0747157523302773	-0.150699253518504	0.0974560289763539	0.0862182238342773	0.0623954048895455	-0.0108630191239628	0.0150751447487866	0.0687626976476631	-0.0271317169472233	-0.120190846634255	0.00385313166314268	-0.0983716889689262	-0.0698944735390396	-0.117390895076697	0.0473569164798427	0.0367532511523068	-0.0343102465874528	-0.115353338019903	-0.174898815524064	-0.0860948995924628	-0.0410184823087361	-0.103520481929469	-0.0852666789093926	-0.0322414801573868	-0.0797227727995558	-0.0547906754465164	0.118471718858292	-0.0634181605555194	0.0363734979714201	-0.130892697912259	0.0298077533605748	-0.0324920349138871	-0.13510607056097	-0.122665721569657	0.129582216698023	-0.0145851898081343	-0.00776152281494509	-0.12184843834606	-0.0210911565417373	-0.0787825501775787	0.0191446110121009	0.0152885773292374	-0.122857650160794	0.0640049074370442	0.0346632493871837	0.148613739359916	0.029594336035864	-0.0895495411486954	0.162714236521897	0.0374212024121757	-0.0509529295047596	-0.0117256918786064	0.0483679020759843	0.112362864638773	0.0159112841137627	0.0903979801206681	-0.0493001224837034	-0.0334441831773571	-0.0464813677193406	-0.0976335649592049	-0.0418310299016723	0.0087490416487917	0.0361432185936176	0.138554640188762	-0.0557778191047166	-0.0926117410508654	0.0913987593935634	-0.21797698716214	-0.155983137121544	-0.146672697713725	-0.157616564761455	0.0372265835266136	-0.224490179157881	-0.122735424304996	0.122793331864918	-0.047324121513302	-0.0571988001098844	-0.141751885975813	0.0577347359541532	0.0114620695135343	0.0418025545993478	-0.0485812923152827	0.0495187627018162	-0.0068721468386725	0.0534006519171731	-0.0522034429394013	-0.235615001208457	0.0341122380181626	-0.0667236159785188	-0.0207399877058609	-0.0696692705360725	-0.0865796663508419	-0.100001037247592	-0.13999143101523	-0.102217579215466	-0.145073804849648	-0.158675117468039	0.0182077088482493	-0.123595315917069	-0.0201126507491756	0.126541747931918	-0.080728517528086	-0.0673815576858158	-0.119850843114547	-0.0289199404014125	0.00344497271514665	0.131452478863553	-0.0499077204377699	-0.131792546635868	-0.0482136794855811	-0.0958575697450555	-0.0895090889579358	-0.0041430196162534	0.00353685891085637	0.074306483125477
"158297"	-0.28358983172819	-0.25147739872046	-0.165685729680444	-0.183972836962915	-0.370012352989492	-0.138951279707958	-0.0358435322253529	-0.157725722774307	-0.132191664578204	-0.163469148011655	-0.156356536206051	-0.250261516407714	-0.172519165167143	-0.153499423931369	-0.181526682127	-0.117925294703333	-0.220964615003022	-0.108102370086448	-0.168078361570901	-0.185894458049181	-0.064844501068735	-0.0589785878638119	-0.258144079737226	-0.175818584932127	-0.191194388860658	-0.147328137513458	-0.108303228758061	-0.252984921914275	-0.157378116526029	-0.19086080826147	-0.234358643957874	-0.231799139715601	-0.286953577554922	-0.181426339933915	-0.137888481644939	-0.115958333628562	-0.114273382450796	-0.282498656676627	-0.215406672206624	-0.0829717928451334	-0.0636758364384019	-0.0985987903342719	-0.319737225978886	-0.201581112785598	-0.249103552361519	-0.304464536881543	-0.0864347936398921	-0.259284436978137	-0.162908459584686	-0.199971000395688	-0.0367031982757929	-0.0743810474836598	-0.104085211796343	0.0161825027755219	-0.159065445811529	-0.0424870946275119	-0.16008872182547	-0.164276119628926	-0.224149692737647	-0.146972028872505	-0.202511566911197	-0.115941291433489	0.0150345478411052	-0.240080243132821	-0.122144036794669	-0.183501999841766	-0.127601217882479	-0.239963134338263	-0.210370125631034	-0.117306436470209	-0.0186432871698672	-0.2251100060022	-0.199007813510777	-0.196054278787161	-0.153715382099977	-0.218713591080381	-0.233916041154771	-0.212481613874869	-0.138077761714803	-0.238012914019339	-0.0904321737040608	-0.158895975298221	-0.113263456753357	-0.116117586983941	-0.0894001309636213	-0.241311804757077	-0.104288538818842	-0.0518712807476455	-0.0521062402072907	-0.213391910144637	-0.0366024146202226	-0.136155476524352	-0.198222089265046	-0.19286750967692	0.0617505949355736	-0.27154679533807	-0.155402726471315	-0.147075004345719	-0.110214776377165	-0.236768731208307	-0.0764253683127048	-0.135758351162413	-0.205680658189169	-0.0897273865371078	-0.343991351551332	-0.0511929818398566	-0.1488447236326	-0.0876260164657912	-0.128646349946727	-0.129961919807538	-0.212586901596202	0.094131796734516	-0.147796684384752	-0.0550489489965289	-0.0933535233408388	-0.123239741970634	-0.215350261524574	-0.16973477259524	-0.103540942702448	-0.18569315577394	-0.0451062148081627	-0.274516355349157	-0.13885367819843	-0.0688298863400991	-0.161783252351488	-0.103856728571629	-0.214559086960228	-0.200109842846544
