	"ACH.000009"	"ACH.000013"	"ACH.000067"	"ACH.000095"	"ACH.000097"	"ACH.000223"	"ACH.000235"	"ACH.000237"	"ACH.000248"	"ACH.000256"	"ACH.000264"	"ACH.000280"	"ACH.000318"	"ACH.000383"	"ACH.000403"	"ACH.000414"	"ACH.000415"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000476"	"ACH.000481"	"ACH.000496"	"ACH.000524"	"ACH.000527"	"ACH.000548"	"ACH.000571"	"ACH.000584"	"ACH.000608"	"ACH.000620"	"ACH.000624"	"ACH.000638"	"ACH.000681"	"ACH.000699"	"ACH.000711"	"ACH.000734"	"ACH.000735"	"ACH.000738"	"ACH.000785"	"ACH.000796"	"ACH.000802"	"ACH.000824"	"ACH.000848"	"ACH.000867"	"ACH.000917"	"ACH.000936"	"ACH.001048"	"ACH.001353"	"ACH.001377"	"ACH.001654"
"135"	-0.0042766544754417	-0.0477090515722487	-0.0676316380580308	-0.0664754873486808	-0.0930861491338306	-0.06638763641427	0.0100414393329932	-0.0599088739593075	-0.26885201641587	-0.123774035919728	-0.158139995807811	0.0235614103773736	0.00629005503465385	-0.052887891195504	-0.0355990857227725	-0.0165050755781713	0.0845734708047824	-0.00601098225627913	-0.0502384469136006	-0.0276968967894787	-0.0531366405211492	-0.0735410969783588	0.0152020128630518	-0.120732463892781	-0.0835137824040813	0.0718374450316339	-0.0182292449547267	-0.0654758973995018	-0.116555927970368	-0.100633771985491	-0.135802475835194	0.0486059620799167	-0.0237156464167025	-0.0742246916297528	-0.130367251534121	-0.133786658720613	-0.055795465632647	-0.0708230858794989	0.0482893430571162	0.0706580070306628	-0.11166244364198	0.0257661812734642	-0.0182602033586394	-0.0616328190914882	-0.141688318540949	0.0214856750542096	-0.0925230717175325	-0.115206188746936	0.0306929473604588	-0.087620982455232
"533"	-1.19011801810182	-0.952168330404841	-1.03667667822725	-1.19187635388873	-1.25897399115743	-1.37635778639358	-1.13392016138467	-1.14046917058991	-1.27117405533211	-1.2115459915171	-1.33414755278873	-1.14874476170717	-1.09460616869144	-1.15998911008986	-1.3991722719188	-1.26500594727093	-1.35077850665514	-1.08198281178883	-1.19364756420523	-0.872563064797881	-1.25187493091894	-1.18888624336761	-1.18259701074342	-1.20291224959054	-1.10255635316707	-1.33801053231327	-1.21965756312601	-1.16179203073368	-1.04841616266401	-1.11430587019129	-1.09900789129544	-1.18030606462428	-1.20672179938464	-1.32602742554181	-1.18471555962504	-1.08354837587908	-1.14507167427527	-0.860654622552367	-1.32675558314319	-1.30559066321633	-1.3236204579438	-1.24010420851555	-1.12355572314312	-0.999782478799471	-1.23414339415561	-1.09682504386398	-1.02294044285553	-1.2762969961711	-1.19026717229457	-1.35848179513136
"527"	-1.31873015651117	-1.18503971684869	-1.31097798371777	-1.54232664751041	-1.37188613355637	-1.43449795912621	-1.31449318463436	-1.36595419076083	-1.34426831219215	-1.37419552607963	-1.48072072690461	-1.44141266859999	-1.42701931933226	-1.55646262953313	-1.59940840223661	-1.47522755074342	-1.61665320244945	-1.17161823671354	-1.36878319262522	-1.10107643427615	-1.40939169057108	-1.55146585665024	-1.48582280831082	-1.53084158928188	-1.34949503194925	-1.53978308348525	-1.56902143934835	-1.57354657798879	-1.48188313007424	-1.38470756749206	-1.36083286179936	-1.46689017888583	-1.38911021359301	-1.70400453350909	-1.35227003996014	-1.35149767309913	-1.34178989662952	-1.07688152416306	-1.51661974622028	-1.46174429763896	-1.3989392257367	-1.46787423749712	-1.23032589719199	-1.40618050987503	-1.26784933410706	-1.49532302172756	-1.46021142375248	-1.42126027884252	-1.3832736264531	-1.35474119346692
"9296"	-1.28003958456107	-1.06960070069179	-1.31545746047758	-1.25165374890011	-1.25755833626526	-1.51531363566717	-1.22767351188197	-1.22145811435909	-1.14551931039538	-1.49772950754829	-1.42717017015826	-1.55115748899716	-1.42022671655176	-1.43899412043677	-1.48016324276826	-1.21044094218191	-1.58920383068619	-1.28696974952029	-1.23935097364262	-0.85475000511607	-1.52738081536839	-1.15380176645971	-1.24169794975481	-1.25199300082746	-1.31650973226194	-1.20050934765167	-1.68098445721531	-1.57715219989372	-1.51695091705146	-1.2040311664823	-1.31940575601325	-0.960107922184791	-1.27589285152655	-1.5351629669109	-1.42339665573963	-1.04702115958035	-1.50005457901467	-0.970307846845704	-1.38958358275053	-1.51566736037297	-1.22870288238475	-1.38266408730485	-1.1865868656094	-1.23115852702249	-1.34794494452749	-1.36052034418882	-1.38325657643956	-1.33727722434474	-1.40746837674037	-1.31706019544491
"988"	-1.27879571758607	-1.38405030124823	-1.35478211743051	-1.24561741529351	-1.21245333825448	-1.283094617457	-1.15503950347304	-1.20143476873388	-1.28083050431874	-1.40793564435604	-1.26465107416026	-1.17902453436253	-1.28967064583888	-1.26626990208755	-1.33359227911225	-1.22896544492564	-1.33092272379799	-1.09143726106517	-1.12932782990608	-1.10241624120077	-1.19468893491346	-1.35479129879385	-1.39339722863777	-1.60286197654516	-1.10920130893163	-1.20164966505997	-1.3032427153725	-1.14453055693671	-1.21952825356176	-1.12763711046342	-1.15949091890066	-1.30096941828898	-1.11387124119344	-1.32994757788867	-1.22185641811339	-1.20487740339111	-1.04227632367728	-1.0648373911548	-1.11484090121767	-0.99490296725156	-1.16118665522542	-1.21771015433588	-1.15321338475986	-1.28629927512821	-1.04196208401423	-1.00315724922224	-1.0814982765969	-1.19730989765049	-1.20986410363756	-1.40236540326968
"629"	-0.268092657727448	-0.21279931876799	-0.302547341071953	-0.278041572267117	-0.273071712745306	-0.313921089546833	-0.205572392543326	-0.230934775920989	-0.377623802214369	-0.212502581760694	-0.391317964086769	-0.280106124522447	-0.294202936491471	-0.208047431106566	-0.22735894048943	-0.291906789348898	-0.219701623736924	-0.129180287738872	-0.267856741823357	-0.235043533717921	-0.214124872057861	-0.258357674792767	-0.226092759821802	-0.320144248819802	-0.234049462530088	-0.250183987887457	-0.235561295112844	-0.192617113083674	-0.243180274116891	-0.171200974295956	-0.322820249246525	-0.245114611293251	-0.225801217150012	-0.280628370077765	-0.260209869911356	-0.281256149709767	-0.290352514834237	-0.212035011886917	-0.202746354722919	-0.162131134002058	-0.294654862539379	-0.170243027516417	-0.0644039973819259	-0.21558828100863	-0.226938615168627	-0.0901260902662317	-0.196544350152982	-0.213767126732781	-0.137634490863865	-0.25483831724406
"26505"	-0.046918363212602	-0.19038444994925	-0.100909284755831	-0.0754729077642108	-0.0215820589893629	-0.197621210427052	-0.122118909943841	-0.0974391553207927	0.0351522082951627	-0.0218640277316588	-0.226452930307114	0.0416472741943823	-0.328874569743767	-0.11768247647853	-0.0953438355841321	-0.0784273031445258	-0.155818589609201	-0.0346262020695822	-0.136041627360641	-0.164810115221027	0.086476522564878	-0.0338322229115612	-0.0736490426199288	-0.234532730888831	-0.140948425521598	-0.188099896887224	0.00193520719674019	-0.171766749571275	-0.0819017800790041	-0.0840346262475909	-0.224116793608357	-0.148145963680769	0.115907650972199	-0.212658548448732	-0.118098792117895	-0.0777636643292528	0.00725188586855884	-0.0945324383962133	-0.0318160964585058	-0.0670962976114693	-0.101782797191973	0.00649846377635258	0.0556070290112724	-0.160898559972506	-0.0813183968546841	-0.167600168307399	-0.121420350760477	-0.110855493251405	-0.0350572323894078	-0.0956030122811175
"196993"	-0.0810365354379719	0.0217796692220729	-0.065346318007473	0.0355586026804578	-0.0824353516132085	-0.100222866699614	-0.0853192061438498	-0.0721832317106042	-0.119184799070318	-0.078213310941198	-0.0290623314373986	0.0340425940139867	0.0403224771788092	-0.0477524636014934	-0.0101559881018596	0.0369210585948286	0.00478766015138415	-0.0511526407555843	0.0224939499406394	-0.0579898472515962	0.0508974549210801	-0.00353040614033525	-0.0904266487815602	-0.00549825031959547	-0.0318242507375543	-0.0801598141893676	0.00140736875708696	0.0276445291949735	-0.023434845233641	-0.112430155123468	-0.0127329970118701	-0.055166952079487	-0.0734619702841233	-0.0481320907232863	-0.117792193075167	0.0449051721443593	-0.129012764446669	-0.0505993226063017	-0.0135551035511246	-0.0260106762629342	-0.100673461296358	-0.0231228036478383	-0.0576886531733912	-0.0874507914944572	0.125158478935822	-0.0304364534757814	0.013486357278061	-0.0668627618364448	-0.0737788472865514	-0.0366596740972711
"8220"	-0.706277136545556	-0.789299092950582	-0.737036487981981	-0.79757316595625	-0.642151485562847	-0.871600512319542	-0.762026899058164	-0.75446978179203	-0.74758246032643	-0.552572526414424	-0.895390279586987	-1.00042875366873	-0.910226628459238	-0.425658447631107	-0.949404822300983	-0.656326273112912	-0.586775309456391	-0.912689853626656	-0.749125573604344	-0.814439057151324	-0.566673025453653	-0.738569317000774	-0.533819194456126	-0.938451244402275	-0.78723380324022	-0.671846304259282	-0.756807370416176	-0.833502182938793	-1.06517394660112	-0.501215328392743	-0.854300897386139	-0.545987883302284	-0.625839103863814	-1.1144754945346	-0.923294687717429	-0.494017476616689	-0.693510874907771	-0.63538115999222	-0.537410759759324	-0.499876246194849	-0.609855985959138	-0.605276628148563	-0.64296865037368	-1.01690290462869	-0.593600592059473	-0.552752319946862	-0.734002717353125	-0.583159301707629	-0.431233377765805	-0.601482382035636
"8214"	-0.210152140811139	-0.152709573857284	-0.133103477090912	-0.0908785013532029	-0.295019048621398	-0.329741965266713	-0.105551934566987	-0.16867718384419	-0.120249288255163	-0.224774734067569	-0.178774975767759	-0.201333385711798	-0.0799138286646497	-0.140264776502745	-0.189171676932528	-0.169684454451196	-0.0952885553910823	-0.203962632997534	-0.112306794811436	-0.161101009227234	-0.0619049482190615	-0.168348312959891	-0.00980876765111719	-0.0953065294609436	-0.339404274609821	-0.0569682819938787	-0.169813267846198	-0.176625811369557	-0.175040135672583	-0.226746082170498	-0.147294544813254	-0.216933141414289	-0.0142087059967712	-0.0580083158157956	-0.238675805477438	-0.189016835346081	-0.148979713274697	-0.144468802521689	-0.0421225442330128	-0.0157890343856807	-0.149785083627817	-0.0376445333837813	-0.0843067024349169	-0.206606257070565	-0.0059351859892057	-0.161466465189749	-0.144708827304537	-0.115279877496391	0.046052918613964	-0.144404259915229
