	"ACH.000015"	"ACH.000025"	"ACH.000028"	"ACH.000035"	"ACH.000092"	"ACH.000116"	"ACH.000127"	"ACH.000132"	"ACH.000133"	"ACH.000152"	"ACH.000169"	"ACH.000183"	"ACH.000188"	"ACH.000211"	"ACH.000215"	"ACH.000231"	"ACH.000232"	"ACH.000253"	"ACH.000255"	"ACH.000260"	"ACH.000261"	"ACH.000319"	"ACH.000323"	"ACH.000324"	"ACH.000331"	"ACH.000348"	"ACH.000352"	"ACH.000390"	"ACH.000401"	"ACH.000410"	"ACH.000420"	"ACH.000425"	"ACH.000444"	"ACH.000463"	"ACH.000464"	"ACH.000468"	"ACH.000469"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000505"	"ACH.000510"	"ACH.000511"	"ACH.000522"	"ACH.000527"	"ACH.000528"	"ACH.000542"	"ACH.000570"	"ACH.000573"	"ACH.000584"	"ACH.000591"	"ACH.000593"	"ACH.000600"	"ACH.000605"	"ACH.000623"	"ACH.000627"	"ACH.000632"	"ACH.000638"	"ACH.000648"	"ACH.000663"	"ACH.000665"	"ACH.000683"	"ACH.000713"	"ACH.000720"	"ACH.000735"	"ACH.000760"	"ACH.000768"	"ACH.000769"	"ACH.000781"	"ACH.000787"	"ACH.000788"	"ACH.000819"	"ACH.000832"	"ACH.000835"	"ACH.000841"	"ACH.000859"	"ACH.000861"	"ACH.000865"	"ACH.000881"	"ACH.000882"	"ACH.000884"	"ACH.000887"	"ACH.000896"	"ACH.000901"	"ACH.000905"	"ACH.000906"	"ACH.000912"	"ACH.000917"	"ACH.001151"	"ACH.001232"	"ACH.001301"	"ACH.001306"	"ACH.001328"	"ACH.001380"	"ACH.001740"
"23305"	-0.0705628570170087	-0.0187586033416218	-0.0395949286991907	-0.0238044383881032	-0.012983425022655	-0.0762720413416219	-0.12466490787008	-0.0965480922774398	-0.00852166945091294	-0.0438026409256653	-0.00716455576289963	-0.19246141209968	-0.106225159692707	-0.0759352075099181	-0.0311494707941503	-0.0251598246912822	-0.159020514968982	-0.0685657124909395	0.0108023435804519	0.00905358552406914	-0.0539708249704876	-0.071987333227032	0.100520191594711	0.0430958872213979	-0.0232843207881488	0.0507604687903746	-0.0958198235459186	0.015240062971162	-0.0699642621141906	-0.0731502883607901	-0.00290353829140628	-0.0443531554008777	-0.0560055563211234	0.0284610642093426	0.0659050659705952	-0.0238614616519814	-0.123222372030866	0.0226296957054786	-0.00490445399308438	0.0190876947229943	-0.0388015537007103	-0.0330676122371848	-0.109779268445917	-0.102089869680667	-0.130295029670035	-0.0289447268725546	0.0091954673256034	-0.0588741034597902	-0.0278485251772323	-0.0978104913600717	-0.0841264585966828	-0.0790299485045143	-0.113764629204202	-0.0368085859607402	0.0169141029878849	-0.0638293944740367	-0.143856816867873	-0.0177054184931397	-0.0451002132961109	-0.0404920279415336	0.0359698851198766	-0.0161952105472021	-0.0219714623000537	0.0377322694647927	-0.096592926250394	-0.0711045345850436	-0.0578172170452626	-0.061542893500566	-0.0635637190715397	-0.059665210885334	0.0172532886996465	-0.0239011884778386	-0.109532255811241	-0.0950867328351778	-0.197146385230018	-0.0582278404239141	-0.176595184243321	-0.149307183690806	-0.140359762450878	-0.14047611583505	-0.0915499536319744	-0.0688679070208298	0.0481296705904335	-0.0897308574488763	-0.217914925019819	-0.0864589571239428	-0.0268888217394552	-0.0660119695970601	0.0541463996696718	-0.202539952970432	-0.0227585780536887	0.117193196316879	-0.0927729227856845	-0.256496245765693	-0.20998709030118
"56052"	-1.05570612779467	-1.02961545757023	-0.695682898104191	-0.998773057768197	-0.959593383249881	-0.925102691660474	-0.952160206263454	-0.891535018872124	-0.873672378945452	-0.793307019875042	-1.00875828108157	-0.845833589221118	-0.897731225603349	-0.828402306782034	-0.911029593066914	-0.787385924494672	-1.0371067782891	-0.682726284384594	-0.757469108943333	-0.904255594746602	-1.1361834839398	-1.03008094176245	-0.910276702394632	-0.898979204023631	-1.01245824550611	-0.996839932684542	-0.502362989850393	-1.28807449230938	-0.965271457136546	-0.721771745884017	-0.80435384487597	-0.870587639094476	-0.972310767436623	-0.991045138914148	-0.855434581664046	-0.870300518902186	-0.884247688608818	-0.912949644197698	-0.888282299773011	-0.793768739767853	-0.872327451590042	-0.802717722072484	-0.816555212847783	-0.939961362668553	-0.850080874115497	-0.928007661256745	-0.892067401402755	-0.952088234830072	-0.955417238885454	-0.878299541288554	-0.963681461975152	-0.978743694980911	-0.930858171071997	-0.902676304060465	-0.95842867496942	-0.761216871065891	-1.02287764800546	-0.66273588481943	-0.864815828802172	-0.86772842351497	-0.930253310007949	-0.820335624324027	-0.78360851265549	-0.839440679928785	-0.900380071039165	-0.831978640633263	-0.892958760722459	-0.903503642888338	-0.899061786966485	-0.817037062717136	-0.934854319517843	-0.831593149747859	-0.991139294523306	-0.843679899799864	-1.0310270707798	-0.907340759872835	-1.04452860358374	-0.878899229684511	-1.08496823217022	-0.911501204928098	-0.98570716510808	-0.895783460019159	-0.909347213413249	-0.985431143258253	-1.06815185301557	-0.821203484994184	-0.917875338689078	-0.992104748690326	-0.821384090561807	-1.0008057732786	-0.945848842036384	-0.857006171153182	-0.81355373845537	-0.895592647466486	-0.991754856677217
"150590"	-0.111588073208872	0.0473316530539362	0.0311100560153419	-0.0965698171736753	-0.113606766672605	-0.00458596501167621	-0.0563891643674892	0.0103381516578183	-0.117312547069061	-0.118989749341035	0.0659424860749946	-0.135713736335567	-0.0381708547014455	-0.103935713547417	0.00323952524294708	0.00852006878577098	-0.129830787018608	-0.027129412911481	-0.0723325099941351	-0.0150982716717614	0.0292844921612928	0.0410593687682599	0.0764838278506353	-0.0372916753470953	-0.0372181695599634	-6.92747849245567E-4	0.00127504102047584	-0.0778784898798111	-0.0807782994664026	-0.116907602661371	-0.0296231255048346	-0.0334595278134283	0.0621661225534199	-0.0653895548821628	-0.205414476513552	-0.0283927204150864	0.036338063492978	0.00937412925226877	-0.0975542919473005	-0.0798621218814125	-0.0113678768813271	-0.0737285864902156	-0.0315707286131691	-0.0737582695832721	0.0425338429356982	-0.0153130631122017	0.0100780204202638	0.0595944446018477	-0.122321725435668	-0.111387767970502	-0.0673436631153049	-0.00806770085804737	9.15418158175327E-4	-0.109960982396198	-0.0926419109774076	0.0497137603697045	-0.052290554129009	0.0513290264138206	-0.0565163822882785	0.0264953609159296	-0.0459314137087171	0.0995862320504375	-0.0343811704724985	-0.0427831141649157	-0.0569454544785821	-0.0910203917370237	-0.119811092687829	-0.174346738787165	-0.0991593807696235	-0.118043273017339	-0.0607188039501369	-0.0220716169665127	-0.155870514516558	-0.0307110397315884	-0.0786481550551756	-0.159265085438178	-0.0975984317022617	0.00532955453935235	-0.02897652179158	-0.0405343220442237	0.0473525344197611	-0.070890286188384	0.00580280364983881	0.00649236053515384	-0.163167775998265	-0.00775488844994273	-0.0435464225271389	0.0374699974958975	-0.070658499894305	-0.0117829142706765	0.0378928231855317	-0.0310834313259894	-0.111436423446875	0.0400462067513444	-0.0155316469121399
"84131"	-0.268303920109995	-0.0877311252760679	-0.153984302273423	0.0845977550287505	-0.220165979944709	-0.192116091935218	-0.164781466173135	-0.241743601820311	-0.0741054409760568	-0.219588124519709	-0.27742602825866	-0.117032482246303	-0.214839641168114	-0.16338077762534	-0.271050942597354	-0.154356367473326	-0.160117521571164	-0.111665208685413	-0.174306004685663	-0.146937736169932	-0.193552173393811	-0.0464329017800593	-0.31311747379755	-0.280163478335553	-0.252141915959045	-0.142409467619228	-0.194252176115041	-0.408048037147699	-0.246357022844421	-0.272258008168627	0.119562786827295	-0.158445489611549	-0.279185612626827	-0.23832353122342	0.0467200989233867	-0.191154967263539	-0.0777863292905407	-0.240001193346962	-0.124528962652135	-0.105118680643305	-0.190092494188031	0.073539559463065	-0.13677237052339	-0.3275937658297	-0.108787821838308	-0.0632479538591215	-0.168748871110157	-0.26249576010764	-0.192022550002302	-0.251130223313613	-0.214548863623135	-0.24849605017644	-0.253262624670362	-0.167459470057522	-0.102350970905825	-0.124707504066903	-0.143390159831888	-0.0409295464040282	-0.171278742476405	-0.200189649721741	-0.267480427820817	-0.202163253194917	-0.229014919519691	-0.102360422974361	-0.0987841293374304	-0.220459019966933	-0.277664690531578	-0.124679906003412	-0.175542612672498	-0.0946456912856272	-0.0136854926627897	-0.276870094651563	-0.449910264087642	-0.165862229092739	-0.159745220258552	-0.156622023661215	-0.0777905345467943	-0.178709244725954	-0.0560248860033129	-0.172523785276767	-0.188987066390638	-0.230028958532829	-0.247895890597032	-0.139767421823679	-0.191131561777426	-0.102075153294112	-0.102778356213219	-0.0108379999039366	-0.170417402368732	-0.0900801460986355	-0.337508159249017	-0.170437263706749	-0.0961369763562283	-0.303295310904395	-0.202394166141229
"57834"	-0.486567933460205	-0.403284729964582	-0.409507672566926	-0.454355407256879	-0.337766413983706	-0.481610530833001	-0.484139315901668	-0.35777692097305	-0.322842689050285	-0.336090839612316	-0.558680882144867	-0.251989070827106	-0.409489929369143	-0.392034047441027	-0.342989995598663	-0.317856342936792	-0.297583743961531	-0.321142005151461	-0.427279772707464	-0.469203078467083	-0.518461666841261	-0.406832298993624	-0.232117279138269	-0.291827682131717	-0.483746242729454	-0.310789584979157	-0.436054950017867	-0.46224343477389	-0.589995194011528	-0.445133034168685	-0.257290809966038	-0.269239445809039	-0.487160803786145	-0.506383633637971	-0.179774994002383	-0.408265220483617	-0.290099287385642	-0.410364618325865	-0.418164526868147	-0.249287138032595	-0.495677451820678	-0.377791756734162	-0.35328711437381	-0.377167083798361	-0.304252062326294	-0.455128915300754	-0.334749237625801	-0.252932322788588	-0.417990932543069	-0.334081246944039	-0.236173356806832	-0.32455401422828	-0.300586259114087	-0.565638698345417	-0.287974383640254	-0.424168740911377	-0.358834700159955	-0.347385724323921	-0.41383256025667	-0.219261429652532	-0.37645136568236	-0.36976611267912	-0.51349407409925	-0.296060610084018	-0.315579702907659	-0.243070354590059	-0.485247832206984	-0.587904131923436	-0.332857891803992	-0.35436240447769	-0.448573466594516	-0.378155219550195	-0.413542574412628	-0.408185307255133	-0.498024266844947	-0.487703800197139	-0.450476592614429	-0.462730585053571	-0.516557883035921	-0.45671292264185	-0.447654828629159	-0.386019469535765	-0.374717789311478	-0.41995971172357	-0.258544403556577	-0.372670338399369	-0.403091195516916	-0.322358192728059	-0.334684426444505	-0.316327961720833	-0.312125984179837	-0.361727216031847	-0.466796865457755	-0.47294246985534	-0.232409023869962
"1938"	-1.79299166720373	-1.58130823827491	-1.58412364303171	-1.74346161957967	-1.51364104257625	-1.78105535395705	-1.59654757116722	-1.59721516971094	-1.42125599056496	-1.50465430801707	-1.75893716368061	-1.69245628659468	-1.54711183029387	-1.64492050008505	-1.52567967817405	-1.3781181923996	-1.37132601424149	-1.69217790126186	-1.47651566578612	-1.4482274069219	-1.53993027124991	-1.75648953178508	-1.62841885568674	-1.57302871935214	-1.5001332907802	-1.71725875711241	-1.76657622261069	-1.78936228912538	-1.72836929470472	-1.53074283693205	-1.66056239050438	-1.52092681943644	-1.514676222377	-1.50273088448696	-1.22867030357695	-1.47623365048882	-1.5278197715369	-1.34427613063309	-1.52075008839107	-1.57420030081673	-1.60718955874033	-1.5143503270702	-1.34974539262588	-1.59151540111234	-1.73023650132836	-1.56393955941838	-1.61825907508567	-1.57769223570595	-1.44098704638405	-1.72093186907067	-1.30714651795657	-1.52339569354538	-1.56045156584976	-1.82146930942945	-1.60694319957134	-1.51927288020162	-1.56302344397098	-1.56812987460345	-1.36391012147331	-1.52022796261803	-1.61990866061398	-1.6817033812045	-1.59282099485623	-1.35130069705597	-1.60326690950739	-1.45044276343917	-1.70138984932586	-1.80082165545143	-1.86189522670644	-1.54196617346922	-1.47172480196954	-1.60493302473713	-1.64333748184005	-1.5645317725968	-1.54053210143625	-1.40872017868431	-1.76771373951876	-1.57447948334288	-1.76329290607497	-1.64266689216213	-1.34415769130739	-1.20919083032879	-1.68325525397589	-1.31519307524136	-1.38201257808498	-1.47519520507373	-1.61085645713353	-1.52713991600923	-1.54653711204634	-1.45774601976512	-1.49479594284408	-1.6095638198253	-1.35746755455849	-1.60101463082967	-1.70058304868337
"2736"	-0.0609311726756852	0.00465201470824109	-0.0436709389589786	-0.141835557782511	-0.1199994293397	-0.0964426096702019	-0.050993622431179	-0.0293949297034132	-0.0824640244860187	-0.0671003199653446	-0.0111118081171253	-0.14479885497146	0.0131746700694217	-0.195031447243397	-0.0494457568127349	-0.00428946373175688	-0.00579647267777787	-0.0182402896160998	-0.191711786980934	-0.0616589910109702	0.0108504764800627	-0.0274619284859308	-0.0293597683760914	-0.0718895598207025	-0.0384133605116605	-0.0230578510580784	0.0188735978096827	-0.14978680039957	-0.107314189339302	-0.0713835491441955	-0.0228581725687753	-0.0560121539880986	-0.0074332214744042	-0.072487007120552	-0.126661388572518	-0.0789086762025316	-0.0509880833177419	-0.0716415788957398	-0.0638299869566189	-0.0528197299158097	0.049766490595027	-0.0886894073645579	0.0177110320354973	-0.127748211535954	-0.00285907667528619	-0.0482511211565364	0.0513117068098148	0.00593042152364589	-0.0871541584597646	-0.127561765019697	-0.0903635219988933	-0.0555302366069405	0.0647687222259643	-0.140840471025778	-0.0952602032709546	-0.106428730644772	-0.117041445055547	-0.0946051550850061	-0.0422819784443687	-0.133799406947897	-0.0256507385520339	-0.0521851450552601	-0.0712115506638781	0.0491194048481709	-0.0795837393704078	0.0380509987174158	-0.059612753177193	-0.19337491755886	-0.118466281787109	-0.113462915913336	-0.0364718339757332	-0.276165199146975	-0.199515903635627	0.0162731901986763	-0.130595109694504	-0.194984285795634	-0.122072787122888	-0.0932427833189104	-0.0323095535652018	4.53076303077387E-4	0.00611050510400096	-0.0832168407139269	0.0447813540029914	0.0357299462083008	-0.0641658456002415	-0.015897517822447	-0.0372745758411042	-0.201305608579972	-0.0503439803372659	0.104186027780874	0.064448499463663	-0.070404595073335	-0.0230143507011193	-0.0741196531938415	-0.0898081916766259
"23438"	-1.13546787998612	-0.615042101658286	-0.842221473685664	-0.828365777336422	-0.492019150722975	-0.839102903263905	-1.03269180768666	-0.582030176016748	-0.555068649694012	-0.554956673395868	-0.746191499901142	-0.57690571442381	-0.667172134486345	-0.640782636341585	-0.647344876082716	-0.799836288626111	-0.63904788237875	-0.474517975038819	-0.757696199825515	-0.475929423406883	-0.691291760278584	-0.566281882935978	-0.532122267744025	-0.554064563693096	-0.758070764848416	-0.697279704879297	-0.713253896835781	-0.683920379248791	-0.82840680592318	-0.58687304360738	-0.645831701776025	-0.719325232146748	-0.812778459326581	-0.50503260780141	-0.540370206859029	-0.653650950380531	-0.790762664834616	-0.591993003307299	-0.691051203346302	-0.795435731612952	-0.532035734726935	-0.870054471712146	-0.70122297761945	-0.646306733900112	-0.500671765210702	-0.818632781697884	-0.518569782352333	-0.733258268831671	-0.814370708769921	-0.54554493097608	-0.657118320144468	-0.845558149999102	-0.542267413359635	-0.852898337062525	-0.578348525083572	-0.552370344644348	-0.56010812502925	-0.699624369355292	-0.653614527003179	-0.694045396695564	-0.414111300376643	-0.753453583479674	-0.663291460637566	-0.633167560995118	-0.705569135169881	-0.802618457290247	-1.0167429039303	-0.744852458270774	-0.703721448602907	-0.837487733579588	-0.350004358853879	-0.775749303872105	-0.854626284459486	-0.613730136468826	-0.622449672716158	-0.844397505192064	-0.667246595603737	-1.00383624281584	-0.840533228924327	-0.88806272120298	-0.879541365516488	-0.623333089723215	-0.995702905882919	-0.637108334681605	-0.691762289674905	-0.769583666934939	-0.649908168949969	-0.758566291899036	-0.413493042510121	-0.722648341608165	-0.504479905043541	-0.552295877802925	-0.752758158833936	-0.740212874579511	-0.706831350687603
"8808"	-0.133946074863934	-0.113599405677026	-0.0625585344872034	-0.209736499686323	-0.141790882779788	0.0133809599795553	-0.0288058377002847	-4.81646023536365E-4	-0.0952826243776535	-0.22089829048119	0.0501437046477777	0.0119473995795277	0.0414896276276645	-0.106352928907115	-0.0917769101114353	-0.112692177224351	0.0201475900966377	-0.00455432292465207	-0.223123465363494	-0.0235274253709726	-0.0581010449382562	-0.0760388334397946	0.0213622288660359	-0.00667621996464579	-0.0828177967651387	0.0244442314740806	-0.0196040087076097	-0.158798891645944	-0.134069378653692	0.0496976231194625	-0.0230881466987222	-0.185756115849972	-0.103731124670195	0.00788858431942883	-0.161551649546432	0.0350529792964037	0.0690579886440849	-0.0805315478034258	-0.112989762593546	-0.13100045341525	-0.137851484460749	-0.0579149597660098	-0.0317826918796127	-0.17583686633533	-0.00580834668192318	-0.00213775752692583	-0.161464133981055	-0.263603991536728	-0.119611933532236	-0.176829134365361	-0.119783818718424	-0.0121268807222446	-0.118502099385034	-0.0480966620387242	-0.165998431124622	-0.030060033201368	-0.192848753836514	-0.132764947199434	-0.0640322884626116	-0.0268911978868931	-0.0890453894258876	-0.111319953336546	-0.100126512276807	-0.147172110470852	-0.106488124410742	-0.0649287329264195	-0.128137090645255	-0.319105009583895	-0.209010020348089	-0.00506425222433484	-0.0539894474233101	-0.0851571584894465	-0.127373761736118	-0.119947742204369	4.78860581434787E-4	-0.134340957782532	-0.122610060430458	-0.110781700442495	-0.19593415080748	-0.107970431865462	-0.0954126216501952	-0.114608580858305	-0.168432236685003	-0.0913782726341097	-0.0438609547159417	-0.0878783661814071	-0.124472043436771	-0.0743743392155511	-0.0953706808934806	-0.0544703251095769	-0.0250330265318956	-0.131958948630767	-0.108026118088634	0.0285619254681872	-0.0241536903564811
"57151"	0.114193161622909	0.0163281838251698	0.00607404368633951	-0.0993973908944093	0.104363926843327	0.104275972515784	0.162891440767595	0.148794629900482	0.0192450469245138	0.0511830905126958	0.12548594692382	0.212309309594262	0.0522559061115069	0.0896957089757946	0.101324878575752	0.130558162957069	0.195852191785804	0.0770012820258619	-0.0422930277040174	0.137790179694459	0.054147898358661	0.0927774468438588	0.0392355649751958	0.112225429017257	0.0871178381402099	0.142655314752654	-0.0197884346188363	0.0637555185101066	-0.254329165099672	0.0789374161364051	0.0658437109729453	0.108575030905419	0.0385497902267386	0.21689573263583	-0.14161646100659	0.00615361046645965	0.154527729183682	0.0940330594919928	0.039429036806116	0.0319708975085957	0.11967471717673	0.181095429264993	0.0618475120944308	0.11870100997054	0.015365297073202	0.0502179264678161	0.0613665160910683	0.0289294883266131	0.107465206818707	0.10611190167786	0.153833980204107	0.0324835297865279	-0.00590007758600852	0.124498963504982	0.0468934790316454	0.113253015636532	0.266250427671996	0.0509151814874894	-0.0048215805255019	0.149184050076194	0.135513853839635	0.102804661776904	0.0152277744749227	-0.0285052883486723	-0.023589770414229	-0.0104482159609994	0.0619122871583603	0.0333813715059336	0.0981674538860459	0.084516164413738	0.0893098897095912	0.155158625959923	-0.0800433023331907	0.210086737805955	0.159198770612775	0.325216583548042	0.124077637277601	0.207541067550068	0.068371187055202	0.097781263097595	0.0229843100272342	0.0482788589907305	0.0720771503571306	0.139078132019885	0.194565683023378	0.140573866313993	0.00914854615111312	0.126578030998302	0.0410908498249143	0.0971057842992672	0.114935890363318	0.149076588981746	0.162515085045293	0.20593179411498	0.245609929643999
