	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.139TS.2226.SM.5J2N1	GTEX.11P81.1426.SM.5P9JN	GTEX.Z93S.2626.SM.57WBX	GTEX.132AR.2826.SM.5IJFV	GTEX.131XE.1026.SM.5EGKE	TCGA.38.4625.01A.01R.1206.07.1	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.G9.6333.11A.01R.1965.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12WSH.0226.SM.5GCOG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
ABCC6	84.04	76.71	68.07	54.33	63.89	47.17	0.26	12.45	27.44	20.26	9.78	5.32	30.56	34.75	26.47	28.65	69.52	309.83	177.53	170.25	136.19	167.9	109.66	299.25	103.69	142.01	218.79	172.65	215.77	224.97	133.36	432.53	181.28	273.37	173.85	167.9	363.56	143.01	199.85	205.5	221.86	135.24	201.25	170.25	111.21	205.5	291.04	366.09	212.78	215.77	348.71	109.66	173.85	279.14	106.63	217.27	236.21	205.5
ADK	536.45	403.5	463.65	379.04	277.2	454.09	0.39	483.38	500.46	476.71	723.08	775.05	579.04	483.38	490.14	642.59	500.46	1143.1	974.5	633.73	669.92	708.18	693.58	1286.18	1199.98	728.11	753.83	1044.52	785.88	583.07	902.89	1104.13	890.44	769.69	1159.07	713.11	1143.1	575.03	813.63	961.07	1159.07	1015.93	583.07	1111.82	785.88	802.41	1044.52	1233.75	1199.98	718.08	1127.35	974.5	638.15	1127.35	1225.22	1001.93	684.02	1001.93
AFG3L2	624.99	529.06	848.22	616.37	403.5	656.11	126.12	884.29	656.11	679.29	813.63	651.58	698.41	665.29	748.61	633.73	733.19	1111.82	1250.98	848.22	1467.37	1135.2	543.96	878.17	769.69	909.17	1008.9	764.36	764.36	954.43	1359.57	1001.93	988.12	785.88	674.59	836.53	1008.9	1088.92	1437.15	1216.75	848.22	1250.98	1127.35	1183.45	872.1	1216.75	1073.91	974.5	1250.98	1059.11	1030.12	1437.15	1151.06	733.19	764.36	591.22	934.76	967.76
AGTPBP1	46.5	80.57	57.08	94.67	68.07	48.52	0.39	77.25	59.13	48.52	76.71	55.49	88.26	78.89	63.45	59.97	60.39	151.22	139.07	115.16	102.97	166.73	93.35	165.57	98.04	111.21	110.43	185.11	172.65	94.67	103.69	117.6	100.13	107.38	120.1	115.16	124.37	111.99	96.68	127.89	115.97	104.42	107.38	102.97	143.01	127.89	129.69	85.22	138.1	97.36	125.24	131.51	126.12	120.94	153.34	100.13	134.3	153.34
APLP2	3303.0	4038.61	7032.37	4066.71	7857.29	4239.45	363.56	6561.36	7485.11	2895.31	5995.9	3716.2	7032.37	5006.93	3768.09	10512.82	4937.99	32092.64	15392.14	21026.65	21919.61	11909.94	13215.02	35118.87	23986.58	14867.79	18950.18	15607.02	14561.8	11745.96	15607.02	21468.49	18304.63	27938.14	19618.49	16383.0	28525.2	15180.22	18560.17	20310.37	13492.72	21919.61	15607.02	19754.96	15392.14	20310.37	22850.48	16843.62	27174.14	17197.56	18819.27	17197.56	16496.96	16496.96	15392.14	15607.02	17078.76	13681.08
AREL1	134.3	234.57	198.47	170.25	275.28	199.85	0.74	205.5	217.27	297.17	273.37	285.03	265.87	246.28	249.73	248.0	305.55	368.65	559.28	348.71	500.46	525.39	244.57	346.29	435.55	332.14	409.15	555.41	346.29	423.61	575.03	441.64	543.96	346.29	285.03	397.93	336.79	521.76	503.95	629.35	406.31	435.55	480.04	518.15	454.09	493.56	616.37	409.15	511.0	412.0	511.0	575.03	395.18	353.59	303.44	269.6	454.09	384.34
ARHGAP42	12.27	47.17	46.18	59.55	87.65	45.21	0.34	5.23	29.27	8.38	24.81	10.39	29.27	29.91	19.82	50.63	26.47	198.47	111.21	95.34	68.07	102.97	63.89	121.79	81.71	102.97	82.29	134.3	87.03	75.64	111.99	112.77	116.78	81.14	80.01	121.79	128.79	84.63	87.03	98.04	56.28	157.68	68.07	82.87	172.65	131.51	151.22	48.87	68.07	118.43	121.79	148.09	151.22	51.71	61.25	50.27	63.45	66.65
ARMC8	195.72	339.14	414.87	381.68	368.65	400.71	118.43	265.87	400.71	366.09	493.56	376.41	389.72	438.59	346.29	438.59	420.68	507.46	514.56	476.71	507.46	563.18	426.57	493.56	500.46	599.49	603.67	656.11	460.44	486.75	450.94	420.68	536.45	395.18	457.25	392.44	511.0	607.87	457.25	536.45	460.44	426.57	473.41	624.99	563.18	629.35	480.04	457.25	470.14	363.56	518.15	490.14	579.04	403.5	624.99	346.29	417.77	521.76
ATP5S	305.55	293.07	392.44	232.94	152.28	246.28	0.34	438.59	316.37	289.02	395.18	332.14	323.03	318.57	356.05	348.71	301.33	612.11	547.75	361.04	563.18	480.04	283.05	490.14	406.31	529.06	551.56	612.11	483.38	536.45	493.56	555.41	497.0	348.71	470.14	490.14	543.96	490.14	532.74	507.46	473.41	540.19	514.56	493.56	447.82	540.19	493.56	497.0	514.56	358.54	693.58	525.39	412.0	476.71	329.84	351.14	414.87	417.77
C3orf17	293.07	305.55	381.68	353.59	291.04	325.29	0.84	309.83	460.44	389.72	559.28	476.71	583.07	543.96	376.41	450.94	454.09	748.61	693.58	603.67	612.11	665.29	547.75	607.87	941.27	607.87	698.41	764.36	647.07	529.06	620.67	563.18	684.02	651.58	802.41	647.07	660.68	802.41	575.03	769.69	603.67	567.1	603.67	679.29	896.64	713.11	708.18	629.35	647.07	457.25	674.59	679.29	642.59	579.04	563.18	525.39	595.34	647.07
