	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A2.A0ET.01A.31R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13W3W.1626.SM.5LU35	TCGA.CR.6482.01A.11R.1873.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FC.A4JI.01A.11R.A250.07	TCGA.FC.A5OB.01A.11R.A29R.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.DJ.A3VJ.01A.11R.A23N.07
BDKRB1	2.92	3.38	2.43	403.5	218.79	97.36	223.41	303.44	223.41	303.44	389.72	193.01	12.55	0.0	0.0	1.33	0.59	392.44	161.02	802.41	860.08	287.01	848.22	660.68	738.29	11.91	8.45	7.34	2.2	14.14
BDKRB2	41.81	42.71	82.29	1143.1	638.15	341.51	444.72	607.87	547.75	454.09	674.59	412.0	58.3	0.0	0.0	37.59	3.92	825.0	283.05	1191.69	1096.5	753.83	1066.48	884.29	890.44	90.14	76.71	57.89	37.85	120.94
C6orf25	9.48	4.03	2.84	366.09	44.25	12.27	46.18	65.72	33.54	35.5	64.34	41.22	2.29	0.0	0.27	2.73	2.36	85.22	24.46	198.47	40.36	47.5	57.89	35.76	73.03	11.73	10.55	6.57	9.56	20.41
CES2	312.0	275.28	575.03	7695.57	7230.1	6337.83	3639.7	6381.92	3515.68	3349.13	7032.37	4181.07	693.58	221.86	209.84	285.03	211.31	6607.01	1781.89	14065.74	4869.99	7911.95	9025.81	9540.5	8778.97	813.63	669.92	830.75	688.78	748.61
CLTB	1369.04	1819.35	1135.2	50709.61	14065.74	7966.99	7642.41	16269.83	15285.81	8598.28	15499.21	9606.86	2468.49	0.0	1.04	854.13	1883.54	19892.37	5913.33	37901.36	28328.16	17558.94	24321.43	30361.44	43236.64	3280.18	2400.97	1857.6	2485.67	3690.52
CYP11A1	14.78	0.65	1.0	86.43	139.07	36.53	129.69	101.54	101.54	42.41	181.28	162.14	36.27	0.0	0.16	6.16	0.0	603.67	33.54	1594.73	518.15	353.59	2816.11	796.86	454.09	7.75	1.6	17.77	6.01	7.82
FAM46B	26.47	738.29	1.11	1721.16	3540.14	1628.26	2720.15	4010.71	2720.15	1487.87	6652.97	1870.53	134.3	0.0	0.06	2.01	11.3	5006.93	1175.27	61571.56	8901.53	6935.54	24832.5	17927.91	22692.63	24.28	24.46	20.71	19.82	80.57
FOS	1388.16	170.25	3395.89	54727.32	4769.75	10733.74	4972.34	5219.6	2104.58	3716.2	4328.55	19082.0	4607.24	1151.06	336.79	674.59	234.57	6037.61	3081.75	119776.72	65990.84	11112.3	47313.67	3443.31	12502.12	5112.16	1277.29	1378.57	688.78	3372.43
GAN	18.97	8.92	39.22	346.29	161.02	71.5	156.59	162.14	110.43	134.3	148.09	154.42	66.18	0.0	0.3	42.11	15.68	127.89	96.01	373.81	173.85	158.79	273.37	199.85	307.69	15.68	17.64	17.0	19.25	16.39
GCGR	0.4	0.0	0.0	14.14	8.13	0.0	7.88	3.86	6.01	7.0	5.15	3.14	0.39	0.0	0.31	0.0	0.0	7.63	0.82	10.88	16.75	0.72	6.31	0.78	7.75	0.82	3.06	0.0	3.76	0.8
GJB6	0.0	0.0	0.0	6908781.2	11909.94	2555.58	10014.87	25005.23	9540.5	8840.04	32092.64	1883.54	336.79	0.0	0.0	3.89	1.25	35856.82	3589.58	46019.85	32540.65	35609.13	64186.29	42937.97	53973.86	27.05	8.0	3.63	7.94	24.28
HR	8.25	3.44	9.34	5183.54	802.41	743.43	1378.57	1015.93	1437.15	1008.9	1225.22	775.05	414.87	0.0	0.62	2.01	7.69	921.88	575.03	2573.36	1769.57	1059.11	1268.46	1350.18	1467.37	59.97	55.1	58.71	47.84	120.94
HSPB8	37.59	25.17	26.1	3639.7	4639.29	1286.18	2855.44	4010.71	4639.29	2178.83	9740.98	1059.11	1769.57	0.0	0.57	10.63	89.51	15934.98	2502.97	20737.16	22692.63	7433.4	18950.18	14262.1	24490.61	293.07	206.94	49.21	182.55	1037.29
IMPA2	162.14	764.36	154.42	8963.45	3874.05	3039.3	3982.99	5913.33	2835.7	5041.77	9673.69	4388.98	1369.04	0.0	0.89	2777.33	753.83	10368.08	2935.74	14561.8	7032.37	4869.99	6792.79	8778.97	15285.81	551.56	438.59	651.58	332.14	253.23
KCNK7	2.46	10.39	2.92	3039.3	665.29	251.48	447.82	753.83	327.56	497.0	1268.46	197.09	51.35	0.0	0.46	9.27	0.0	2468.49	249.73	8778.97	2090.03	1628.26	3303.0	1044.52	3325.99	15.56	13.32	31.0	6.62	24.81
KLF5	21.78	3.96	269.6	30151.71	8305.36	1923.14	5292.48	9025.81	6699.25	4769.75	36106.23	4972.34	2720.15	0.0	0.16	165.57	80.01	12076.21	2271.4	23492.92	19482.97	12329.98	14663.09	10512.82	18178.19	414.87	693.58	607.87	698.41	1167.14
KPRP	0.0	0.0	0.0	4972.34	1199.98	95.34	1111.82	10440.2	183.82	75.64	8718.32	12.36	6.84	0.0	0.0	0.0	0.0	2502.97	420.68	2075.59	41.81	3665.02	6699.25	8658.09	14065.74	0.0	0.0	0.0	0.0	0.0
KRT33B	0.0	0.0	0.0	9.85	5.54	2.86	1.71	1.35	1.64	4.98	15.56	0.68	1.55	0.0	0.0	0.0	0.0	40.36	12.45	40.64	44.57	21.32	56.28	34.02	38.12	0.0	0.0	0.0	0.0	0.0
KRT4	0.0	0.0	0.0	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	2654482.97	3.109113511E7	282912.21	12329.98	0.0	0.0	0.0	2.34	1.236706555E7	2053992.24	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	4.74	0.0	0.0	9.93	16.27
LANCL3	0.95	0.0	0.6	242.88	23.59	12.55	23.08	22.26	35.5	18.03	37.32	28.24	8.45	0.0	0.06	0.34	0.61	75.64	6.52	111.21	121.79	70.01	100.83	94.01	85.22	7.69	4.03	2.66	2.07	10.0
LRRC4	22.92	9.78	16.39	204.07	109.66	45.21	103.69	85.22	43.02	353.59	114.36	75.11	25.91	0.0	0.07	3.86	2.1	1487.87	99.43	1561.89	39510.91	226.54	2835.7	878.17	1277.29	71.0	34.02	38.12	12.83	35.76
LY6G6C	77.79	13.32	31.67	81809.59	1277.29	299.25	647.07	1977.24	500.46	1397.83	5041.77	320.8	94.01	0.0	0.66	0.97	0.0	24490.61	3443.31	40621.74	6337.83	5147.73	17197.56	4010.71	54349.29	52.08	58.3	30.12	77.25	194.36
MAP2K3	591.22	796.86	624.99	5219.6	2133.97	2061.24	1059.11	1135.2	1806.78	1662.49	1127.35	1457.23	1015.93	0.0	0.2	559.28	587.13	1457.23	2701.35	2400.97	6121.9	1498.22	1857.6	2148.82	2384.37	753.83	981.29	591.22	738.29	1175.27
NMU	9.93	3.29	24.46	3820.7	6792.79	1594.73	5791.62	11112.3	4937.99	5995.9	149521.18	1977.24	921.88	0.0	0.13	0.62	5.23	7749.1	921.88	8247.98	4671.57	5672.41	9025.81	5995.9	8901.53	62.12	1135.2	1844.76	1781.89	135.24
NSG1	2.18	1.36	4.35	15499.21	1388.16	420.68	928.3	1605.83	525.39	540.19	1628.26	693.58	88.88	0.0	0.25	0.54	438.59	4836.35	1295.13	10368.08	11745.96	1757.34	1977.24	4736.79	9876.98	21.78	29.91	6.31	11.13	80.57
PARD6G	111.21	96.68	100.83	1896.65	532.74	293.07	540.19	579.04	403.5	638.15	507.46	384.34	409.15	0.0	0.56	73.03	100.13	713.11	293.07	1857.6	759.08	796.86	1733.13	928.3	1519.15	253.23	201.25	251.48	181.28	202.66
PRKX	60.82	21.16	48.18	1540.37	563.18	366.09	743.43	473.41	285.03	612.11	511.0	733.19	473.41	341.51	607.87	80.57	105.89	1001.93	161.02	1745.2	909.17	507.46	825.0	1225.22	796.86	271.48	293.07	423.61	366.09	279.14
RDH12	9.41	4.7	17.77	4095.0	166.73	77.79	120.94	414.87	144.01	21.01	547.75	473.41	37.59	0.0	0.0	6.62	79.45	10225.32	371.22	8901.53	733.19	2520.38	2502.97	10154.69	4419.52	25.91	8.25	10.71	12.09	12.0
RGS14	583.07	295.11	435.55	3018.3	2303.12	651.58	1628.26	2997.45	1508.65	1397.83	3443.31	1359.57	713.11	0.0	0.56	395.18	120.1	2271.4	866.07	4388.98	8598.28	2976.74	5255.91	2701.35	3901.01	567.1	305.55	241.19	144.01	432.53
RRAD	23.76	5.5	17.13	414.87	9215.48	2075.59	1540.37	2682.69	1551.09	3901.01	5183.54	1081.39	183.82	0.0	0.48	4.03	11.64	5112.16	703.28	21320.18	20451.65	5147.73	5555.65	10440.2	6887.62	305.55	159.9	37.05	104.42	395.18
SLC10A6	6.73	0.89	6.62	9474.59	307.69	80.57	191.67	190.34	277.2	101.54	291.04	93.35	35.25	0.0	0.16	2.81	3.96	1044.52	111.99	2502.97	2701.35	271.48	1096.5	486.75	1304.15	9.34	10.0	17.13	3.08	34.02
TUBA4A	202.66	2271.4	620.67	42641.37	7433.4	5183.54	7857.29	9151.82	5751.61	7032.37	8598.28	4937.99	2451.44	0.0	0.87	78.89	483.38	13399.51	3257.52	31870.96	22535.88	10440.2	25708.25	18304.63	19482.97	1369.04	1417.35	981.29	1936.53	1844.76
UBC	29736.59	36864.92	36357.37	108699.57	52863.07	36357.37	42346.82	51775.15	40341.14	40621.74	58250.19	38966.94	28723.62	0.0	0.06	19214.73	20593.91	59887.86	35363.15	73730.83	79022.82	62865.33	87075.75	68793.23	79022.82	27745.15	23656.34	16727.26	19618.49	31870.96
UPK3B	4.66	4.98	3.08	15392.14	7032.37	599.49	595.34	27174.14	17317.18	819.3	20737.16	599.49	173.85	0.0	0.0	5.77	1.97	206.94	400.71	3443.31	1594.73	2935.74	29124.6	8421.31	2855.44	41.22	3.38	12.93	1.99	22.43
WFDC5	0.0	0.0	0.61	5041.77	366.09	95.34	214.27	348.71	595.34	356.05	141.02	86.43	115.97	0.0	0.18	21.47	0.0	1685.71	332.14	5594.3	1857.6	476.71	866.07	1119.56	3039.3	0.88	0.56	0.0	0.49	17.77
