	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.VJYA.0326.SM.3GAEX	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QEG5.1126.SM.33HC2
ACADL	0.0	2.25	1.33	0.32	1.0	129.69	0.32	0.36	0.0	0.34	0.3	0.66	0.34	37.05	5.82	0.67	27.25	4.06	0.0	0.0	0.99	2.97	3.53	0.85	1.25	0.34	0.0	0.59	0.0	0.1	1119.56	1477.58	1909.85	1225.22	1832.01	567.1	2555.58	764.36	1832.01	1023.0	1250.98	1963.57	2816.11	1015.93	1331.57	86.43	493.56	2240.11	1896.65	620.67	759.08	703.28	343.89	785.88	1883.54	2209.26	1781.89	1388.16	703.28	587.13	412.0	186.4	497.0	708.18	3589.58	2627.46	4181.07	2502.97	454.09	1572.76	518.15	1073.91	476.71	1936.53	1950.0	1457.23	220.32	785.88	1617.0	2193.99	669.92	320.8	703.28	896.64	3103.19	1498.22	1208.34	921.88
AMN	4.82	6.01	3.35	0.75	10.0	1.17	2.36	2.29	16.51	2.16	6.11	0.8	3.86	5.19	0.87	2.25	8.65	1.07	1.85	1.13	4.98	5.15	7.17	18.84	4.78	1.85	17.25	3.5	2.58	0.68	305.55	51.71	260.38	356.05	115.97	105.15	118.43	197.09	287.01	175.07	176.29	293.07	358.54	125.24	105.89	66.65	244.57	237.86	87.03	182.55	295.11	214.27	206.94	426.57	187.71	150.17	84.63	249.73	232.94	218.79	32.13	183.82	144.01	41.22	271.48	170.25	189.02	1023.0	406.31	232.94	341.51	208.38	60.82	152.28	620.67	271.48	172.65	79.45	277.2	336.79	18.97	52.08	271.48	92.05	97.36	218.79	40.36	105.15
ANKRD45	3.79	1.79	5.54	6.11	3.38	1.81	0.82	3.76	2.03	7.28	3.63	2.05	4.1	3.23	3.56	3.06	1.41	1.07	5.36	1.16	2.39	5.28	5.23	5.15	1.71	5.06	1.07	0.51	2.12	0.0	31.45	18.29	23.08	68.55	23.25	46.5	17.25	40.64	63.89	132.44	129.69	38.12	33.3	5.63	0.0	173.85	18.97	28.65	21.01	40.07	5.82	40.36	180.02	29.06	9.85	17.64	61.25	22.59	198.47	3.76	44.89	12.27	33.06	81.71	93.35	14.78	24.11	17.9	201.25	120.94	29.27	7.63	13.52	41.52	13.03	64.8	49.21	14.24	140.04	23.42	33.54	264.03	50.98	22.43	82.87	33.78	25.35	147.06
ARHGEF4	6.67	16.03	31.22	5.63	25.54	30.78	5.92	12.45	19.39	17.64	7.0	7.63	17.0	15.8	29.27	6.21	48.52	22.59	20.56	21.01	20.26	22.92	16.63	0.39	8.99	27.84	1.01	3.06	24.11	0.48	289.02	246.28	503.95	229.72	209.84	135.24	743.43	139.07	242.88	195.72	660.68	149.12	450.94	124.37	33.78	19.68	104.42	295.11	500.46	76.71	44.25	356.05	69.03	73.54	253.23	432.53	348.71	660.68	1015.93	8.65	108.9	71.5	71.0	183.82	239.52	406.31	406.31	665.29	154.42	100.13	23.42	142.01	23.08	486.75	409.15	307.69	71.5	19.68	414.87	147.06	223.41	127.89	239.52	438.59	1806.78	320.8	140.04	85.22
ASB9	7.22	52.45	24.81	11.55	20.26	8.45	33.3	94.01	17.25	23.59	12.09	29.7	31.67	14.56	20.86	31.22	36.27	38.12	19.53	21.47	8.65	32.82	22.43	17.0	6.52	49.91	7.0	24.11	21.16	0.12	334.46	120.1	183.82	167.9	97.36	11.47	186.4	256.78	119.26	193.01	277.2	169.07	145.02	120.94	137.14	55.49	96.01	73.03	226.54	125.24	81.71	171.45	214.27	50.27	234.57	187.71	142.01	176.29	57.89	8.45	114.36	8.25	41.22	59.97	226.54	112.77	358.54	100.13	154.42	129.69	43.02	273.37	41.81	178.77	115.97	127.0	33.06	139.07	177.53	142.01	665.29	56.68	208.38	258.57	150.17	202.66	166.73	38.12
BMP2	0.96	6.89	9.78	2.81	26.28	6.67	1.28	3.17	7.06	5.19	2.34	14.45	3.26	6.11	4.7	8.06	24.46	3.06	4.98	2.32	5.96	24.63	4.31	2.34	4.5	6.57	1.27	2.68	8.99	0.21	426.57	7589.61	334.46	1073.91	2240.11	693.58	4328.55	237.86	3901.01	1159.07	1977.24	1427.22	460.44	2255.7	314.17	3794.3	275.28	708.18	909.17	181.28	612.11	158.79	525.39	142.01	1651.0	1135.2	796.86	392.44	708.18	191.67	1709.26	1819.35	1295.13	267.73	486.75	2609.3	251.48	915.51	1191.69	325.29	559.28	819.3	234.57	303.44	2915.45	417.77	190.34	1151.06	2468.49	264.03	381.68	2816.11	575.03	1963.57	753.83	1304.15	902.89	2255.7
CCDC181	2.12	7.46	3.06	2.46	1.06	4.98	1.57	2.1	5.11	3.86	1.19	2.94	4.46	4.82	5.32	7.28	3.47	1.83	5.87	2.27	3.0	9.06	4.24	1.75	2.56	1.68	2.41	4.62	2.71	0.0	34.02	44.89	35.5	80.57	17.9	96.01	8.25	24.11	105.15	170.25	165.57	25.35	28.04	25.72	2.71	297.17	14.67	30.56	18.97	17.38	34.02	63.0	204.07	51.71	9.93	18.16	53.19	12.45	234.57	36.53	33.54	13.42	40.36	111.21	123.5	80.57	12.64	47.17	265.87	142.01	18.03	10.16	13.03	43.02	32.82	40.36	17.9	8.25	226.54	30.34	3.5	536.45	72.52	6.21	61.68	4.17	106.63	303.44
CDC14B	20.86	59.13	110.43	40.93	47.17	84.63	13.62	36.01	16.75	39.5	39.22	65.26	33.78	30.34	51.35	64.34	104.42	82.87	86.43	25.72	49.56	78.34	54.33	13.52	56.28	100.13	8.58	57.49	53.95	72.01	164.42	185.11	221.86	151.22	158.79	85.22	214.27	176.29	239.52	103.69	199.85	221.86	121.79	134.3	178.77	119.26	82.29	251.48	226.54	147.06	103.69	181.28	170.25	128.79	157.68	161.02	208.38	178.77	171.45	93.35	187.71	108.14	113.56	143.01	226.54	256.78	293.07	267.73	212.78	221.86	85.82	157.68	102.97	217.27	142.01	248.0	77.25	120.1	221.86	320.8	148.09	423.61	202.66	189.02	206.94	165.57	172.65	241.19
CELF2	49.56	111.99	75.64	53.95	134.3	108.14	75.64	42.11	48.18	102.97	43.63	72.52	34.51	50.63	122.64	113.56	96.01	33.06	105.89	13.32	53.57	173.85	51.35	8.19	43.32	150.17	21.01	19.53	89.51	58.71	934.76	1151.06	1001.93	229.72	796.86	193.01	1697.45	693.58	1427.22	366.09	579.04	1457.23	521.76	486.75	547.75	612.11	514.56	1088.92	466.88	567.1	409.15	854.13	660.68	493.56	2664.15	1159.07	579.04	579.04	616.37	476.71	255.0	1457.23	525.39	647.07	2061.24	941.27	3794.3	1819.35	155.5	733.19	651.58	599.49	463.65	607.87	860.08	547.75	256.78	563.18	1427.22	2075.59	220.32	1151.06	1096.5	470.14	599.49	995.0	1397.83	1745.2
CLCN5	15.68	12.74	20.11	32.82	21.94	37.85	18.7	38.95	25.91	34.75	44.25	30.56	28.86	25.72	36.27	35.0	13.72	27.25	45.21	6.36	28.65	57.49	19.39	11.04	23.59	37.32	51.35	21.01	28.04	0.43	127.0	69.03	54.33	136.19	63.45	94.67	55.89	113.56	64.34	82.87	77.25	84.63	61.25	74.06	123.5	169.07	147.06	115.16	107.38	48.52	85.22	83.45	140.04	78.34	106.63	156.59	193.01	139.07	105.89	180.02	71.0	40.93	117.6	124.37	140.04	56.28	99.43	97.36	82.29	55.89	159.9	120.1	122.64	47.84	74.58	65.72	74.06	147.06	78.89	132.44	57.89	82.87	133.36	120.1	89.51	190.34	75.11	185.11
