	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA9	1.0	0.61	36.79	4.54	1.01	100.13	2.86	47.17	9.06	10.47	11.73	5.59	5.45	3.86	32.36	38.4	95.34	106.63	463.65	214.27	81.14	128.79	88.26	100.13	183.82	348.71	46.5	182.55	249.73	293.07	181.28	120.94	140.04	246.28	176.29	159.9	0.0	0.28
ACAD8	204.07	384.34	256.78	299.25	297.17	587.13	260.38	454.09	318.57	231.32	353.59	312.0	567.1	384.34	343.89	363.56	483.38	713.11	660.68	532.74	497.0	414.87	808.0	802.41	660.68	629.35	497.0	660.68	529.06	785.88	591.22	450.94	728.11	679.29	728.11	490.14	0.0	1.07
ACBD5	164.42	85.82	356.05	361.04	473.41	665.29	191.67	473.41	194.36	346.29	351.14	170.25	307.69	373.81	312.0	500.46	884.29	1119.56	890.44	974.5	902.89	1096.5	884.29	1216.75	1008.9	1088.92	1143.1	780.44	1059.11	878.17	802.41	414.87	1378.57	836.53	1001.93	1639.59	0.0	0.21
ACOX1	180.02	291.04	759.08	688.78	493.56	1477.58	988.12	2061.24	624.99	575.03	642.59	684.02	381.68	669.92	1008.9	647.07	3280.18	3955.48	3039.3	2520.38	1896.65	4639.29	2400.97	1936.53	4736.79	3515.68	2287.2	2591.27	4095.0	3614.55	5112.16	2163.77	5672.41	2537.92	2224.63	3742.05	237.86	376.41
AFF4	121.79	149.12	221.86	246.28	105.89	291.04	303.44	149.12	144.01	148.09	140.04	248.0	157.68	170.25	154.42	301.33	291.04	444.72	454.09	289.02	412.0	251.48	339.14	915.51	260.38	361.04	180.02	363.56	242.88	651.58	299.25	438.59	796.86	348.71	312.0	435.55	0.0	0.45
AFM	0.0	0.29	536.45	4450.27	423.61	4181.07	587.13	2303.12	633.73	376.41	2075.59	80.57	555.41	37.05	728.11	954.43	16269.83	33688.23	59887.86	69271.73	32540.65	48982.22	26431.04	4358.66	14461.21	42641.37	10084.54	110216.97	20170.07	12589.08	55491.3	23820.89	66912.05	36357.37	37901.36	37121.34	0.0	0.0
AIG1	559.28	536.45	3190.46	2609.3	1963.57	3665.02	4419.52	3235.01	2018.8	1487.87	2075.59	1437.15	2739.08	2163.77	2895.31	1540.37	7280.4	5403.7	5954.47	5995.9	8022.41	5872.48	9740.98	5292.48	5006.93	5791.62	7803.01	5995.9	8538.88	5292.48	6935.54	6037.61	9876.98	7485.11	6207.38	7803.01	0.0	0.59
AL138847.1	0.0	0.0	82.87	92.05	11.38	83.45	10.16	82.29	15.56	63.89	105.15	46.5	99.43	49.91	57.08	55.49	140.04	743.43	329.84	351.14	633.73	194.36	669.92	341.51	285.03	769.69	234.57	202.66	703.28	208.38	336.79	172.65	1059.11	376.41	397.93	1794.29	0.0	0.07
ALDH1A2	4.58	22.43	31.67	80.01	25.17	60.82	72.52	127.89	500.46	34.51	20.41	14.89	66.65	14.14	41.22	82.87	563.18	1015.93	733.19	429.54	420.68	915.51	368.65	32.82	518.15	511.0	107.38	423.61	69.03	363.56	708.18	466.88	316.37	529.06	417.77	638.15	0.0	0.27
ALDH8A1	1.3	1.75	656.11	1044.52	11.91	2004.85	269.6	267.73	323.03	123.5	325.29	7.94	785.88	169.07	67.59	547.75	6516.03	7749.1	4010.71	5831.91	8022.41	5403.7	8078.22	5479.15	4388.98	7280.4	12415.75	5954.47	6935.54	2935.74	7803.01	4575.41	11664.82	4937.99	5995.9	4736.79	0.0	0.42
