	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A153.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYBS.0926.SM.3NM94	GTEX.Q2AG.0326.SM.48U1O	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
ACACB	231.32	231.32	343.89	2935.74	279.14	718.08	2935.74	595.34	470.14	12.64	305.55	285.03	7.57	7.88	12.45	30.78	7.06	5.45	13.93	7.17	7.69	4.62	96.01	31.67	9.06	162.14	2.18	5.73	10.79	53.57	21.32	108.14	25.35	10.79	76.17	19.11	9.27	11.64	156.59	6.94
ACSS1	698.41	698.41	624.99	312.0	373.81	457.25	312.0	376.41	403.5	47.17	629.35	583.07	166.73	237.86	74.58	139.07	69.03	198.47	142.01	172.65	51.35	147.06	55.89	162.14	120.1	429.54	74.58	63.0	94.01	228.13	171.45	271.48	251.48	309.83	307.69	157.68	72.52	180.02	323.03	116.78
ADAM22	91.41	91.41	44.25	73.03	47.84	57.08	73.03	120.94	43.32	10.63	52.08	43.32	1.83	6.52	1.14	3.59	0.58	0.56	11.91	7.75	1.62	3.29	14.35	7.82	0.57	23.59	4.54	3.29	5.5	10.63	3.32	17.64	2.53	4.46	14.56	8.25	2.23	1.83	24.63	2.43
AMOT	107.38	107.38	236.21	262.2	373.81	406.31	262.2	551.56	241.19	12.93	1096.5	2148.82	5.23	3.26	7.0	4.7	2.92	2.41	15.68	10.0	1.07	3.89	34.51	40.93	8.45	90.14	0.8	0.57	7.22	42.11	42.71	101.54	2.43	3.89	115.97	5.11	7.4	9.85	185.11	6.67
ANK2	180.02	180.02	423.61	902.89	218.79	353.59	902.89	460.44	647.07	5.15	130.6	316.37	6.31	6.21	5.96	13.22	1.41	5.19	1.85	47.17	2.12	4.86	28.45	264.03	7.28	86.43	3.23	4.62	6.36	61.25	58.3	536.45	1.75	8.32	66.65	9.56	6.26	9.93	92.05	6.73
ANKRD6	226.54	226.54	194.36	187.71	205.5	285.03	187.71	371.22	384.34	105.15	620.67	808.0	17.25	40.64	8.99	58.3	8.92	11.64	90.14	18.7	10.39	5.28	105.89	35.76	72.01	98.04	2.84	5.5	46.18	145.02	85.22	99.43	17.0	7.63	42.71	24.81	13.62	11.55	88.26	5.23
ANKS1B	65.26	65.26	118.43	73.54	84.04	113.56	73.54	316.37	224.97	2.68	54.72	248.0	4.13	0.53	6.21	4.31	2.53	19.53	0.96	34.51	12.0	4.66	26.28	8.51	13.32	15.34	6.01	4.9	4.54	3.89	3.66	5.68	3.2	1.85	23.93	7.22	7.51	0.54	30.34	11.21
APBB1	500.46	500.46	463.65	414.87	525.39	728.11	414.87	693.58	620.67	12.55	679.29	473.41	97.36	84.04	61.25	54.33	25.54	23.42	107.38	123.5	36.01	30.56	202.66	145.02	57.89	318.57	17.77	39.79	47.5	193.01	164.42	237.86	28.86	46.5	256.78	77.25	73.54	33.78	325.29	67.12
ARHGAP20	16.39	16.39	99.43	198.47	85.82	113.56	198.47	64.8	127.0	8.25	139.07	128.79	4.24	0.83	1.43	1.68	4.58	1.16	2.78	2.25	0.97	1.53	7.0	15.68	1.57	8.85	1.03	1.33	3.89	18.84	36.79	19.68	1.53	2.1	5.54	3.69	2.43	1.23	40.07	2.71
ASPA	26.1	26.1	32.59	206.94	23.59	67.59	206.94	116.78	127.0	4.86	84.63	128.79	0.39	0.38	0.89	1.58	1.13	1.43	2.29	3.17	0.88	2.14	18.7	9.63	2.89	4.74	0.32	0.0	2.66	2.34	3.69	6.94	0.0	0.8	10.08	0.8	1.41	0.39	20.86	1.69
ATP8A1	135.24	135.24	329.84	163.28	115.97	202.66	163.28	232.94	194.36	20.56	231.32	143.01	4.9	12.83	1.23	17.13	6.52	8.58	11.64	26.47	23.59	9.78	31.67	30.56	12.36	41.81	1.28	10.16	14.45	29.91	17.51	72.01	10.63	5.15	34.75	17.64	6.52	12.83	91.41	20.11
BBS2	463.65	463.65	842.36	616.37	934.76	1167.14	616.37	1781.89	1159.07	633.73	1313.23	2209.26	277.2	395.18	163.28	295.11	223.41	301.33	281.09	493.56	195.72	318.57	603.67	277.2	277.2	316.37	279.14	165.57	253.23	351.14	258.57	299.25	275.28	325.29	353.59	323.03	133.36	281.09	470.14	336.79
C14orf132	81.71	81.71	186.4	185.11	241.19	198.47	185.11	283.05	429.54	5.11	878.17	842.36	53.95	23.59	28.24	16.51	16.51	55.49	32.36	38.4	4.24	37.32	89.51	136.19	52.82	101.54	18.29	2.25	23.93	147.06	76.71	76.17	57.08	96.68	65.26	25.35	22.75	55.1	82.87	28.45
C2orf81	153.34	153.34	70.01	107.38	105.15	82.29	107.38	104.42	69.52	6.46	575.03	1909.85	23.25	27.84	26.28	16.27	8.58	33.54	7.11	39.79	8.13	23.93	119.26	23.08	44.89	43.02	46.5	21.63	12.83	40.36	43.94	28.24	40.64	35.0	66.18	18.16	20.71	27.44	171.45	23.08
