	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.144GN.1126.SM.5LU33	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Y5LM.1426.SM.5RQJL	GTEX.Q2AH.1226.SM.48TZL	GTEX.O5YW.1426.SM.3MJHF	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6453.11A.01R.1802.13
AC138969.4	221.86	674.59	1023.0	981.29	981.29	684.02	532.74	366.09	1096.5	860.08	599.49	1143.1	1295.13	532.74	1037.29	1467.37	480.04	339.14	679.29	830.75	713.11	480.04	1457.23	660.68	1322.37	305.55	728.11	878.17	1143.1	2193.99	915.51	507.46	693.58	1111.82	928.3	753.83	384.34	161.02	591.22	543.96	642.59	438.59	928.3	988.12	698.41	2047.0	1015.93	860.08	595.34	1427.22	1340.84	435.55	1508.65	277.2	525.39	981.29	624.99	381.68	579.04	1191.69	708.18	796.86	1051.79	848.22	947.83	607.87	503.95	620.67	1427.22	607.87	507.46	878.17	2004.85	647.07	514.56	764.36	486.75	813.63	728.11	974.5	656.11	500.46	595.34	511.0	669.92	1781.89	1529.73	836.53	921.88	647.07	1639.59	438.59	624.99	599.49	1268.46	1295.13	872.1	1427.22	878.17	1397.83	336.79	1159.07	1073.91	339.14	1066.48	470.14
ACSS3	5.92	23.93	53.19	8.45	13.03	18.43	10.0	2.39	6.73	15.68	17.64	21.32	18.97	10.16	6.46	14.03	12.36	7.46	8.38	15.8	10.31	15.91	43.32	7.75	31.67	4.24	7.69	11.64	26.67	45.21	3.66	14.14	8.71	23.76	15.56	5.15	5.19	14.56	5.68	15.91	15.68	9.13	23.08	5.32	14.24	37.59	18.56	14.45	7.51	40.36	27.25	12.83	17.38	14.56	42.41	5.32	6.57	3.92	7.75	97.36	10.08	5.92	8.38	8.25	10.88	4.06	8.45	31.45	29.48	13.22	17.9	13.62	61.68	10.24	12.45	3.92	5.36	9.41	21.78	7.0	24.28	13.93	8.99	27.64	1.85	27.25	53.19	85.82	24.11	6.78	23.25	11.82	13.12	13.03	33.78	37.59	16.15	27.64	43.63	32.36	8.32	56.28	10.71	1.89	51.35	30.78
ADRBK2	20.41	31.67	96.68	19.82	43.94	31.67	26.86	10.16	21.32	29.06	33.78	34.75	33.3	23.08	27.05	35.5	23.59	14.67	18.03	42.71	27.05	35.5	72.01	22.1	26.86	4.74	20.26	36.01	43.94	93.35	21.16	40.07	10.55	39.22	38.12	15.45	11.73	31.45	14.14	35.25	19.11	23.08	56.68	20.11	24.11	88.26	42.71	37.85	25.91	24.99	34.51	35.25	30.56	36.79	27.05	21.94	11.21	10.79	39.5	84.04	29.48	22.59	33.3	23.25	29.48	14.35	22.92	49.21	66.65	22.75	28.65	27.25	87.03	12.45	38.12	13.22	21.78	12.27	50.98	25.54	57.08	27.44	25.91	41.81	12.27	79.45	60.82	66.65	40.64	22.26	53.57	27.44	27.44	16.27	81.14	74.58	20.41	36.27	55.1	41.22	48.87	35.76	30.56	17.0	74.58	51.71
ANKRD44	81.14	95.34	153.34	69.03	123.5	193.01	35.76	19.82	82.87	87.65	78.34	87.03	144.01	72.01	70.51	53.95	101.54	54.33	63.0	77.25	82.29	74.58	189.02	30.12	187.71	38.12	74.58	57.89	191.67	318.57	21.01	120.94	34.75	199.85	131.51	99.43	31.67	38.12	25.72	82.87	84.04	109.66	181.28	89.51	104.42	269.6	112.77	199.85	79.45	38.67	134.3	58.71	187.71	94.67	108.9	34.75	21.94	34.26	158.79	217.27	121.79	98.73	95.34	135.24	72.52	88.26	44.25	84.04	212.78	69.03	92.7	94.67	195.72	57.89	111.21	26.28	55.89	70.51	277.2	33.3	161.02	89.51	46.84	209.84	26.1	307.69	239.52	186.4	103.69	51.35	285.03	86.43	133.36	96.68	318.57	163.28	68.07	178.77	120.1	129.69	101.54	220.32	69.52	41.81	190.34	237.86
ANO6	111.21	303.44	616.37	98.73	209.84	228.13	96.01	46.84	95.34	166.73	144.01	218.79	205.5	175.07	76.17	142.01	89.51	106.63	97.36	142.01	143.01	395.18	532.74	125.24	346.29	45.85	105.15	231.32	466.88	507.46	98.04	128.79	58.3	336.79	218.79	88.88	74.58	152.28	76.17	102.25	150.17	125.24	279.14	65.26	110.43	490.14	368.65	167.9	86.43	236.21	379.04	137.14	346.29	164.42	212.78	102.25	95.34	67.12	116.78	480.04	105.15	97.36	127.89	111.99	108.9	70.01	119.26	312.0	361.04	83.45	165.57	221.86	555.41	100.83	102.25	63.89	63.45	69.03	211.31	121.79	234.57	134.3	66.65	110.43	73.03	414.87	493.56	409.15	169.07	90.77	236.21	141.02	77.79	148.09	376.41	441.64	118.43	234.57	435.55	466.88	105.89	521.76	98.73	40.64	629.35	417.77
AP1M1	532.74	651.58	872.1	312.0	507.46	444.72	420.68	381.68	325.29	473.41	392.44	466.88	473.41	454.09	307.69	387.02	339.14	258.57	473.41	316.37	420.68	555.41	665.29	363.56	607.87	299.25	414.87	511.0	603.67	708.18	400.71	429.54	297.17	633.73	483.38	291.04	264.03	483.38	376.41	447.82	507.46	305.55	575.03	341.51	426.57	733.19	595.34	470.14	363.56	547.75	532.74	403.5	395.18	366.09	525.39	323.03	309.83	283.05	423.61	656.11	336.79	420.68	397.93	417.77	353.59	361.04	379.04	616.37	651.58	323.03	450.94	480.04	624.99	447.82	353.59	325.29	387.02	291.04	438.59	379.04	457.25	429.54	320.8	447.82	356.05	616.37	656.11	624.99	521.76	373.81	603.67	392.44	358.54	368.65	638.15	769.69	381.68	563.18	698.41	866.07	460.44	591.22	426.57	316.37	1073.91	708.18
ARHGAP29	74.58	74.06	104.42	34.02	52.45	51.71	38.67	13.93	47.5	52.82	41.22	64.34	63.89	38.95	28.24	82.87	42.41	39.5	37.32	59.97	45.53	89.51	93.35	40.07	77.25	22.59	53.95	66.18	100.13	69.52	35.5	51.71	35.25	48.52	44.57	34.51	34.02	36.53	33.3	41.22	48.87	34.75	71.0	35.0	44.89	83.45	47.84	43.63	34.51	153.34	79.45	61.68	85.22	60.39	78.89	51.71	35.76	27.05	37.59	262.2	56.28	38.12	32.13	49.56	57.08	38.4	30.78	54.72	104.42	32.82	40.36	42.71	92.05	31.45	37.05	40.93	46.5	39.79	99.43	42.41	62.56	28.24	26.86	63.45	28.45	105.15	108.9	162.14	95.34	39.79	81.71	67.59	40.07	52.08	95.34	161.02	58.71	96.01	81.14	113.56	19.68	120.94	72.52	21.01	163.28	111.99
ARHGAP31	38.95	80.01	108.14	37.85	73.54	63.89	52.45	14.14	53.57	50.98	43.32	59.97	80.01	35.25	33.78	65.72	63.45	63.89	49.91	74.06	56.28	61.68	114.36	50.27	65.26	16.03	75.11	58.3	100.13	126.12	40.93	71.5	45.21	65.26	64.8	49.56	46.84	50.63	41.52	56.28	34.26	44.89	90.77	38.95	59.55	112.77	86.43	55.49	39.5	86.43	65.26	87.65	85.22	92.05	78.89	59.97	45.85	36.53	53.57	312.0	63.45	55.89	66.65	58.3	59.55	44.89	41.52	69.52	115.97	40.64	43.32	52.82	130.6	37.59	74.06	33.06	53.19	43.63	115.97	45.85	62.12	33.78	35.0	48.87	48.52	105.89	122.64	145.02	104.42	71.5	80.57	89.51	43.94	55.49	102.97	132.44	70.51	111.21	95.34	99.43	37.05	95.34	52.08	26.28	190.34	129.69
ARHGEF3	217.27	178.77	231.32	122.64	241.19	133.36	115.16	66.18	106.63	141.02	128.79	165.57	190.34	140.04	134.3	185.11	115.97	136.19	127.89	152.28	136.19	223.41	241.19	116.78	182.55	65.26	116.78	181.28	209.84	339.14	130.6	166.73	94.67	177.53	157.68	114.36	96.68	134.3	108.9	121.79	108.9	140.04	178.77	130.6	108.14	249.73	182.55	169.07	133.36	224.97	170.25	141.02	208.38	134.3	173.85	105.89	113.56	115.97	157.68	435.55	142.01	119.26	165.57	139.07	111.21	96.01	127.89	182.55	279.14	128.79	152.28	166.73	251.48	111.99	162.14	83.45	99.43	153.34	289.02	121.79	197.09	126.12	116.78	140.04	99.43	293.07	295.11	348.71	215.77	114.36	180.02	133.36	152.28	140.04	267.73	271.48	163.28	191.67	187.71	532.74	120.1	285.03	131.51	82.87	271.48	242.88
ARL10	4.1	23.76	100.83	5.54	21.32	21.78	6.01	4.03	20.26	26.86	14.89	25.17	27.64	42.71	3.17	23.08	12.93	8.32	21.47	6.21	35.25	35.76	78.89	6.89	33.78	2.25	5.87	32.36	34.02	46.84	22.1	16.51	4.17	16.88	24.28	4.5	4.9	25.17	12.45	19.82	12.36	15.68	40.93	8.0	12.36	71.5	34.02	41.52	4.82	24.46	34.75	29.91	19.25	4.39	21.47	16.03	8.92	2.71	20.26	56.68	10.88	17.38	16.15	11.21	23.25	4.98	6.01	33.54	50.98	19.97	29.7	20.41	33.06	4.31	20.71	3.53	13.03	12.93	27.84	43.94	52.82	15.91	7.22	11.13	3.23	57.89	39.79	59.55	24.63	11.04	55.49	24.63	11.47	8.85	56.68	60.39	16.51	70.01	61.25	34.26	21.78	48.87	7.46	9.34	37.32	28.45
