	TCGA.AN.A0AK.01A.21R.A00Z.07	TCGA.FU.A57G.01A.11R.A26T.07	TCGA.CN.A6V6.01A.12R.A34R.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.F5.6863.01A.11R.1928.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N5.A4RD.01A.11R.A28V.07
ACTA1	7.63	105.15	7032.37	434801.29	0.97	703.28	1715263.94	767601.56	8102860.22	248.0	3103.19
ACTC1	0.0	669.92	2935.74	10883.59	0.55	260.38	95949.32	7130.55	800198.39	2335.28	8421.31
ADAMTSL4	74.58	77.25	348.71	2133.97	0.77	186.4	2178.83	3901.01	8778.97	309.83	454.09
APOBEC2	0.0	2.16	178.77	5672.41	0.11	6.06	17437.64	16960.78	180294.02	81.71	693.58
APOL5	0.0	0.0	1.33	12.55	0.0	0.0	3.26	2.39	3.79	2.73	2.71
ARPP21	0.0	0.0	63.45	836.53	0.0	12.09	1594.73	4038.61	1685.71	55.49	77.25
ASB10	0.0	0.0	7.94	454.09	0.0	0.0	291.04	86.43	967.76	1.07	12.36
ATP1A2	10.24	5.5	109.66	5791.62	0.29	128.79	7589.61	7032.37	9673.69	29.06	583.07
ATP1B4	0.0	0.0	15.45	392.44	0.0	0.0	199.85	69.03	4419.52	9.48	31.0
ATP2A1	6.36	13.62	176.29	24832.5	0.77	39.5	19214.73	13492.72	10084.54	163.28	1233.75
BEST3	0.0	1.36	47.17	595.34	0.11	1.95	988.12	921.88	1268.46	5.73	49.56
C1orf105	1.45	0.0	21.78	29.06	0.08	15.68	87.65	165.57	295.11	71.5	395.18
CACNG1	2.39	0.0	71.0	1662.49	0.0	2.58	1794.29	1030.12	3372.43	6.21	137.14
CAMK2A	0.0	6.62	16.75	878.17	0.2	2.18	698.41	571.05	1295.13	9.56	99.43
CASQ1	2.48	1.73	181.28	16269.83	0.33	43.94	32315.87	6294.04	39510.91	49.21	341.51
CAV3	0.0	0.0	35.76	1051.79	0.0	0.42	1923.14	2148.82	3874.05	53.95	121.79
CDH15	3.29	0.83	21.63	332.14	0.19	2.89	267.73	432.53	454.09	83.45	409.15
CEACAM16	0.0	0.0	0.61	2.97	0.06	0.0	0.0	12.18	94.67	2.86	16.39
CHRNG	0.0	0.38	16.63	206.94	0.0	1.5	56.28	3060.45	152.28	27.25	162.14
COX6A2	0.0	0.0	819.3	35856.82	0.0	43.94	258533.99	42641.37	998912.34	145.02	872.1
CSRP3	0.0	0.0	896.64	13399.51	0.35	0.0	258533.99	10512.82	711250.37	37.05	447.82
CTXN3	0.0	0.0	0.59	7.11	0.0	0.0	47.17	6.16	90.14	0.66	15.68
CYP4F22	1.48	2.2	29.48	64.34	0.0	0.09	1183.45	62.12	866.07	4.5	32.82
DUSP13	92.7	1.16	127.0	3280.18	0.54	0.0	3794.3	1781.89	6983.79	43.02	148.09
DUSP26	1.23	3.82	182.55	2240.11	0.18	50.98	9279.58	3103.19	20310.37	140.04	255.0
FBP2	1.17	0.0	8.0	1487.87	0.0	2.71	2133.97	244.57	3716.2	4.17	161.02
FGF6	0.0	0.0	6.67	36.79	0.0	0.0	22.26	211.31	51.71	2.46	26.47
FITM1	1.93	12.64	112.77	2075.59	0.25	14.24	2645.74	3190.46	14867.79	224.97	332.14
HFE2	0.0	0.0	80.01	2104.58	0.0	0.96	3124.78	1819.35	3515.68	27.25	87.03
HRC	149.12	61.25	208.38	2758.13	0.21	28.45	3491.39	7331.05	17558.94	1030.12	808.0
KCNA7	0.0	0.0	8.45	346.29	0.0	0.0	297.17	65.72	616.37	5.77	10.39
KLHL40	0.0	0.0	73.03	1477.58	0.13	0.0	2555.58	275.28	8840.04	34.26	75.64
KLHL41	15.11	10.47	974.5	29943.43	0.06	12.64	113315.62	47642.77	246289.25	336.79	1794.29
LGI3	2.71	10.0	36.27	27.25	0.0	3.79	48.87	15.0	202.66	25.91	181.28
LMOD2	0.0	0.85	406.31	7695.57	0.22	1.31	10512.82	14361.31	25005.23	0.88	13.22
LRRC30	0.0	0.0	0.87	52.08	0.0	0.0	24.46	44.89	114.36	2.71	15.8
LRRC39	2.32	14.45	98.04	1757.34	0.56	12.27	733.19	665.29	10154.69	100.83	209.84
MAFA	15.22	0.82	6.16	69.52	0.09	0.29	109.66	70.01	275.28	26.47	73.54
MYBPH	3.14	1.31	738.29	1378.57	0.18	4.17	5872.48	72715.74	10959.3	187.71	291.04
MYF6	0.0	0.72	246.28	2400.97	0.0	0.0	8421.31	8538.88	12676.65	4.82	52.82
MYH3	1.1	70.01	339.14	2591.27	0.66	170.25	8247.98	271.48	13306.94	435.55	3060.45
MYH7	0.89	2.16	1883.54	84694.64	0.0	0.0	85876.94	57051.4	1890058.21	19.82	162.14
MYH8	0.0	0.0	41.52	236.21	0.0	0.0	305.55	406.31	12764.83	94.01	205.5
MYL1	0.0	0.0	3419.52	74760.09	0.0	0.0	800198.39	269512.87	1255646.43	1697.45	9673.69
MYL2	0.0	0.0	10296.45	126606.21	0.0	463.65	348306.01	1155430.26	7560235.84	64.34	395.18
MYLK2	8.0	36.79	44.57	1662.49	0.0	10.88	688.78	616.37	2875.3	99.43	139.07
MYLPF	13.12	21.47	1340.84	27553.49	0.18	61.25	531605.79	154794.07	149521.18	1369.04	10808.41
MYOG	1.45	0.0	189.02	587.13	0.04	0.0	607.87	23009.42	5441.3	616.37	1697.45
MYOT	2.14	0.0	258.57	11189.6	0.27	16.27	13492.72	4769.75	221968.2	12.45	297.17
MYOZ1	0.64	12.64	435.55	17078.76	0.13	2.84	57051.4	33688.23	57448.23	176.29	591.22
MYOZ2	0.0	1.3	236.21	2855.44	0.25	6.31	1769.57	1551.09	45701.96	22.75	185.11
MYPN	0.0	0.0	42.71	1277.29	0.14	0.0	1044.52	3303.0	2119.22	5.19	44.57
NT5C1A	0.0	0.68	1.41	389.72	0.01	0.78	48.52	98.04	73.03	0.71	10.31
PPP1R1A	22.26	53.57	58.71	2163.77	0.35	68.07	3018.3	3124.78	11584.24	389.72	2255.7
PRKAG3	0.0	0.0	20.26	591.22	0.0	0.8	466.88	327.56	470.14	7.88	31.67
SGCG	6.31	2.41	73.54	1477.58	0.0	0.46	2319.15	1225.22	7857.29	98.73	138.1
SLCO1C1	2.01	21.78	6.26	29.7	0.0	0.85	34.51	59.13	100.13	8.51	51.35
SMYD1	0.0	0.0	36.01	2816.11	0.2	85.22	3303.0	1340.84	8022.41	43.94	318.57
STAC3	50.98	56.68	1104.13	14163.58	0.15	29.06	20030.74	22850.48	48643.87	371.22	1572.76
SYNPO2L	1.43	0.56	83.45	1769.57	0.03	0.68	1167.14	1674.06	7032.37	55.1	136.19
TCAP	18.29	6.94	3982.99	78476.96	0.51	22.75	331809.5	31870.96	2141216.62	170.25	483.38
TECRL	0.0	0.41	4.86	232.94	0.0	0.0	19.97	15.0	15.56	1.48	21.16
TNNC1	6.46	171.45	5711.87	87681.42	0.19	191.67	149521.18	244588.0	5199709.96	1159.07	2004.85
TNNC2	1.33	21.94	1008.9	49666.0	0.44	277.2	649962.87	119776.72	136637.07	1757.34	9344.14
TNNI1	31.0	11.13	3716.2	66449.85	0.04	36.53	76330.98	127486.83	1290947.48	2224.63	4937.99
TRIM63	2.78	3.0	126.12	2417.67	0.16	0.0	20737.16	607.87	3443.31	31.22	127.89
TSPAN7	18.7	204.07	260.38	3589.58	0.67	199.85	6745.86	10440.2	15180.22	1286.18	3564.78
TTN	0.95	0.96	69.52	6121.9	0.18	3.35	6121.9	5219.6	10440.2	17.38	62.56
UNC45B	0.87	1.85	40.36	1427.22	0.0	0.43	1662.49	3395.89	1662.49	33.78	110.43
