	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.ZYFG.0226.SM.5GIDT	GTEX.U8XE.1426.SM.3DB8Q	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.YEC3.0226.SM.5IFJO	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB	GTEX.XQ8I.1126.SM.4BOO2	GTEX.145LS.1226.SM.5Q5D9	GTEX.PW2O.0526.SM.2I3DX
ABHD15	0.0	0.27	281.09	133.36	289.02	125.24	195.72	361.04	287.01	194.36	214.27	234.57	88.88	325.29
AC116407.2	0.0	0.33	19.39	5.59	6.78	5.02	4.98	11.47	5.63	5.54	9.85	11.04	4.94	9.2
ACBD4	0.0	0.48	412.0	49.91	417.77	54.72	127.0	316.37	414.87	208.38	255.0	718.08	78.34	466.88
ACOX2	0.0	0.45	363.56	150.17	532.74	22.75	177.53	656.11	1242.34	363.56	693.58	842.36	52.45	1242.34
ADH1A	0.0	0.03	22.43	16.75	27.05	0.74	5.06	33.3	24.63	6.89	24.28	21.01	5.54	12.64
ALKBH7	0.0	0.48	2032.85	536.45	2163.77	791.35	1119.56	2875.3	2119.22	1709.26	1870.53	3081.75	341.51	2018.8
ANGPTL7	0.0	0.0	234.57	68.55	81.14	10.0	6.62	72.01	48.18	31.45	45.21	20.11	24.46	32.36
APBB3	0.0	1.14	139.07	62.56	409.15	102.25	89.51	454.09	379.04	269.6	435.55	309.83	82.29	543.96
APOC1	11664.82	1208.34	7911.95	6699.25	62865.33	7857.29	19482.97	49666.0	16269.83	14765.09	40062.48	18950.18	9344.14	84694.64
ARMC12	0.0	0.58	6.31	4.03	15.11	0.01	3.2	22.1	6.57	7.51	14.03	19.68	4.31	7.28
ARSG	0.0	0.39	63.0	37.85	135.24	38.95	55.1	197.09	77.25	102.25	100.83	60.39	55.1	86.43
C11orf35	0.0	0.52	94.01	39.5	173.85	29.06	48.18	76.71	153.34	38.67	94.67	171.45	24.81	80.01
C11orf71	0.0	0.32	113.56	40.93	151.22	59.55	93.35	239.52	139.07	30.34	138.1	56.28	47.84	113.56
C15orf40	0.0	0.26	387.02	299.25	620.67	323.03	435.55	743.43	480.04	269.6	518.15	412.0	194.36	409.15
C19orf73	0.0	0.0	30.78	8.06	32.59	3.69	20.41	39.5	80.57	38.67	41.81	39.5	7.34	40.07
C3AR1	0.0	0.19	921.88	100.13	1350.18	389.72	547.75	2520.38	2163.77	842.36	1191.69	543.96	371.22	1081.39
C8orf82	0.0	0.47	339.14	144.01	447.82	159.9	246.28	351.14	435.55	249.73	195.72	395.18	69.52	346.29
CA11	0.0	0.31	255.0	199.85	195.72	149.12	148.09	277.2	417.77	143.01	251.48	199.85	109.66	327.56
CARF	0.0	0.13	92.7	36.27	127.89	34.75	52.82	127.0	122.64	67.12	77.79	73.54	58.71	106.63
CCDC152	0.0	0.27	147.06	111.99	236.21	15.56	33.78	241.19	153.34	48.52	131.51	201.25	70.01	71.0
CLCA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	3.14	0.0	0.96	0.57	0.0	0.17
COX14	0.0	0.75	1769.57	769.69	3257.52	1199.98	2075.59	3639.7	4010.71	1781.89	2997.45	3742.05	866.07	1806.78
CTA-299D3.8	0.0	0.0	0.0	0.0	0.14	0.0	0.0	1.03	0.36	0.73	0.92	0.13	0.0	2.46
DAAM2	0.0	0.57	808.0	368.65	2224.63	31.9	262.2	1225.22	1242.34	232.94	567.1	332.14	98.73	480.04
DAPK1	0.0	0.54	3280.18	307.69	2537.92	591.22	555.41	2287.2	2178.83	759.08	3124.78	2915.45	1119.56	3901.01
DNAJC4	0.0	0.77	954.43	728.11	1651.0	559.28	808.0	1745.2	1331.57	890.44	1135.2	1498.22	532.74	1477.58
DPEP2	0.0	0.17	748.61	102.97	1844.76	32.59	336.79	1498.22	529.06	497.0	1498.22	878.17	88.26	1191.69
EIF4EBP3	0.0	0.57	878.17	759.08	1781.89	507.46	599.49	1457.23	1397.83	547.75	1250.98	1519.15	414.87	743.43
FAM200B	0.0	0.39	728.11	295.11	1143.1	229.72	476.71	808.0	995.0	503.95	733.19	802.41	463.65	575.03
FBXL8	0.0	0.88	96.01	51.35	414.87	89.51	118.43	376.41	392.44	231.32	265.87	314.17	61.68	223.41
FCGRT	0.0	0.95	8778.97	5594.3	14663.09	1487.87	5112.16	14461.21	10883.59	4512.4	13215.02	9279.58	1639.59	15824.9
FGGY	0.0	0.0	1277.29	334.46	1617.0	759.08	493.56	1674.06	1359.57	503.95	1447.15	1721.16	493.56	921.88
FN3K	0.0	0.41	1199.98	246.28	511.0	148.09	269.6	669.92	1081.39	353.59	450.94	1519.15	271.48	1151.06
GBGT1	0.0	0.41	186.4	23.25	579.04	92.7	299.25	651.58	417.77	265.87	476.71	341.51	76.71	728.11
GLS2	0.0	0.33	67.59	82.87	256.78	139.07	236.21	325.29	194.36	77.79	244.57	229.72	114.36	341.51
GOLGA8R	0.0	0.52	50.27	11.91	72.01	10.08	8.32	93.35	41.81	6.84	58.3	33.06	1.93	120.94
HEXA	0.0	0.78	2816.11	1651.0	6207.38	1487.87	3039.3	6381.92	3874.05	2119.22	5219.6	2855.44	2502.97	3491.39
HTR3C	0.0	0.0	69.03	8.65	16.39	3.53	24.99	47.5	10.96	28.24	40.07	50.98	21.16	48.52
HTRA1	0.0	0.69	1977.24	2701.35	2520.38	490.14	2090.03	4095.0	3039.3	1199.98	2664.15	1457.23	1594.73	2855.44
ISPD	0.0	0.04	78.89	6.84	12.27	11.82	23.42	52.45	38.67	17.9	27.44	46.5	16.27	38.67
