	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.V1D1.1226.SM.4JBI5	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.12WSJ.0826.SM.5PNWV	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZVP2.1426.SM.5NQ7P	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.148VI.1226.SM.5RQJR	GTEX.13PL7.0526.SM.5J2MQ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XGQ4.1626.SM.4AT6J	GTEX.X15G.1026.SM.4PQZF	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.11LCK.1626.SM.5PNYB	GTEX.ZY6K.0526.SM.5GZY9	GTEX.139YR.1626.SM.5IJGK	GTEX.WRHK.0426.SM.4MVOG	GTEX.VJYA.0626.SM.4KL1S	GTEX.UPIC.0626.SM.4IHK2	GTEX.ZAB5.1026.SM.5HL91	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.P4QT.0726.SM.3NMCM	GTEX.UJMC.1026.SM.4IHKN	GTEX.V1D1.1126.SM.4JBHT	GTEX.148VJ.1126.SM.5NQBZ	GTEX.X5EB.1426.SM.46MVW	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	GTEX.XPVG.1326.SM.4B65P	TCGA.B0.5696.01A.11R.1541.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.131XF.1926.SM.5DUW4	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.TMMY.2226.SM.4DXTN	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.13W3W.1426.SM.5LU56	GTEX.12WSK.2026.SM.5CVNB	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
ACIN1	1498.22	1135.2	1674.06	1378.57	1216.75	1757.34	1259.69	1407.55	1551.09	1407.55	1111.82	1508.65	2178.83	2163.77	1950.0	2351.53	2855.44	1883.54	2573.36	2163.77	3081.75	2209.26	2627.46	884.29	3303.0	2816.11	2400.97	2367.9	3665.02	2555.58	2956.17	2855.44	3235.01	2502.97	3614.55	2701.35	4450.27	3467.27	3901.01	2335.28	2609.3	3103.19	2335.28	1331.57	2319.15	2367.9	2434.5	2434.5	3589.58	2875.3	2032.85	1639.59	2976.74	3303.0	2682.69	2720.15	1806.78	2163.77	3039.3	733.19	1477.58	1437.15	1001.93	603.67	1030.12	1088.92	1745.2	1030.12	1044.52	995.0	1583.71	819.3	1127.35	1977.24	1498.22	1674.06	1242.34	1216.75	848.22	1059.11	1359.57	1369.04	2976.74	2163.77	1977.24	1628.26	1757.34	1487.87	3103.19	1685.71	1909.85	1183.45	1977.24	1259.69	1844.76	2119.22	1721.16	1697.45	1896.65	1295.13	3303.0	2645.74	3081.75	2193.99	1639.59
ACRC	14.24	8.45	14.35	2.56	6.94	17.13	11.91	4.46	9.41	17.77	7.51	9.27	39.22	14.89	33.78	25.54	39.79	24.63	31.45	21.16	25.91	20.26	17.13	9.93	45.85	40.64	18.16	16.51	53.19	49.91	55.1	51.35	24.81	44.89	97.36	23.25	108.9	69.03	71.0	8.32	29.7	56.68	15.22	9.78	18.43	35.0	46.84	11.3	43.32	48.52	14.45	10.08	36.01	40.64	72.01	55.1	8.92	21.78	49.91	3.56	10.55	2.39	1.89	3.0	3.56	4.28	7.11	4.28	4.58	8.45	7.28	3.38	7.17	27.64	15.91	9.7	10.16	3.82	4.94	7.51	11.55	15.56	29.06	18.03	16.51	49.21	10.0	16.63	40.07	12.64	30.12	9.2	11.55	23.59	23.76	22.59	12.36	17.13	9.78	12.36	21.63	11.3	28.45	17.25	24.11
ACTA2	163620.18	122293.5	187950.38	254974.66	331809.5	195931.88	311742.51	214407.12	177811.84	223512.12	187950.38	290865.98	345900.08	394590.4	217400.14	383800.28	324980.94	772940.66	288856.81	200048.85	93325.55	163620.18	156954.93	180294.02	98646.85	108699.57	180294.02	180294.02	118949.35	190574.09	118949.35	126606.21	150561.19	177811.84	95949.32	125731.67	97288.74	81244.48	124863.17	189257.69	104271.56	77934.88	143430.26	226632.25	131071.0	93325.55	185362.8	171754.88	81809.59	169390.27	169390.27	138544.47	130165.62	84694.64	82951.62	90773.53	175363.84	176583.6	80125.95	11189.6	269512.87	215898.44	236256.4	284880.02	329517.51	229795.93	211455.3	215898.44	163620.18	228208.61	180294.02	327241.36	118127.7	202841.44	225066.78	191899.64	124000.67	228208.61	155870.75	202841.44	202841.44	320506.81	231394.29	431797.89	241220.67	288856.81	299043.36	348306.01	251464.33	331809.5	163620.18	131982.68	301123.38	211455.3	327241.36	176583.6	336441.4	229795.93	162489.97	162489.97	194578.47	327241.36	338781.54	265802.39	228208.61
AGAP6	165.57	115.97	95.34	138.1	120.94	217.27	55.1	76.71	92.05	77.25	80.01	79.45	229.72	217.27	267.73	329.84	423.61	190.34	397.93	409.15	395.18	460.44	289.02	113.56	785.88	454.09	289.02	277.2	559.28	356.05	603.67	476.71	612.11	547.75	642.59	493.56	753.83	392.44	607.87	358.54	493.56	587.13	287.01	309.83	447.82	314.17	275.28	320.8	738.29	521.76	267.73	133.36	551.56	579.04	1023.0	514.56	301.33	320.8	733.19	21.63	115.97	57.08	29.91	64.34	42.41	70.01	90.77	72.01	49.91	54.33	117.6	53.95	42.71	392.44	140.04	128.79	82.87	64.8	36.79	56.68	86.43	54.72	264.03	141.02	130.6	193.01	136.19	120.1	146.03	146.03	191.67	73.54	104.42	121.79	226.54	156.59	117.6	107.38	153.34	84.63	325.29	130.6	143.01	258.57	98.73
AHSA2	165.57	283.05	334.46	248.0	208.38	688.78	162.14	202.66	301.33	242.88	201.25	208.38	525.39	647.07	1119.56	1044.52	1467.37	525.39	1508.65	848.22	1950.0	1674.06	1167.14	503.95	2271.4	1936.53	1037.29	1369.04	2627.46	1369.04	2935.74	1487.87	2835.7	1519.15	2573.36	1794.29	1819.35	2119.22	1806.78	1561.89	1628.26	2319.15	902.89	1143.1	1819.35	2434.5	1268.46	1529.73	3303.0	1662.49	961.07	514.56	2119.22	1896.65	3443.31	2287.2	1350.18	2178.83	2609.3	127.0	287.01	156.59	159.9	423.61	665.29	187.71	329.84	202.66	205.5	117.6	559.28	209.84	86.43	1295.13	426.57	579.04	395.18	242.88	81.71	115.16	271.48	105.89	1111.82	346.29	633.73	447.82	450.94	384.34	842.36	325.29	571.05	126.12	389.72	295.11	316.37	866.07	242.88	409.15	435.55	457.25	351.14	363.56	607.87	825.0	206.94
AKAP8	307.69	358.54	339.14	406.31	236.21	454.09	246.28	295.11	389.72	325.29	361.04	341.51	353.59	426.57	447.82	567.1	500.46	457.25	460.44	521.76	587.13	483.38	389.72	236.21	603.67	486.75	403.5	547.75	563.18	457.25	599.49	507.46	503.95	441.64	612.11	420.68	579.04	493.56	503.95	486.75	438.59	555.41	432.53	343.89	529.06	511.0	348.71	486.75	454.09	480.04	426.57	351.14	595.34	595.34	567.1	612.11	366.09	384.34	536.45	283.05	334.46	297.17	387.02	251.48	297.17	295.11	414.87	309.83	289.02	373.81	423.61	312.0	320.8	403.5	358.54	336.79	339.14	295.11	279.14	305.55	309.83	237.86	493.56	371.22	447.82	454.09	343.89	406.31	420.68	346.29	299.25	400.71	343.89	366.09	339.14	579.04	267.73	400.71	406.31	371.22	414.87	309.83	441.64	432.53	361.04
BBS5	178.77	164.42	98.73	185.11	87.03	191.67	115.16	186.4	111.99	127.89	139.07	144.01	156.59	201.25	246.28	171.45	334.46	239.52	237.86	239.52	291.04	214.27	236.21	120.1	244.57	215.77	208.38	223.41	231.32	199.85	277.2	220.32	387.02	218.79	285.03	234.57	297.17	218.79	251.48	253.23	223.41	255.0	158.79	170.25	258.57	275.28	173.85	234.57	316.37	251.48	194.36	180.02	281.09	366.09	392.44	343.89	206.94	211.31	303.44	68.55	198.47	193.01	186.4	149.12	167.9	150.17	175.07	191.67	156.59	151.22	214.27	189.02	97.36	206.94	198.47	212.78	165.57	180.02	148.09	161.02	183.82	117.6	236.21	158.79	139.07	137.14	71.5	120.1	237.86	271.48	98.73	43.32	57.08	69.03	121.79	96.68	98.73	127.0	102.97	119.26	258.57	248.0	158.79	279.14	61.25
CCDC14	122.64	159.9	162.14	234.57	137.14	397.93	175.07	163.28	218.79	171.45	105.15	153.34	381.68	447.82	591.22	684.02	688.78	400.71	571.05	406.31	802.41	595.34	547.75	244.57	1037.29	830.75	651.58	551.56	1096.5	669.92	674.59	708.18	703.28	748.61	1037.29	633.73	1167.14	967.76	769.69	435.55	1037.29	1030.12	493.56	620.67	780.44	878.17	656.11	651.58	1066.48	860.08	363.56	236.21	698.41	981.29	884.29	785.88	320.8	665.29	1037.29	125.24	208.38	175.07	199.85	165.57	202.66	242.88	305.55	169.07	271.48	147.06	314.17	127.89	128.79	819.3	332.14	381.68	249.73	208.38	78.89	162.14	291.04	202.66	842.36	400.71	214.27	366.09	256.78	275.28	703.28	269.6	395.18	94.67	287.01	299.25	384.34	529.06	256.78	279.14	281.09	246.28	684.02	417.77	500.46	543.96	318.57
CEP164	329.84	209.84	198.47	212.78	108.14	327.56	211.31	226.54	241.19	312.0	185.11	186.4	363.56	301.33	460.44	432.53	555.41	283.05	493.56	529.06	507.46	334.46	353.59	124.37	579.04	500.46	423.61	320.8	529.06	414.87	579.04	579.04	674.59	379.04	728.11	521.76	872.1	536.45	466.88	409.15	414.87	381.68	320.8	256.78	353.59	457.25	327.56	348.71	748.61	503.95	239.52	251.48	595.34	620.67	438.59	486.75	269.6	256.78	486.75	83.45	226.54	224.97	147.06	100.13	193.01	191.67	244.57	172.65	128.79	128.79	260.38	130.6	136.19	348.71	297.17	283.05	426.57	318.57	181.28	297.17	361.04	236.21	583.07	353.59	329.84	256.78	277.2	208.38	525.39	309.83	285.03	140.04	277.2	218.79	258.57	277.2	232.94	224.97	316.37	202.66	414.87	316.37	336.79	435.55	201.25
CLASRP	1044.52	753.83	748.61	764.36	529.06	1175.27	497.0	575.03	780.44	579.04	607.87	518.15	1023.0	988.12	1427.22	1397.83	1628.26	941.27	2133.97	1857.6	2104.58	1594.73	1397.83	902.89	2682.69	1963.57	1467.37	1551.09	2303.12	1286.18	2796.65	2417.67	2997.45	1745.2	2224.63	2004.85	2997.45	2287.2	1561.89	1819.35	2047.0	1977.24	1794.29	915.51	1769.57	2224.63	1467.37	1487.87	3103.19	1806.78	1233.75	848.22	2193.99	2645.74	3039.3	1936.53	1313.23	1709.26	2701.35	343.89	981.29	395.18	638.15	483.38	708.18	500.46	723.08	647.07	348.71	414.87	1313.23	583.07	327.56	1059.11	1073.91	974.5	665.29	486.75	409.15	417.77	457.25	414.87	1286.18	1111.82	1059.11	1051.79	728.11	529.06	1250.98	928.3	872.1	620.67	928.3	819.3	713.11	995.0	571.05	693.58	954.43	928.3	1378.57	1030.12	1081.39	1268.46	603.67
