	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.145LU.0426.SM.5O9AH	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ADD3	988.12	842.36	896.64	791.35	941.27	884.29	607.87	660.68	780.44	1572.76	486.75	1023.0	909.17	447.82	961.07	3690.52	2255.7	2739.08	3190.46	3039.3	3257.52	2895.31	1757.34	2384.37	1721.16	2451.44	3742.05	1936.53	2915.45	2591.27	1417.35	2271.4	3564.78	1733.13	2591.27	2075.59	2367.9	2485.67	1286.18	3060.45	2835.7	2664.15	2591.27	1883.54	1651.0	2645.74
AFF4	327.56	277.2	371.22	271.48	356.05	323.03	224.97	253.23	318.57	426.57	314.17	441.64	381.68	262.2	303.44	612.11	551.56	571.05	551.56	738.29	872.1	507.46	429.54	529.06	532.74	466.88	547.75	518.15	490.14	444.72	389.72	620.67	1059.11	366.09	441.64	607.87	866.07	928.3	387.02	629.35	571.05	575.03	638.15	387.02	366.09	543.96
ANTXR1	334.46	151.22	384.34	197.09	397.93	218.79	351.14	327.56	255.0	215.77	183.82	307.69	316.37	329.84	211.31	2915.45	1030.12	607.87	1540.37	2148.82	3794.3	599.49	532.74	915.51	693.58	1023.0	3467.27	1583.71	1721.16	616.37	420.68	909.17	3280.18	547.75	616.37	733.19	1427.22	961.07	460.44	4607.24	688.78	791.35	1427.22	743.43	1313.23	2104.58
AOX1	2.66	2.56	3.11	3.99	5.23	12.93	18.16	17.9	1.43	2.25	7.06	6.26	4.21	8.65	21.94	547.75	480.04	583.07	872.1	95.34	1417.35	1295.13	753.83	236.21	872.1	171.45	713.11	127.0	289.02	1457.23	139.07	1183.45	162.14	258.57	218.79	819.3	228.13	591.22	172.65	718.08	343.89	1331.57	217.27	223.41	204.07	563.18
ATXN7	149.12	102.97	140.04	95.34	156.59	105.89	82.29	126.12	127.0	171.45	81.14	135.24	166.73	114.36	128.79	201.25	249.73	262.2	173.85	267.73	435.55	239.52	215.77	204.07	185.11	181.28	285.03	165.57	187.71	205.5	154.42	279.14	316.37	106.63	199.85	267.73	363.56	262.2	111.99	323.03	214.27	237.86	229.72	146.03	147.06	183.82
AVPR1A	4.1	2.73	19.11	0.8	21.16	2.29	3.38	5.23	18.97	11.38	0.0	3.79	3.89	2.27	6.78	153.34	334.46	73.54	146.03	149.12	223.41	249.73	98.73	63.0	77.25	66.65	111.21	208.38	224.97	201.25	173.85	115.16	13.12	65.26	444.72	107.38	172.65	329.84	35.76	157.68	71.0	395.18	279.14	45.53	80.01	71.0
AZIN1	567.1	466.88	698.41	373.81	684.02	470.14	460.44	703.28	688.78	540.19	595.34	674.59	703.28	651.58	607.87	1378.57	1286.18	1051.79	1781.89	1427.22	1242.34	928.3	941.27	866.07	1001.93	1073.91	1259.69	1437.15	1313.23	954.43	909.17	981.29	2032.85	1015.93	1135.2	1135.2	1498.22	1313.23	785.88	1651.0	1183.45	1037.29	860.08	1286.18	738.29	1519.15
BBS7	119.26	87.65	127.0	60.82	126.12	119.26	95.34	114.36	102.25	131.51	151.22	122.64	99.43	96.68	112.77	283.05	159.9	190.34	223.41	175.07	241.19	159.9	189.02	183.82	239.52	197.09	220.32	177.53	147.06	197.09	163.28	191.67	285.03	204.07	223.41	139.07	258.57	172.65	206.94	256.78	171.45	176.29	197.09	178.77	123.5	239.52
BMP2	64.8	54.33	27.44	45.53	94.67	74.06	77.25	85.82	35.5	22.43	58.71	80.57	59.13	71.0	64.8	1015.93	397.93	267.73	819.3	1447.15	830.75	229.72	231.32	454.09	450.94	297.17	842.36	417.77	1081.39	441.64	312.0	612.11	2367.9	307.69	148.09	796.86	1819.35	854.13	314.17	2701.35	265.87	316.37	660.68	271.48	194.36	2240.11
BVES	5.54	3.92	13.62	4.31	11.38	5.02	7.11	6.16	11.04	2.86	2.92	5.92	7.4	5.45	4.66	40.07	8.38	23.93	27.05	22.1	59.55	20.41	5.59	21.32	21.47	6.52	36.27	33.06	17.64	10.0	6.62	8.25	19.11	12.83	22.59	24.11	11.3	18.29	1.62	81.14	4.82	11.64	22.75	15.56	16.39	11.73
