	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WZTO.1726.SM.4PQYV	GTEX.11GSP.1726.SM.5A5LI	GTEX.11O72.1926.SM.5PNW1	TCGA.KL.8332.11A.01R.2315.07	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.117YW.0526.SM.5H11C	GTEX.13N1W.2026.SM.5K7YU	GTEX.1269C.0226.SM.5EGKS	GTEX.11ZTS.1126.SM.5LU9X	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.13FHO.0926.SM.5N9EW	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
ABHD10	429.54	267.73	307.69	273.37	287.01	2240.11	967.76	318.57	819.3	854.13	1757.34	1498.22	1709.26	1806.78	1709.26	1794.29	1119.56	1044.52	1225.22	1167.14	1467.37	1498.22	1030.12	1167.14	1304.15	341.51	145.02	412.0	457.25	417.77	764.36	775.05	358.54	738.29	656.11	409.15	571.05	476.71	563.18
ANAPC13	1277.29	1167.14	890.44	860.08	1175.27	2682.69	2367.9	780.44	1883.54	928.3	2434.5	2434.5	2468.49	3349.13	2835.7	2835.7	2209.26	2209.26	2997.45	2075.59	2609.3	2271.4	2319.15	2485.67	2367.9	1015.93	718.08	1662.49	1508.65	1883.54	1806.78	2271.4	1617.0	1819.35	2417.67	1857.6	1350.18	1733.13	1991.0
ANKRD46	295.11	176.29	318.57	220.32	248.0	1259.69	1096.5	277.2	356.05	551.56	1066.48	872.1	902.89	1111.82	1081.39	1104.13	775.05	599.49	825.0	808.0	830.75	921.88	769.69	738.29	830.75	159.9	139.07	397.93	314.17	389.72	642.59	438.59	303.44	507.46	507.46	297.17	312.0	341.51	426.57
ANXA9	50.63	30.78	27.64	25.72	34.26	547.75	825.0	28.65	84.04	206.94	708.18	540.19	665.29	616.37	521.76	738.29	616.37	555.41	647.07	603.67	651.58	438.59	647.07	713.11	656.11	14.03	19.25	185.11	197.09	316.37	327.56	384.34	137.14	307.69	323.03	183.82	195.72	224.97	511.0
ATP6AP2	2032.85	1561.89	1963.57	1388.16	1685.71	5219.6	5183.54	1709.26	2701.35	4066.71	3874.05	4066.71	5219.6	4066.71	4903.87	4239.45	4543.8	4450.27	4607.24	3794.3	4607.24	4419.52	4239.45	4512.4	4736.79	2835.7	2573.36	3395.89	2701.35	3928.15	4512.4	4298.64	2591.27	3716.2	3820.7	3325.99	3257.52	3665.02	4038.61
C11orf52	51.71	44.25	76.17	6.73	29.48	2075.59	2502.97	101.54	1745.2	1457.23	1183.45	1135.2	1697.45	1674.06	1096.5	1331.57	1111.82	934.76	1378.57	1044.52	1135.2	1250.98	1066.48	995.0	1242.34	68.55	15.0	358.54	379.04	624.99	633.73	733.19	249.73	679.29	629.35	417.77	872.1	397.93	669.92
C15orf40	260.38	185.11	258.57	163.28	220.32	1191.69	595.34	441.64	525.39	368.65	748.61	514.56	656.11	785.88	551.56	928.3	536.45	684.02	1081.39	633.73	638.15	629.35	909.17	651.58	591.22	260.38	199.85	279.14	323.03	567.1	595.34	540.19	332.14	603.67	414.87	457.25	567.1	426.57	684.02
C2orf47	165.57	127.89	158.79	154.42	199.85	1233.75	708.18	162.14	444.72	529.06	1037.29	1051.79	1015.93	1225.22	995.0	1096.5	842.36	753.83	1191.69	1023.0	1001.93	1135.2	866.07	825.0	921.88	143.01	88.26	237.86	251.48	226.54	329.84	320.8	234.57	334.46	253.23	237.86	229.72	211.31	320.8
CRB3	38.12	29.91	7.51	43.94	25.91	1487.87	1583.71	143.01	674.59	738.29	1487.87	1111.82	1051.79	995.0	836.53	1151.06	921.88	1127.35	1037.29	1709.26	1088.92	1159.07	1477.58	1757.34	1216.75	199.85	50.27	432.53	275.28	457.25	483.38	607.87	376.41	728.11	684.02	435.55	551.56	409.15	759.08
DDX28	47.5	18.7	35.0	55.89	35.76	237.86	264.03	88.88	122.64	217.27	236.21	226.54	220.32	220.32	201.25	205.5	226.54	202.66	193.01	190.34	202.66	239.52	289.02	281.09	244.57	62.12	26.67	44.89	71.0	71.5	163.28	132.44	93.35	148.09	108.14	90.77	147.06	76.71	183.82
