	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.HP.A5MZ.01A.21R.A27V.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.7761.01A.11R.2170.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.D7.8575.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31
ABCC1	406.31	406.31	149.12	327.56	435.55	125.24	83.45	43.94	25.72	53.19	18.7	24.63	30.34	14.14	29.06	76.17	8.99	52.08	4.46	26.86	16.51	74.58	186.4	20.26	47.17	22.59	14.24	149.12	51.35	63.45	63.89	6.26	607.87	1015.93	583.07	493.56	753.83	1304.15	934.76	507.46	511.0	974.5	457.25
ACTBL2	5.41	5.41	0.0	8.58	3.38	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	12.83	3.66	0.59	1.33	12.36	8.71	8.13	75.11	1.95	3.38	3.0
AGRN	775.05	775.05	1594.73	4769.75	2758.13	1199.98	262.2	409.15	165.57	738.29	231.32	373.81	587.13	426.57	587.13	463.65	346.29	379.04	143.01	988.12	579.04	409.15	679.29	336.79	1277.29	551.56	423.61	1457.23	2758.13	896.64	629.35	285.03	2956.17	2434.5	1733.13	4328.55	4639.29	2555.58	1697.45	2537.92	3257.52	2193.99	2739.08
AGTPBP1	185.11	185.11	104.42	122.64	110.43	85.22	66.18	56.68	35.0	70.51	25.91	29.06	37.85	39.22	78.89	51.71	46.5	64.34	34.51	38.4	28.45	49.21	67.59	40.64	54.72	42.71	46.84	69.03	33.3	34.02	88.26	30.78	135.24	223.41	137.14	113.56	82.87	189.02	165.57	186.4	185.11	164.42	205.5
AL136115.1	5.82	5.82	8.99	16.51	11.73	5.77	1.38	5.15	0.16	0.83	1.03	0.32	1.13	0.0	2.16	5.68	4.24	1.36	2.48	1.57	1.77	2.14	4.5	3.38	4.39	7.34	2.86	1.5	7.69	7.82	2.1	1.83	17.9	40.93	31.9	23.25	16.03	26.47	28.86	46.18	35.76	19.97	14.14
APOC2	98.04	98.04	93974.69	46019.85	27553.49	197294.7	741454.2	593956.43	489177.0	805764.22	135693.24	271387.49	320506.81	469249.9	506427.83	1355129.16	1412675.8	663619.99	313910.86	402881.61	610654.84	414208.18	405683.88	932018.1	654483.73	783730.52	475800.4	434801.29	834179.46	598087.73	434801.29	234624.45	1111.82	285.03	412.0	890.44	387.02	187.71	202.66	189.02	2956.17	60.39	1015.93
ARAP3	228.13	228.13	260.38	265.87	187.71	183.82	99.43	77.79	31.9	73.03	38.95	33.3	47.84	24.81	105.89	58.3	31.22	78.34	25.72	50.63	37.32	89.51	61.25	58.71	55.49	93.35	43.63	171.45	56.28	93.35	64.34	26.47	242.88	473.41	132.44	759.08	329.84	463.65	353.59	299.25	454.09	336.79	454.09
BACE2	1304.15	1304.15	514.56	3303.0	1781.89	197.09	384.34	176.29	115.16	105.89	17.9	16.03	90.77	45.21	151.22	182.55	31.22	136.19	8.92	54.33	68.07	65.72	441.64	84.63	1199.98	70.51	29.06	825.0	961.07	146.03	140.04	24.63	2148.82	2915.45	1697.45	1059.11	2047.0	1697.45	2148.82	5403.7	1757.34	2997.45	1001.93
BICD1	102.97	102.97	53.19	395.18	295.11	59.13	43.94	36.79	6.11	44.25	4.62	0.73	20.26	33.54	77.79	21.01	6.57	1.99	1.97	14.56	11.38	17.64	12.83	2.43	82.87	4.35	8.92	16.03	41.81	23.76	4.43	8.51	395.18	221.86	186.4	1104.13	229.72	320.8	279.14	198.47	178.77	281.09	595.34
C15orf39	248.0	248.0	262.2	291.04	480.04	199.85	176.29	116.78	53.57	53.95	53.19	46.5	39.22	38.12	112.77	72.01	17.51	75.11	43.32	64.8	38.12	46.84	114.36	142.01	75.11	38.4	55.1	193.01	47.5	65.26	51.71	63.89	490.14	518.15	351.14	551.56	536.45	624.99	409.15	529.06	429.54	400.71	723.08
C16orf93	57.49	57.49	76.17	197.09	153.34	49.21	33.54	3.14	25.17	14.14	9.85	8.13	11.91	3.44	30.34	8.58	5.23	10.88	13.12	25.91	27.64	7.88	26.47	10.24	7.57	40.93	20.86	55.49	8.85	8.19	25.35	25.72	197.09	93.35	104.42	96.68	37.59	59.55	105.89	77.79	140.04	57.89	64.34
C3orf83	22.59	22.59	10.0	84.63	87.03	1.22	4.82	3.82	0.14	3.66	12.27	1.79	4.21	0.75	26.1	2.51	0.0	4.31	0.0	2.51	12.45	15.11	19.53	1.62	0.69	6.06	17.25	16.63	9.13	11.3	5.36	5.87	153.34	73.54	121.79	41.52	56.68	33.06	34.75	215.77	55.1	55.1	15.56
C5orf30	376.41	376.41	65.72	201.25	209.84	78.34	57.49	11.21	29.7	19.68	1.33	10.39	4.86	3.59	134.3	20.11	7.94	24.63	5.82	12.55	1.2	9.78	82.87	16.75	7.17	44.57	5.32	135.24	6.67	23.59	25.91	0.0	241.19	253.23	334.46	102.25	211.31	154.42	166.73	518.15	279.14	189.02	97.36
CARD14	70.01	70.01	11.04	211.31	68.55	4.9	0.08	18.97	0.1	5.73	8.51	22.75	6.26	3.29	7.69	1.6	0.3	6.84	2.84	20.86	8.06	14.35	1.53	5.5	8.45	6.73	8.71	4.24	14.03	1.83	0.68	24.99	56.28	127.89	44.89	198.47	55.49	51.71	30.12	90.77	183.82	112.77	58.3
CLIP2	114.36	114.36	289.02	273.37	346.29	104.42	76.71	41.22	19.68	35.25	27.64	26.47	49.91	12.55	40.07	39.79	3.2	36.79	15.45	11.04	22.59	53.57	50.63	53.95	59.55	39.5	32.36	178.77	29.27	24.99	59.55	28.45	454.09	525.39	460.44	379.04	638.15	684.02	514.56	1286.18	595.34	624.99	587.13
CRLF3	159.9	159.9	124.37	128.79	124.37	111.21	92.7	77.79	60.82	105.15	40.36	63.89	43.32	59.97	92.7	76.17	36.01	74.06	30.34	69.03	57.49	67.12	72.01	49.21	77.79	63.45	53.95	126.12	61.25	60.82	57.08	59.55	309.83	307.69	379.04	289.02	180.02	299.25	379.04	241.19	208.38	199.85	137.14
CTTNBP2NL	299.25	299.25	125.24	186.4	193.01	97.36	95.34	105.15	18.84	40.36	22.59	21.16	26.1	13.22	94.67	27.25	12.09	53.57	5.73	21.32	19.25	35.5	71.5	28.04	48.52	39.5	31.9	59.97	28.65	50.27	77.79	17.9	392.44	457.25	231.32	332.14	368.65	551.56	307.69	579.04	253.23	392.44	297.17
DENND3	403.5	403.5	237.86	358.54	463.65	248.0	64.8	287.01	19.53	55.89	50.63	46.18	44.89	19.53	190.34	62.12	28.45	155.5	26.86	119.26	17.64	63.0	77.79	66.65	113.56	65.26	82.87	327.56	50.63	111.99	116.78	19.82	620.67	1378.57	915.51	995.0	420.68	1175.27	813.63	723.08	624.99	748.61	368.65
EREG	1.55	1.55	3.96	860.08	8.25	0.44	38.67	170.25	0.22	0.27	0.0	0.0	0.32	0.97	0.74	1.83	0.0	1.16	0.0	3.03	0.0	0.0	0.33	6.01	2.41	0.0	0.31	1.33	1.3	7.82	1.07	0.34	37.59	22.1	2.18	33.78	61.25	59.97	5.45	34.75	13.93	38.95	55.49
FAM60A	1250.98	1250.98	329.84	5183.54	2400.97	224.97	332.14	115.16	116.78	136.19	150.17	103.69	23.59	46.5	153.34	129.69	126.12	41.81	165.57	78.89	41.22	67.12	269.6	273.37	94.67	76.17	117.6	241.19	99.43	137.14	156.59	34.26	1322.37	1225.22	1051.79	3515.68	1427.22	1322.37	872.1	1561.89	819.3	1066.48	2075.59
FAR1	825.0	825.0	130.6	75.11	470.14	90.77	80.01	88.26	22.26	71.5	11.64	14.67	24.99	32.82	50.98	46.18	16.63	59.55	9.13	48.87	16.63	52.45	57.49	22.59	58.3	42.11	36.01	76.71	32.82	35.0	50.98	15.11	890.44	1369.04	866.07	981.29	547.75	808.0	693.58	3257.52	961.07	1104.13	525.39
FAR2	156.59	156.59	75.64	620.67	237.86	72.52	104.42	34.02	17.77	22.59	40.07	71.5	20.26	20.11	70.01	57.49	12.83	67.12	9.2	49.91	1.39	138.1	23.93	57.08	66.18	40.93	27.05	52.45	77.25	84.63	32.59	30.34	283.05	325.29	175.07	236.21	115.97	325.29	183.82	152.28	143.01	248.0	281.09
