	TCGA.XF.A9SM.01A.11R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VS.A8EB.01A.11R.A36F.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.AACF.01A.11R.A41C.07	TCGA.77.7338.01A.11R.2045.07	TCGA.34.2608.01A.02R.0851.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
ANXA7	2502.97	2485.67	4802.93	2240.11	3235.01	1594.73	2664.15	4450.27	2018.8	2193.99	3901.01	4181.07	1639.59	1487.87	1066.48
AP3M1	289.02	551.56	441.64	353.59	447.82	279.14	708.18	693.58	152.28	226.54	921.88	575.03	373.81	157.68	229.72
ASXL2	79.45	199.85	119.26	74.06	127.0	63.45	438.59	309.83	20.71	23.93	258.57	129.69	30.56	38.4	48.87
BCL7A	176.29	223.41	239.52	176.29	177.53	237.86	381.68	314.17	80.01	54.33	236.21	283.05	158.79	45.21	131.51
BTBD8	4.21	7.57	1.89	4.39	5.77	4.46	24.11	14.89	0.0	1.39	15.91	5.06	1.0	0.77	0.0
C12orf36	0.92	10808.41	454.09	0.0	217.27	0.54	127.0	69.03	0.0	0.0	2.03	8.51	0.72	1.66	1.85
CACNA2D3	2.14	199.85	6381.92	3.53	29.06	2.97	40.07	52.82	0.37	1.39	71.0	74.58	4.17	47.5	1.6
CHD6	163.28	182.55	215.77	86.43	258.57	82.87	1096.5	376.41	80.01	49.21	279.14	209.84	112.77	92.7	109.66
CLIP4	239.52	2997.45	1639.59	293.07	325.29	346.29	854.13	435.55	6.36	9.48	796.86	595.34	19.25	112.77	94.67
CMIP	718.08	1950.0	1477.58	928.3	1286.18	579.04	2555.58	1540.37	165.57	107.38	1519.15	1331.57	312.0	147.06	151.22
CYP2S1	64.34	15934.98	1844.76	96.68	728.11	24.63	624.99	2537.92	1.95	6.94	1030.12	836.53	12.36	59.97	205.5
DBT	63.0	127.89	161.02	72.01	131.51	70.01	208.38	226.54	56.68	48.52	172.65	101.54	46.84	47.84	47.84
DHRS9	18.56	18560.17	3372.43	1.62	105.89	4.35	48.87	389.72	16.15	92.05	262.2	323.03	0.0	18.16	23.25
DIP2B	199.85	1561.89	575.03	214.27	297.17	150.17	1277.29	684.02	67.12	86.43	988.12	470.14	106.63	76.71	78.34
DNAJC27	13.83	21.16	60.39	28.65	51.71	19.25	102.25	30.56	13.62	13.03	68.07	40.36	25.91	16.88	9.85
FAM160A1	34.02	191.67	109.66	47.17	155.5	36.27	348.71	318.57	6.11	3.03	113.56	108.9	25.54	7.63	7.57
FAM3D	0.66	10883.59	29327.18	0.83	35.0	6.36	159.9	2271.4	0.0	0.0	36.79	195.72	4.39	8.78	1.2
FAM45A	500.46	3690.52	1651.0	638.15	656.11	595.34	1066.48	1250.98	743.43	493.56	1250.98	915.51	480.04	450.94	429.54
FBXO3	397.93	2875.3	947.83	332.14	500.46	381.68	1259.69	748.61	269.6	303.44	638.15	633.73	267.73	212.78	102.25
FOXN2	111.21	72.52	67.12	69.52	128.79	98.04	476.71	165.57	39.79	39.22	417.77	180.02	35.25	16.63	49.56
GAN	16.15	346.29	256.78	37.59	73.54	10.71	229.72	95.34	4.74	5.59	157.68	52.82	11.64	9.34	11.13
GCLC	348.71	7081.29	6164.49	253.23	764.36	256.78	5441.3	1617.0	295.11	438.59	4704.07	2209.26	116.78	221.86	223.41
