	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ABHD12B	836.53	7.17	4.7	34.51	57.49	13.03	11.3	1709.26	3.47	497.0	18.03	2119.22	3.79	0.0	0.04	62.56	117.6	17.64	13.22	166.73	53.57	31.22	36.79	6.52	9.78	0.43	19.68	54.72	36.27	33.54	102.25	2.71	5.45	15.8	15.0	2.56
AFF3	1225.22	4181.07	3467.27	2271.4	1295.13	559.28	1340.84	1844.76	39.5	5219.6	3419.52	2224.63	17.38	0.0	0.26	61.68	16.39	191.67	21.63	66.65	57.08	102.25	35.76	76.71	11.73	291.04	103.69	332.14	197.09	50.27	49.21	314.17	45.85	612.11	72.01	116.78
AGPAT6	10959.3	8191.0	7966.99	2555.58	4543.8	2591.27	2367.9	17317.18	2287.2	10512.82	12502.12	4543.8	1378.57	0.0	1.25	1199.98	1175.27	2627.46	1757.34	1662.49	1923.14	1369.04	2335.28	3467.27	2645.74	2287.2	2739.08	2148.82	1119.56	1183.45	2400.97	1936.53	2591.27	2664.15	1447.15	1781.89
AKR7A3	1127.35	441.64	463.65	7130.55	848.22	80.57	486.75	1628.26	231.32	22.75	532.74	5041.77	68.07	0.0	0.69	29.7	9.78	31.22	7.69	52.08	36.53	4.7	2.2	66.18	3.44	2.73	6.67	6.31	27.84	5.41	11.3	1.41	2.41	21.32	11.82	6.01
ANKRD26	241.19	118.43	426.57	379.04	151.22	128.79	106.63	279.14	163.28	88.26	202.66	178.77	55.49	0.0	0.3	30.56	25.17	61.25	44.25	55.1	78.34	21.94	37.32	57.08	8.99	54.33	20.86	41.52	57.08	16.51	43.32	33.06	9.27	31.67	36.27	33.06
ANKRD40	1259.69	915.51	884.29	607.87	583.07	759.08	728.11	2384.37	454.09	629.35	718.08	1583.71	476.71	395.18	3614.55	518.15	563.18	647.07	412.0	703.28	587.13	521.76	329.84	397.93	334.46	417.77	454.09	665.29	575.03	909.17	518.15	688.78	603.67	309.83	540.19	483.38
APITD1-CORT	61.68	32.36	13.62	43.02	40.07	14.67	2.81	60.39	29.06	18.16	40.07	97.36	17.51	0.0	0.0	14.45	16.15	26.67	17.77	30.34	34.02	12.0	17.64	24.63	4.66	6.31	11.47	19.25	12.64	0.0	28.24	7.0	8.32	16.75	12.55	12.45
APLP1	2133.97	836.53	1721.16	6983.79	3564.78	116.78	426.57	3372.43	480.04	7032.37	4239.45	358.54	22.43	0.0	0.42	37.32	85.22	209.84	251.48	466.88	74.58	612.11	373.81	264.03	205.5	52.08	69.52	708.18	177.53	346.29	172.65	323.03	205.5	98.73	103.69	146.03
ASTN2	293.07	450.94	1023.0	271.48	2224.63	303.44	595.34	764.36	361.04	896.64	291.04	647.07	37.05	0.0	0.17	80.57	19.97	175.07	81.71	253.23	165.57	29.27	47.5	52.45	11.55	20.71	62.12	68.55	68.07	16.03	16.15	27.44	43.02	33.3	9.2	51.71
BAI2	277.2	988.12	320.8	1397.83	497.0	303.44	126.12	836.53	579.04	368.65	232.94	743.43	40.64	0.0	0.26	68.07	55.49	90.77	145.02	87.03	151.22	36.79	116.78	148.09	71.5	19.97	34.51	82.29	63.89	16.88	79.45	32.59	33.06	14.35	36.27	51.71
