	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.DD.AAE2.01A.11R.A41C.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.A4NI.01A.11R.A27V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	GTEX.13NZ9.1126.SM.5MR37
AC226150.4	25.35	85.82	23.08	71.5	48.18	87.03	152.28	21.78	95.34	74.58	74.06	55.89	40.64	31.22	114.36	19.25	45.53	8.13	47.84	20.26	14.45	22.59	71.5	37.59	24.46	60.82	21.01	38.12	22.43	30.12	14.03	37.32	20.11	18.56	17.9	11.82	18.29	32.59	55.49	61.25	35.0
AKAP8L	674.59	1073.91	896.64	1199.98	1242.34	1286.18	2796.65	1008.9	1781.89	1225.22	2178.83	2537.92	921.88	1662.49	1991.0	1151.06	791.35	414.87	387.02	1225.22	314.17	490.14	486.75	703.28	351.14	819.3	753.83	860.08	633.73	466.88	366.09	785.88	490.14	651.58	603.67	307.69	392.44	384.34	2287.2	3303.0	2018.8
APBA3	368.65	521.76	429.54	371.22	293.07	403.5	346.29	361.04	612.11	476.71	454.09	660.68	532.74	476.71	638.15	423.61	363.56	212.78	293.07	432.53	145.02	181.28	303.44	228.13	258.57	353.59	314.17	361.04	314.17	293.07	228.13	258.57	297.17	318.57	241.19	234.57	172.65	248.0	547.75	387.02	679.29
APOE	120609.84	139508.13	110216.97	158046.64	687022.54	144427.91	141455.6	138544.47	231394.29	187950.38	200048.85	191899.64	462789.59	431797.89	142439.51	154794.07	99333.0	186652.11	513497.31	863596.77	34396.12	47642.77	1078054.48	696613.03	726195.27	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	783730.52	2636147.11	964885.69	1442359.14	619179.28	57051.4	450134.56	47642.77	48982.22	14361.31
ARHGEF11	409.15	579.04	237.86	493.56	444.72	595.34	769.69	297.17	525.39	379.04	511.0	884.29	229.72	301.33	738.29	511.0	260.38	90.14	143.01	260.38	60.82	75.64	105.89	91.41	131.51	226.54	136.19	152.28	130.6	187.71	155.5	178.77	71.0	113.56	153.34	42.41	43.63	144.01	316.37	470.14	532.74
AVPR2	7.28	3.41	5.41	2.89	13.83	4.78	4.78	7.75	7.63	3.82	20.41	0.0	4.7	3.76	6.01	5.02	4.31	2.16	0.97	0.0	1.03	2.18	2.25	2.05	1.73	2.32	1.43	0.87	1.58	1.58	1.71	3.38	0.0	4.35	4.03	1.08	1.45	5.02	37.05	67.59	54.33
CBLN1	30.56	108.14	84.04	44.89	12.09	55.49	23.42	71.5	44.89	100.13	180.02	15.22	51.71	34.26	142.01	63.45	90.14	20.86	6.26	5.06	12.93	12.18	6.26	19.39	10.71	57.49	4.98	8.99	6.73	18.7	9.34	0.0	12.83	17.25	6.52	7.82	7.94	4.21	500.46	85.82	55.1
CCDC130	400.71	642.59	521.76	551.56	915.51	954.43	1081.39	587.13	1073.91	785.88	954.43	1268.46	665.29	848.22	896.64	642.59	567.1	289.02	353.59	583.07	176.29	155.5	368.65	336.79	221.86	480.04	336.79	366.09	356.05	389.72	181.28	371.22	343.89	346.29	387.02	193.01	279.14	189.02	1199.98	1437.15	1350.18
CDAN1	145.02	301.33	195.72	301.33	291.04	275.28	248.0	156.59	232.94	260.38	202.66	444.72	163.28	204.07	387.02	251.48	163.28	70.01	117.6	161.02	65.72	72.52	110.43	109.66	96.01	172.65	124.37	105.15	100.13	171.45	98.73	148.09	105.15	127.0	75.11	68.55	50.98	94.01	307.69	327.56	329.84
CIRBP	6250.56	6792.79	6426.31	6121.9	6983.79	6337.83	6983.79	5711.87	7642.41	7485.11	7280.4	11504.21	4010.71	6516.03	7642.41	7032.37	5366.37	2796.65	2502.97	3982.99	2193.99	3212.66	3395.89	5479.15	2895.31	6037.61	3467.27	3614.55	4607.24	4972.34	2502.97	5041.77	2835.7	4481.23	2701.35	3081.75	4066.71	921.88	13968.57	14971.21	13306.94
