	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07
ABHD13	120.94	143.01	100.83	129.69	102.25	133.36	84.63	108.9	156.59	151.22	146.03	74.58	131.51	116.78	90.14	141.02	108.14	131.51	190.34	102.25	80.57	63.0	82.87	137.14	122.64	132.44	94.01	100.83	90.77	75.64	66.18	59.55	44.25	69.52	50.27	81.14	57.89	59.13	49.91	38.95	33.78	58.3	39.22	43.02
ACER2	110.43	102.97	56.68	253.23	50.98	173.85	43.94	256.78	178.77	49.56	155.5	87.65	48.52	64.8	38.95	470.14	37.32	48.52	186.4	31.67	55.1	78.89	78.34	107.38	62.12	273.37	108.9	35.5	55.49	9.78	2.92	2.63	2.86	3.14	12.93	17.77	2.97	16.03	9.48	9.85	11.82	2.53	3.41	3.03
ANKRD50	301.33	1259.69	215.77	848.22	150.17	208.38	169.07	314.17	988.12	194.36	175.07	163.28	896.64	348.71	239.52	490.14	212.78	348.71	295.11	74.58	193.01	147.06	432.53	295.11	181.28	149.12	412.0	242.88	77.25	48.18	26.67	37.05	13.22	28.24	28.86	30.56	33.3	30.78	24.99	25.72	42.71	12.36	18.56	35.5
ATRIP	273.37	244.57	514.56	295.11	303.44	376.41	414.87	358.54	591.22	269.6	307.69	376.41	334.46	236.21	341.51	232.94	185.11	231.32	293.07	403.5	182.55	490.14	215.77	426.57	395.18	603.67	392.44	325.29	249.73	53.57	70.51	120.1	129.69	86.43	103.69	109.66	198.47	120.1	98.73	139.07	175.07	158.79	151.22	123.5
BOD1L1	514.56	381.68	450.94	555.41	242.88	426.57	305.55	500.46	511.0	293.07	708.18	305.55	490.14	518.15	406.31	559.28	295.11	339.14	547.75	226.54	379.04	503.95	412.0	490.14	376.41	476.71	551.56	316.37	366.09	220.32	108.14	89.51	52.08	92.05	120.1	106.63	148.09	117.6	96.01	78.89	142.01	59.55	163.28	221.86
COX6C	223512.12	256748.15	331809.5	194578.47	209994.66	211455.3	355624.68	265802.39	195931.88	263966.36	242898.5	228208.61	186652.11	391864.76	425853.18	125731.67	217400.14	320506.81	269512.87	189257.69	253213.41	437825.58	527933.71	197294.7	184082.4	286861.53	223512.12	492579.5	204252.32	16960.78	32767.0	59887.86	19892.37	39785.74	37639.55	38430.46	44452.21	41475.31	59063.35	19214.73	55877.28	46019.85	37121.34	55491.3
CXorf56	327.56	236.21	447.82	595.34	438.59	293.07	432.53	363.56	555.41	246.28	514.56	309.83	525.39	275.28	444.72	403.5	281.09	521.76	373.81	406.31	441.64	392.44	303.44	507.46	466.88	363.56	358.54	463.65	264.03	202.66	132.44	287.01	224.97	178.77	145.02	255.0	173.85	224.97	158.79	147.06	170.25	146.03	190.34	141.02
DENND4C	540.19	497.0	264.03	559.28	137.14	563.18	258.57	414.87	329.84	267.73	429.54	389.72	395.18	329.84	291.04	660.68	246.28	206.94	718.08	285.03	301.33	265.87	199.85	457.25	361.04	423.61	665.29	229.72	269.6	82.87	72.01	60.82	41.81	53.95	74.58	86.43	97.36	115.97	70.01	53.19	111.21	40.64	42.11	55.49
DYNC1I2	2335.28	2240.11	1378.57	2209.26	1844.76	1662.49	1977.24	1745.2	2997.45	1709.26	1572.76	1605.83	2367.9	2061.24	1225.22	3039.3	1467.37	2417.67	2224.63	1594.73	1030.12	1769.57	2178.83	1605.83	2104.58	2434.5	2468.49	1388.16	1088.92	669.92	559.28	444.72	387.02	555.41	656.11	563.18	660.68	497.0	571.05	563.18	669.92	483.38	651.58	529.06
ELF2	559.28	813.63	563.18	599.49	473.41	536.45	503.95	718.08	514.56	450.94	612.11	423.61	674.59	543.96	480.04	651.58	301.33	466.88	890.44	358.54	343.89	567.1	612.11	536.45	559.28	638.15	688.78	1175.27	417.77	301.33	211.31	141.02	129.69	146.03	120.1	202.66	209.84	164.42	161.02	120.94	232.94	134.3	114.36	241.19
FOCAD	312.0	454.09	314.17	444.72	147.06	172.65	229.72	368.65	387.02	202.66	283.05	389.72	371.22	273.37	285.03	521.76	193.01	244.57	381.68	267.73	249.73	137.14	191.67	236.21	366.09	314.17	420.68	180.02	209.84	144.01	73.03	105.89	43.94	84.04	118.43	104.42	154.42	77.79	121.79	108.9	161.02	133.36	128.79	58.3
FRMD6	1331.57	1259.69	341.51	3742.05	299.25	279.14	303.44	813.63	363.56	595.34	373.81	320.8	202.66	444.72	447.82	1250.98	176.29	813.63	460.44	323.03	128.79	242.88	387.02	291.04	571.05	503.95	660.68	177.53	189.02	49.91	35.0	54.72	20.11	80.01	27.25	59.13	57.49	55.89	41.52	26.28	40.64	35.5	76.71	66.65
FZD7	395.18	195.72	92.7	450.94	137.14	146.03	76.17	265.87	246.28	202.66	234.57	189.02	748.61	118.43	85.82	1030.12	65.72	358.54	318.57	91.41	23.93	145.02	201.25	74.06	579.04	1191.69	476.71	89.51	157.68	14.03	9.56	27.64	1.85	35.0	9.7	19.39	24.63	13.42	9.13	1.71	16.63	15.56	18.97	1.73
GPR27	77.79	148.09	147.06	161.02	165.57	217.27	114.36	295.11	190.34	218.79	341.51	198.47	163.28	120.1	19.82	194.36	42.41	353.59	165.57	111.21	0.65	373.81	190.34	88.88	143.01	395.18	316.37	113.56	277.2	39.22	0.0	2.92	0.0	0.88	0.92	1.62	6.06	0.0	1.33	0.0	38.4	0.43	66.65	0.0
HAUS6	180.02	327.56	144.01	249.73	84.04	189.02	153.34	115.16	107.38	126.12	183.82	161.02	232.94	133.36	100.13	400.71	102.25	88.26	414.87	88.88	106.63	110.43	66.65	199.85	126.12	158.79	305.55	128.79	106.63	33.54	45.85	40.07	18.97	29.48	48.52	40.36	85.22	36.27	38.12	42.41	57.89	45.53	34.51	35.0
KDM4C	316.37	392.44	320.8	204.07	105.15	133.36	152.28	217.27	217.27	166.73	232.94	169.07	249.73	197.09	209.84	224.97	100.13	143.01	295.11	161.02	161.02	109.66	131.51	318.57	215.77	267.73	236.21	205.5	151.22	118.43	98.04	86.43	60.39	64.8	112.77	124.37	102.97	79.45	106.63	78.34	151.22	90.77	90.14	78.34
KIAA1432	236.21	177.53	115.16	185.11	71.0	108.9	138.1	183.82	113.56	139.07	132.44	197.09	116.78	130.6	155.5	279.14	96.01	143.01	150.17	100.13	115.16	106.63	109.66	134.3	173.85	153.34	172.65	84.63	117.6	78.89	75.11	45.53	40.07	41.22	51.35	60.82	68.07	46.18	49.91	46.18	74.58	29.48	53.19	43.63
KIAA2026	262.2	314.17	152.28	366.09	94.67	112.77	167.9	181.28	231.32	147.06	229.72	133.36	242.88	149.12	165.57	392.44	143.01	151.22	470.14	117.6	135.24	155.5	125.24	220.32	151.22	314.17	381.68	206.94	135.24	44.89	52.08	46.5	36.79	45.21	29.91	52.08	51.35	38.12	47.5	34.02	57.08	28.45	35.25	37.32
KIF9	361.04	339.14	708.18	432.53	291.04	381.68	713.11	295.11	738.29	656.11	974.5	642.59	583.07	395.18	660.68	283.05	193.01	334.46	435.55	813.63	638.15	258.57	297.17	483.38	371.22	381.68	273.37	361.04	329.84	78.89	161.02	175.07	140.04	153.34	169.07	86.43	108.9	118.43	93.35	242.88	102.25	241.19	218.79	116.78
KLHL9	480.04	890.44	363.56	629.35	59.55	237.86	320.8	470.14	358.54	299.25	490.14	327.56	450.94	356.05	305.55	775.05	329.84	363.56	1111.82	267.73	267.73	277.2	314.17	438.59	423.61	579.04	271.48	318.57	251.48	110.43	78.34	82.29	46.18	74.06	71.0	92.7	111.99	75.64	62.56	74.58	162.14	53.57	73.03	54.72
MARCH7	1350.18	1397.83	813.63	1268.46	764.36	1359.57	713.11	1159.07	1225.22	854.13	764.36	954.43	1216.75	1151.06	848.22	2047.0	733.19	1233.75	1151.06	954.43	854.13	941.27	1023.0	599.49	1268.46	1697.45	1427.22	688.78	595.34	518.15	409.15	371.22	281.09	551.56	403.5	463.65	417.77	265.87	204.07	295.11	432.53	187.71	384.34	454.09
