	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13FLV.1126.SM.5J2NO	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.5375.01A.01R.1628.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
ACOT13	497.0	559.28	220.32	253.23	218.79	271.48	223.41	148.09	116.78	164.42	1259.69	902.89	356.05	414.87	1467.37	5076.84	733.19	0.33	688.78	1350.18	967.76	909.17	1340.84	1340.84	1350.18	633.73	102.97	193.01	158.79	376.41	255.0	305.55	279.14
ADSL	483.38	341.51	934.76	915.51	679.29	915.51	718.08	420.68	525.39	348.71	3257.52	6207.38	915.51	1081.39	2004.85	1487.87	1216.75	231.32	1417.35	2193.99	2303.12	2777.33	2451.44	2451.44	2573.36	1685.71	679.29	813.63	753.83	830.75	748.61	563.18	579.04
AP1S1	1037.29	1437.15	995.0	1216.75	974.5	1359.57	688.78	1037.29	1059.11	703.28	3589.58	1794.29	1388.16	1617.0	2271.4	3039.3	1674.06	0.28	2240.11	4903.87	2915.45	11584.24	3768.09	3768.09	3901.01	2400.97	1242.34	1268.46	1769.57	1870.53	1135.2	334.46	366.09
ASF1A	346.29	547.75	176.29	215.77	201.25	150.17	159.9	175.07	156.59	84.63	848.22	490.14	320.8	387.02	819.3	941.27	457.25	0.22	368.65	769.69	551.56	961.07	624.99	624.99	486.75	769.69	273.37	329.84	185.11	339.14	595.34	271.48	265.87
ATP5J2	14361.31	20737.16	14663.09	17437.64	15607.02	16727.26	15075.35	12244.81	11035.54	9808.75	39785.74	35363.15	17317.18	33688.23	49666.0	58655.36	18431.96	1.06	21617.82	49666.0	51062.33	65082.31	34396.12	34396.12	57448.23	40621.74	28328.16	18950.18	19214.73	19348.38	22535.88	11827.67	9088.59
BOLA2B	1605.83	1936.53	2367.9	2255.7	1806.78	2609.3	1242.34	902.89	1508.65	1151.06	6792.79	14262.1	3349.13	3564.78	4937.99	9409.14	5292.48	0.3	4239.45	7382.04	6983.79	13776.25	8191.0	8191.0	7280.4	5711.87	2701.35	3018.3	3124.78	2915.45	2004.85	1407.55	988.12
BUD31	2520.38	3794.3	2148.82	3190.46	2148.82	2520.38	1857.6	1909.85	1388.16	1594.73	4869.99	3515.68	2701.35	4239.45	8963.45	10585.95	3742.05	1.01	3349.13	9409.14	8363.13	10014.87	4802.93	4802.93	7803.01	5255.91	2895.31	2319.15	2664.15	2384.37	3257.52	1529.73	1242.34
C12orf57	785.88	1685.71	4010.71	3060.45	3325.99	5831.91	3564.78	2335.28	2720.15	3982.99	6381.92	10733.74	3419.52	6699.25	34158.52	15499.21	13306.94	1.1	6561.36	16727.26	17681.08	10154.69	6792.79	6792.79	25530.66	8191.0	1350.18	1923.14	2224.63	1844.76	3515.68	3257.52	3303.0
C14orf166	3060.45	3257.52	3212.66	3901.01	3081.75	3540.14	3212.66	1857.6	2255.7	1950.0	5479.15	6887.62	3716.2	3901.01	6652.97	8363.13	4802.93	1.07	3768.09	6381.92	4123.49	6294.04	3794.3	3794.3	5076.84	7032.37	2915.45	3235.01	2758.13	3060.45	3419.52	2997.45	2895.31
CALM2	9151.82	7966.99	9409.14	9279.58	5366.37	11112.3	6079.61	5517.27	5751.61	8479.89	26431.04	48307.85	8658.09	13492.72	53230.77	30151.71	20170.07	825.0	22072.07	44145.15	50011.46	19482.97	41763.8	41763.8	40062.48	14561.8	5954.47	7130.55	4769.75	6426.31	5441.3	4704.07	6250.56
