	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
ABCB6	808.0	1427.22	392.44	351.14	171.45	246.28	368.65	275.28	395.18	417.77	444.72	309.83	320.8	420.68	237.86	197.09	171.45	444.72	301.33	343.89	373.81	279.14	211.31	698.41	351.14	688.78	480.04	309.83	738.29	371.22	457.25	327.56	507.46	248.0	353.59	381.68	312.0	356.05	400.71	325.29	329.84	447.82	327.56	281.09	417.77	299.25	325.29	277.2	463.65	318.57	265.87	309.83	206.94	320.8	264.03	339.14	638.15	403.5	305.55	341.51	189.02	183.82	139.07	186.4	309.83	698.41	389.72	638.15	476.71	248.0	191.67	339.14	406.31	255.0	376.41	309.83	417.77	218.79	81.71	612.11	260.38	490.14	316.37	339.14	371.22	339.14	206.94	429.54	423.61	181.28	255.0	656.11	236.21	279.14	329.84	275.28	199.85	371.22	269.6	435.55	529.06	373.81	476.71	384.34	368.65	181.28	177.53	248.0	358.54	563.18	327.56	145.02	480.04	155.5	764.36	780.44	842.36	587.13	389.72	629.35	1111.82	1378.57	693.58	583.07	656.11	403.5	368.65	470.14	718.08	417.77	444.72	334.46	947.83	460.44	603.67	890.44	669.92	629.35	525.39	656.11	248.0	521.76	1378.57	785.88	599.49	1015.93	703.28	507.46	314.17	775.05	591.22	656.11	791.35	429.54	543.96	251.48	114.36	447.82	808.0	559.28	507.46	713.11	791.35	819.3	728.11	490.14	607.87	318.57	273.37	490.14	759.08	301.33	575.03	244.57	221.86	836.53	1225.22	825.0	1104.13	819.3	660.68	403.5	246.28	339.14	253.23	1733.13	309.83	255.0	361.04	164.42	262.2	228.13	258.57	201.25	186.4	72.52	162.14	239.52	642.59
ABCC10	209.84	206.94	373.81	256.78	206.94	348.71	466.88	371.22	532.74	802.41	547.75	397.93	343.89	642.59	264.03	277.2	450.94	412.0	275.28	299.25	316.37	283.05	363.56	285.03	346.29	665.29	612.11	297.17	454.09	269.6	441.64	460.44	612.11	334.46	368.65	579.04	170.25	291.04	409.15	232.94	426.57	629.35	251.48	218.79	309.83	457.25	423.61	285.03	547.75	269.6	332.14	258.57	229.72	406.31	301.33	334.46	728.11	470.14	441.64	435.55	285.03	303.44	358.54	371.22	309.83	723.08	486.75	466.88	397.93	361.04	244.57	329.84	339.14	221.86	397.93	139.07	262.2	432.53	518.15	718.08	285.03	595.34	409.15	551.56	669.92	417.77	156.59	441.64	642.59	329.84	457.25	389.72	287.01	368.65	147.06	224.97	285.03	265.87	253.23	470.14	738.29	358.54	339.14	295.11	389.72	281.09	384.34	166.73	525.39	521.76	237.86	307.69	651.58	463.65	429.54	444.72	368.65	607.87	693.58	341.51	656.11	460.44	759.08	351.14	679.29	486.75	500.46	470.14	698.41	480.04	265.87	540.19	785.88	753.83	567.1	842.36	629.35	521.76	532.74	547.75	497.0	769.69	791.35	748.61	642.59	743.43	909.17	447.82	470.14	733.19	454.09	738.29	351.14	518.15	733.19	423.61	214.27	591.22	819.3	665.29	497.0	878.17	698.41	595.34	651.58	406.31	764.36	447.82	476.71	587.13	373.81	423.61	961.07	327.56	361.04	218.79	507.46	277.2	314.17	305.55	271.48	327.56	260.38	332.14	361.04	195.72	158.79	186.4	587.13	397.93	463.65	371.22	348.71	229.72	226.54	193.01	212.78	271.48	409.15
AC010327.2	21.63	11.82	16.27	10.47	15.0	14.78	28.04	20.26	18.29	20.71	15.45	14.45	14.14	26.47	15.45	8.45	21.16	15.11	6.52	5.92	11.3	21.32	13.72	20.11	18.56	30.12	20.56	0.99	15.68	13.93	13.72	13.22	21.16	6.67	11.73	26.28	6.57	16.15	12.0	5.96	9.7	19.82	11.82	13.72	25.35	17.64	12.09	28.86	16.51	10.31	18.03	9.34	18.43	14.45	10.31	23.08	13.52	19.11	16.39	16.27	12.83	14.67	16.88	26.86	12.55	15.68	20.86	22.75	11.21	23.42	5.77	8.13	13.32	7.57	9.41	9.63	23.25	32.36	2.1	29.06	10.88	19.39	16.15	22.43	22.43	7.82	19.39	28.86	17.77	13.32	13.32	15.8	23.59	21.47	8.65	12.74	31.45	6.06	9.27	14.67	12.18	8.65	7.17	22.1	10.16	3.72	25.35	10.24	16.75	16.15	16.51	11.64	24.11	53.19	19.82	19.97	64.34	40.36	56.68	51.35	63.45	74.58	57.49	25.35	57.89	56.68	37.05	31.22	80.57	34.75	32.13	44.25	60.82	57.89	59.97	72.01	54.33	26.47	55.89	37.32	42.41	58.71	61.25	76.17	49.21	62.56	56.68	45.85	46.18	46.5	42.71	67.12	34.26	35.0	47.5	49.21	43.32	60.39	54.72	56.68	45.53	71.0	53.19	48.87	56.28	31.0	43.63	40.64	39.22	52.82	53.95	65.72	66.18	46.5	20.86	6.16	25.54	5.23	19.82	37.32	16.27	36.27	0.0	0.0	38.4	5.54	33.06	14.35	0.0	0.0	0.0	12.09	0.0	12.64	13.52	0.0	2.92	0.0	21.94
ACRC	2.56	6.94	10.47	18.03	10.55	22.92	47.17	16.27	27.05	33.3	29.48	10.0	13.32	31.9	21.78	13.62	18.84	35.76	16.27	19.53	23.93	24.46	18.97	10.47	15.56	25.91	18.7	8.25	44.89	7.11	13.42	16.03	35.5	14.14	19.68	17.51	16.15	11.47	7.75	13.72	19.68	33.3	11.21	20.56	13.83	26.47	29.91	13.52	38.95	9.34	22.26	4.43	21.16	13.93	19.11	17.51	30.78	11.82	14.78	34.02	10.31	14.45	15.22	20.26	12.83	46.5	16.03	21.01	21.78	10.88	10.71	11.64	25.91	26.28	28.04	8.13	15.22	28.04	12.27	53.57	13.72	18.16	21.94	23.93	28.86	9.41	13.12	34.51	23.93	30.34	14.14	37.59	21.01	10.96	24.81	16.39	15.8	21.01	10.71	27.44	43.02	16.03	6.89	29.48	19.53	8.06	9.48	13.42	14.35	25.17	14.45	17.13	57.49	26.67	64.8	13.03	20.26	41.22	46.84	43.94	23.25	45.85	40.64	27.84	29.91	19.68	18.16	16.51	87.65	49.91	26.28	30.56	75.64	33.54	31.22	70.51	68.55	40.93	12.36	28.45	33.06	74.58	98.04	77.25	100.13	71.0	60.39	16.27	17.25	47.84	18.56	49.91	6.67	23.93	71.0	16.88	9.78	56.68	54.33	35.25	46.84	96.68	43.32	170.25	61.25	14.45	129.69	32.13	15.11	36.79	24.28	44.25	73.03	21.78	10.08	1.89	10.55	3.56	5.68	7.28	10.31	16.88	8.51	23.76	15.11	11.82	15.91	6.21	13.52	7.63	8.19	6.31	24.63	7.51	9.78	6.84	22.75	12.27	12.36
ACSS1	90.77	327.56	825.0	591.22	748.61	733.19	718.08	384.34	656.11	1119.56	842.36	500.46	688.78	1167.14	591.22	575.03	476.71	872.1	647.07	293.07	738.29	551.56	872.1	555.41	571.05	848.22	954.43	563.18	928.3	698.41	748.61	587.13	1268.46	400.71	785.88	764.36	389.72	669.92	403.5	529.06	417.77	1119.56	612.11	447.82	454.09	981.29	872.1	343.89	629.35	684.02	693.58	480.04	447.82	813.63	684.02	642.59	728.11	934.76	679.29	1594.73	808.0	417.77	693.58	1127.35	438.59	1304.15	759.08	575.03	825.0	1059.11	511.0	674.59	684.02	273.37	854.13	281.09	555.41	521.76	612.11	2104.58	547.75	1225.22	616.37	551.56	1059.11	507.46	273.37	642.59	1233.75	244.57	769.69	403.5	343.89	713.11	532.74	466.88	269.6	251.48	454.09	1081.39	703.28	525.39	780.44	273.37	848.22	438.59	679.29	228.13	791.35	764.36	830.75	902.89	1295.13	759.08	872.1	713.11	1175.27	878.17	896.64	679.29	1127.35	1175.27	813.63	660.68	1037.29	947.83	743.43	457.25	1551.09	579.04	438.59	1208.34	872.1	1135.2	684.02	1447.15	2796.65	1159.07	890.44	728.11	902.89	902.89	1191.69	1175.27	1059.11	825.0	1407.55	896.64	1191.69	1081.39	1015.93	1044.52	878.17	1135.2	1322.37	753.83	1119.56	954.43	1350.18	947.83	896.64	1151.06	1159.07	669.92	1175.27	813.63	967.76	947.83	890.44	902.89	947.83	1051.79	1397.83	921.88	1477.58	432.53	1081.39	733.19	988.12	743.43	417.77	514.56	403.5	536.45	579.04	194.36	503.95	149.12	1529.73	1350.18	2061.24	2287.2	1467.37	854.13	713.11	785.88	1487.87	1286.18	49.91
ACYP1	147.06	194.36	426.57	287.01	318.57	454.09	281.09	293.07	368.65	457.25	353.59	454.09	249.73	379.04	236.21	303.44	473.41	358.54	295.11	217.27	275.28	291.04	389.72	571.05	320.8	536.45	379.04	318.57	371.22	185.11	403.5	329.84	316.37	242.88	229.72	454.09	301.33	236.21	244.57	323.03	289.02	543.96	336.79	158.79	403.5	295.11	356.05	199.85	450.94	417.77	241.19	351.14	135.24	358.54	371.22	334.46	423.61	379.04	406.31	373.81	397.93	237.86	599.49	450.94	253.23	381.68	329.84	314.17	460.44	438.59	181.28	339.14	244.57	156.59	397.93	299.25	205.5	540.19	361.04	483.38	226.54	387.02	309.83	521.76	521.76	420.68	293.07	486.75	575.03	258.57	579.04	532.74	190.34	466.88	293.07	190.34	187.71	220.32	215.77	373.81	669.92	264.03	186.4	134.3	348.71	242.88	379.04	148.09	417.77	480.04	309.83	392.44	432.53	463.65	511.0	669.92	171.45	457.25	547.75	339.14	273.37	341.51	368.65	205.5	447.82	441.64	414.87	273.37	567.1	395.18	189.02	624.99	454.09	529.06	460.44	591.22	400.71	403.5	476.71	651.58	486.75	620.67	521.76	529.06	595.34	316.37	603.67	417.77	432.53	486.75	334.46	454.09	490.14	684.02	575.03	348.71	285.03	616.37	363.56	607.87	525.39	536.45	620.67	490.14	555.41	318.57	503.95	500.46	301.33	547.75	297.17	454.09	514.56	249.73	220.32	318.57	291.04	214.27	143.01	125.24	161.02	339.14	189.02	351.14	518.15	444.72	205.5	165.57	376.41	84.63	131.51	301.33	194.36	190.34	223.41	82.87	147.06	215.77	232.94
ADCY10	4.46	6.11	12.27	4.24	3.69	12.18	6.26	3.59	13.83	19.68	3.96	9.06	3.79	13.93	0.88	0.95	10.24	12.55	6.89	3.86	5.41	0.97	7.34	18.03	1.55	8.99	4.43	3.41	37.05	0.56	3.53	1.83	7.34	3.82	1.5	24.28	4.24	7.17	0.6	4.03	0.21	17.64	3.47	5.41	1.91	15.0	3.56	1.57	14.14	9.06	4.35	5.5	4.5	7.28	1.23	3.44	3.11	8.51	7.4	8.58	2.23	0.92	12.93	9.2	1.28	19.97	15.91	2.34	7.46	7.82	0.61	2.63	3.44	0.95	7.28	2.1	8.71	5.54	7.06	10.63	4.1	34.51	3.06	4.82	10.88	0.91	1.79	3.38	4.82	3.82	4.13	12.83	3.32	6.01	0.92	1.64	2.92	4.13	0.85	8.99	14.56	2.51	0.24	2.07	19.39	5.06	1.95	0.59	3.26	26.28	1.2	5.02	16.15	4.58	14.89	11.13	1.58	7.75	25.54	2.63	7.34	1.14	3.79	0.0	17.0	1.19	1.25	3.89	16.03	9.78	3.47	15.11	19.68	21.16	14.03	15.8	5.87	10.88	8.45	17.64	9.63	24.99	5.45	10.08	15.8	7.28	32.13	6.89	9.7	9.06	9.93	5.96	4.21	8.78	17.77	2.34	0.43	15.45	17.25	3.11	9.93	31.0	4.58	8.78	8.58	10.16	41.22	13.12	1.25	18.29	7.57	10.16	25.54	3.99	1.0	1.79	12.0	1.33	10.24	4.94	1.62	1.36	4.24	1.77	6.01	0.21	1.46	2.71	0.84	2.32	1.45	2.97	2.18	0.43	0.0	0.21	10.55	3.72	0.08
AL161915.1	31.0	34.75	18.29	28.45	35.0	34.51	76.17	64.34	53.57	76.71	55.89	20.41	32.59	41.81	29.7	31.9	24.46	54.33	26.1	27.25	22.26	33.3	21.63	16.27	20.56	58.3	47.84	31.45	62.56	20.86	11.38	43.63	45.21	23.08	30.56	70.01	24.99	42.11	27.64	22.59	32.13	80.01	20.26	28.24	33.54	49.91	46.84	27.64	75.64	42.41	28.24	35.25	9.78	27.25	48.87	22.75	42.71	49.91	46.18	55.89	20.41	14.35	37.59	41.22	30.78	63.89	60.39	29.91	58.71	15.11	18.43	44.89	27.84	7.94	26.86	16.39	28.24	23.59	29.27	63.0	26.1	42.41	45.53	44.25	43.02	46.5	19.25	39.79	40.64	30.78	24.11	52.08	33.54	32.13	36.79	22.75	10.16	31.9	21.63	41.81	76.71	35.25	24.28	22.43	49.56	19.68	23.42	13.12	53.95	52.08	22.59	34.26	61.25	23.59	44.25	33.3	30.34	74.06	76.17	87.03	44.57	55.49	57.89	45.53	67.12	30.56	60.39	46.5	84.63	52.82	30.56	56.28	71.5	80.57	51.71	94.01	72.01	68.55	51.35	86.43	72.01	81.14	68.07	127.89	77.25	78.89	109.66	62.56	59.97	78.89	47.17	78.89	43.02	45.85	61.25	44.57	27.44	64.8	80.57	54.33	47.84	67.12	61.25	76.17	90.14	42.41	100.83	48.18	51.35	71.5	63.89	52.08	98.04	30.34	24.28	24.11	27.84	19.39	18.16	22.26	11.55	38.95	19.53	34.02	21.78	21.78	54.72	14.03	40.93	27.05	23.08	23.42	31.22	16.03	10.79	3.86	49.91	21.47	40.64
ANAPC7	780.44	981.29	785.88	633.73	733.19	432.53	934.76	995.0	1044.52	1023.0	813.63	669.92	579.04	1088.92	796.86	769.69	660.68	928.3	555.41	684.02	785.88	669.92	470.14	493.56	842.36	1447.15	1167.14	759.08	872.1	878.17	575.03	884.29	941.27	819.3	902.89	934.76	974.5	764.36	928.3	603.67	854.13	981.29	660.68	620.67	981.29	1119.56	674.59	860.08	1151.06	503.95	547.75	612.11	830.75	713.11	738.29	693.58	928.3	902.89	796.86	1066.48	660.68	679.29	463.65	555.41	791.35	1008.9	954.43	860.08	708.18	473.41	764.36	688.78	603.67	587.13	555.41	571.05	728.11	642.59	540.19	1037.29	819.3	1001.93	733.19	1015.93	1059.11	947.83	532.74	764.36	1407.55	450.94	486.75	723.08	974.5	674.59	808.0	607.87	825.0	1051.79	759.08	872.1	954.43	679.29	759.08	842.36	759.08	529.06	941.27	603.67	896.64	988.12	743.43	624.99	915.51	698.41	813.63	1030.12	909.17	1044.52	1225.22	902.89	1250.98	1135.2	1015.93	860.08	1233.75	860.08	934.76	921.88	1286.18	878.17	698.41	1313.23	988.12	1447.15	1250.98	1331.57	934.76	854.13	988.12	981.29	1008.9	1769.57	1313.23	1733.13	1350.18	1119.56	1331.57	860.08	848.22	1467.37	764.36	1015.93	909.17	1242.34	1051.79	848.22	660.68	1359.57	1594.73	1331.57	890.44	1051.79	1175.27	988.12	1359.57	934.76	1250.98	1081.39	1088.92	1175.27	1037.29	981.29	1397.83	921.88	642.59	595.34	1051.79	708.18	1104.13	941.27	1073.91	769.69	733.19	780.44	854.13	1037.29	743.43	532.74	753.83	420.68	555.41	432.53	463.65	532.74	483.38	334.46	540.19	426.57	1208.34
AP006621.5	47.84	80.57	256.78	74.06	134.3	130.6	100.83	153.34	343.89	395.18	187.71	70.01	211.31	281.09	113.56	148.09	96.68	267.73	111.21	120.1	133.36	135.24	102.25	102.25	120.94	295.11	356.05	127.89	323.03	148.09	122.64	135.24	289.02	60.82	79.45	295.11	127.89	215.77	166.73	111.21	93.35	420.68	115.97	55.89	175.07	144.01	154.42	153.34	295.11	172.65	70.51	115.97	115.97	151.22	142.01	80.57	244.57	299.25	277.2	228.13	122.64	136.19	193.01	182.55	109.66	353.59	267.73	92.7	420.68	118.43	66.18	146.03	146.03	110.43	112.77	182.55	78.34	156.59	124.37	348.71	109.66	318.57	140.04	182.55	389.72	228.13	103.69	143.01	454.09	223.41	102.25	154.42	182.55	103.69	112.77	120.94	72.01	152.28	98.73	226.54	476.71	95.34	77.25	103.69	267.73	83.45	116.78	36.79	197.09	387.02	76.17	194.36	299.25	183.82	293.07	178.77	258.57	175.07	406.31	307.69	156.59	457.25	384.34	249.73	454.09	120.94	147.06	253.23	387.02	209.84	180.02	186.4	400.71	555.41	450.94	379.04	264.03	249.73	373.81	325.29	142.01	323.03	412.0	651.58	500.46	214.27	583.07	239.52	303.44	500.46	208.38	543.96	130.6	291.04	483.38	356.05	194.36	503.95	476.71	381.68	115.16	417.77	651.58	373.81	387.02	178.77	353.59	356.05	189.02	403.5	339.14	142.01	256.78	239.52	103.69	190.34	244.57	158.79	93.35	146.03	180.02	145.02	92.7	114.36	111.21	178.77	194.36	78.89	120.1	76.71	139.07	94.01	185.11	103.69	97.36	57.89	90.77	175.07	48.52
