	TCGA.4Z.AA7R.01A.11R.A39I.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.E2.A154.01A.11R.A115.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.A6.5666.01A.01R.1653.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA6	1.57	16.88	47.84	47.84	79.45	13.12	17.0	7.57	35.76	51.35	132.44	51.71	41.52	23.25	64.34	50.63	12.36	49.21	19.53	70.51	5.45	7.69	17.64	6.62	429.54	346.29	285.03	490.14	251.48	80.01	112.77	454.09	620.67	346.29	102.97	164.42	454.09	61.68	316.37	76.71	170.25	102.25	842.36	61.68	65.26	444.72	486.75	346.29	5.87	0.0	0.27
ABCB1	11.64	15.22	99.43	52.45	90.77	6.36	11.91	30.78	12.45	39.22	95.34	76.17	11.64	30.34	57.89	66.18	25.17	26.67	7.57	209.84	17.9	0.35	31.9	12.45	161.02	198.47	218.79	190.34	275.28	318.57	277.2	444.72	395.18	514.56	346.29	212.78	392.44	363.56	262.2	104.42	269.6	348.71	147.06	473.41	231.32	251.48	896.64	201.25	9.13	0.0	0.02
B3GALT1	0.3	0.33	1.69	0.61	4.62	0.0	1.28	0.0	0.31	1.14	3.69	2.68	0.36	0.62	5.92	2.2	1.57	0.92	0.0	37.05	0.0	0.28	0.91	0.0	20.11	8.85	30.34	10.24	21.32	28.65	42.11	78.34	220.32	39.79	28.45	29.91	40.64	36.79	32.59	19.25	41.81	13.93	12.36	39.22	14.35	11.3	55.1	49.91	0.0	0.0	0.11
BOC	20.26	48.87	161.02	111.99	358.54	80.01	57.49	42.71	53.19	209.84	540.19	130.6	180.02	48.52	323.03	118.43	66.65	262.2	127.0	909.17	26.47	88.26	50.98	50.98	1088.92	1159.07	1870.53	1127.35	878.17	928.3	775.05	2537.92	1295.13	1437.15	1498.22	1561.89	2255.7	679.29	1991.0	591.22	1977.24	1268.46	1259.69	1015.93	547.75	708.18	2104.58	1340.84	29.7	0.0	0.48
C2orf40	5.15	28.45	88.88	18.7	178.77	2.03	6.46	8.51	5.92	83.45	718.08	71.5	107.38	15.45	329.84	61.25	7.57	130.6	30.56	1216.75	3.38	3.44	68.55	5.77	1583.71	1199.98	2104.58	1322.37	928.3	2956.17	3103.19	7180.15	2537.92	11745.96	1909.85	4358.66	3874.05	2133.97	836.53	2335.28	6887.62	19348.38	1508.65	5954.47	1923.14	262.2	4575.41	5076.84	9.27	0.0	0.19
CCDC8	7.57	25.35	120.1	76.71	198.47	80.57	42.11	6.11	16.15	161.02	486.75	83.45	181.28	23.76	209.84	43.02	30.56	136.19	86.43	764.36	15.56	34.26	32.59	16.03	616.37	647.07	775.05	540.19	769.69	1519.15	775.05	1806.78	1259.69	1286.18	961.07	1159.07	1322.37	638.15	490.14	224.97	1151.06	1023.0	616.37	1175.27	318.57	454.09	1331.57	753.83	6.67	0.0	0.35
CLDN19	0.0	0.92	8.25	2.05	17.13	0.26	1.53	0.0	0.26	16.39	35.5	0.29	5.96	0.0	29.06	13.22	0.0	11.55	0.58	220.32	0.27	0.0	3.79	0.0	75.64	120.94	109.66	148.09	146.03	163.28	234.57	329.84	103.69	215.77	152.28	83.45	177.53	89.51	76.71	22.1	318.57	172.65	260.38	171.45	75.64	149.12	163.28	221.86	0.0	0.0	0.03
CLEC2D	171.45	82.29	138.1	289.02	217.27	85.22	94.01	76.17	110.43	162.14	189.02	125.24	108.14	70.01	241.19	189.02	59.97	131.51	128.79	153.34	59.13	61.68	76.71	44.89	152.28	72.01	229.72	246.28	205.5	289.02	262.2	438.59	221.86	438.59	346.29	248.0	318.57	193.01	414.87	58.3	265.87	69.52	264.03	454.09	94.67	260.38	351.14	271.48	24.81	0.0	0.58
CMTM5	0.0	4.62	4.78	1.25	2.68	0.0	0.0	0.0	0.64	0.79	19.11	0.69	2.2	0.65	8.85	2.56	0.0	3.38	0.0	59.55	0.0	0.0	2.43	0.0	18.29	25.17	31.9	14.24	49.21	74.58	72.52	94.01	148.09	122.64	43.63	152.28	142.01	63.89	64.8	20.11	79.45	242.88	34.51	67.12	16.75	25.91	64.8	105.15	0.0	0.0	0.21
CTSW	25.17	38.95	74.58	13.62	115.97	7.34	43.32	7.82	4.58	58.3	89.51	27.05	39.22	3.32	36.79	6.31	14.14	38.67	2.71	47.84	19.11	7.82	5.73	56.28	118.43	106.63	138.1	74.58	97.36	187.71	89.51	275.28	141.02	397.93	79.45	163.28	123.5	76.71	177.53	84.63	194.36	244.57	77.25	205.5	49.56	134.3	68.07	217.27	2.89	0.0	0.13
