	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7
AARS2	191.67	142.01	158.79	111.21	194.36	115.16	217.27	212.78	106.63	232.94	212.78	279.14	209.84	285.03	248.0	165.57	195.72	182.55	215.77	144.01	187.71	116.78	111.21	124.37	148.09	142.01	139.07	142.01	155.5	186.4	130.6	163.28	181.28	180.02	190.34
AC021218.2	0.0	10.08	121.79	1.36	175.07	7.22	49.91	8.65	3.35	50.63	145.02	366.09	339.14	432.53	1.68	483.38	248.0	13.03	85.82	267.73	463.65	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0
AC106876.2	0.0	0.0	1.22	2.03	1.62	0.0	13.83	3.63	2.23	57.89	0.0	29.06	72.01	24.63	21.63	38.12	9.7	4.28	15.11	54.33	34.26	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC137056.1	0.0	0.0	172.65	0.0	183.82	0.0	73.03	39.79	0.0	63.45	33.3	100.83	120.1	60.82	12.45	320.8	84.63	180.02	46.84	91.41	111.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAD11	80.57	392.44	743.43	376.41	791.35	217.27	420.68	379.04	220.32	387.02	1059.11	890.44	629.35	591.22	237.86	2240.11	995.0	497.0	703.28	536.45	1322.37	281.09	301.33	275.28	285.03	189.02	283.05	392.44	400.71	514.56	228.13	239.52	217.27	334.46	400.71
ACKR4	18.29	9.41	215.77	58.71	117.6	20.86	72.52	118.43	20.11	62.56	142.01	189.02	85.22	59.55	71.5	102.25	275.28	103.69	134.3	123.5	170.25	12.09	45.53	19.11	15.11	4.31	23.59	40.64	14.78	12.09	17.0	14.45	15.11	6.11	74.06
ACSM3	34.26	172.65	1572.76	258.57	981.29	486.75	547.75	1023.0	307.69	529.06	1191.69	1216.75	1781.89	2796.65	780.44	1794.29	2047.0	529.06	1427.22	988.12	1991.0	51.71	43.94	137.14	65.72	33.06	100.13	151.22	132.44	50.63	82.87	195.72	66.65	42.41	785.88
AGMO	90.14	3.41	89.51	0.68	130.6	1.83	87.65	39.5	0.0	177.53	162.14	387.02	226.54	214.27	45.53	109.66	251.48	379.04	176.29	334.46	258.57	2.27	3.03	4.62	1.06	1.5	3.86	2.23	1.93	21.78	8.92	6.16	4.35	5.92	0.0
AIG1	688.78	842.36	2032.85	1674.06	2047.0	1096.5	2240.11	3443.31	1709.26	2451.44	2351.53	2915.45	2367.9	2701.35	2520.38	2997.45	3395.89	2384.37	2061.24	3372.43	3081.75	1313.23	1721.16	1304.15	1088.92	1447.15	1088.92	1059.11	1073.91	1151.06	1457.23	1819.35	1001.93	1304.15	974.5
AL590483.1	0.0	0.0	0.79	0.0	8.85	0.0	2.03	0.0	0.0	0.61	2.03	1.62	3.47	1.22	1.97	8.38	14.24	10.96	4.74	1.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH2	172.65	8191.0	11504.21	2451.44	8421.31	2367.9	9215.48	8134.41	1457.23	7803.01	9474.59	8963.45	12764.83	7280.4	6516.03	14765.09	19214.73	9540.5	12160.22	11909.94	19892.37	1191.69	2061.24	842.36	802.41	638.15	896.64	1322.37	988.12	2193.99	2720.15	2895.31	1832.01	1242.34	2004.85
ANKDD1B	1.01	176.29	72.01	10.79	141.02	6.62	76.17	72.52	11.55	69.52	124.37	43.02	92.7	69.03	121.79	92.7	46.5	59.97	120.1	52.08	93.35	10.96	19.68	10.0	20.71	10.08	18.16	20.86	13.52	13.42	5.59	4.82	69.52	16.51	2.78
ANPEP	133.36	2163.77	9025.81	327.56	12415.75	8078.22	33922.56	3235.01	1378.57	8191.0	665.29	6792.79	14163.58	12160.22	1295.13	28525.2	11112.3	4210.15	23986.58	14765.09	9673.69	105.15	473.41	112.77	91.41	209.84	142.01	220.32	136.19	373.81	234.57	119.26	75.64	457.25	17.38
ATP6V0C	4671.57	5517.27	12502.12	6516.03	10296.45	8718.32	6840.04	9025.81	5366.37	5954.47	9279.58	6561.36	5555.65	13033.07	7081.29	18178.19	10014.87	11035.54	17927.91	7280.4	12853.63	4704.07	3982.99	4543.8	3847.29	6164.49	5872.48	6887.62	3212.66	4038.61	5329.3	4769.75	5112.16	5555.65	4769.75
BCMO1	1.27	1.58	81.71	34.26	206.94	193.01	107.38	90.77	48.52	157.68	242.88	195.72	406.31	153.34	70.01	95.34	258.57	77.79	209.84	102.25	228.13	0.0	0.49	1.19	0.0	0.0	0.18	1.13	1.57	3.41	4.78	5.11	2.66	3.0	54.33
BEST3	0.0	0.0	51.71	0.0	18.97	5.77	45.53	48.52	0.0	29.91	35.0	20.26	76.71	25.54	8.85	42.11	43.32	9.06	34.26	41.81	44.89	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.66	0.47	0.23	0.0
BTBD16	0.0	7.0	34.26	44.25	69.03	108.9	31.67	35.5	18.03	52.45	36.53	36.27	246.28	64.8	87.65	74.06	59.13	16.63	11.82	24.81	47.17	0.0	0.85	4.17	0.0	0.0	4.17	2.27	0.0	0.62	4.98	9.27	3.86	1.1	2.71
C12orf75	114.36	2178.83	4769.75	3060.45	6037.61	2271.4	4704.07	3081.75	4419.52	3491.39	5076.84	2400.97	8840.04	5672.41	1350.18	3564.78	6561.36	4972.34	5219.6	7911.95	8305.36	55.1	91.41	54.33	237.86	61.68	170.25	166.73	120.94	94.01	178.77	90.14	108.9	40.93	693.58
C17orf64	1.55	2.46	9.93	2.34	37.05	0.0	4.06	8.65	1.1	10.39	2.39	3.56	2.56	5.82	1.97	7.22	24.46	17.9	23.59	4.31	2.05	0.0	1.55	0.53	0.0	0.88	2.73	1.16	0.53	1.97	1.62	0.0	1.62	0.0	0.0
C2orf15	518.15	212.78	684.02	417.77	529.06	305.55	540.19	848.22	224.97	624.99	587.13	642.59	521.76	543.96	775.05	363.56	638.15	647.07	529.06	543.96	718.08	153.34	32.36	241.19	208.38	275.28	275.28	204.07	206.94	339.14	265.87	325.29	303.44	283.05	232.94
C3orf67	92.7	55.89	154.42	98.04	242.88	85.82	389.72	35.0	130.6	133.36	141.02	124.37	563.18	148.09	156.59	105.15	161.02	82.87	215.77	142.01	96.68	10.08	6.67	7.75	10.88	5.5	8.65	8.51	9.41	17.77	11.64	18.29	21.78	20.56	2.86
C7orf49	854.13	1096.5	2303.12	1304.15	3190.46	1551.09	1733.13	1594.73	1685.71	3018.3	2367.9	2468.49	2816.11	2335.28	2240.11	2417.67	2520.38	3190.46	2032.85	2400.97	4972.34	400.71	444.72	551.56	423.61	571.05	444.72	334.46	567.1	612.11	563.18	703.28	728.11	638.15	825.0
CCDC64	813.63	309.83	2032.85	20.26	2255.7	199.85	2997.45	1819.35	45.21	1066.48	2956.17	1151.06	2032.85	2485.67	2720.15	1304.15	2384.37	1096.5	1733.13	2240.11	3325.99	343.89	366.09	289.02	414.87	176.29	454.09	336.79	334.46	775.05	444.72	181.28	358.54	514.56	40.07
CDHR2	0.0	28.86	507.46	3.82	633.73	3.38	896.64	226.54	33.06	547.75	638.15	591.22	1081.39	934.76	226.54	915.51	2004.85	500.46	514.56	2400.97	830.75	0.0	0.0	0.46	0.0	6.06	1.27	2.41	1.71	0.46	2.25	0.41	2.73	0.19	4.5
CERS2	5041.77	3768.09	7642.41	3768.09	6516.03	2997.45	9344.14	7642.41	3190.46	7382.04	7589.61	7485.11	8598.28	9876.98	7803.01	6792.79	7230.1	5913.33	5441.3	10585.95	8538.88	3794.3	3928.15	3955.48	4450.27	4210.15	4066.71	3349.13	3982.99	3419.52	3716.2	4152.18	4769.75	3325.99	2682.69
CIDEB	384.34	624.99	748.61	209.84	447.82	189.02	896.64	813.63	131.51	435.55	423.61	490.14	414.87	435.55	312.0	753.83	1151.06	536.45	559.28	1447.15	1175.27	88.26	141.02	120.1	46.84	66.65	182.55	60.39	131.51	287.01	246.28	202.66	197.09	149.12	242.88
