	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.97.A4LX.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.86.8671.01A.11R.2403.07	TCGA.86.8280.01A.11R.2287.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.85.8049.01A.11R.2247.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.HU.A4GY.01A.21R.A24K.31
ABCD2	44.57	4.78	6.11	8.32	0.0	12.93	0.49	0.59	3.03	1.62	3.11	2.36	2.56	0.0	0.52	0.61	1.6	1.77	0.71	0.59	3.86	1.39	0.57	15.0	9.48	15.45	8.92	28.65	8.25	11.73	20.56	6.73	42.11	36.27
AD000671.6	76.71	56.28	29.48	32.36	6.94	39.79	3.11	5.77	12.09	6.67	11.82	14.89	0.0	2.27	6.52	7.69	5.5	17.25	12.83	26.1	14.45	11.55	10.63	55.89	37.05	98.73	45.21	60.82	61.68	39.22	67.59	36.53	88.88	48.18
ADAMDEC1	2502.97	248.0	153.34	181.28	0.0	215.77	0.0	1.19	14.35	4.66	9.56	1.66	3.35	1.28	0.0	0.0	1.17	8.38	2.25	2.78	10.16	8.71	13.12	285.03	234.57	583.07	262.2	995.0	450.94	583.07	961.07	368.65	1369.04	384.34
AGAP2	212.78	80.57	54.33	52.82	3.14	95.34	27.44	17.0	7.46	16.51	13.12	13.72	7.0	32.59	3.99	8.06	35.5	13.03	17.38	15.22	11.73	9.13	9.34	161.02	101.54	239.52	100.83	163.28	103.69	121.79	182.55	77.79	236.21	223.41
AIM2	1242.34	55.1	28.04	48.87	1.62	90.77	1.5	27.25	16.51	6.11	24.46	2.53	26.47	51.35	9.2	3.2	36.27	6.67	23.42	3.06	7.0	2.66	0.68	126.12	206.94	483.38	127.89	285.03	182.55	124.37	351.14	154.42	197.09	301.33
ALB	7.06	1877002.62	1108362.75	1393227.06	2343119.96	2672946.37	1.450452687E7	2.094351026E7	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	2.372656541E7	1.460541384E7	2.8412057E7	1.748967224E7	1.940600651E7	2.669377385E7	2.596383117E7	1.24530853E7	2.8412057E7	1.228163998E7	1.069178847E7	11.73	29.48	8.45	35.5	36.79	12.83	10.88	12.27	4.24	13.32	6.78
ALOX5AP	2468.49	384.34	420.68	624.99	56.68	1059.11	31.67	353.59	133.36	51.35	320.8	31.0	105.15	229.72	417.77	31.22	271.48	129.69	112.77	97.36	190.34	139.07	93.35	3212.66	2739.08	3716.2	1498.22	1697.45	2875.3	934.76	2997.45	555.41	2701.35	1369.04
AMICA1	1551.09	660.68	507.46	579.04	57.08	1175.27	177.53	206.94	115.97	90.14	232.94	90.77	99.43	137.14	33.78	41.22	395.18	194.36	119.26	218.79	232.94	98.73	27.05	769.69	1066.48	1183.45	543.96	698.41	698.41	414.87	1066.48	223.41	1697.45	473.41
ANKRD22	902.89	22.1	27.05	76.71	2.18	134.3	0.0	4.54	11.73	1.46	12.09	5.87	0.0	22.75	13.93	9.93	93.35	12.09	5.23	17.13	5.23	13.62	0.0	291.04	60.39	514.56	409.15	221.86	159.9	145.02	183.82	139.07	275.28	738.29
APOBEC3H	264.03	56.68	68.07	24.99	0.93	115.16	8.78	23.08	13.72	10.55	11.91	5.23	0.0	13.32	0.0	12.09	20.86	16.75	19.11	11.04	18.97	15.34	3.32	106.63	36.79	141.02	69.03	95.34	71.0	81.14	114.36	60.39	75.64	77.25
