	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.ZF.AA4U.01A.11R.A38B.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.AY.5543.01A.01R.1653.07	TCGA.AZ.5407.01A.01R.1723.07	TCGA.AZ.5403.01A.01R.1653.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.14E6E.1526.SM.5RQIG	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.OIZH.1426.SM.3NB1O	GTEX.12BJ1.2126.SM.5BC5O	GTEX.13PL7.2526.SM.5IFGR	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.11I78.1226.SM.5A5K6	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.S4Q7.0826.SM.4AD5E	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCB1	102.25	13.72	31.22	31.45	37.59	62.12	23.59	16.51	373.81	314.17	1551.09	3325.99	2417.67	3372.43	7433.4	1662.49	6745.86	8598.28	4802.93	5041.77	2997.45	3395.89	3018.3	2417.67	2895.31	2956.17	3982.99	1216.75	1769.57	4239.45	4388.98	1963.57	3395.89	7966.99	10.08	0.0	0.02
ACKR2	19.53	3.79	26.67	15.91	87.03	2.39	8.45	0.97	7.63	5.19	131.51	63.0	47.5	49.91	116.78	20.71	173.85	136.19	72.01	98.73	109.66	113.56	82.87	81.71	39.79	63.89	76.71	94.01	59.55	115.16	108.14	63.89	85.22	60.82	4.9	0.0	0.36
AL163636.6	41.52	122.64	52.82	30.56	281.09	37.32	0.0	256.78	447.82	301.33	954.43	753.83	684.02	571.05	470.14	890.44	301.33	902.89	703.28	723.08	612.11	665.29	470.14	902.89	693.58	830.75	638.15	819.3	1268.46	872.1	848.22	607.87	718.08	587.13	15.91	0.0	0.03
APOBEC3B	283.05	166.73	441.64	802.41	185.11	368.65	237.86	8.71	35.25	275.28	1594.73	723.08	1088.92	1721.16	1781.89	836.53	1313.23	1242.34	1709.26	1369.04	718.08	607.87	1437.15	759.08	389.72	1073.91	1378.57	438.59	563.18	1397.83	733.19	514.56	693.58	1111.82	153.34	0.0	0.28
ATF1	148.09	273.37	476.71	480.04	403.5	429.54	244.57	435.55	409.15	603.67	603.67	547.75	507.46	435.55	497.0	733.19	514.56	842.36	698.41	493.56	647.07	902.89	647.07	684.02	607.87	507.46	595.34	651.58	703.28	507.46	536.45	493.56	723.08	497.0	244.57	0.0	0.29
C11orf42	0.0	0.0	2.39	0.6	1.2	0.0	0.0	0.0	1.01	0.0	18.16	20.56	12.0	3.23	7.4	9.63	4.17	12.18	9.93	12.27	4.21	22.92	7.94	7.75	3.89	12.55	7.88	5.59	12.55	6.21	17.0	12.18	11.04	4.31	0.0	0.0	0.05
C2CD5	267.73	181.28	301.33	275.28	325.29	253.23	199.85	329.84	575.03	376.41	947.83	688.78	587.13	599.49	1199.98	521.76	665.29	733.19	708.18	698.41	872.1	612.11	753.83	603.67	679.29	713.11	733.19	559.28	607.87	728.11	743.43	599.49	819.3	607.87	206.94	0.0	0.26
CCDC85C	99.43	77.79	255.0	124.37	164.42	91.41	79.45	181.28	264.03	217.27	813.63	460.44	454.09	825.0	669.92	728.11	547.75	438.59	616.37	947.83	713.11	713.11	490.14	759.08	551.56	796.86	928.3	616.37	629.35	759.08	708.18	387.02	647.07	693.58	209.84	0.0	0.32
CCDC93	130.6	162.14	190.34	78.34	131.51	115.16	108.14	201.25	198.47	173.85	518.15	521.76	423.61	371.22	348.71	371.22	318.57	373.81	412.0	591.22	368.65	429.54	400.71	409.15	417.77	473.41	376.41	309.83	392.44	457.25	529.06	253.23	674.59	295.11	24.28	406.31	70.01
CTTNBP2NL	193.01	182.55	291.04	277.2	206.94	305.55	211.31	305.55	214.27	234.57	547.75	507.46	368.65	329.84	379.04	476.71	493.56	595.34	507.46	587.13	371.22	791.35	450.94	423.61	314.17	543.96	387.02	336.79	351.14	420.68	532.74	457.25	532.74	299.25	22.1	0.0	0.34
CYB561D1	77.79	48.87	57.89	44.25	63.45	44.57	57.89	50.98	51.71	68.07	295.11	141.02	127.89	190.34	202.66	189.02	159.9	163.28	181.28	301.33	295.11	229.72	206.94	194.36	211.31	275.28	248.0	129.69	228.13	283.05	275.28	137.14	395.18	187.71	32.82	0.0	0.01
CYP26B1	15.0	0.97	13.83	3.41	1.28	7.28	4.86	6.89	7.57	8.99	79.45	12.18	81.14	35.25	85.82	10.55	14.14	65.26	38.95	33.78	91.41	37.05	32.82	59.97	49.21	68.55	25.72	96.68	14.89	65.72	60.82	56.68	57.89	80.01	3.82	0.0	0.2
DNAJC5	497.0	693.58	616.37	480.04	466.88	414.87	441.64	764.36	356.05	547.75	1191.69	674.59	612.11	1127.35	1023.0	1051.79	1073.91	836.53	1073.91	1651.0	1059.11	1175.27	1175.27	890.44	1111.82	1088.92	1151.06	830.75	1119.56	1001.93	1081.39	591.22	981.29	1159.07	197.09	0.0	0.79
ENPP1	17.77	1.57	2.12	3.35	11.3	9.85	3.23	13.42	9.85	19.39	267.73	135.24	137.14	221.86	234.57	83.45	567.1	301.33	182.55	341.51	197.09	303.44	271.48	180.02	175.07	197.09	206.94	91.41	134.3	193.01	423.61	115.97	264.03	139.07	1.97	0.0	0.33
FAM217A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.39	4.7	3.82	5.82	0.25	0.56	0.0	0.0	5.87	8.32	5.11	0.2	0.0	4.94	13.22	13.93	5.92	4.62	11.3	6.52	9.63	0.21	4.62	0.26	0.0	0.0	0.0
FAM21C	256.78	105.89	146.03	368.65	329.84	161.02	185.11	191.67	293.07	124.37	1233.75	878.17	947.83	921.88	1111.82	764.36	703.28	753.83	819.3	1268.46	872.1	890.44	1304.15	830.75	660.68	1030.12	1081.39	651.58	723.08	954.43	1044.52	454.09	1051.79	624.99	13.22	0.0	0.65
FAM53B	180.02	94.67	204.07	129.69	105.89	105.89	169.07	191.67	241.19	68.55	555.41	258.57	248.0	432.53	366.09	379.04	279.14	283.05	368.65	642.59	500.46	540.19	426.57	441.64	507.46	414.87	463.65	279.14	444.72	392.44	490.14	193.01	500.46	368.65	121.79	0.0	0.42
FAM71D	1.1	0.0	0.0	0.61	6.36	0.0	1.6	1.16	0.0	0.0	6.11	2.25	0.71	2.76	0.64	2.29	3.23	1.08	2.86	4.39	5.28	2.56	4.86	0.73	0.8	5.23	0.16	2.51	7.34	3.17	5.02	1.3	3.17	0.65	0.0	0.0	0.0
HIST1H1C	2451.44	483.38	2816.11	2032.85	3515.68	2434.5	1378.57	532.74	733.19	361.04	5995.9	5255.91	5219.6	5219.6	4298.64	2224.63	7695.57	6164.49	5147.73	5555.65	2520.38	9025.81	11424.74	3614.55	1794.29	4328.55	3901.01	1977.24	1519.15	2645.74	3955.48	3168.41	5041.77	6840.04	1250.98	0.0	0.74
HIVEP3	27.64	69.03	67.12	61.25	19.53	88.88	18.29	33.3	25.35	15.45	185.11	86.43	134.3	92.05	199.85	35.76	104.42	78.34	119.26	178.77	116.78	109.66	146.03	57.08	73.03	98.73	145.02	51.35	82.87	120.1	109.66	59.13	117.6	69.52	3.92	0.0	0.48
IFIH1	40.36	105.89	144.01	140.04	34.02	204.07	131.51	248.0	120.1	106.63	346.29	314.17	221.86	301.33	316.37	269.6	271.48	387.02	314.17	228.13	305.55	490.14	242.88	295.11	253.23	260.38	251.48	190.34	202.66	180.02	293.07	133.36	392.44	223.41	117.6	0.0	0.42
KHNYN	698.41	426.57	616.37	454.09	633.73	264.03	351.14	307.69	507.46	480.04	1250.98	808.0	660.68	866.07	967.76	603.67	547.75	884.29	819.3	1388.16	780.44	1023.0	988.12	1059.11	748.61	1059.11	1030.12	764.36	813.63	1191.69	947.83	660.68	1175.27	791.35	23.93	0.0	0.91
KIAA1211	2.58	4.31	5.19	16.88	31.9	16.39	9.56	3.47	44.89	10.16	703.28	358.54	384.34	316.37	551.56	361.04	830.75	579.04	417.77	567.1	417.77	775.05	693.58	417.77	309.83	312.0	389.72	150.17	327.56	473.41	713.11	209.84	607.87	271.48	0.0	0.0	0.17
LYSMD4	117.6	106.63	34.26	53.19	81.14	52.45	61.25	72.52	105.89	57.08	211.31	87.03	111.21	118.43	103.69	98.73	144.01	180.02	97.36	170.25	81.14	130.6	115.97	78.89	134.3	191.67	123.5	78.34	71.0	128.79	229.72	133.36	190.34	111.99	29.48	0.0	0.52
MCOLN2	9.48	6.11	0.37	30.34	1.55	16.39	9.27	185.11	38.4	208.38	432.53	2004.85	2032.85	1437.15	1551.09	860.08	1159.07	1286.18	295.11	2287.2	1051.79	764.36	1225.22	909.17	1519.15	1437.15	1066.48	507.46	1950.0	1844.76	1896.65	1529.73	1870.53	1225.22	17.13	0.0	0.69
MIA2	1.1	0.0	1.04	0.0	0.0	0.0	0.0	5.82	6.62	1.25	85.22	24.28	22.75	23.76	73.03	7.4	55.1	37.59	75.64	42.41	20.71	81.71	82.87	55.1	38.4	96.68	121.79	10.16	34.75	40.93	46.5	21.63	72.52	59.55	2.29	0.0	0.0
MON1B	400.71	209.84	325.29	417.77	332.14	486.75	341.51	334.46	271.48	414.87	830.75	674.59	688.78	748.61	854.13	791.35	764.36	759.08	733.19	764.36	748.61	896.64	860.08	629.35	599.49	738.29	713.11	638.15	579.04	753.83	915.51	620.67	785.88	633.73	96.01	320.8	140.04
MTNR1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	2.16	0.0	41.22	19.82	21.32	28.65	31.9	25.35	12.64	39.5	19.11	54.72	12.74	41.52	39.22	18.16	29.06	33.06	55.49	9.41	22.26	18.84	30.56	42.41	33.06	9.13	0.0	0.0	0.0
NBEAL1	39.79	28.04	85.22	31.0	28.86	54.72	26.47	27.05	37.05	46.5	387.02	237.86	260.38	248.0	363.56	187.71	305.55	312.0	307.69	309.83	275.28	283.05	289.02	236.21	253.23	248.0	316.37	120.1	217.27	256.78	341.51	241.19	329.84	236.21	41.22	0.0	0.2
NCK1	236.21	329.84	293.07	358.54	305.55	599.49	150.17	450.94	450.94	571.05	1081.39	555.41	555.41	633.73	507.46	579.04	450.94	753.83	728.11	629.35	733.19	1119.56	688.78	591.22	500.46	559.28	432.53	583.07	567.1	669.92	703.28	429.54	633.73	463.65	146.03	0.0	0.78
NUMB	511.0	447.82	624.99	624.99	579.04	318.57	348.71	466.88	693.58	698.41	1639.59	1350.18	1151.06	1259.69	1572.76	1304.15	1175.27	1950.0	1794.29	1487.87	1437.15	1709.26	1457.23	1268.46	1096.5	1359.57	1467.37	1143.1	1250.98	1208.34	1508.65	1059.11	1397.83	1015.93	341.51	0.0	0.66
