	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KL.8326.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.13112.2126.SM.5GCO4	TCGA.CZ.5455.11A.01R.1503.07	TCGA.B8.4620.11A.01R.1758.07	TCGA.CZ.4865.11A.01R.1503.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.GL.A9DE.11A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AKIRIN2	2816.11	1159.07	1066.48	1135.2	1457.23	563.18	543.96	547.75	447.82	642.59	563.18	575.03	412.0	476.71	532.74	791.35	599.49	624.99	503.95	551.56	438.59	540.19	1066.48	909.17	2255.7	866.07	896.64	884.29	1199.98
ARL5B	371.22	164.42	190.34	178.77	136.19	75.64	73.03	85.82	148.09	96.68	72.52	84.63	84.04	78.89	125.24	209.84	126.12	139.07	63.0	69.52	63.0	83.45	209.84	511.0	507.46	195.72	191.67	176.29	289.02
C16orf72	525.39	281.09	371.22	381.68	368.65	193.01	171.45	275.28	136.19	256.78	183.82	258.57	289.02	236.21	248.0	476.71	260.38	295.11	212.78	206.94	232.94	148.09	435.55	275.28	265.87	264.03	384.34	412.0	684.02
CEBPB	642.59	1191.69	2075.59	591.22	967.76	332.14	92.05	514.56	379.04	291.04	182.55	511.0	87.03	204.07	470.14	1508.65	232.94	248.0	325.29	134.3	158.79	244.57	890.44	373.81	1909.85	941.27	412.0	507.46	785.88
CEBPG	575.03	473.41	591.22	366.09	348.71	218.79	189.02	320.8	165.57	271.48	201.25	299.25	181.28	256.78	212.78	406.31	224.97	220.32	195.72	204.07	206.94	175.07	830.75	954.43	848.22	665.29	753.83	638.15	884.29
CES4A	229.72	320.8	303.44	366.09	265.87	30.78	28.45	85.82	48.18	54.33	36.27	66.18	8.78	8.13	11.47	117.6	83.45	25.17	26.1	38.95	34.26	48.18	32.13	97.36	85.82	102.25	71.0	92.7	61.68
CHORDC1	198.47	493.56	656.11	397.93	444.72	205.5	156.59	220.32	158.79	289.02	194.36	242.88	201.25	264.03	112.77	432.53	169.07	241.19	119.26	199.85	195.72	239.52	441.64	289.02	1769.57	444.72	197.09	228.13	265.87
CORO1C	928.3	2835.7	2061.24	1529.73	1936.53	420.68	316.37	603.67	226.54	497.0	373.81	909.17	329.84	447.82	579.04	1208.34	796.86	500.46	503.95	409.15	314.17	361.04	2193.99	2682.69	3235.01	1651.0	2178.83	1628.26	2133.97
CRK	759.08	693.58	738.29	669.92	579.04	624.99	629.35	748.61	403.5	825.0	674.59	860.08	579.04	603.67	591.22	1088.92	759.08	703.28	547.75	559.28	624.99	476.71	1008.9	651.58	1001.93	620.67	743.43	708.18	896.64
DNAJB5	147.06	532.74	651.58	180.02	318.57	163.28	108.14	348.71	107.38	162.14	76.71	368.65	48.52	110.43	94.67	511.0	158.79	91.41	97.36	172.65	85.22	119.26	332.14	234.57	1001.93	126.12	162.14	236.21	132.44
DUSP14	2209.26	624.99	656.11	1051.79	967.76	234.57	202.66	587.13	241.19	297.17	260.38	429.54	221.86	231.32	264.03	684.02	318.57	329.84	221.86	221.86	180.02	177.53	1617.0	896.64	1757.34	1159.07	1832.01	1572.76	4210.15
EIF4A1	26431.04	22692.63	18178.19	16960.78	25179.16	5366.37	4575.41	8022.41	6079.61	6840.04	5403.7	9088.59	4869.99	3690.52	6516.03	10883.59	7331.05	7485.11	7331.05	4769.75	5672.41	5441.3	28132.47	27553.49	36357.37	18052.61	23656.34	22692.63	24660.96
ELL2	2335.28	802.41	808.0	1322.37	1313.23	187.71	120.1	348.71	189.02	305.55	143.01	381.68	60.39	64.34	194.36	555.41	400.71	395.18	228.13	106.63	150.17	264.03	1651.0	1583.71	1651.0	1447.15	3443.31	1594.73	1685.71
FAM105B	575.03	269.6	457.25	198.47	248.0	127.89	111.99	171.45	139.07	171.45	131.51	204.07	75.11	142.01	131.51	309.83	217.27	136.19	169.07	135.24	118.43	117.6	323.03	277.2	316.37	224.97	246.28	228.13	244.57
FAM72B	44.57	28.65	72.01	21.94	34.26	18.97	11.3	33.54	13.12	12.83	9.78	16.39	3.23	11.91	10.63	29.27	12.55	15.22	15.91	14.45	12.83	9.06	77.25	59.13	29.06	38.67	46.84	32.59	55.89
GJA1	46662.28	2895.31	4095.0	3820.7	3190.46	285.03	71.0	507.46	241.19	336.79	134.3	591.22	61.68	217.27	426.57	1225.22	493.56	351.14	205.5	115.97	118.43	130.6	8538.88	11189.6	8840.04	4512.4	15499.21	4450.27	9876.98
GSKIP	1183.45	728.11	967.76	703.28	629.35	366.09	353.59	412.0	255.0	441.64	466.88	363.56	258.57	277.2	563.18	651.58	490.14	450.94	325.29	316.37	329.84	285.03	1697.45	1977.24	1991.0	941.27	1313.23	1417.35	1781.89
HSPB8	3639.7	4639.29	2855.44	4010.71	9740.98	356.05	146.03	1617.0	197.09	591.22	145.02	2255.7	96.01	82.29	204.07	2224.63	426.57	291.04	180.02	229.72	148.09	137.14	15934.98	20737.16	22692.63	7433.4	18950.18	14262.1	24490.61
IFNGR1	1369.04	1477.58	1697.45	967.76	808.0	708.18	669.92	1088.92	674.59	1135.2	693.58	1015.93	748.61	642.59	1175.27	2335.28	995.0	915.51	759.08	587.13	669.92	587.13	2915.45	947.83	1697.45	1651.0	1322.37	1135.2	1819.35
IL1RAP	3820.7	397.93	642.59	351.14	293.07	29.27	25.72	98.73	19.82	71.0	29.27	68.55	16.75	25.54	35.25	128.79	64.34	31.0	31.9	18.97	28.24	17.0	389.72	540.19	1023.0	470.14	571.05	454.09	432.53
IL4R	921.88	2796.65	2627.46	2090.03	1519.15	285.03	119.26	420.68	132.44	265.87	151.22	351.14	140.04	204.07	241.19	638.15	444.72	289.02	214.27	215.77	193.01	253.23	1369.04	2075.59	3190.46	1674.06	2384.37	1697.45	1857.6
KLF16	412.0	567.1	248.0	202.66	679.29	158.79	93.35	244.57	151.22	144.01	123.5	291.04	88.88	111.99	92.7	329.84	123.5	141.02	121.79	149.12	161.02	139.07	193.01	389.72	878.17	343.89	490.14	397.93	371.22
KLHL18	395.18	612.11	366.09	518.15	633.73	178.77	194.36	267.73	189.02	228.13	226.54	332.14	194.36	130.6	189.02	329.84	312.0	218.79	223.41	194.36	226.54	208.38	624.99	723.08	1030.12	450.94	583.07	791.35	785.88
KPNA4	389.72	441.64	708.18	532.74	454.09	348.71	406.31	420.68	208.38	406.31	351.14	466.88	376.41	332.14	343.89	532.74	376.41	435.55	316.37	269.6	316.37	242.88	1015.93	896.64	981.29	698.41	848.22	708.18	791.35
KRT4	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	0.0	0.0	0.82	0.0	2.07	0.0	0.42	0.82	0.28	0.0	2.92	2.25	0.41	0.41	0.0	0.0	0.41	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
MAPK6	3589.58	872.1	1572.76	1447.15	1242.34	183.82	183.82	366.09	186.4	283.05	183.82	473.41	202.66	177.53	246.28	466.88	361.04	279.14	198.47	150.17	185.11	152.28	1551.09	1639.59	3768.09	1059.11	1697.45	1674.06	1709.26
MARCH3	18.29	115.97	60.82	39.22	70.01	27.44	12.64	44.89	9.06	50.63	18.16	40.36	13.72	23.08	25.54	57.49	54.72	32.82	14.03	13.52	14.89	21.94	195.72	7.17	107.38	132.44	28.86	106.63	53.95
MKI67IP	941.27	1208.34	1457.23	902.89	1059.11	525.39	403.5	848.22	470.14	738.29	426.57	884.29	454.09	397.93	693.58	981.29	616.37	748.61	547.75	476.71	480.04	373.81	2104.58	1304.15	3515.68	1191.69	928.3	947.83	1561.89
MYC	6471.02	1936.53	2895.31	1295.13	1950.0	316.37	81.71	708.18	429.54	273.37	157.68	1388.16	125.24	127.89	441.64	2701.35	299.25	595.34	248.0	117.6	113.56	146.03	4802.93	7749.1	9279.58	4769.75	5751.61	4152.18	6607.01
NAB2	1322.37	890.44	878.17	483.38	638.15	305.55	134.3	738.29	221.86	457.25	187.71	656.11	198.47	258.57	256.78	1313.23	363.56	536.45	283.05	239.52	163.28	197.09	409.15	854.13	1467.37	457.25	785.88	511.0	500.46
OSER1	1340.84	1051.79	1378.57	1427.22	1340.84	518.15	503.95	728.11	624.99	825.0	583.07	571.05	460.44	457.25	679.29	848.22	693.58	679.29	551.56	497.0	587.13	507.46	836.53	543.96	981.29	796.86	967.76	896.64	1417.35
PDLIM1	7032.37	8421.31	4010.71	4066.71	3303.0	1369.04	571.05	1963.57	842.36	1963.57	718.08	2148.82	836.53	1225.22	1313.23	4298.64	2193.99	1467.37	1617.0	921.88	785.88	988.12	5751.61	10883.59	14065.74	7485.11	8078.22	5219.6	6426.31
PTPN1	371.22	961.07	1051.79	775.05	679.29	518.15	403.5	878.17	460.44	547.75	403.5	1066.48	299.25	361.04	376.41	1208.34	514.56	633.73	480.04	438.59	417.77	435.55	693.58	1159.07	1519.15	713.11	1127.35	825.0	988.12
SEC24A	406.31	214.27	187.71	260.38	273.37	113.56	121.79	134.3	105.89	138.1	117.6	182.55	74.58	113.56	133.36	237.86	189.02	111.99	111.21	112.77	134.3	97.36	201.25	176.29	223.41	191.67	208.38	277.2	155.5
SLC16A1	389.72	373.81	521.76	246.28	177.53	53.57	28.86	108.9	22.43	60.39	36.27	285.03	13.62	26.67	59.97	194.36	92.05	43.94	37.59	41.22	29.48	24.81	872.1	444.72	2119.22	269.6	277.2	384.34	808.0
SPHK1	2537.92	1259.69	764.36	1225.22	884.29	63.89	19.53	141.02	27.84	40.36	17.38	154.42	16.51	11.47	28.04	232.94	23.08	29.7	34.51	23.93	23.59	37.85	759.08	703.28	389.72	651.58	470.14	409.15	679.29
SPSB1	406.31	819.3	1008.9	738.29	890.44	161.02	83.45	698.41	112.77	287.01	137.14	693.58	40.64	42.71	361.04	780.44	234.57	226.54	169.07	180.02	232.94	103.69	928.3	1487.87	1397.83	764.36	1175.27	1233.75	1111.82
STX11	384.34	186.4	128.79	120.94	143.01	45.53	40.36	114.36	22.26	86.43	32.59	79.45	43.02	27.44	39.22	220.32	48.18	106.63	29.91	29.27	26.47	23.59	341.51	638.15	1096.5	214.27	341.51	253.23	476.71
TNFRSF1A	2178.83	3419.52	4268.94	2485.67	3124.78	1447.15	607.87	1388.16	872.1	1151.06	684.02	2468.49	785.88	988.12	878.17	3665.02	1950.0	1540.37	1268.46	878.17	738.29	848.22	3018.3	3443.31	5112.16	2997.45	3325.99	3280.18	3820.7
UBAP1	3146.52	1757.34	1628.26	2271.4	2468.49	819.3	872.1	1073.91	599.49	1037.29	902.89	1175.27	802.41	860.08	718.08	1242.34	902.89	825.0	764.36	748.61	890.44	723.08	2701.35	2816.11	2609.3	2400.97	3419.52	3146.52	4095.0
