	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07
ADAMTS14	9.78	10.55	75.11	112.77	320.8	21.16	102.97	198.47	62.12	4.78	19.82	21.01	52.82	603.67	116.78	33.54	42.71	151.22	85.82	191.67	102.25	23.93
ADAMTS2	58.3	7.75	1896.65	325.29	2537.92	228.13	1313.23	1950.0	540.19	108.14	146.03	164.42	105.89	3257.52	1781.89	163.28	343.89	2090.03	1119.56	1088.92	603.67	460.44
ALPK2	5.63	2.89	53.95	19.97	57.08	4.54	54.72	43.94	18.29	3.92	6.36	3.66	3.82	137.14	52.45	4.94	4.35	21.94	71.0	74.06	22.92	19.82
ARHGEF17	90.14	33.78	426.57	85.82	567.1	44.57	201.25	575.03	186.4	101.54	74.58	85.22	145.02	780.44	285.03	98.73	122.64	441.64	392.44	583.07	143.01	117.6
ATP8B2	20.71	6.41	267.73	74.06	759.08	37.32	358.54	361.04	244.57	27.84	140.04	146.03	66.18	518.15	543.96	178.77	103.69	599.49	253.23	271.48	98.73	120.1
BEST1	21.94	14.35	42.71	7.0	30.12	32.82	55.89	78.89	25.17	4.03	10.47	8.58	22.1	46.18	63.45	14.78	7.22	60.82	28.24	47.84	19.53	15.91
BRSK1	5.41	1.0	70.01	11.64	62.56	15.91	56.68	58.3	31.45	7.82	9.27	16.75	13.03	75.11	42.71	6.62	17.64	96.01	16.15	43.63	22.59	15.91
C10orf85	0.0	0.0	5.06	3.14	68.55	1.13	9.93	35.76	4.28	1.13	0.42	0.99	1.2	51.71	2.25	0.78	0.46	26.28	4.82	14.35	3.59	4.66
CACNA1G	0.0	8.78	6.89	2.32	27.44	4.43	18.29	21.78	3.69	2.61	2.29	0.68	0.83	29.48	16.51	1.89	1.68	10.71	15.8	21.16	9.41	3.41
CACNA1H	7.22	0.52	74.58	13.32	285.03	17.0	68.55	366.09	34.75	6.21	15.68	24.46	29.48	176.29	76.17	36.01	25.35	178.77	47.17	128.79	15.68	19.97
CALHM2	102.25	58.71	563.18	92.7	872.1	116.78	392.44	525.39	180.02	60.39	96.68	105.89	92.7	660.68	540.19	100.83	134.3	743.43	236.21	563.18	156.59	105.89
CDK15	1.79	3.53	19.97	1.13	20.41	0.54	9.48	12.09	6.36	2.12	0.55	1.17	0.99	42.71	10.63	1.73	4.1	23.42	16.15	27.44	5.82	2.2
CDX1	1.2	7.75	14.24	4.28	8.58	5.32	16.51	40.64	10.39	0.0	3.17	4.94	3.29	41.22	6.52	3.11	2.2	36.79	13.93	10.63	7.94	1.08
CHN1	170.25	73.54	507.46	248.0	403.5	149.12	693.58	878.17	232.94	94.67	130.6	134.3	113.56	1159.07	490.14	167.9	141.02	607.87	490.14	305.55	395.18	194.36
CLIP3	10.55	4.24	164.42	49.91	470.14	23.76	149.12	223.41	56.28	22.26	23.93	30.34	40.07	525.39	181.28	28.45	43.94	379.04	134.3	123.5	66.18	73.03
CNRIP1	21.78	6.21	151.22	38.95	285.03	35.76	162.14	287.01	71.5	24.81	27.84	17.77	32.59	358.54	253.23	29.27	35.76	444.72	109.66	114.36	85.82	65.26
COL5A2	185.11	7.11	5006.93	1467.37	10014.87	318.57	6037.61	5872.48	5441.3	223.41	480.04	381.68	521.76	15607.02	6250.56	473.41	1175.27	8778.97	4639.29	4704.07	1685.71	1794.29
