	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.E7.A8O7.01A.11R.A36F.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.VS.A954.01A.11R.A38B.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.97.7552.01A.11R.2039.07	GTEX.U3ZN.0626.SM.3DB7U	TCGA.BR.6803.01A.11R.1884.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.VQ.A8P8.01A.11R.A39E.31	TCGA.BR.8364.01A.11R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AASDHPPT	406.31	301.33	429.54	376.41	309.83	327.56	500.46	291.04	223.41	395.18	728.11	392.44	447.82	182.55	289.02	540.19	612.11	529.06	231.32	202.66	366.09	164.42	348.71	718.08	679.29	279.14	180.02	1508.65	473.41	830.75	332.14	507.46	629.35	460.44	334.46	329.84	384.34	312.0	426.57	486.75	289.02	417.77	490.14	199.85	457.25	381.68	271.48	406.31	229.72	323.03
AASS	5.02	60.82	9.27	29.27	12.45	69.52	165.57	110.43	17.77	27.44	134.3	7.06	14.56	12.55	49.91	27.25	208.38	19.97	4.5	40.36	37.05	58.71	20.11	361.04	264.03	21.78	52.08	212.78	249.73	234.57	94.67	94.01	74.06	143.01	70.01	23.76	325.29	128.79	115.97	202.66	208.38	107.38	239.52	69.03	85.82	88.26	48.52	59.13	63.89	74.58
AC068533.7	18.84	7.0	0.0	39.22	8.0	24.28	48.52	0.0	10.31	29.7	21.63	7.57	29.06	1.97	13.52	0.0	24.63	0.0	0.0	29.06	0.0	24.11	0.0	61.25	155.5	0.0	0.0	34.75	7.57	13.52	111.21	51.71	92.7	51.35	101.54	63.45	81.71	52.82	50.63	40.93	16.51	63.45	112.77	22.1	159.9	58.3	89.51	142.01	29.06	70.01
ACAD8	473.41	444.72	249.73	301.33	348.71	226.54	718.08	162.14	111.99	172.65	287.01	379.04	376.41	223.41	334.46	312.0	703.28	320.8	351.14	327.56	444.72	173.85	260.38	703.28	571.05	303.44	228.13	514.56	555.41	703.28	316.37	400.71	334.46	466.88	314.17	460.44	447.82	329.84	412.0	616.37	336.79	435.55	366.09	473.41	514.56	612.11	412.0	500.46	346.29	414.87
ACOT9	93.35	373.81	115.97	301.33	312.0	532.74	397.93	373.81	123.5	624.99	563.18	194.36	397.93	525.39	191.67	123.5	343.89	224.97	69.03	486.75	379.04	376.41	318.57	941.27	941.27	579.04	409.15	688.78	698.41	967.76	796.86	599.49	866.07	890.44	438.59	791.35	718.08	571.05	1051.79	529.06	988.12	733.19	819.3	547.75	441.64	555.41	341.51	764.36	480.04	575.03
ACSM1	7.17	52.08	32.36	28.65	3.76	17.0	182.55	21.94	4.9	11.73	47.5	1.35	2.76	33.78	63.0	1.57	93.35	48.18	29.06	9.2	3.41	24.99	4.31	204.07	16.03	12.0	6.67	21.63	74.58	37.59	40.93	38.12	3.41	37.85	55.1	17.38	36.53	12.0	60.82	31.22	13.93	100.13	11.47	67.12	108.9	91.41	126.12	144.01	38.12	24.81
ADAM28	4.31	170.25	42.41	17.25	2.34	18.16	825.0	32.13	4.94	24.11	525.39	18.84	23.25	73.03	73.03	37.05	872.1	35.5	32.36	7.28	64.34	116.78	52.82	253.23	71.0	31.45	29.06	460.44	3467.27	132.44	1806.78	3491.39	559.28	4607.24	1991.0	2777.33	2997.45	379.04	2816.11	1350.18	571.05	1551.09	583.07	1331.57	6471.02	1561.89	2178.83	4038.61	3303.0	2090.03
AFF4	301.33	214.27	137.14	166.73	307.69	163.28	460.44	167.9	256.78	271.48	470.14	146.03	376.41	105.89	242.88	239.52	441.64	152.28	164.42	153.34	226.54	118.43	218.79	1030.12	1023.0	170.25	175.07	1369.04	656.11	518.15	595.34	703.28	563.18	884.29	397.93	444.72	909.17	529.06	1001.93	921.88	1037.29	579.04	1088.92	470.14	638.15	312.0	363.56	373.81	420.68	332.14
AGA	318.57	249.73	185.11	356.05	412.0	185.11	500.46	325.29	612.11	387.02	759.08	351.14	228.13	339.14	409.15	152.28	438.59	318.57	108.14	264.03	450.94	346.29	379.04	638.15	629.35	163.28	361.04	540.19	599.49	759.08	180.02	348.71	269.6	316.37	395.18	353.59	417.77	217.27	612.11	327.56	226.54	275.28	363.56	441.64	363.56	346.29	412.0	507.46	435.55	460.44
AGPAT9	13.03	10.16	8.13	0.64	3.2	6.06	19.82	6.01	12.74	17.0	35.5	2.68	13.03	8.51	8.51	5.59	9.41	2.92	2.86	11.21	6.16	7.06	16.88	110.43	93.35	5.45	60.39	244.57	92.7	447.82	54.33	97.36	86.43	183.82	90.77	473.41	215.77	36.27	96.01	105.15	89.51	120.94	98.04	915.51	229.72	111.21	137.14	318.57	239.52	151.22
ALKBH8	63.45	50.63	31.67	62.12	36.27	39.22	82.29	34.75	34.02	54.33	102.25	43.02	66.65	21.47	55.1	59.13	104.42	51.35	38.12	35.5	75.11	32.59	31.45	239.52	129.69	24.28	26.1	173.85	116.78	138.1	67.12	128.79	108.14	122.64	74.06	53.19	121.79	63.89	86.43	87.03	71.5	94.67	109.66	33.3	61.25	76.17	52.45	40.93	100.83	86.43
ANAPC13	1295.13	1369.04	1111.82	896.64	1250.98	1417.35	1359.57	1073.91	1733.13	1030.12	1498.22	988.12	1259.69	1277.29	1397.83	808.0	1639.59	1322.37	878.17	1167.14	1119.56	1008.9	1059.11	1561.89	1794.29	660.68	1151.06	3768.09	1561.89	2468.49	1769.57	1350.18	878.17	2351.53	1709.26	1950.0	2627.46	1508.65	2816.11	2303.12	1651.0	1870.53	1733.13	1183.45	2319.15	2555.58	2075.59	1697.45	2163.77	1870.53
ANKRD42	142.01	111.21	105.15	108.9	145.02	61.68	218.79	111.21	73.54	72.01	178.77	90.77	120.1	82.29	167.9	131.51	293.07	113.56	48.87	94.01	74.58	104.42	25.35	241.19	214.27	31.67	16.88	373.81	208.38	231.32	143.01	141.02	147.06	215.77	169.07	143.01	150.17	167.9	172.65	107.38	156.59	177.53	176.29	131.51	141.02	157.68	135.24	103.69	80.01	122.64
ARL14	9.93	53.57	88.26	95.34	77.79	55.49	836.53	665.29	11.73	140.04	332.14	356.05	21.01	1037.29	624.99	8.45	503.95	171.45	7.0	426.57	85.22	848.22	1.71	0.0	0.0	8.0	9.56	70.01	381.68	1.28	198.47	1175.27	241.19	1991.0	339.14	3325.99	1639.59	258.57	5112.16	212.78	58.3	3395.89	791.35	2777.33	2163.77	1001.93	902.89	1757.34	1561.89	1467.37
ARL15	287.01	246.28	103.69	199.85	155.5	128.79	299.25	173.85	165.57	169.07	497.0	80.01	211.31	96.68	209.84	209.84	409.15	142.01	38.95	109.66	138.1	155.5	72.01	642.59	1111.82	318.57	85.82	1250.98	373.81	397.93	339.14	251.48	384.34	323.03	316.37	151.22	543.96	366.09	633.73	229.72	332.14	289.02	429.54	195.72	255.0	248.0	228.13	244.57	182.55	325.29
ARL6IP5	988.12	1508.65	1096.5	1127.35	1378.57	2271.4	2915.45	1745.2	1208.34	1844.76	2855.44	1674.06	2739.08	660.68	1551.09	1073.91	3847.29	1295.13	1709.26	718.08	830.75	1407.55	1572.76	4328.55	6337.83	941.27	379.04	3982.99	3614.55	6471.02	2351.53	2287.2	1331.57	2758.13	1662.49	1617.0	2609.3	1769.57	2956.17	1467.37	1427.22	2816.11	2645.74	1277.29	2240.11	2976.74	1781.89	2193.99	2468.49	2956.17
ATG4A	172.65	167.9	133.36	152.28	135.24	234.57	197.09	180.02	242.88	226.54	221.86	101.54	181.28	96.68	176.29	202.66	273.37	143.01	98.73	181.28	100.83	181.28	121.79	253.23	373.81	167.9	264.03	303.44	318.57	470.14	186.4	303.44	185.11	312.0	368.65	473.41	305.55	202.66	529.06	371.22	221.86	366.09	194.36	320.8	423.61	341.51	253.23	429.54	291.04	363.56
B3GNT7	63.45	46.5	13.22	27.05	103.69	38.4	100.13	170.25	134.3	13.22	389.72	27.05	12.74	16.03	29.06	23.42	150.17	16.63	16.39	29.91	12.36	125.24	34.51	37.32	63.0	71.0	32.59	36.79	629.35	1447.15	297.17	403.5	718.08	967.76	1331.57	1508.65	633.73	248.0	651.58	403.5	5517.27	441.64	591.22	2075.59	2451.44	651.58	2255.7	1605.83	1233.75	660.68
BCL2L14	14.35	34.75	76.71	24.28	77.79	8.25	258.57	134.3	4.28	40.36	59.13	50.63	31.45	65.72	140.04	9.85	146.03	9.56	4.1	95.34	10.71	77.25	49.91	22.75	20.11	4.86	3.08	30.56	503.95	18.97	214.27	305.55	327.56	529.06	384.34	780.44	486.75	587.13	236.21	176.29	138.1	660.68	507.46	1104.13	1540.37	587.13	1151.06	1331.57	748.61	532.74
C1orf94	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.33	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.38	0.0	0.0	0.35	0.0	1.77	0.69	0.0	0.25	2.61	0.0	0.32	0.61	0.68	0.0	0.0	1.08	0.67	1.0	0.31	0.0	0.35	0.43	0.0	0.0	0.75
C6orf132	299.25	647.07	483.38	647.07	409.15	674.59	764.36	264.03	688.78	854.13	312.0	387.02	353.59	273.37	1044.52	265.87	928.3	429.54	112.77	579.04	497.0	387.02	392.44	392.44	118.43	441.64	193.01	438.59	665.29	438.59	1233.75	429.54	703.28	878.17	713.11	1936.53	842.36	764.36	497.0	287.01	271.48	896.64	941.27	3372.43	1844.76	713.11	1870.53	1697.45	2163.77	921.88
CAPRIN1	2351.53	2032.85	1529.73	1617.0	1295.13	2271.4	3146.52	1127.35	1540.37	1757.34	2777.33	1467.37	1819.35	1059.11	1628.26	1617.0	2367.9	1819.35	2434.5	1529.73	1508.65	909.17	1651.0	3372.43	3349.13	2090.03	947.83	5255.91	2739.08	3690.52	1769.57	2209.26	5041.77	2271.4	1662.49	2004.85	2701.35	2520.38	4388.98	2468.49	1923.14	2915.45	2367.9	1295.13	1832.01	1709.26	1477.58	1870.53	1651.0	1662.49
CCDC113	17.0	28.86	92.05	35.0	28.45	24.28	100.13	25.17	4.94	20.26	59.55	41.52	84.04	84.63	79.45	135.24	34.02	71.0	47.5	78.34	43.94	26.1	30.12	115.97	90.77	6.36	12.64	158.79	231.32	249.73	33.78	24.63	35.5	85.22	62.12	24.11	34.02	66.65	43.02	115.97	34.75	65.26	55.1	18.56	58.3	30.78	32.36	27.25	46.18	28.86
CCPG1	173.85	273.37	103.69	273.37	366.09	384.34	414.87	309.83	205.5	285.03	500.46	124.37	483.38	167.9	387.02	197.09	563.18	249.73	89.51	106.63	141.02	131.51	183.82	1733.13	1963.57	223.41	255.0	3467.27	1745.2	2609.3	1073.91	1167.14	1001.93	2032.85	1277.29	1369.04	1806.78	1051.79	2555.58	1605.83	1594.73	1259.69	1769.57	753.83	1977.24	1369.04	1199.98	1594.73	1250.98	1216.75
CD59	3639.7	7081.29	4152.18	3372.43	2796.65	10225.32	12076.21	3039.3	3491.39	6337.83	12076.21	6983.79	5872.48	5255.91	3257.52	2997.45	6840.04	4298.64	3491.39	4704.07	3372.43	4123.49	5006.93	20737.16	25708.25	5006.93	2777.33	15392.14	16496.96	14971.21	7081.29	4607.24	4066.71	7695.57	6426.31	9409.14	5791.62	4419.52	7589.61	4639.29	5479.15	6745.86	7803.01	7485.11	9808.75	10512.82	11267.44	12160.22	14361.31	10014.87
CDC42SE2	595.34	536.45	215.77	275.28	583.07	299.25	780.44	371.22	346.29	381.68	571.05	299.25	435.55	224.97	423.61	343.89	743.43	239.52	303.44	450.94	363.56	341.51	368.65	967.76	866.07	241.19	201.25	2520.38	1583.71	785.88	518.15	1277.29	579.04	1104.13	567.1	616.37	928.3	571.05	902.89	547.75	571.05	830.75	665.29	587.13	830.75	988.12	713.11	660.68	551.56	884.29
COPB1	974.5	1127.35	1051.79	733.19	1037.29	928.3	1674.06	780.44	1447.15	1143.1	1529.73	780.44	1359.57	583.07	872.1	1662.49	1143.1	909.17	1127.35	785.88	1073.91	511.0	738.29	1963.57	2178.83	961.07	571.05	2997.45	2004.85	4450.27	1008.9	1540.37	2148.82	1794.29	1208.34	1909.85	2047.0	1594.73	2555.58	2400.97	1991.0	2047.0	1662.49	1030.12	1844.76	1417.35	981.29	1617.0	1151.06	1268.46
COPS4	540.19	555.41	295.11	466.88	511.0	703.28	656.11	638.15	389.72	819.3	878.17	373.81	703.28	674.59	753.83	642.59	723.08	503.95	567.1	389.72	748.61	271.48	366.09	1081.39	1242.34	555.41	842.36	1159.07	660.68	1322.37	536.45	698.41	688.78	802.41	525.39	559.28	769.69	679.29	563.18	961.07	507.46	718.08	718.08	540.19	571.05	848.22	583.07	703.28	688.78	872.1
CREBL2	175.07	228.13	189.02	195.72	178.77	264.03	493.56	301.33	420.68	236.21	363.56	334.46	423.61	204.07	384.34	521.76	493.56	271.48	212.78	264.03	275.28	129.69	155.5	1407.55	1551.09	178.77	141.02	1639.59	995.0	1104.13	514.56	718.08	348.71	728.11	563.18	363.56	842.36	521.76	555.41	748.61	476.71	493.56	934.76	381.68	723.08	656.11	563.18	403.5	551.56	579.04
CRYL1	341.51	647.07	693.58	420.68	450.94	171.45	1540.37	414.87	1277.29	656.11	1963.57	463.65	728.11	633.73	348.71	866.07	679.29	587.13	490.14	295.11	473.41	348.71	204.07	656.11	723.08	303.44	575.03	1066.48	909.17	669.92	688.78	518.15	591.22	693.58	1096.5	819.3	1322.37	1111.82	764.36	493.56	371.22	693.58	842.36	3614.55	1208.34	1008.9	1044.52	1397.83	860.08	1104.13
CTSO	45.85	239.52	113.56	166.73	406.31	137.14	521.76	305.55	92.7	339.14	384.34	84.04	120.94	246.28	371.22	189.02	420.68	112.77	59.55	173.85	90.77	115.16	159.9	1066.48	1259.69	78.34	167.9	1594.73	896.64	1417.35	432.53	400.71	351.14	802.41	346.29	187.71	595.34	283.05	490.14	221.86	651.58	525.39	890.44	414.87	525.39	460.44	432.53	249.73	379.04	397.93
CUL5	155.5	63.89	145.02	123.5	153.34	110.43	206.94	99.43	100.13	170.25	256.78	130.6	159.9	123.5	115.16	189.02	236.21	152.28	95.34	87.65	194.36	55.89	108.14	466.88	429.54	84.04	76.71	723.08	262.2	361.04	221.86	264.03	343.89	289.02	181.28	226.54	248.0	217.27	232.94	269.6	241.19	256.78	400.71	217.27	234.57	177.53	146.03	205.5	193.01	236.21
CYP2C19	0.0	1.27	0.0	0.31	0.0	0.64	8.58	0.0	0.0	0.0	0.34	0.0	0.0	0.0	6.67	0.62	1.81	0.0	0.0	5.68	10.88	0.0	0.28	2.23	2.32	0.0	2.2	0.37	68.07	1.57	14.24	53.19	190.34	204.07	24.99	48.18	106.63	31.67	120.94	22.75	7.63	89.51	96.68	303.44	74.58	29.06	43.32	38.12	23.93	17.13
CYP3A5	38.95	679.29	59.97	775.05	289.02	780.44	1857.6	371.22	813.63	356.05	575.03	273.37	332.14	65.72	269.6	5.36	1015.93	29.7	6.11	595.34	490.14	1794.29	13.62	49.56	87.03	9.93	71.5	447.82	2400.97	112.77	246.28	2032.85	483.38	3039.3	20310.37	1721.16	2855.44	490.14	1923.14	1417.35	412.0	3716.2	607.87	2004.85	2739.08	1135.2	2104.58	5112.16	2104.58	2119.22
DUSP18	83.45	98.04	162.14	72.01	120.1	47.84	161.02	70.51	107.38	67.12	156.59	70.01	94.67	68.07	89.51	34.02	172.65	79.45	25.72	44.25	58.71	101.54	48.52	129.69	148.09	71.0	67.59	137.14	183.82	303.44	156.59	201.25	236.21	181.28	269.6	124.37	137.14	190.34	129.69	68.07	169.07	244.57	258.57	150.17	125.24	114.36	115.97	106.63	99.43	94.01
ECE1	490.14	571.05	525.39	775.05	540.19	1044.52	1437.15	633.73	679.29	890.44	1295.13	836.53	607.87	1199.98	802.41	532.74	599.49	543.96	420.68	698.41	830.75	642.59	1030.12	2758.13	4181.07	514.56	718.08	1498.22	1794.29	848.22	1870.53	1340.84	1806.78	934.76	1467.37	1340.84	1233.75	1081.39	1023.0	848.22	2240.11	1733.13	1313.23	1268.46	1127.35	902.89	921.88	769.69	860.08	802.41
EFNB2	371.22	155.5	325.29	85.22	303.44	115.97	114.36	275.28	679.29	197.09	1427.22	183.82	293.07	193.01	182.55	140.04	540.19	108.14	281.09	87.65	96.01	423.61	239.52	490.14	612.11	146.03	366.09	890.44	688.78	708.18	603.67	497.0	1199.98	521.76	454.09	629.35	633.73	688.78	547.75	500.46	674.59	796.86	656.11	669.92	1096.5	285.03	651.58	547.75	563.18	332.14
EIF4G2	10733.74	9876.98	4450.27	7485.11	7130.55	7857.29	14262.1	8479.89	11909.94	9151.82	13033.07	5366.37	11189.6	3982.99	8191.0	7803.01	12076.21	5555.65	8598.28	5995.9	6652.97	4239.45	5183.54	10512.82	13033.07	6471.02	3564.78	16843.62	10808.41	19214.73	6983.79	8022.41	8840.04	9409.14	5219.6	7966.99	11992.79	9474.59	16496.96	9344.14	8247.98	10659.59	11345.82	6840.04	6652.97	7589.61	5594.3	6792.79	6840.04	9740.98
