	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VP.A87J.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.FL.A1YU.11A.11R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
ABCC6	241.19	95.34	0.0	0.26	4.98	10.31	20.11	7.94	100.83	24.46	175.07
AC015688.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89	2.63	11.13
AC017104.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	3.23
AC074212.3	0.0	1.27	0.0	0.02	0.0	0.0	0.0	0.0	0.61	0.0	0.72
AC079602.1	1.138002091E7	1019901.63	0.0	0.0	0.0	0.0	0.0	0.0	368.65	37.85	934.76
ACTR5	185.11	197.09	0.0	0.58	118.43	131.51	129.69	117.6	201.25	147.06	205.5
AEN	346.29	387.02	0.0	0.0	426.57	283.05	239.52	291.04	432.53	620.67	403.5
ALDH1A1	4972.34	1857.6	0.0	0.78	299.25	218.79	842.36	395.18	2384.37	4298.64	5995.9
ANXA4	1832.01	1088.92	0.0	0.48	1135.2	595.34	1447.15	896.64	2520.38	2976.74	2061.24
APOM	178.77	185.11	0.0	0.17	38.12	52.45	84.63	33.06	106.63	155.5	226.54
ARHGAP19	94.01	125.24	0.0	0.45	122.64	85.82	107.38	100.13	124.37	120.1	167.9
ARHGAP25	124.37	163.28	0.0	0.47	33.3	31.67	96.01	66.65	164.42	107.38	194.36
B4GALT4	703.28	395.18	0.0	0.99	540.19	435.55	483.38	381.68	934.76	612.11	860.08
BCL11A	143.01	265.87	0.0	0.44	8.32	23.76	121.79	12.93	121.79	162.14	161.02
BCL7C	441.64	718.08	0.0	0.52	432.53	638.15	616.37	525.39	1096.5	1417.35	2004.85
C12orf74	3.66	6.84	0.0	0.0	0.44	0.16	0.47	0.0	8.85	4.1	28.86
C14orf105	283.05	169.07	0.0	0.0	0.0	0.0	0.0	0.0	208.38	53.19	423.61
C17orf49	836.53	1561.89	0.0	0.68	1529.73	890.44	1268.46	1745.2	2502.97	2417.67	2351.53
C17orf51	31.22	57.89	0.0	0.47	22.43	46.5	39.22	31.9	104.42	69.52	190.34
C1QL1	39.5	59.13	0.0	0.35	0.38	5.59	4.58	5.11	22.1	55.49	63.45
CACNA1F	14.78	17.64	0.0	0.3	1.23	0.0	7.11	0.45	7.88	14.67	9.7
CAD	543.96	738.29	0.0	0.37	438.59	470.14	476.71	529.06	1073.91	830.75	1322.37
CALCR	0.0	1.22	0.0	0.0	0.48	0.79	0.83	0.0	1.38	0.91	2.71
CALHM1	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.21	0.44	0.84
CD226	13.32	15.34	0.0	0.24	5.54	2.89	11.55	5.5	34.02	7.82	42.11
CD83	57.08	41.52	0.0	0.0	176.29	73.03	105.15	44.89	172.65	127.89	264.03
CDCA7	281.09	336.79	316.37	473.41	7.69	6.11	158.79	38.95	1143.1	1674.06	1427.22
CNOT7	713.11	607.87	802.41	665.29	500.46	514.56	642.59	444.72	1242.34	981.29	1388.16
CNPY1	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	6.46
COL24A1	3.76	2.68	0.0	0.35	8.25	2.81	3.82	4.66	16.88	11.47	17.0
