	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.Y5LM.1526.SM.4VDTA	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZT9W.1826.SM.51MQX
ANKIB1	543.96	423.61	444.72	457.25	493.56	447.82	607.87	543.96	595.34	497.0	480.04	457.25	397.93	199.85	457.25	206.94	158.79	239.52	133.36	71.5	241.19	186.4	244.57	183.82	162.14	237.86	305.55	221.86	309.83	237.86	199.85	204.07	237.86	180.02	137.14	202.66	98.73	181.28	339.14	279.14	204.07	295.11	220.32	182.55	244.57	186.4	236.21	229.72	177.53	373.81	195.72	204.07	255.0	256.78	130.6	303.44	348.71	178.77	318.57	297.17	134.3
ANKRD36	217.27	145.02	232.94	129.69	287.01	189.02	258.57	171.45	239.52	237.86	120.1	129.69	98.73	84.04	258.57	69.03	82.87	68.07	81.71	37.32	42.71	61.68	128.79	70.51	74.06	132.44	57.08	32.36	108.14	77.25	62.12	63.0	101.54	47.84	84.04	91.41	48.18	40.93	49.91	103.69	59.97	178.77	78.89	53.57	99.43	75.11	71.0	102.25	85.82	69.52	37.05	96.68	82.29	79.45	90.77	117.6	94.67	96.68	124.37	123.5	57.89
AP3M1	796.86	693.58	693.58	753.83	651.58	753.83	775.05	780.44	872.1	753.83	753.83	753.83	688.78	409.15	518.15	351.14	435.55	551.56	346.29	314.17	412.0	329.84	460.44	447.82	351.14	476.71	603.67	470.14	320.8	470.14	314.17	414.87	551.56	299.25	343.89	476.71	332.14	334.46	490.14	392.44	429.54	514.56	423.61	447.82	441.64	450.94	381.68	444.72	389.72	476.71	358.54	371.22	420.68	426.57	320.8	591.22	507.46	466.88	583.07	490.14	395.18
ATM	551.56	373.81	493.56	318.57	547.75	547.75	503.95	583.07	703.28	633.73	373.81	318.57	358.54	83.45	299.25	109.66	75.11	191.67	100.83	39.22	165.57	80.01	202.66	116.78	97.36	248.0	118.43	102.25	154.42	121.79	46.18	111.21	221.86	65.26	64.34	143.01	88.88	82.87	190.34	143.01	212.78	262.2	181.28	70.01	155.5	98.04	81.71	143.01	171.45	182.55	69.03	114.36	111.99	206.94	65.72	441.64	205.5	131.51	371.22	397.93	58.3
ATP7A	242.88	167.9	162.14	159.9	251.48	253.23	244.57	220.32	239.52	226.54	242.88	159.9	205.5	44.89	77.25	50.27	45.53	63.45	41.81	22.59	41.22	36.53	52.45	43.32	46.84	76.17	82.29	27.05	73.54	55.49	21.94	40.64	67.59	50.27	39.22	53.19	34.02	36.27	42.11	41.22	50.27	81.71	65.26	47.84	50.98	47.17	42.11	67.12	55.49	88.88	29.91	40.64	59.13	42.11	35.25	88.26	77.25	50.27	57.89	56.68	35.76
BCL2	536.45	633.73	476.71	679.29	698.41	575.03	769.69	629.35	791.35	698.41	947.83	679.29	543.96	44.25	85.82	115.97	112.77	161.02	119.26	52.08	101.54	69.52	129.69	76.71	86.43	153.34	100.83	44.25	148.09	58.71	27.44	150.17	140.04	84.04	81.14	80.57	100.83	58.71	76.71	65.26	95.34	189.02	109.66	64.8	94.01	48.18	57.08	123.5	95.34	132.44	44.25	91.41	141.02	72.01	77.79	189.02	143.01	134.3	159.9	193.01	45.53
BLOC1S5	318.57	361.04	348.71	217.27	301.33	343.89	358.54	361.04	384.34	318.57	299.25	217.27	334.46	124.37	151.22	164.42	111.99	169.07	143.01	116.78	130.6	138.1	156.59	131.51	102.25	152.28	157.68	134.3	165.57	161.02	150.17	132.44	173.85	135.24	96.01	153.34	135.24	116.78	150.17	88.26	130.6	198.47	166.73	146.03	120.1	78.89	162.14	165.57	108.9	142.01	125.24	127.89	124.37	161.02	105.15	224.97	151.22	134.3	186.4	176.29	107.38
C2orf49	373.81	376.41	361.04	241.19	348.71	450.94	403.5	454.09	460.44	389.72	312.0	241.19	329.84	191.67	309.83	198.47	132.44	199.85	112.77	116.78	195.72	136.19	218.79	162.14	152.28	212.78	197.09	149.12	141.02	178.77	100.13	159.9	248.0	117.6	115.16	149.12	158.79	140.04	228.13	153.34	145.02	299.25	209.84	158.79	169.07	138.1	167.9	194.36	151.22	241.19	154.42	187.71	183.82	242.88	117.6	273.37	205.5	157.68	241.19	316.37	132.44
C8orf37	66.65	81.71	75.64	39.79	66.18	80.57	67.59	77.79	75.11	92.7	43.94	39.79	63.89	10.55	29.7	9.2	9.34	7.82	7.22	6.16	9.56	11.55	20.56	10.88	12.45	15.56	13.93	5.68	11.3	7.82	6.41	11.13	16.88	6.78	7.82	11.82	6.94	7.75	11.13	6.67	6.16	27.64	12.0	10.47	9.27	9.7	7.4	5.96	10.71	15.22	6.36	6.73	9.78	12.83	3.47	15.11	18.03	17.0	27.25	26.1	4.78
CARD8	723.08	651.58	713.11	723.08	780.44	684.02	1225.22	796.86	860.08	825.0	480.04	723.08	638.15	169.07	457.25	371.22	389.72	332.14	334.46	148.09	346.29	400.71	441.64	334.46	406.31	679.29	291.04	327.56	341.51	361.04	193.01	363.56	518.15	353.59	199.85	376.41	368.65	183.82	327.56	438.59	454.09	438.59	379.04	237.86	536.45	316.37	341.51	358.54	366.09	438.59	262.2	339.14	264.03	450.94	228.13	642.59	309.83	239.52	647.07	575.03	224.97
