	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.P4QT.0626.SM.3NMCP	GTEX.XQ8I.1526.SM.4BOOH	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AC139426.2	0.8	11.91	5.63	6.16	2.73	0.0	6.46	6.16	6.46	4.58	3.99	5.63	2.29	10.79	8.78	4.17	17.51	13.62	7.0	23.93	18.84	24.46	32.13	2.29	1.73	1.57	0.0	0.0	0.0	1.64	0.67	0.72	27.44	0.0	0.82	1.62	0.71	0.69	0.95	0.0
AGAP5	64.8	185.11	122.64	81.14	94.67	53.19	136.19	77.25	100.13	88.26	76.71	66.18	81.71	146.03	217.27	69.03	301.33	172.65	190.34	251.48	239.52	371.22	336.79	49.56	22.43	39.79	34.02	18.29	13.72	42.11	32.82	18.29	361.04	5.54	12.83	15.8	25.35	15.0	18.29	6.84
AHI1	62.12	441.64	279.14	127.89	323.03	75.11	299.25	128.79	249.73	186.4	96.68	131.51	239.52	262.2	336.79	102.25	633.73	305.55	111.99	656.11	486.75	698.41	493.56	162.14	52.08	85.22	63.45	63.45	64.8	87.03	92.05	49.56	511.0	44.25	66.18	47.84	63.89	28.24	57.89	30.78
ANKRD49	99.43	269.6	320.8	275.28	305.55	236.21	444.72	185.11	368.65	255.0	279.14	312.0	361.04	371.22	381.68	218.79	353.59	412.0	325.29	366.09	500.46	432.53	403.5	283.05	140.04	194.36	256.78	318.57	153.34	248.0	214.27	151.22	503.95	148.09	101.54	63.89	202.66	154.42	115.97	136.19
ANXA1	1970321.01	68793.23	447025.24	721179.07	202841.44	573724.06	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	140478.49	52497.92	1364554.84	4704.07	158046.64	140478.49	4802.93	9474.59	4802.93	6207.38	324980.94	236256.4	200048.85	313910.86	437825.58	214407.12	301123.38	303217.87	214407.12	4639.29	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
AP000974.1	0.52	3.72	3.44	4.58	4.66	1.03	4.7	2.46	4.7	4.1	1.5	5.41	11.13	6.01	8.65	0.39	16.51	5.06	2.56	19.11	12.09	18.7	19.82	0.64	0.62	1.0	0.0	0.0	0.0	0.0	0.58	0.62	11.91	0.0	0.0	0.61	1.91	0.4	0.0	0.18
ARAP3	92.05	341.51	251.48	198.47	139.07	44.89	267.73	159.9	208.38	182.55	122.64	234.57	146.03	155.5	249.73	78.34	525.39	279.14	140.04	514.56	624.99	406.31	532.74	34.26	44.57	47.5	36.27	18.03	27.64	81.14	98.04	55.49	764.36	12.36	47.17	69.52	42.11	25.72	30.78	21.94
ARHGEF17	33.78	1167.14	164.42	547.75	231.32	142.01	575.03	967.76	325.29	616.37	209.84	412.0	273.37	1369.04	454.09	253.23	1487.87	444.72	381.68	1540.37	1991.0	1896.65	1427.22	113.56	125.24	88.26	52.08	18.03	80.57	97.36	77.25	84.63	1794.29	16.51	56.28	61.68	108.9	58.3	60.82	23.08
ARMCX4	11.64	279.14	45.85	131.51	137.14	15.8	185.11	87.65	149.12	106.63	113.56	105.89	115.16	271.48	151.22	88.26	733.19	197.09	164.42	854.13	759.08	842.36	633.73	60.82	23.76	57.49	40.93	10.63	32.36	64.8	31.45	32.13	273.37	3.79	19.82	28.86	50.27	26.28	21.47	13.42
ATM	105.89	392.44	145.02	129.69	211.31	120.94	279.14	138.1	209.84	163.28	142.01	131.51	111.21	251.48	312.0	147.06	371.22	190.34	260.38	351.14	332.14	460.44	583.07	169.07	65.26	120.94	112.77	76.17	75.64	137.14	133.36	78.34	1119.56	59.13	57.08	76.17	110.43	58.3	74.06	44.57
CACNA1C	0.05	253.23	224.97	99.43	87.65	50.63	202.66	80.57	48.87	116.78	20.41	85.22	173.85	101.54	186.4	66.65	616.37	71.0	71.0	764.36	373.81	866.07	551.56	5.73	9.34	6.67	5.63	12.18	10.0	20.11	5.02	22.1	206.94	3.5	24.11	10.47	15.8	9.06	4.03	1.41
CC2D1B	253.23	514.56	529.06	575.03	698.41	624.99	490.14	703.28	551.56	507.46	543.96	563.18	616.37	638.15	679.29	486.75	743.43	536.45	638.15	769.69	967.76	651.58	718.08	387.02	397.93	358.54	358.54	223.41	309.83	429.54	444.72	366.09	808.0	236.21	264.03	293.07	353.59	397.93	371.22	221.86
CCDC14	133.36	1008.9	1015.93	447.82	941.27	392.44	1008.9	450.94	723.08	764.36	441.64	567.1	529.06	1111.82	954.43	248.0	1250.98	463.65	521.76	1331.57	1250.98	1388.16	1143.1	223.41	171.45	195.72	150.17	111.99	92.05	234.57	163.28	82.87	1242.34	30.56	98.04	88.26	105.89	50.63	82.29	49.21
