	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
AASDHPPT	567.1	836.53	559.28	759.08	866.07	616.37	947.83	224.97	432.53	599.49	444.72	457.25	141.02	275.28	366.09	154.42	265.87	229.72	271.48	271.48
AGO1	161.02	198.47	265.87	180.02	209.84	135.24	145.02	67.12	206.94	139.07	102.25	112.77	115.16	175.07	162.14	99.43	131.51	43.63	54.33	41.52
AGO4	223.41	154.42	208.38	301.33	234.57	94.01	202.66	35.0	193.01	158.79	115.16	237.86	156.59	120.1	153.34	61.25	83.45	36.53	81.14	38.95
ARL6	147.06	172.65	199.85	126.12	111.21	74.06	151.22	45.21	115.16	69.03	131.51	100.13	35.0	105.89	76.71	27.05	48.52	22.59	41.52	18.97
ARMC8	483.38	486.75	665.29	532.74	579.04	297.17	260.38	217.27	463.65	389.72	435.55	371.22	195.72	441.64	336.79	251.48	256.78	187.71	167.9	162.14
ATAD2B	146.03	127.0	221.86	191.67	211.31	90.14	141.02	32.13	139.07	88.88	112.77	129.69	44.25	71.0	106.63	12.64	21.32	47.17	38.4	14.89
ATG12	995.0	902.89	1030.12	934.76	1008.9	836.53	947.83	587.13	791.35	559.28	780.44	579.04	358.54	624.99	723.08	220.32	267.73	551.56	473.41	221.86
ATG14	176.29	231.32	293.07	277.2	220.32	182.55	273.37	132.44	234.57	170.25	177.53	244.57	94.01	155.5	120.94	65.72	142.01	71.5	92.05	37.32
ATG4C	221.86	217.27	215.77	262.2	239.52	116.78	146.03	76.17	195.72	116.78	145.02	136.19	48.87	109.66	191.67	46.84	95.34	69.52	143.01	49.56
BIRC2	896.64	878.17	612.11	896.64	896.64	551.56	909.17	420.68	567.1	684.02	603.67	713.11	289.02	301.33	423.61	239.52	371.22	669.92	423.61	295.11
BIRC6	796.86	743.43	1322.37	1015.93	1167.14	583.07	688.78	297.17	967.76	599.49	571.05	612.11	255.0	567.1	612.11	204.07	194.36	217.27	251.48	212.78
BOD1L1	638.15	490.14	624.99	583.07	579.04	403.5	323.03	183.82	583.07	503.95	536.45	511.0	146.03	463.65	406.31	48.18	52.82	52.08	113.56	31.9
BORA	136.19	143.01	109.66	152.28	109.66	80.57	113.56	89.51	131.51	170.25	112.77	71.0	47.5	59.55	88.26	19.25	28.24	12.45	47.84	8.85
BRWD3	78.89	120.94	190.34	144.01	136.19	63.45	107.38	23.08	86.43	54.33	68.07	51.71	18.97	43.94	52.08	5.59	11.47	27.64	26.1	9.27
BTAF1	348.71	325.29	507.46	356.05	260.38	237.86	379.04	63.0	246.28	149.12	309.83	258.57	86.43	190.34	191.67	34.51	35.0	68.55	80.01	53.19
BTBD1	909.17	1135.2	988.12	1066.48	1119.56	684.02	934.76	587.13	954.43	769.69	629.35	791.35	285.03	679.29	947.83	281.09	507.46	190.34	348.71	258.57
C2orf49	279.14	312.0	327.56	392.44	251.48	226.54	264.03	232.94	341.51	239.52	279.14	253.23	119.26	197.09	183.82	69.52	63.89	156.59	127.89	56.68
C9orf152	703.28	616.37	967.76	1088.92	988.12	221.86	947.83	638.15	909.17	486.75	551.56	432.53	125.24	1159.07	277.2	0.37	0.34	20.11	26.86	5.11
C9orf91	571.05	547.75	890.44	1030.12	1242.34	1127.35	928.3	878.17	988.12	395.18	651.58	490.14	215.77	514.56	242.88	376.41	223.41	11.55	85.82	81.71
CAAP1	376.41	457.25	438.59	379.04	423.61	373.81	490.14	283.05	384.34	332.14	314.17	341.51	122.64	206.94	283.05	113.56	138.1	80.01	224.97	130.6
CBX5	587.13	669.92	1096.5	819.3	612.11	616.37	490.14	299.25	480.04	507.46	283.05	275.28	198.47	406.31	395.18	183.82	500.46	82.87	146.03	85.22
CCDC125	500.46	591.22	688.78	656.11	595.34	493.56	698.41	351.14	780.44	242.88	414.87	223.41	105.89	400.71	301.33	28.24	66.65	220.32	183.82	80.01
CCDC15	28.65	72.52	41.52	49.56	66.18	44.89	105.15	27.84	73.54	60.39	34.02	51.35	21.32	22.26	19.25	4.35	4.31	23.25	36.01	7.34
CCDC25	674.59	934.76	884.29	836.53	1015.93	848.22	1030.12	647.07	860.08	872.1	698.41	796.86	358.54	660.68	660.68	264.03	289.02	271.48	316.37	309.83
CCSER2	490.14	995.0	518.15	651.58	595.34	447.82	511.0	267.73	723.08	384.34	669.92	412.0	163.28	351.14	444.72	86.43	87.03	107.38	111.21	54.72
CDC42	7857.29	5995.9	7695.57	7280.4	7485.11	6164.49	4972.34	4268.94	4388.98	5112.16	2701.35	3928.15	2956.17	5006.93	4358.66	3443.31	3515.68	1529.73	2485.67	1745.2
CERKL	195.72	154.42	56.68	182.55	180.02	45.21	139.07	105.89	67.12	110.43	89.51	128.79	65.26	56.28	115.16	19.82	35.0	14.03	28.65	5.45
CLOCK	325.29	325.29	503.95	307.69	373.81	176.29	190.34	82.87	251.48	265.87	186.4	211.31	61.25	193.01	229.72	30.78	47.17	34.26	41.81	14.67
CNOT6L	447.82	441.64	624.99	497.0	563.18	287.01	231.32	114.36	389.72	329.84	283.05	295.11	102.25	299.25	258.57	61.25	138.1	55.89	97.36	59.13
CREBRF	285.03	205.5	329.84	305.55	249.73	183.82	186.4	60.82	242.88	140.04	267.73	191.67	47.5	167.9	116.78	40.93	88.26	54.33	75.64	28.04
CTD-2192J16.20	49.56	41.52	64.34	74.06	62.12	50.98	47.5	43.32	62.12	27.44	38.95	45.53	22.92	50.27	23.42	18.97	32.36	21.01	27.05	3.66
CUL5	267.73	409.15	320.8	373.81	406.31	260.38	379.04	111.21	237.86	246.28	291.04	285.03	102.25	122.64	138.1	73.54	65.72	136.19	110.43	77.79
DBT	138.1	205.5	265.87	215.77	293.07	129.69	181.28	66.18	260.38	138.1	88.88	128.79	37.85	214.27	147.06	23.59	35.76	56.68	79.45	90.77
DCLRE1C	166.73	149.12	132.44	234.57	205.5	89.51	208.38	85.22	201.25	123.5	132.44	146.03	88.26	137.14	100.83	11.13	25.54	21.78	43.32	3.26
DDX6	1199.98	1477.58	1540.37	1498.22	1594.73	1044.52	1350.18	277.2	921.88	1001.93	1073.91	651.58	121.79	559.28	616.37	132.44	186.4	63.45	140.04	116.78
DIS3	529.06	525.39	500.46	532.74	521.76	351.14	309.83	202.66	450.94	356.05	444.72	234.57	90.14	232.94	307.69	50.98	78.89	53.57	148.09	89.51
DLAT	432.53	718.08	329.84	629.35	733.19	518.15	738.29	406.31	366.09	536.45	470.14	392.44	111.21	348.71	318.57	159.9	241.19	157.68	143.01	144.01
DOCK1	493.56	684.02	825.0	1081.39	1167.14	624.99	454.09	363.56	669.92	941.27	341.51	497.0	432.53	599.49	412.0	154.42	167.9	98.73	231.32	140.04
E2F6	348.71	400.71	423.61	397.93	406.31	231.32	301.33	186.4	353.59	348.71	297.17	229.72	191.67	262.2	346.29	165.57	208.38	110.43	201.25	73.54
EFCAB14	1477.58	1819.35	1883.54	2209.26	2133.97	1407.55	1378.57	775.05	2032.85	1250.98	1167.14	1331.57	490.14	2061.24	1304.15	325.29	463.65	232.94	420.68	316.37
EPC2	406.31	334.46	514.56	460.44	441.64	273.37	316.37	151.22	392.44	289.02	305.55	329.84	105.15	277.2	267.73	44.89	91.41	86.43	118.43	55.1
ERCC8	161.02	175.07	186.4	148.09	142.01	145.02	151.22	81.14	109.66	70.51	98.73	111.21	61.25	108.14	98.73	78.34	88.26	74.06	77.79	45.85
ESCO1	281.09	287.01	314.17	303.44	406.31	104.42	314.17	107.38	223.41	215.77	205.5	273.37	66.65	186.4	226.54	17.77	46.18	74.58	90.77	17.64
ETF1	1467.37	1662.49	2090.03	1639.59	1605.83	1709.26	1233.75	947.83	1477.58	1498.22	1242.34	878.17	836.53	1044.52	1242.34	591.22	514.56	591.22	665.29	381.68
EYA3	191.67	368.65	316.37	343.89	353.59	164.42	199.85	120.94	211.31	175.07	173.85	214.27	111.21	185.11	136.19	90.14	172.65	44.57	94.67	55.89
FAM172A	371.22	384.34	483.38	343.89	260.38	293.07	273.37	132.44	325.29	204.07	218.79	169.07	76.17	218.79	206.94	54.33	64.8	46.84	83.45	39.79
FAM21A	536.45	638.15	759.08	595.34	764.36	470.14	743.43	361.04	780.44	366.09	392.44	204.07	287.01	466.88	202.66	277.2	341.51	239.52	403.5	144.01
FAM49B	1844.76	1457.23	2163.77	1950.0	1991.0	884.29	1350.18	974.5	1135.2	947.83	1111.82	1233.75	638.15	1037.29	1104.13	629.35	890.44	249.73	334.46	214.27
FAM8A1	511.0	684.02	563.18	583.07	738.29	463.65	848.22	297.17	559.28	703.28	514.56	780.44	115.16	301.33	466.88	110.43	152.28	223.41	466.88	334.46
FBXW2	748.61	915.51	1295.13	1233.75	1191.69	842.36	842.36	941.27	921.88	656.11	1111.82	579.04	575.03	647.07	463.65	476.71	363.56	193.01	387.02	285.03
FPGT	265.87	466.88	500.46	599.49	728.11	346.29	339.14	231.32	503.95	283.05	256.78	295.11	101.54	389.72	242.88	62.56	77.79	94.67	154.42	60.82
GCC2	490.14	525.39	733.19	866.07	785.88	412.0	514.56	165.57	728.11	343.89	503.95	466.88	67.59	473.41	273.37	34.75	63.0	75.11	71.0	21.63
GNRHR	4.5	2.23	6.78	6.36	7.63	1.38	0.96	0.83	4.58	0.66	2.32	2.63	0.0	3.99	0.71	0.0	0.34	0.59	0.65	0.0
GOLGA4	1487.87	1794.29	1119.56	1639.59	1936.53	718.08	2303.12	693.58	1304.15	785.88	1651.0	1304.15	260.38	607.87	915.51	105.89	140.04	529.06	392.44	127.89
GXYLT1	183.82	214.27	185.11	212.78	262.2	127.0	211.31	42.41	141.02	107.38	142.01	132.44	56.68	96.01	178.77	41.52	44.89	77.25	83.45	36.53
HBP1	2193.99	2133.97	3235.01	2075.59	1745.2	1594.73	1733.13	1685.71	2209.26	1733.13	1397.83	1662.49	698.41	1844.76	1233.75	529.06	708.18	457.25	728.11	579.04
