	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8485.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YU.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13
ADNP	1143.1	1857.6	2090.03	647.07	281.09	595.34	603.67	759.08	708.18	693.58	665.29	748.61	450.94	575.03	341.51	698.41	785.88	698.41	587.13	748.61	555.41	366.09	497.0	674.59	603.67	163.28	988.12	1950.0	1540.37	1268.46	1697.45	802.41	1143.1	1159.07	902.89	1477.58
ALDH18A1	3124.78	1359.57	1923.14	836.53	309.83	507.46	444.72	1295.13	525.39	854.13	698.41	457.25	642.59	796.86	193.01	733.19	660.68	728.11	525.39	842.36	624.99	486.75	583.07	551.56	543.96	480.04	1674.06	1250.98	1487.87	2148.82	1794.29	1037.29	1313.23	1295.13	1191.69	1208.34
ANKRD26	283.05	72.52	161.02	42.41	22.92	46.5	50.27	64.8	90.14	73.03	63.0	127.0	37.85	49.56	11.64	74.58	75.11	60.82	62.56	58.3	46.5	36.79	24.63	61.68	45.53	3.26	78.34	129.69	136.19	155.5	223.41	124.37	113.56	162.14	106.63	135.24
ANKRD49	808.0	603.67	507.46	206.94	287.01	197.09	163.28	218.79	285.03	204.07	194.36	269.6	190.34	156.59	215.77	211.31	267.73	214.27	301.33	217.27	187.71	189.02	148.09	236.21	169.07	15.22	384.34	497.0	555.41	642.59	403.5	429.54	476.71	723.08	384.34	503.95
ARNTL2	1081.39	169.07	260.38	34.02	3.89	7.51	6.31	18.7	6.62	40.07	40.64	10.55	15.8	6.11	2.68	23.25	24.81	23.76	30.56	31.22	21.01	11.47	7.06	9.27	11.82	8.78	371.22	279.14	490.14	961.07	915.51	167.9	575.03	450.94	163.28	309.83
ASCC3	529.06	490.14	656.11	144.01	82.29	123.5	190.34	211.31	140.04	162.14	190.34	193.01	178.77	202.66	52.82	221.86	173.85	244.57	248.0	214.27	242.88	147.06	138.1	177.53	147.06	142.01	397.93	616.37	463.65	412.0	514.56	287.01	470.14	612.11	255.0	507.46
ATAD2B	293.07	185.11	153.34	62.56	24.46	68.07	72.52	90.14	66.65	74.06	96.01	74.06	42.11	35.5	2.39	73.03	90.77	78.34	78.89	77.25	62.12	37.05	44.57	64.8	67.12	14.89	173.85	244.57	202.66	162.14	189.02	204.07	191.67	277.2	164.42	237.86
ATAD5	165.57	72.01	62.56	4.66	4.7	5.5	5.82	8.32	9.63	6.31	8.58	13.52	4.94	2.84	0.8	7.22	10.39	9.56	7.06	6.21	6.36	4.35	3.99	9.78	9.06	0.0	78.89	92.7	140.04	106.63	136.19	43.63	70.51	138.1	40.07	78.89
ATP6V0A2	358.54	301.33	341.51	180.02	120.1	102.97	108.9	185.11	123.5	126.12	152.28	116.78	113.56	109.66	127.0	143.01	177.53	178.77	123.5	152.28	78.34	75.11	136.19	126.12	126.12	52.82	525.39	429.54	480.04	412.0	353.59	368.65	432.53	536.45	303.44	476.71
B3GNT5	397.93	759.08	435.55	150.17	70.01	122.64	105.15	84.63	129.69	94.01	279.14	114.36	158.79	40.07	113.56	76.17	145.02	133.36	118.43	151.22	75.11	113.56	66.18	112.77	81.71	3.99	325.29	406.31	575.03	376.41	88.26	287.01	521.76	460.44	363.56	599.49
