	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.KC.A4BV.01A.31R.A26U.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ABCD2	4.39	0.23	0.22	0.23	1.13	3.44	5.15	4.31	6.16	5.36	3.26	1.81	2.39	4.82	1.81	0.6	2.36	3.82	2.89	0.23	0.0	0.55	4.21	9.48	5.63	1.45	5.92	0.56	1.17	4.1	6.01	0.84	1.3	1.91	0.0	0.84	16.27	4.7	0.52	1.95	1.22	1.77	0.0	1.5	0.87	2.34	4.54	2.56	12.93	1.14	1.79	0.27	0.87	1.51	1.17	1.5	1.27	0.25	0.84	3.2	8.25	4.31	0.84	2.05	0.25	0.54	0.24	3.79	1.1	2.51	0.82	0.54	0.23	1.14	3.38	3.17	0.24	2.66	3.06	2.18	1.48	2.66	0.48	0.57	1.23	3.79	3.56	8.65	3.89	4.03	12.18
ADCY7	100.13	10.96	16.27	14.67	24.81	80.01	62.56	73.03	102.97	44.89	23.42	38.67	50.27	40.93	32.13	50.27	33.78	61.25	154.42	28.65	19.68	6.57	87.65	129.69	70.51	14.89	108.14	14.03	30.12	71.0	114.36	41.81	56.28	72.52	6.36	17.64	260.38	108.14	15.22	31.45	9.7	120.1	13.32	31.22	39.5	45.53	53.95	32.13	224.97	30.56	54.72	19.53	55.1	107.38	52.45	45.21	34.26	34.75	19.11	131.51	142.01	93.35	38.67	23.42	14.89	22.75	25.91	41.22	11.73	31.9	21.01	11.73	25.54	73.54	15.11	39.79	31.9	33.54	124.37	43.32	14.35	80.01	22.75	22.92	13.93	76.17	170.25	91.41	92.7	34.02	105.89
AOAH	118.43	47.84	8.06	19.39	55.49	104.42	87.03	48.18	118.43	85.82	48.18	70.01	64.34	108.14	40.64	61.68	34.51	116.78	133.36	22.59	26.47	30.34	226.54	217.27	85.82	48.52	221.86	15.8	90.77	107.38	180.02	45.53	58.71	82.29	13.83	90.77	423.61	193.01	31.0	70.51	12.74	122.64	17.51	40.07	31.67	40.36	88.26	58.3	353.59	39.5	53.95	9.2	48.87	47.17	97.36	49.56	37.32	59.13	18.29	191.67	212.78	94.01	43.02	52.82	39.22	23.93	13.83	101.54	18.97	51.71	23.25	39.22	30.34	55.1	15.34	39.5	40.07	71.0	147.06	48.18	20.86	111.21	17.64	30.34	30.56	125.24	138.1	128.79	83.45	54.72	181.28
APBB1IP	74.06	29.48	3.99	14.03	28.04	69.52	70.51	90.77	78.34	65.72	48.87	40.64	62.56	59.97	26.28	33.06	49.91	49.91	119.26	19.25	18.29	22.75	147.06	167.9	65.26	24.11	86.43	17.0	32.36	110.43	101.54	34.51	36.79	75.11	6.46	47.17	336.79	121.79	24.46	41.81	15.68	72.52	12.45	29.27	31.45	24.11	72.01	45.53	232.94	22.59	40.36	12.27	38.67	51.71	50.63	28.45	36.79	115.16	12.74	185.11	131.51	73.03	23.59	41.52	27.44	15.11	15.0	53.19	15.0	57.49	29.91	23.08	18.43	40.64	15.56	40.64	28.45	35.76	193.01	45.21	22.75	75.11	16.63	22.26	20.71	63.0	80.01	91.41	74.58	31.67	111.99
APOBEC3D	34.51	13.03	1.14	5.19	32.59	43.94	48.87	47.5	49.56	42.41	17.0	45.53	30.56	40.93	22.92	13.03	17.64	18.03	36.79	10.08	8.32	9.78	53.19	78.34	23.76	6.41	17.38	16.03	25.72	21.47	33.54	13.52	18.56	27.25	1.13	20.26	111.99	57.89	16.27	12.64	10.24	36.79	5.87	18.16	22.26	32.13	30.12	23.08	105.15	13.03	16.63	1.33	9.85	20.56	16.15	20.71	27.05	13.52	8.99	54.33	44.57	38.95	6.94	29.91	11.04	20.41	2.58	17.64	5.82	36.27	9.41	10.63	7.75	42.11	9.78	10.79	14.56	26.86	22.92	38.12	30.34	29.06	7.22	23.42	10.08	71.5	95.34	115.97	102.97	40.07	57.89
APOBEC3G	120.1	42.71	16.27	17.13	163.28	169.07	285.03	251.48	191.67	197.09	124.37	97.36	132.44	232.94	104.42	59.13	64.8	131.51	231.32	35.0	22.1	62.12	253.23	343.89	134.3	49.21	197.09	52.45	90.14	126.12	195.72	111.21	79.45	151.22	6.89	93.35	591.22	232.94	50.27	92.05	57.08	136.19	25.91	74.06	71.5	154.42	150.17	151.22	555.41	54.33	87.03	20.11	57.49	111.21	77.79	68.07	84.63	111.21	36.01	277.2	197.09	173.85	70.51	111.99	49.91	61.25	33.3	112.77	36.53	186.4	40.36	68.55	46.18	190.34	48.87	81.71	48.87	142.01	128.79	175.07	173.85	218.79	31.45	69.52	97.36	543.96	346.29	819.3	320.8	211.31	332.14
ARHGAP25	98.73	56.28	15.68	14.89	70.01	139.07	129.69	162.14	97.36	126.12	63.89	53.57	81.71	96.68	48.18	49.56	71.5	84.04	171.45	48.52	43.02	53.95	161.02	204.07	100.13	59.13	113.56	41.52	74.58	136.19	128.79	61.68	57.08	107.38	23.59	41.22	371.22	177.53	38.4	74.06	46.5	117.6	21.01	96.68	185.11	80.01	104.42	83.45	329.84	25.17	72.01	21.16	50.27	64.8	67.12	48.87	66.65	53.95	23.93	265.87	170.25	131.51	53.19	71.0	43.32	98.73	27.44	78.34	46.18	78.34	31.0	49.21	33.3	112.77	24.46	75.64	47.17	88.26	116.78	65.26	44.89	84.63	66.65	45.53	55.49	176.29	195.72	214.27	148.09	172.65	165.57
ARHGAP30	111.99	40.64	40.93	46.18	75.64	148.09	118.43	158.79	131.51	128.79	49.56	92.05	92.7	128.79	63.45	91.41	90.14	108.14	187.71	48.18	39.79	36.01	205.5	242.88	146.03	43.32	163.28	40.36	82.29	144.01	220.32	72.01	90.14	140.04	24.63	66.18	591.22	224.97	59.13	55.49	35.0	152.28	37.32	56.28	72.01	68.55	104.42	83.45	414.87	47.5	73.54	25.72	74.06	121.79	98.04	72.01	70.01	77.25	27.44	253.23	189.02	118.43	78.89	58.3	38.95	42.71	51.35	123.5	25.17	102.97	55.1	45.53	55.89	94.67	42.41	64.8	75.64	96.68	153.34	84.63	36.79	115.16	21.78	59.13	41.81	116.78	217.27	183.82	143.01	65.72	129.69
ARHGEF6	161.02	34.02	17.13	37.32	54.72	135.24	104.42	105.89	141.02	105.15	61.25	102.97	145.02	100.13	60.39	49.91	61.25	114.36	166.73	45.53	62.56	43.94	172.65	154.42	140.04	59.55	166.73	50.98	80.57	147.06	178.77	52.82	80.01	121.79	14.14	42.11	305.55	154.42	51.35	63.89	61.68	112.77	22.1	111.99	194.36	61.68	126.12	115.16	239.52	57.08	98.73	31.0	66.18	54.72	94.01	58.71	71.5	57.08	30.78	194.36	251.48	183.82	50.63	57.89	29.06	44.89	43.94	119.26	44.25	76.71	66.18	51.35	72.01	65.72	32.59	76.71	52.45	70.01	165.57	97.36	54.72	166.73	30.34	46.84	48.87	137.14	140.04	169.07	140.04	131.51	228.13
ASAP1	301.33	49.21	56.28	90.77	164.42	303.44	173.85	149.12	236.21	206.94	111.21	176.29	181.28	169.07	143.01	81.14	108.9	244.57	273.37	83.45	135.24	138.1	239.52	277.2	155.5	105.15	224.97	87.03	141.02	231.32	295.11	100.83	116.78	262.2	63.89	77.79	312.0	228.13	92.05	104.42	165.57	212.78	110.43	144.01	158.79	138.1	166.73	211.31	329.84	133.36	214.27	142.01	116.78	144.01	186.4	131.51	139.07	108.14	109.66	236.21	395.18	323.03	105.15	128.79	81.14	128.79	115.97	228.13	72.01	108.14	88.26	89.51	86.43	187.71	81.14	142.01	111.99	114.36	205.5	202.66	78.34	249.73	98.04	92.05	81.71	197.09	305.55	211.31	239.52	260.38	379.04
