	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.PE.A5DE.01A.11R.A27Q.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.B6.A0I8.01A.11R.A034.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AC.A2FE.01A.11R.A19W.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73U.01A.11R.A33J.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.T6MO.1426.SM.4DM73	TCGA.86.8671.01A.11R.2403.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.FC.A5OB.01A.11R.A29R.07
AD000671.6	19.11	46.18	3.82	78.89	13.42	66.18	9.06	29.7	6.67	25.35	14.03	36.53	3.38	21.94	15.0	21.01	10.55	24.46	32.36	11.3	3.66	11.04	13.62	9.7	17.38	3.82	40.64	10.47	7.82	4.54	114.36	38.67	12.93	36.01	24.81	2.84	23.25	29.91	1.14	11.64	30.56	4.35	41.52	3.44	8.65	8.13	27.44	16.27	98.73	56.28	4.7
ARHGAP30	299.25	571.05	56.28	733.19	133.36	583.07	111.21	414.87	127.0	253.23	215.77	733.19	105.15	417.77	187.71	239.52	161.02	361.04	571.05	138.1	78.89	82.29	163.28	58.71	105.15	55.49	373.81	110.43	125.24	66.18	1208.34	414.87	211.31	397.93	325.29	85.82	432.53	414.87	115.16	279.14	325.29	79.45	575.03	172.65	113.56	57.49	201.25	172.65	1119.56	2090.03	19.68
ARHGAP9	500.46	723.08	96.01	728.11	205.5	848.22	115.16	447.82	129.69	318.57	166.73	796.86	75.11	514.56	176.29	341.51	244.57	420.68	525.39	178.77	61.68	84.63	127.0	62.12	159.9	75.11	432.53	166.73	128.79	101.54	1313.23	441.64	255.0	447.82	265.87	61.25	575.03	450.94	79.45	361.04	269.6	78.34	463.65	180.02	87.65	156.59	93.35	703.28	2271.4	2271.4	39.5
ARRB2	884.29	1268.46	371.22	902.89	780.44	1135.2	466.88	974.5	435.55	1073.91	674.59	1037.29	435.55	1208.34	679.29	1073.91	486.75	1159.07	1233.75	575.03	579.04	316.37	612.11	353.59	591.22	587.13	947.83	543.96	327.56	703.28	2303.12	928.3	733.19	1066.48	830.75	493.56	866.07	1119.56	327.56	1183.45	866.07	575.03	1208.34	693.58	842.36	624.99	651.58	1119.56	2287.2	4123.49	470.14
ASGR2	9.27	26.28	4.31	77.25	21.47	27.64	5.82	26.47	3.63	24.46	10.16	23.76	2.94	15.34	7.46	23.25	4.43	18.7	14.56	10.71	2.39	3.03	9.13	1.11	12.83	3.14	17.51	4.03	6.36	5.11	43.94	17.0	12.0	20.86	16.27	2.36	12.64	25.17	1.45	11.47	10.24	1.11	25.72	4.94	6.11	14.78	9.34	10.31	46.18	30.78	3.86
BIN2	156.59	417.77	32.82	395.18	144.01	454.09	65.72	281.09	63.89	172.65	142.01	457.25	35.0	223.41	127.89	186.4	118.43	195.72	309.83	100.13	34.75	45.21	80.01	38.95	95.34	31.22	260.38	97.36	63.45	51.71	743.43	204.07	138.1	264.03	156.59	69.03	392.44	208.38	39.5	198.47	255.0	17.9	318.57	92.05	62.56	49.56	61.68	93.35	759.08	1397.83	14.67
C16orf54	33.54	181.28	8.13	209.84	25.17	155.5	26.67	107.38	15.56	55.49	26.47	220.32	3.86	63.0	22.1	67.59	27.84	74.58	195.72	24.46	5.63	7.51	25.35	6.16	8.0	4.13	74.06	18.16	24.28	3.11	249.73	87.65	34.02	71.0	24.28	6.36	68.55	52.82	5.68	35.25	51.35	3.89	122.64	27.25	13.52	13.22	13.12	101.54	283.05	318.57	5.02
C5orf20	1.45	33.54	0.0	11.82	0.36	12.36	0.31	5.92	0.91	6.84	0.67	28.65	0.0	7.57	1.38	13.93	0.93	4.9	13.32	0.93	0.27	0.0	2.29	0.32	0.0	0.26	4.28	0.61	0.88	0.3	20.86	13.03	3.41	3.79	1.25	0.35	5.5	5.59	0.31	2.14	10.0	0.0	15.0	0.29	0.0	0.0	0.0	0.0	63.89	121.79	0.26
CCL17	29.06	130.6	16.27	73.03	25.35	42.71	32.59	86.43	1.79	60.39	8.45	62.12	20.41	51.35	33.78	587.13	3.44	61.25	387.02	20.71	7.82	2.14	11.04	87.03	5.11	23.93	77.25	10.39	7.94	2.51	132.44	175.07	38.4	87.65	2.78	1.79	45.21	36.79	28.86	1.41	37.59	1.62	149.12	18.29	4.06	22.26	15.45	25.54	152.28	1427.22	1.03
CCL5	723.08	4268.94	195.72	5594.3	769.69	5403.7	480.04	2209.26	175.07	1467.37	848.22	3235.01	78.34	1963.57	500.46	2032.85	450.94	1378.57	4010.71	497.0	74.58	325.29	283.05	172.65	119.26	86.43	1605.83	301.33	480.04	153.34	5076.84	1216.75	1259.69	1572.76	500.46	80.01	1769.57	1242.34	753.83	934.76	1397.83	48.18	3742.05	567.1	289.02	647.07	743.43	921.88	5329.3	16383.0	23.76
CCR5	95.34	521.76	36.53	289.02	61.25	260.38	75.64	351.14	38.95	109.66	129.69	305.55	19.53	120.94	114.36	136.19	97.36	124.37	283.05	80.57	10.55	28.24	40.36	23.25	21.94	11.21	241.19	56.28	53.95	10.0	759.08	108.14	126.12	253.23	141.02	20.26	180.02	127.0	33.06	105.89	253.23	12.64	329.84	71.0	44.89	58.3	16.63	107.38	457.25	1066.48	3.56
CCR7	56.68	1073.91	12.74	591.22	28.65	532.74	33.3	232.94	19.53	151.22	57.89	563.18	30.12	255.0	30.34	224.97	29.48	139.07	447.82	73.03	12.83	19.53	78.34	14.67	18.16	5.28	194.36	29.06	29.7	8.06	232.94	460.44	109.66	133.36	65.26	12.0	100.13	81.14	24.99	18.29	77.25	9.48	303.44	39.5	28.65	15.0	36.01	49.91	651.58	599.49	0.68
CD1B	2.89	27.44	0.85	123.5	0.73	25.35	16.27	26.47	0.29	14.45	1.03	50.27	0.29	8.25	4.17	120.94	5.32	11.21	28.04	6.89	0.0	0.0	1.99	0.66	1.51	0.0	23.93	2.48	0.89	4.1	23.93	70.51	3.44	11.3	0.0	1.81	5.59	8.92	1.95	0.0	2.18	0.66	45.85	2.76	2.84	20.86	0.0	0.0	46.84	429.54	0.0
