	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13FTW.1626.SM.5KM4N	GTEX.WH7G.0926.SM.4LVMJ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.HC.7745.01A.11R.2118.07	GTEX.WFG8.1826.SM.4LVM4	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13
ABCC6	88.26	88.26	8.13	12.18	4.58	6.06	5.41	19.11	43.32	0.0	0.26	206.94	20.71	37.59	80.57	47.84	131.51	63.45	45.53	4.7	0.69	4.35	27.44	6.67	5.63	3.72	447.82
ABHD10	426.57	426.57	139.07	158.79	293.07	159.9	127.89	236.21	316.37	0.0	0.28	599.49	587.13	1066.48	878.17	543.96	669.92	599.49	591.22	183.82	96.68	97.36	201.25	133.36	185.11	100.83	802.41
ABHD15	269.6	269.6	101.54	130.6	110.43	110.43	102.97	106.63	155.5	0.0	0.27	115.16	135.24	135.24	138.1	153.34	113.56	154.42	221.86	111.99	63.45	115.16	88.88	66.65	90.14	79.45	316.37
ACP1	1369.04	1369.04	1159.07	1286.18	1304.15	1111.82	1059.11	1340.84	1498.22	0.0	1.1	2104.58	1794.29	1721.16	1977.24	2163.77	1936.53	2075.59	1832.01	2075.59	1096.5	1037.29	1286.18	819.3	1088.92	1104.13	5041.77
ACVR2B	54.72	54.72	19.53	27.64	15.22	15.34	13.12	20.11	26.1	0.0	0.25	36.01	21.94	40.07	64.8	36.79	68.55	48.87	43.02	8.45	4.28	5.87	24.99	6.21	12.64	6.52	93.35
ADM2	128.79	128.79	77.25	10.16	2.84	28.86	8.71	64.34	78.34	0.0	0.01	166.73	273.37	215.77	511.0	112.77	164.42	133.36	100.83	23.42	15.45	4.28	42.71	28.45	33.78	17.51	329.84
ALG12	361.04	361.04	195.72	332.14	295.11	279.14	269.6	368.65	432.53	0.0	0.12	825.0	878.17	708.18	728.11	518.15	595.34	665.29	769.69	258.57	234.57	198.47	262.2	283.05	406.31	224.97	660.68
ARAF	1781.89	1781.89	351.14	1044.52	813.63	909.17	1081.39	854.13	1250.98	1259.69	412.0	1936.53	2417.67	1909.85	1369.04	1757.34	1733.13	1832.01	2148.82	764.36	713.11	507.46	1023.0	988.12	878.17	620.67	3060.45
ARMCX3	967.76	967.76	90.14	242.88	343.89	163.28	142.01	267.73	432.53	0.0	0.85	1081.39	1030.12	1143.1	1088.92	988.12	941.27	941.27	1030.12	165.57	29.48	152.28	170.25	60.82	124.37	29.91	1605.83
BCAM	3395.89	3395.89	559.28	1529.73	4010.71	1081.39	848.22	1167.14	1757.34	0.0	0.89	16383.0	11745.96	14867.79	19082.0	9409.14	12415.75	10225.32	7695.57	43.32	684.02	389.72	1023.0	336.79	551.56	246.28	9945.68
BHLHB9	59.97	59.97	6.41	22.43	36.27	29.7	33.3	21.47	31.67	0.0	0.16	103.69	78.34	120.1	95.34	78.34	82.29	88.26	76.17	34.02	13.22	10.88	33.54	11.38	13.93	10.63	119.26
C19orf54	248.0	248.0	269.6	177.53	214.27	134.3	139.07	223.41	202.66	0.0	0.21	267.73	262.2	249.73	297.17	220.32	275.28	239.52	220.32	55.1	110.43	64.8	149.12	152.28	133.36	69.52	417.77
C1orf56	305.55	305.55	111.99	95.34	95.34	101.54	83.45	125.24	145.02	0.0	0.31	320.8	327.56	341.51	368.65	228.13	273.37	343.89	218.79	47.84	29.06	66.18	71.0	41.52	78.89	60.39	503.95
C2CD4A	28.45	28.45	1.35	6.21	1.81	1.43	0.0	13.52	5.28	0.0	0.02	9.78	4.21	4.98	24.46	4.74	19.25	70.51	6.26	2.01	0.04	10.79	5.73	4.06	3.47	3.44	102.97
C3orf33	126.12	126.12	8.78	26.1	38.12	16.03	13.93	20.26	43.63	0.0	0.06	170.25	129.69	108.14	133.36	106.63	90.14	101.54	151.22	26.86	3.56	9.13	15.8	24.28	21.01	6.36	215.77
C9orf43	16.51	16.51	8.92	7.57	10.88	6.06	4.13	10.55	12.64	0.0	0.04	16.39	11.55	15.0	32.13	10.39	19.39	20.26	14.14	5.36	3.96	7.11	6.62	0.84	6.26	2.16	56.28
CADPS	4.62	4.62	36.27	16.39	6.06	1.77	3.47	13.22	15.56	0.0	0.16	48.52	88.88	159.9	128.79	48.52	140.04	37.85	148.09	0.78	2.94	0.67	14.67	4.28	4.35	4.46	884.29
CANX	5954.47	5954.47	4095.0	3257.52	3395.89	2520.38	2451.44	4836.35	4066.71	4210.15	1242.34	5112.16	5219.6	7911.95	7695.57	5403.7	7485.11	6561.36	5672.41	4802.93	4972.34	2434.5	4123.49	2701.35	3349.13	2720.15	13968.57
CCPG1	961.07	961.07	151.22	217.27	223.41	94.67	115.97	343.89	651.58	0.0	0.64	1250.98	1001.93	1331.57	1651.0	884.29	921.88	1127.35	1001.93	381.68	80.57	111.99	343.89	119.26	256.78	127.89	1832.01
CD302	273.37	273.37	26.1	105.15	78.89	22.59	36.27	116.78	217.27	0.0	0.4	412.0	305.55	414.87	295.11	303.44	480.04	395.18	470.14	185.11	14.35	19.68	103.69	15.34	21.32	24.46	836.53
CNPY2	4123.49	4123.49	1015.93	1844.76	1794.29	1369.04	1388.16	1857.6	1781.89	0.0	0.53	4736.79	3955.48	4512.4	4450.27	4268.94	5479.15	4450.27	3395.89	1923.14	1167.14	1745.2	1769.57	1583.71	1870.53	1498.22	6561.36
CST3	15934.98	15934.98	6792.79	14065.74	8778.97	10659.59	13492.72	15392.14	21617.82	8658.09	1304.15	22380.2	23330.64	20451.65	22850.48	14663.09	20170.07	15392.14	17078.76	15075.35	11664.82	13399.51	12329.98	8538.88	10084.54	14561.8	61999.83
CTNND2	61.68	61.68	0.0	6.67	1.68	2.46	1.51	6.84	10.88	0.0	0.0	69.52	55.89	145.02	182.55	69.03	124.37	94.01	45.21	1.81	1.27	1.04	3.0	0.0	2.61	1.23	642.59
DEPTOR	1066.48	1066.48	12.09	84.63	61.25	70.01	156.59	297.17	341.51	0.0	0.16	327.56	236.21	397.93	403.5	327.56	470.14	438.59	656.11	99.43	66.18	102.25	289.02	119.26	131.51	51.71	1233.75
DHRS7	2400.97	2400.97	1030.12	551.56	571.05	514.56	796.86	2351.53	1769.57	0.0	0.79	6935.54	12943.04	11112.3	19348.38	7180.15	9673.69	10512.82	9344.14	1359.57	583.07	698.41	1015.93	647.07	1498.22	796.86	4704.07
