	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8259.11A.01R.2263.07
ACBD3	954.43	902.89	928.3	379.04	1286.18	563.18	1030.12	1242.34	559.28	921.88	651.58	669.92	974.5	514.56	713.11	688.78	507.46	457.25	518.15	616.37	688.78	490.14	808.0	764.36	136.19	309.83	373.81	387.02	633.73	915.51	769.69	743.43	579.04	429.54	884.29	444.72	473.41	1051.79	423.61	575.03	368.65	563.18	934.76	669.92	759.08	307.69	836.53	476.71	397.93	483.38	384.34	444.72	547.75	454.09	567.1
AFF4	723.08	1001.93	836.53	195.72	967.76	441.64	947.83	1081.39	389.72	928.3	466.88	518.15	884.29	403.5	660.68	460.44	447.82	379.04	624.99	507.46	384.34	329.84	612.11	684.02	172.65	205.5	228.13	285.03	438.59	791.35	647.07	743.43	466.88	379.04	954.43	346.29	414.87	1008.9	271.48	521.76	234.57	403.5	890.44	460.44	599.49	265.87	684.02	441.64	293.07	312.0	329.84	389.72	323.03	299.25	463.65
ALS2	226.54	214.27	218.79	70.51	248.0	135.24	223.41	262.2	158.79	256.78	162.14	187.71	246.28	145.02	212.78	158.79	139.07	105.89	182.55	190.34	142.01	140.04	208.38	195.72	76.71	90.14	105.89	146.03	137.14	220.32	178.77	176.29	145.02	127.0	201.25	133.36	135.24	209.84	126.12	143.01	85.22	155.5	229.72	141.02	177.53	92.05	172.65	145.02	118.43	119.26	125.24	163.28	132.44	132.44	169.07
ANKRD28	480.04	463.65	363.56	109.66	460.44	242.88	470.14	438.59	234.57	414.87	267.73	336.79	473.41	260.38	389.72	275.28	228.13	171.45	490.14	277.2	223.41	248.0	454.09	363.56	167.9	121.79	183.82	197.09	277.2	409.15	277.2	334.46	351.14	400.71	466.88	260.38	320.8	450.94	167.9	285.03	149.12	271.48	466.88	329.84	348.71	172.65	414.87	277.2	148.09	223.41	226.54	275.28	202.66	206.94	253.23
ARHGAP5	896.64	988.12	1008.9	198.47	1242.34	341.51	1477.58	1359.57	447.82	854.13	457.25	679.29	1286.18	387.02	748.61	503.95	403.5	371.22	693.58	543.96	400.71	387.02	890.44	860.08	137.14	211.31	295.11	325.29	493.56	915.51	629.35	633.73	813.63	325.29	872.1	339.14	343.89	1216.75	301.33	563.18	248.0	426.57	1044.52	389.72	743.43	281.09	753.83	387.02	293.07	373.81	327.56	423.61	366.09	384.34	490.14
ARL13B	170.25	199.85	214.27	58.3	211.31	139.07	164.42	236.21	118.43	232.94	120.1	149.12	158.79	108.9	121.79	130.6	130.6	123.5	167.9	137.14	164.42	120.94	152.28	157.68	61.25	75.11	96.68	62.56	130.6	194.36	167.9	153.34	117.6	89.51	223.41	92.7	127.89	186.4	63.0	114.36	88.88	112.77	181.28	181.28	152.28	77.25	163.28	105.15	76.71	97.36	80.01	107.38	70.51	81.71	119.26
ATP2B1	346.29	392.44	389.72	122.64	633.73	214.27	575.03	521.76	164.42	511.0	358.54	301.33	490.14	211.31	305.55	180.02	229.72	251.48	329.84	217.27	191.67	140.04	571.05	368.65	99.43	127.0	191.67	183.82	265.87	348.71	412.0	289.02	389.72	211.31	264.03	171.45	221.86	575.03	106.63	218.79	198.47	228.13	435.55	483.38	262.2	176.29	299.25	260.38	120.1	144.01	185.11	201.25	215.77	218.79	146.03
ATRX	536.45	511.0	426.57	109.66	642.59	229.72	603.67	579.04	277.2	559.28	325.29	358.54	693.58	241.19	420.68	353.59	273.37	206.94	486.75	312.0	223.41	253.23	466.88	444.72	98.04	115.97	139.07	190.34	271.48	463.65	387.02	356.05	253.23	208.38	511.0	220.32	234.57	603.67	165.57	332.14	122.64	275.28	521.76	256.78	420.68	162.14	392.44	217.27	142.01	205.5	197.09	253.23	191.67	198.47	334.46
AZI2	1143.1	1437.15	1369.04	529.06	1233.75	866.07	1191.69	1709.26	1051.79	1322.37	775.05	1143.1	1417.35	1119.56	1059.11	947.83	915.51	802.41	1183.45	1044.52	866.07	928.3	1066.48	1250.98	555.41	536.45	647.07	665.29	995.0	1340.84	1104.13	1457.23	941.27	896.64	1583.71	759.08	796.86	1304.15	679.29	941.27	426.57	1030.12	1378.57	684.02	1359.57	656.11	1295.13	1023.0	941.27	872.1	825.0	1059.11	713.11	1397.83	1268.46
BACH1	665.29	571.05	612.11	100.83	587.13	269.6	642.59	555.41	218.79	343.89	269.6	277.2	521.76	314.17	521.76	244.57	285.03	353.59	414.87	432.53	285.03	258.57	423.61	414.87	105.89	113.56	269.6	158.79	262.2	486.75	307.69	460.44	460.44	285.03	497.0	187.71	312.0	688.78	158.79	325.29	159.9	256.78	575.03	164.42	547.75	193.01	450.94	258.57	217.27	289.02	287.01	189.02	214.27	232.94	275.28
BRWD3	68.55	100.83	81.71	18.43	100.13	37.05	80.57	79.45	32.82	80.57	48.52	61.25	105.89	44.25	78.89	57.08	48.52	48.87	75.64	55.49	47.17	40.36	76.17	70.01	15.56	21.94	24.28	32.82	43.02	72.01	56.28	69.52	53.19	30.56	92.05	39.5	46.5	65.26	22.75	57.89	26.28	43.63	79.45	48.18	70.01	31.0	75.64	35.5	24.28	53.57	28.24	50.98	29.7	32.13	49.21
BTAF1	348.71	366.09	343.89	74.06	514.56	224.97	356.05	327.56	191.67	426.57	353.59	358.54	447.82	251.48	403.5	202.66	223.41	127.0	463.65	277.2	180.02	204.07	343.89	251.48	98.04	76.71	135.24	171.45	249.73	293.07	287.01	291.04	303.44	212.78	346.29	208.38	218.79	373.81	130.6	265.87	98.04	291.04	384.34	426.57	297.17	149.12	327.56	314.17	87.03	195.72	173.85	486.75	186.4	220.32	309.83
C2orf49	334.46	237.86	305.55	122.64	339.14	115.97	293.07	314.17	197.09	285.03	228.13	258.57	327.56	201.25	301.33	176.29	176.29	193.01	314.17	229.72	151.22	140.04	271.48	171.45	133.36	180.02	158.79	129.69	197.09	221.86	231.32	201.25	220.32	135.24	236.21	137.14	167.9	348.71	172.65	180.02	127.89	208.38	265.87	172.65	171.45	156.59	217.27	195.72	158.79	202.66	134.3	187.71	175.07	199.85	236.21
CASP8	438.59	297.17	132.44	157.68	381.68	221.86	325.29	483.38	255.0	387.02	242.88	329.84	334.46	277.2	384.34	212.78	217.27	195.72	450.94	205.5	178.77	159.9	447.82	303.44	50.98	201.25	228.13	178.77	246.28	397.93	264.03	218.79	273.37	228.13	279.14	145.02	314.17	507.46	158.79	265.87	143.01	305.55	447.82	295.11	244.57	223.41	314.17	237.86	161.02	198.47	181.28	177.53	205.5	178.77	183.82
CBFB	503.95	521.76	738.29	258.57	595.34	366.09	616.37	848.22	395.18	684.02	343.89	595.34	642.59	414.87	571.05	395.18	381.68	361.04	441.64	379.04	371.22	356.05	693.58	599.49	205.5	208.38	281.09	397.93	567.1	679.29	769.69	444.72	234.57	285.03	543.96	312.0	265.87	733.19	305.55	417.77	199.85	438.59	688.78	665.29	441.64	309.83	366.09	389.72	237.86	299.25	258.57	358.54	406.31	547.75	258.57
CBL	95.34	102.25	57.89	21.01	90.14	56.28	108.14	103.69	65.26	113.56	61.25	75.11	118.43	46.5	77.25	59.13	60.39	45.53	111.99	56.68	39.22	34.51	82.29	102.97	15.45	27.44	36.01	30.78	58.71	57.89	51.71	73.03	85.22	69.03	95.34	44.89	54.72	109.66	26.67	48.18	30.12	48.87	87.65	42.71	77.25	48.18	84.04	64.8	37.59	52.08	49.56	52.45	37.32	40.93	75.11
CCDC126	149.12	223.41	226.54	109.66	176.29	139.07	204.07	287.01	92.7	178.77	176.29	123.5	194.36	94.67	172.65	114.36	120.94	81.14	205.5	111.99	119.26	158.79	214.27	232.94	64.8	97.36	126.12	93.35	138.1	217.27	166.73	119.26	149.12	95.34	172.65	123.5	159.9	283.05	96.01	125.24	76.71	120.1	185.11	146.03	170.25	80.57	164.42	118.43	66.65	99.43	139.07	113.56	127.89	112.77	113.56
CCNK	723.08	647.07	633.73	389.72	733.19	493.56	688.78	708.18	591.22	642.59	483.38	642.59	684.02	466.88	660.68	587.13	500.46	480.04	830.75	563.18	536.45	412.0	591.22	612.11	325.29	366.09	444.72	435.55	587.13	642.59	571.05	599.49	559.28	521.76	753.83	493.56	656.11	723.08	486.75	555.41	432.53	486.75	713.11	397.93	624.99	525.39	698.41	483.38	529.06	483.38	470.14	579.04	525.39	559.28	420.68
CHML	48.87	65.26	121.79	14.24	77.25	37.05	90.14	84.63	32.13	94.67	33.3	55.1	98.04	40.93	89.51	50.27	44.25	48.52	34.26	35.25	40.36	45.21	85.82	61.68	21.78	15.45	20.11	32.13	42.71	77.79	65.72	52.82	78.89	38.95	49.21	35.5	25.35	114.36	31.0	47.5	18.29	62.56	75.64	100.83	46.5	22.1	72.52	30.56	27.05	45.21	27.84	40.07	34.75	42.11	36.79
CHUK	339.14	339.14	198.47	138.1	379.04	277.2	265.87	363.56	217.27	323.03	271.48	301.33	329.84	202.66	264.03	194.36	221.86	197.09	297.17	211.31	214.27	231.32	332.14	303.44	112.77	162.14	197.09	165.57	221.86	325.29	275.28	303.44	234.57	193.01	363.56	201.25	206.94	241.19	189.02	231.32	143.01	206.94	336.79	214.27	265.87	148.09	312.0	221.86	178.77	165.57	221.86	166.73	241.19	206.94	244.57
CIAO1	1030.12	1015.93	878.17	599.49	825.0	775.05	1044.52	967.76	848.22	1051.79	947.83	967.76	967.76	842.36	967.76	819.3	808.0	688.78	967.76	785.88	842.36	624.99	1030.12	896.64	723.08	780.44	713.11	651.58	854.13	934.76	941.27	1119.56	819.3	819.3	1044.52	743.43	961.07	974.5	620.67	921.88	660.68	921.88	974.5	1059.11	967.76	674.59	981.29	890.44	928.3	665.29	780.44	836.53	738.29	775.05	866.07
