	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.DD.A3A8.11A.11R.A22L.07
ABHD13	107.38	110.43	199.85	126.12	67.12	108.9	115.16	104.42	127.89	153.34	69.03	154.42	102.25	108.14	166.73	167.9	162.14	64.34	162.14	124.37	62.12	85.82	92.05	79.45	125.24	80.57	107.38	144.01	102.25	101.54	151.22	101.54	99.43	119.26	75.11	71.5	155.5	70.51
AGTPBP1	102.25	115.16	120.94	204.07	69.52	171.45	183.82	103.69	197.09	153.34	66.65	197.09	102.25	176.29	180.02	165.57	256.78	139.07	285.03	201.25	185.11	134.3	103.69	66.65	187.71	93.35	155.5	173.85	150.17	91.41	154.42	135.24	111.99	102.25	95.34	57.49	202.66	19.39
AKAP11	88.88	180.02	214.27	242.88	95.34	199.85	234.57	133.36	312.0	381.68	117.6	403.5	116.78	283.05	343.89	273.37	406.31	98.73	447.82	336.79	109.66	176.29	114.36	121.79	381.68	117.6	183.82	283.05	127.0	151.22	249.73	199.85	148.09	166.73	164.42	121.79	346.29	38.67
ALG11	57.89	86.43	87.65	116.78	48.18	128.79	78.34	43.02	153.34	262.2	51.35	202.66	44.25	130.6	183.82	164.42	242.88	55.1	206.94	130.6	68.55	76.17	63.89	44.89	265.87	42.71	105.15	94.67	59.55	52.08	115.16	90.14	77.25	59.55	58.71	20.41	198.47	28.65
APC	112.77	147.06	127.0	226.54	77.25	191.67	120.94	59.55	206.94	242.88	133.36	293.07	63.89	221.86	293.07	295.11	231.32	72.52	363.56	154.42	100.13	102.97	98.73	46.18	366.09	81.71	164.42	212.78	94.67	94.01	158.79	187.71	121.79	83.45	108.9	69.03	273.37	21.01
APPL1	273.37	271.48	271.48	341.51	122.64	273.37	217.27	149.12	412.0	395.18	145.02	450.94	154.42	473.41	397.93	336.79	429.54	133.36	444.72	305.55	177.53	220.32	178.77	128.79	470.14	162.14	253.23	295.11	202.66	148.09	281.09	287.01	244.57	221.86	211.31	104.42	567.1	44.25
ARID1B	217.27	285.03	279.14	301.33	190.34	343.89	384.34	139.07	356.05	480.04	163.28	403.5	176.29	314.17	397.93	412.0	423.61	164.42	536.45	309.83	198.47	271.48	236.21	132.44	563.18	236.21	305.55	392.44	215.77	204.07	234.57	329.84	334.46	142.01	248.0	135.24	426.57	64.8
ASH1L	152.28	212.78	221.86	251.48	141.02	244.57	228.13	127.0	348.71	384.34	162.14	412.0	97.36	299.25	316.37	269.6	406.31	128.79	476.71	366.09	100.13	212.78	139.07	105.89	587.13	151.22	187.71	348.71	139.07	127.0	185.11	285.03	236.21	126.12	164.42	127.0	343.89	24.11
ATF7	258.57	473.41	503.95	559.28	423.61	497.0	559.28	384.34	703.28	764.36	371.22	728.11	279.14	551.56	802.41	674.59	708.18	309.83	819.3	961.07	320.8	567.1	346.29	454.09	723.08	426.57	373.81	808.0	392.44	387.02	599.49	629.35	438.59	466.88	426.57	336.79	674.59	155.5
ATG4C	111.99	176.29	215.77	209.84	136.19	253.23	189.02	126.12	334.46	256.78	124.37	289.02	134.3	220.32	336.79	251.48	309.83	122.64	339.14	283.05	139.07	159.9	147.06	117.6	223.41	171.45	209.84	201.25	151.22	152.28	242.88	214.27	153.34	165.57	103.69	84.04	239.52	49.56
