	GTEX.S341.1326.SM.4AD72	GTEX.13OW8.2326.SM.5L3I9	GTEX.XUZC.0426.SM.4BOPE	GTEX.WH7G.0926.SM.4LVMJ	GTEX.11ZU8.1526.SM.5EGHX	GTEX.ZYVF.2226.SM.5GIDD	GTEX.13G51.0926.SM.5IFFU	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
AC079354.1	1617.0	0.0	0.0	0.0	0.0	0.0	0.95	0.4	8.25	0.0	0.0	124.37	121.79	102.97	193.01	96.68	57.49	120.1	86.43	166.73	72.52	220.32	251.48	119.26	423.61	208.38	20.71	249.73	120.1
AKAP14	9876.98	0.0	0.0	0.0	0.0	0.0	5.02	2.48	43.63	0.0	0.0	1051.79	591.22	651.58	890.44	703.28	312.0	647.07	423.61	780.44	642.59	1583.71	1175.27	507.46	2148.82	1617.0	249.73	1508.65	633.73
ANKK1	127.0	17.64	15.56	17.51	6.84	10.96	9.34	5.36	26.47	0.0	0.3	22.75	92.7	34.26	97.36	128.79	13.32	52.82	40.64	38.95	29.91	145.02	275.28	44.57	59.55	45.21	32.82	77.25	59.97
ANKRD66	107203.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.83	0.0	0.0	507.46	525.39	312.0	612.11	409.15	353.59	447.82	371.22	511.0	603.67	1127.35	733.19	444.72	1639.59	1096.5	156.59	1167.14	305.55
ASTN2	148.09	63.0	9.78	29.27	30.56	39.79	48.18	13.03	11.38	0.0	0.17	80.57	106.63	90.77	142.01	98.04	33.3	165.57	170.25	118.43	76.71	182.55	291.04	123.5	211.31	120.1	36.53	153.34	81.14
B3GALNT1	660.68	155.5	131.51	170.25	87.65	125.24	255.0	102.97	129.69	0.0	0.28	154.42	190.34	995.0	255.0	165.57	84.63	153.34	339.14	441.64	1119.56	547.75	830.75	414.87	142.01	514.56	441.64	769.69	540.19
BACH2	38.4	11.82	12.45	24.46	5.77	8.78	17.0	5.59	12.36	0.0	0.3	85.82	53.57	17.64	13.12	25.35	32.59	40.36	77.25	23.59	19.11	24.11	11.21	18.56	73.54	17.0	21.32	33.3	24.46
C11orf16	29531.18	1.04	0.0	1.08	0.0	0.48	0.0	0.77	19.82	0.0	0.0	500.46	403.5	246.28	575.03	603.67	231.32	470.14	525.39	457.25	514.56	825.0	909.17	366.09	796.86	638.15	253.23	808.0	361.04
C11orf53	170.25	0.0	0.0	0.0	0.0	3.5	2.61	1.55	6.84	0.0	0.0	72.52	85.82	5.92	0.0	1437.15	96.68	11.64	45.53	24.11	66.18	178.77	28.04	34.26	201.25	8.13	10.0	22.75	21.16
C11orf88	726195.27	6.89	0.0	1.83	0.0	3.79	0.0	0.41	126.12	0.0	0.0	3794.3	2895.31	2627.46	3168.41	2468.49	1529.73	3190.46	2209.26	4038.61	3540.14	9945.68	5672.41	2384.37	6983.79	5112.16	2303.12	5751.61	2485.67
C12orf68	102.97	13.32	15.45	18.16	8.25	24.11	12.55	9.13	12.09	0.0	0.13	89.51	61.25	57.49	139.07	68.55	47.5	65.72	35.0	57.08	61.25	61.25	93.35	64.34	183.82	40.36	60.82	65.26	64.8
C15orf27	18.16	11.64	17.38	16.15	11.13	14.67	15.91	3.56	4.98	0.0	0.19	22.26	31.0	18.97	48.18	50.27	6.16	86.43	27.05	74.58	75.64	21.63	52.82	66.18	16.15	54.72	28.45	35.0	21.63
C1orf173	6607.01	3.44	0.39	0.87	0.0	0.0	1.81	0.0	18.29	0.0	0.0	480.04	591.22	256.78	555.41	543.96	269.6	417.77	368.65	432.53	547.75	896.64	915.51	389.72	1119.56	775.05	204.07	872.1	318.57
C1orf186	327241.36	33.78	94.01	12.36	7.06	51.71	44.25	27.84	7.0	0.0	0.12	102.25	105.89	44.57	129.69	130.6	8.58	480.04	108.9	403.5	129.69	150.17	518.15	53.95	21.32	285.03	199.85	90.14	190.34
C1orf189	16269.83	6.57	0.0	0.0	0.0	0.0	0.0	3.82	58.3	0.0	0.0	890.44	363.56	414.87	802.41	366.09	187.71	759.08	241.19	559.28	368.65	1651.0	981.29	454.09	1721.16	1651.0	135.24	1051.79	414.87
C1orf194	3134925.09	12.36	21.01	0.0	0.0	3.96	6.31	0.0	167.9	0.0	0.0	7485.11	5255.91	3665.02	8134.41	5954.47	2682.69	3081.75	4869.99	6337.83	6699.25	13586.57	14065.74	4328.55	16269.83	11345.82	2796.65	9673.69	4298.64
C1orf87	5594.3	0.62	0.0	0.65	0.0	0.0	0.0	0.0	29.7	0.0	0.0	555.41	457.25	559.28	791.35	808.0	293.07	595.34	514.56	743.43	703.28	1407.55	1233.75	591.22	1331.57	1167.14	323.03	884.29	353.59
C20orf85	4223476.69	0.0	0.0	0.0	0.0	1.93	0.0	0.0	441.64	0.0	0.0	15075.35	11424.74	8778.97	20310.37	10225.32	6607.01	13306.94	8247.98	12502.12	11424.74	34396.12	27553.49	11504.21	38430.46	28723.62	5292.48	20881.4	8022.41
C21orf128	199.85	0.0	0.93	0.92	1.95	0.0	0.0	0.0	8.85	0.0	0.0	40.64	78.89	18.03	56.28	31.45	3.99	21.94	16.03	30.78	19.82	91.41	62.12	33.06	52.08	107.38	13.03	46.5	22.59
C2orf62	5791.62	2.43	2.53	1.27	0.0	1.58	6.84	1.48	36.01	0.0	0.18	435.55	397.93	260.38	587.13	616.37	137.14	429.54	339.14	559.28	387.02	1216.75	1030.12	341.51	848.22	902.89	197.09	612.11	457.25
C5orf49	139508.13	2.18	0.0	6.73	0.0	0.0	2.16	1.07	98.73	0.0	0.0	2193.99	1340.84	1295.13	2335.28	2133.97	961.07	1674.06	1572.76	1950.0	1936.53	5076.84	6037.61	2351.53	5112.16	3955.48	1044.52	3742.05	1277.29
C6orf118	138544.47	0.0	0.0	0.0	6.73	0.0	0.0	0.38	19.68	0.0	0.0	540.19	693.58	361.04	500.46	780.44	314.17	406.31	638.15	476.71	417.77	1059.11	1313.23	532.74	1467.37	967.76	332.14	872.1	320.8
C9orf116	33455.53	57.08	61.68	91.41	21.78	46.5	92.05	46.84	224.97	0.0	0.0	1697.45	1051.79	934.76	2178.83	1331.57	921.88	1437.15	872.1	1331.57	1350.18	3103.19	2835.7	1233.75	3103.19	3168.41	825.0	1844.76	1001.93
