	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
ABCB10	51.35	111.21	450.94	53.95	285.03	100.13	169.07	223.41	37.32	146.03	123.5	142.01	145.02	182.55	173.85	116.78	204.07	162.14	143.01	80.57	289.02	273.37	173.85	226.54	444.72	209.84	241.19	150.17	305.55	309.83	343.89	211.31	253.23	248.0	183.82	295.11	323.03	470.14	258.57	140.04	265.87	212.78	301.33	215.77	172.65	232.94	285.03	265.87	214.27	206.94	220.32	189.02	199.85	214.27	140.04	314.17	258.57	165.57	214.27	287.01	244.57	334.46	151.22	420.68	226.54	358.54	256.78	185.11	220.32	264.03	191.67
ABI1	414.87	476.71	1397.83	429.54	1304.15	329.84	1529.73	1857.6	438.59	316.37	318.57	164.42	305.55	341.51	336.79	341.51	429.54	175.07	314.17	175.07	764.36	1159.07	1044.52	934.76	1331.57	748.61	872.1	642.59	780.44	813.63	830.75	1340.84	1001.93	651.58	703.28	1015.93	890.44	1088.92	928.3	651.58	878.17	928.3	1143.1	669.92	595.34	567.1	1268.46	567.1	698.41	909.17	753.83	693.58	813.63	848.22	529.06	884.29	723.08	718.08	567.1	981.29	764.36	1191.69	503.95	1447.15	866.07	1417.35	961.07	624.99	1104.13	1143.1	890.44
ABL2	54.33	69.52	223.41	37.05	264.03	86.43	91.41	94.67	61.25	60.82	43.63	23.42	27.64	29.27	45.85	17.77	42.41	40.36	46.84	16.63	208.38	133.36	52.82	190.34	303.44	153.34	137.14	122.64	171.45	211.31	148.09	201.25	129.69	164.42	85.82	105.15	177.53	180.02	146.03	98.73	145.02	108.14	84.04	146.03	91.41	136.19	242.88	121.79	111.99	150.17	163.28	110.43	175.07	154.42	116.78	256.78	144.01	96.68	120.1	137.14	170.25	217.27	105.89	173.85	159.9	186.4	80.57	204.07	133.36	211.31	148.09
ACBD3	190.34	264.03	1757.34	297.17	1208.34	137.14	848.22	1037.29	267.73	329.84	277.2	139.07	242.88	363.56	297.17	190.34	320.8	289.02	260.38	190.34	1313.23	1322.37	486.75	1030.12	1437.15	665.29	1001.93	836.53	902.89	1651.0	1081.39	928.3	974.5	1015.93	764.36	1277.29	1617.0	1639.59	909.17	483.38	896.64	819.3	1477.58	928.3	764.36	890.44	1037.29	842.36	1119.56	796.86	703.28	612.11	878.17	753.83	759.08	1447.15	848.22	567.1	708.18	1277.29	802.41	1208.34	791.35	1037.29	1088.92	1143.1	854.13	532.74	759.08	836.53	733.19
ADSS	457.25	603.67	1832.01	368.65	1639.59	441.64	624.99	836.53	255.0	353.59	198.47	190.34	214.27	346.29	264.03	140.04	291.04	281.09	579.04	165.57	1540.37	1073.91	567.1	1066.48	1757.34	796.86	1051.79	1015.93	769.69	1651.0	1104.13	878.17	934.76	890.44	1096.5	961.07	1685.71	1844.76	753.83	1037.29	1340.84	629.35	791.35	825.0	947.83	813.63	1073.91	764.36	954.43	1015.93	995.0	669.92	921.88	974.5	764.36	1259.69	909.17	387.02	928.3	1757.34	1350.18	1508.65	1199.98	1143.1	1023.0	1662.49	785.88	808.0	438.59	1674.06	769.69
AGPS	78.34	115.16	285.03	82.29	389.72	148.09	206.94	339.14	97.36	123.5	148.09	83.45	130.6	161.02	170.25	104.42	88.88	126.12	201.25	54.33	273.37	281.09	186.4	182.55	379.04	173.85	232.94	96.01	218.79	277.2	159.9	215.77	208.38	144.01	181.28	175.07	161.02	224.97	162.14	100.83	205.5	157.68	220.32	152.28	140.04	202.66	395.18	223.41	215.77	215.77	151.22	158.79	199.85	185.11	139.07	301.33	121.79	124.37	134.3	249.73	237.86	295.11	112.77	202.66	152.28	327.56	309.83	150.17	253.23	211.31	334.46
AHCTF1	220.32	236.21	988.12	90.77	890.44	305.55	400.71	409.15	21.78	181.28	206.94	202.66	156.59	185.11	137.14	176.29	262.2	197.09	277.2	48.52	713.11	454.09	273.37	480.04	780.44	441.64	503.95	559.28	540.19	607.87	483.38	476.71	397.93	429.54	358.54	543.96	684.02	764.36	514.56	571.05	555.41	389.72	473.41	450.94	376.41	536.45	595.34	595.34	420.68	444.72	432.53	329.84	490.14	447.82	412.0	490.14	406.31	295.11	555.41	791.35	483.38	759.08	486.75	796.86	500.46	764.36	334.46	470.14	224.97	348.71	253.23
ALS2	72.01	72.52	143.01	100.83	334.46	58.3	156.59	164.42	108.9	107.38	109.66	126.12	156.59	112.77	187.71	185.11	111.21	98.04	166.73	185.11	198.47	796.86	153.34	251.48	414.87	198.47	242.88	119.26	217.27	281.09	181.28	149.12	249.73	162.14	146.03	143.01	170.25	215.77	209.84	155.5	162.14	199.85	287.01	182.55	146.03	253.23	277.2	209.84	182.55	182.55	164.42	204.07	199.85	145.02	147.06	182.55	194.36	115.97	139.07	211.31	339.14	242.88	144.01	277.2	242.88	305.55	223.41	118.43	201.25	267.73	209.84
AP3M1	279.14	339.14	896.64	241.19	928.3	220.32	466.88	612.11	229.72	215.77	226.54	152.28	287.01	283.05	258.57	246.28	199.85	201.25	229.72	241.19	723.08	660.68	460.44	728.11	660.68	381.68	629.35	379.04	529.06	674.59	521.76	679.29	511.0	483.38	500.46	323.03	595.34	647.07	529.06	262.2	718.08	429.54	728.11	323.03	529.06	500.46	785.88	414.87	529.06	607.87	454.09	457.25	426.57	595.34	341.51	785.88	341.51	480.04	376.41	713.11	518.15	688.78	299.25	656.11	551.56	995.0	684.02	287.01	830.75	429.54	620.67
APPBP2	127.89	107.38	483.38	87.65	743.43	105.15	242.88	336.79	96.01	91.41	70.51	90.14	64.34	73.54	83.45	72.01	90.77	76.17	65.72	62.12	343.89	361.04	246.28	299.25	480.04	283.05	329.84	142.01	305.55	412.0	234.57	343.89	368.65	275.28	246.28	173.85	339.14	473.41	262.2	120.94	297.17	166.73	253.23	215.77	149.12	199.85	426.57	384.34	348.71	297.17	234.57	236.21	314.17	236.21	201.25	473.41	182.55	237.86	176.29	312.0	260.38	384.34	146.03	351.14	476.71	363.56	327.56	297.17	543.96	483.38	228.13
