	GTEX.1122O.1226.SM.5H113	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	GTEX.12WSJ.1426.SM.5GCON	TCGA.B0.5121.01A.02R.1420.07	TCGA.ED.A627.01A.12R.A311.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.BG.A2AD.11A.11R.A16F.07	GTEX.ZVT2.0426.SM.5E44S	GTEX.Y3IK.2126.SM.4YCDS	GTEX.131XG.2026.SM.5GCN5	GTEX.11DXX.1526.SM.5H115	GTEX.OHPL.2026.SM.3TW8R	GTEX.11I78.2126.SM.5A5K8	GTEX.S32W.1426.SM.4AD66	GTEX.QCQG.1326.SM.48U24	GTEX.XYKS.1626.SM.4BRUQ
AC013449.1	0.0	4.82	8.06	0.0	5.63	4.62	0.0	0.0	0.0	3.38	0.0	3.17	0.0	0.0	0.0	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0	3.66	3.79	3.17	7.82	3.23	3.92	8.45	3.82
ADAMTS9	555.41	4836.35	4543.8	591.22	825.0	159.9	88.26	48.87	26.47	35.5	39.5	234.57	169.07	16.63	71.0	30.78	47.84	16.75	49.56	13.83	34.75	42.11	55.1	457.25	884.29	1183.45	2032.85	934.76	2090.03	275.28	1059.11	6426.31	1883.54
ASNS	281.09	728.11	514.56	713.11	417.77	177.53	232.94	5.45	43.94	53.95	9.7	1066.48	17.38	34.02	66.18	152.28	9.56	19.97	52.45	19.39	10.39	5.54	41.22	463.65	420.68	414.87	389.72	480.04	5791.62	457.25	656.11	947.83	13215.02
B3GNTL1	140.04	343.89	173.85	88.26	82.29	148.09	62.12	16.51	72.01	63.0	90.14	55.89	86.43	75.11	81.14	48.18	82.87	40.64	71.5	32.36	120.1	63.45	35.5	122.64	162.14	343.89	253.23	271.48	325.29	336.79	480.04	426.57	205.5
BCAT1	236.21	281.09	368.65	70.51	63.89	35.0	15.0	9.63	10.88	14.03	6.41	17.13	14.45	10.24	9.34	3.63	19.97	19.39	5.32	8.51	4.21	11.82	3.96	314.17	157.68	220.32	2047.0	363.56	1225.22	1023.0	967.76	1159.07	7749.1
BOD1	1104.13	1457.23	1572.76	1066.48	836.53	759.08	361.04	255.0	397.93	536.45	358.54	733.19	540.19	361.04	571.05	483.38	387.02	343.89	392.44	363.56	454.09	314.17	447.82	1295.13	1051.79	1674.06	1066.48	1119.56	1909.85	1427.22	1697.45	1322.37	1397.83
C12orf68	19.53	66.65	94.01	31.45	41.81	15.56	8.32	16.63	3.32	10.55	3.63	9.13	16.63	11.55	6.06	9.13	12.36	8.51	1.62	2.56	8.06	2.71	5.87	64.8	40.07	285.03	279.14	22.59	118.43	438.59	397.93	253.23	214.27
C19orf48	417.77	1369.04	1216.75	532.74	466.88	669.92	297.17	162.14	165.57	146.03	253.23	395.18	769.69	165.57	277.2	406.31	316.37	559.28	366.09	169.07	532.74	211.31	165.57	607.87	688.78	1487.87	796.86	733.19	1519.15	1059.11	1540.37	1936.53	2061.24
CCDC97	540.19	796.86	612.11	356.05	358.54	283.05	141.02	137.14	158.79	195.72	204.07	204.07	132.44	165.57	165.57	128.79	157.68	129.69	127.0	165.57	108.9	70.51	153.34	629.35	483.38	733.19	748.61	567.1	848.22	848.22	825.0	684.02	928.3
CDK4	3212.66	7180.15	5872.48	2417.67	1991.0	2148.82	1199.98	718.08	753.83	1457.23	1519.15	3928.15	1806.78	1191.69	1583.71	2047.0	1135.2	1407.55	775.05	836.53	1001.93	785.88	1111.82	4937.99	5751.61	5872.48	6079.61	7331.05	11424.74	7382.04	6471.02	7280.4	7433.4
