	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.B8.5552.11A.01R.1672.07	TCGA.44.3918.01A.01R.A278.07
ALG1	334.46	1407.55	1639.59	981.29	1378.57	536.45	928.3	718.08	738.29	511.0	1225.22	583.07	1151.06	1651.0	733.19	1167.14	890.44	748.61	571.05	988.12	1191.69	540.19	1015.93	532.74	981.29	1175.27	289.02	368.65	463.65	283.05	303.44	529.06	293.07	295.11	269.6	336.79	395.18	363.56	563.18	351.14	371.22	351.14
AMDHD2	341.51	1066.48	532.74	529.06	1561.89	163.28	928.3	1369.04	890.44	303.44	836.53	353.59	866.07	1111.82	239.52	1167.14	954.43	318.57	429.54	511.0	819.3	400.71	642.59	309.83	332.14	698.41	121.79	131.51	271.48	88.26	265.87	503.95	444.72	211.31	182.55	93.35	241.19	88.88	409.15	195.72	71.5	33.78
APITD1	163.28	1167.14	796.86	718.08	620.67	529.06	432.53	1088.92	599.49	417.77	684.02	327.56	638.15	718.08	483.38	642.59	764.36	514.56	249.73	432.53	638.15	368.65	503.95	373.81	961.07	713.11	149.12	320.8	490.14	305.55	493.56	638.15	371.22	351.14	260.38	320.8	463.65	323.03	878.17	493.56	409.15	353.59
ARHGAP39	55.49	264.03	157.68	497.0	447.82	85.22	190.34	620.67	309.83	118.43	309.83	106.63	376.41	567.1	92.05	251.48	152.28	100.13	204.07	123.5	246.28	138.1	202.66	165.57	139.07	204.07	7.0	24.11	78.89	27.44	117.6	121.79	124.37	90.14	73.03	80.57	52.08	37.32	68.55	94.67	34.26	33.06
AXIN1	221.86	1331.57	463.65	518.15	934.76	379.04	698.41	813.63	713.11	318.57	642.59	426.57	825.0	1143.1	269.6	825.0	603.67	392.44	476.71	366.09	759.08	397.93	669.92	242.88	500.46	802.41	109.66	114.36	246.28	110.43	234.57	397.93	379.04	309.83	209.84	201.25	368.65	98.73	395.18	279.14	107.38	116.78
BCKDK	403.5	2520.38	1662.49	1175.27	2468.49	941.27	1628.26	1674.06	1498.22	660.68	3168.41	836.53	2335.28	2609.3	866.07	2682.69	1175.27	1208.34	1268.46	1268.46	1674.06	1151.06	1991.0	988.12	1159.07	1457.23	521.76	708.18	974.5	486.75	802.41	825.0	764.36	599.49	819.3	836.53	1259.69	497.0	830.75	733.19	536.45	400.71
C16orf58	748.61	2004.85	2627.46	1909.85	2627.46	909.17	1519.15	2240.11	2133.97	1477.58	2915.45	1295.13	2451.44	3212.66	1583.71	2976.74	2090.03	1519.15	1437.15	2400.97	2351.53	1407.55	2119.22	1199.98	1583.71	1594.73	693.58	738.29	1350.18	713.11	995.0	1250.98	1617.0	1268.46	872.1	974.5	995.0	759.08	1242.34	1135.2	684.02	567.1
C16orf93	31.0	1331.57	249.73	293.07	476.71	49.21	232.94	547.75	307.69	65.26	629.35	94.01	450.94	536.45	50.98	1427.22	253.23	241.19	75.11	253.23	551.56	177.53	441.64	114.36	269.6	466.88	6.57	32.13	151.22	64.8	199.85	111.21	241.19	112.77	44.89	54.33	73.03	84.04	201.25	76.17	52.45	57.49
CAPN15	153.34	1286.18	457.25	420.68	665.29	255.0	981.29	941.27	529.06	265.87	426.57	395.18	616.37	791.35	341.51	587.13	599.49	289.02	432.53	483.38	616.37	420.68	543.96	264.03	432.53	432.53	136.19	157.68	211.31	113.56	90.77	185.11	204.07	232.94	215.77	397.93	297.17	74.06	283.05	153.34	181.28	56.28
CCNF	106.63	460.44	157.68	269.6	256.78	204.07	497.0	343.89	124.37	118.43	395.18	115.16	217.27	507.46	165.57	384.34	115.16	201.25	287.01	128.79	262.2	128.79	211.31	60.39	120.1	303.44	29.06	30.12	78.34	24.81	124.37	154.42	92.05	59.55	33.06	25.54	67.12	43.94	96.01	64.8	55.1	91.41
CD2BP2	693.58	3874.05	1551.09	2178.83	3039.3	603.67	1331.57	1857.6	1662.49	1498.22	2915.45	1487.87	2240.11	2537.92	1832.01	2627.46	2240.11	2032.85	1073.91	2133.97	1977.24	1662.49	1936.53	1073.91	1909.85	2018.8	490.14	463.65	1066.48	470.14	854.13	1127.35	1794.29	890.44	995.0	1594.73	1628.26	518.15	2520.38	738.29	1250.98	1037.29
CDIPT	1023.0	4210.15	3874.05	2855.44	3768.09	1617.0	2468.49	3235.01	3124.78	1540.37	3235.01	1909.85	3928.15	4769.75	2384.37	4903.87	2384.37	1950.0	1250.98	2777.33	3235.01	2468.49	2573.36	1883.54	2163.77	3372.43	2133.97	1819.35	2287.2	1540.37	1583.71	2075.59	1066.48	1427.22	1359.57	1437.15	2816.11	1250.98	2468.49	1617.0	1397.83	551.56
