	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
ABHD14B	595.34	995.0	995.0	866.07	1268.46	1051.79	679.29	0.0	0.56	3349.13	3212.66	3280.18	1950.0	3060.45	1844.76	2816.11	2627.46	1757.34	2047.0	2047.0	1923.14	2090.03	2133.97	1250.98	1870.53	2935.74	2591.27	2075.59	2835.7	3467.27	2935.74	2739.08	2609.3	3103.19	2240.11	3212.66	2895.31	2032.85	3212.66	1896.65	2104.58	1883.54	1709.26	1870.53	2018.8	1896.65	2758.13	2875.3	2758.13
ACYP2	226.54	242.88	221.86	293.07	269.6	248.0	353.59	0.0	0.47	543.96	791.35	669.92	480.04	780.44	363.56	748.61	928.3	351.14	457.25	441.64	412.0	397.93	373.81	299.25	275.28	713.11	392.44	426.57	497.0	633.73	435.55	540.19	379.04	563.18	463.65	693.58	684.02	376.41	536.45	314.17	536.45	395.18	341.51	493.56	457.25	409.15	540.19	438.59	567.1
AIG1	718.08	1015.93	1044.52	884.29	890.44	961.07	575.03	0.0	0.59	1757.34	2004.85	2119.22	1605.83	1977.24	1233.75	2178.83	2178.83	1417.35	1697.45	1561.89	1286.18	1127.35	1417.35	1104.13	1447.15	1733.13	1477.58	1250.98	1651.0	1991.0	1781.89	1721.16	1340.84	2004.85	1674.06	1806.78	1963.57	1508.65	1639.59	1225.22	1447.15	1378.57	1498.22	1674.06	2133.97	1551.09	1757.34	1674.06	1806.78
ALDH5A1	47.17	351.14	289.02	88.26	150.17	81.71	40.07	0.0	0.0	387.02	483.38	473.41	195.72	271.48	236.21	384.34	406.31	346.29	336.79	309.83	279.14	199.85	316.37	155.5	187.71	371.22	260.38	258.57	336.79	368.65	264.03	297.17	406.31	417.77	246.28	366.09	379.04	271.48	387.02	204.07	279.14	246.28	438.59	211.31	412.0	264.03	318.57	320.8	327.56
ANAPC13	878.17	813.63	651.58	551.56	796.86	525.39	808.0	0.0	0.52	2915.45	3349.13	3443.31	1909.85	2303.12	2502.97	2855.44	3955.48	1594.73	2664.15	2271.4	1832.01	1923.14	2351.53	1857.6	1757.34	3280.18	2032.85	1685.71	2075.59	3257.52	2720.15	2287.2	2537.92	2915.45	2075.59	4419.52	3982.99	1977.24	3540.14	1551.09	2133.97	2090.03	2193.99	2664.15	2104.58	2209.26	3039.3	2434.5	2758.13
ANKRD54	507.46	265.87	363.56	406.31	412.0	684.02	244.57	0.0	0.16	860.08	1175.27	660.68	738.29	748.61	579.04	733.19	830.75	503.95	813.63	511.0	599.49	878.17	698.41	579.04	514.56	842.36	612.11	651.58	693.58	896.64	579.04	775.05	647.07	688.78	536.45	934.76	890.44	599.49	915.51	629.35	708.18	651.58	660.68	748.61	599.49	612.11	660.68	928.3	728.11
AOAH	13.42	8.19	9.93	6.52	53.19	4.03	12.09	0.0	0.49	58.71	22.75	131.51	33.78	102.97	43.94	60.82	27.25	53.57	84.63	31.45	45.85	53.57	36.27	43.63	26.28	66.18	55.1	22.26	137.14	23.42	48.87	83.45	105.15	90.14	42.11	74.58	59.13	33.54	128.79	60.82	28.86	19.25	22.26	21.78	9.2	31.22	111.21	51.35	91.41
ATP6V1G2-DDX39B	76.17	46.5	57.89	111.99	41.81	129.69	48.52	0.0	0.53	1104.13	1167.14	1030.12	336.79	1183.45	262.2	860.08	1159.07	143.01	638.15	195.72	223.41	155.5	395.18	88.26	642.59	1605.83	258.57	521.76	684.02	1322.37	373.81	915.51	723.08	1378.57	258.57	1295.13	1111.82	190.34	1467.37	132.44	854.13	253.23	241.19	738.29	409.15	336.79	1216.75	780.44	1359.57
ATRAID	2075.59	1819.35	1832.01	1508.65	1757.34	1313.23	2119.22	0.0	0.95	6337.83	8778.97	7382.04	5147.73	7485.11	4388.98	6699.25	6935.54	4575.41	5791.62	4328.55	4419.52	5147.73	5147.73	3491.39	5219.6	7382.04	5633.22	5112.16	6037.61	8421.31	6079.61	6887.62	5147.73	8305.36	5329.3	7642.41	7642.41	5751.61	6381.92	4181.07	5147.73	4972.34	4869.99	6426.31	4972.34	5219.6	5292.48	5791.62	6983.79
BANF1	2271.4	1923.14	1870.53	2400.97	2335.28	1963.57	2875.3	0.0	0.62	5954.47	7280.4	5791.62	4972.34	7433.4	4095.0	5791.62	5954.47	4450.27	5219.6	3372.43	3847.29	3443.31	4388.98	2609.3	5255.91	6699.25	5633.22	4388.98	5041.77	6983.79	4769.75	5517.27	5751.61	5555.65	5672.41	7433.4	6207.38	4607.24	5594.3	3515.68	5183.54	3955.48	4152.18	4903.87	4298.64	4419.52	5594.3	6121.9	6164.49
