	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.A8D0.01A.11R.A36G.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.G9.6499.11A.02R.1965.07
AAAS	426.57	363.56	684.02	674.59	633.73	642.59	466.88	703.28	620.67	583.07	547.75	543.96	457.25	486.75	503.95	521.76	480.04	603.67	571.05	529.06	1096.5	1340.84	995.0	1340.84	1059.11	902.89	1175.27	1037.29	1167.14	1081.39	1340.84	1216.75	1407.55	1304.15	1088.92	1216.75	1208.34	738.29
AC005003.1	2.16	5.06	4.43	12.27	8.65	0.97	1.58	5.92	2.23	0.16	5.82	9.27	6.41	0.16	5.87	8.0	0.21	2.41	3.99	4.46	21.94	98.73	19.97	20.86	20.71	9.41	37.32	15.45	31.22	11.47	22.75	22.59	35.25	12.27	13.22	51.35	23.25	17.51
AC117395.1	3.03	1.48	0.89	4.46	3.59	0.0	1.73	2.84	1.87	0.21	8.65	0.0	0.53	1.33	0.0	0.59	0.3	3.47	1.28	3.14	31.45	55.1	28.04	25.54	22.92	15.56	42.71	22.59	43.32	17.51	46.84	24.28	78.89	66.18	13.62	38.12	31.45	12.93
ADAM2	0.0	12.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	92.7	476.71	87.03	87.65	3.23	1.13	115.16	0.0	299.25	6.16	104.42	89.51	13.12	102.25	15.34	152.28	86.43	8.0
ADNP	186.4	185.11	348.71	363.56	339.14	269.6	202.66	206.94	281.09	231.32	197.09	223.41	232.94	162.14	265.87	229.72	116.78	244.57	215.77	279.14	884.29	915.51	624.99	684.02	607.87	518.15	1350.18	454.09	1015.93	708.18	738.29	878.17	1119.56	1008.9	536.45	665.29	1001.93	703.28
ADPGK	351.14	283.05	334.46	287.01	255.0	327.56	500.46	314.17	232.94	327.56	371.22	234.57	361.04	318.57	248.0	379.04	218.79	320.8	279.14	166.73	1378.57	941.27	1066.48	941.27	1104.13	567.1	1832.01	967.76	1781.89	1233.75	1639.59	1508.65	1059.11	2367.9	1208.34	1088.92	1030.12	656.11
ARL17B	57.49	62.56	79.45	58.3	171.45	92.7	33.54	111.21	94.67	102.25	106.63	81.14	72.52	87.03	93.35	60.82	106.63	171.45	96.01	62.56	275.28	228.13	139.07	215.77	146.03	123.5	163.28	180.02	289.02	177.53	293.07	131.51	343.89	189.02	158.79	260.38	122.64	117.6
BBS4	127.89	108.9	175.07	161.02	159.9	82.87	114.36	112.77	154.42	135.24	90.14	141.02	173.85	103.69	124.37	183.82	124.37	111.21	155.5	70.01	1066.48	559.28	995.0	450.94	688.78	346.29	1909.85	603.67	1519.15	1529.73	967.76	981.29	753.83	1417.35	532.74	665.29	665.29	190.34
BOD1	361.04	255.0	397.93	536.45	358.54	733.19	540.19	567.1	361.04	571.05	483.38	387.02	343.89	392.44	363.56	454.09	314.17	447.82	507.46	387.02	1066.48	1674.06	1159.07	1340.84	780.44	825.0	1037.29	759.08	1331.57	866.07	1066.48	1143.1	1447.15	1437.15	961.07	1216.75	1199.98	967.76
BTF3	9344.14	9409.14	9673.69	9606.86	9808.75	11345.82	10014.87	10585.95	9025.81	9673.69	9876.98	9474.59	11189.6	7966.99	9945.68	12244.81	7749.1	7749.1	9945.68	9945.68	17078.76	30572.63	14663.09	36357.37	13968.57	11827.67	26614.89	16383.0	32315.87	17078.76	19348.38	22692.63	23169.48	37379.55	12502.12	18178.19	27745.15	16843.62
BTF3L4	316.37	759.08	603.67	503.95	361.04	1388.16	684.02	591.22	616.37	514.56	603.67	392.44	780.44	748.61	361.04	830.75	417.77	536.45	684.02	583.07	1242.34	1111.82	1088.92	1030.12	928.3	1135.2	1437.15	1286.18	1331.57	928.3	981.29	1191.69	954.43	1529.73	1008.9	1127.35	1175.27	872.1
CBX1	191.67	226.54	346.29	450.94	493.56	343.89	117.6	447.82	318.57	246.28	201.25	295.11	165.57	153.34	229.72	220.32	120.94	363.56	283.05	417.77	1233.75	1540.37	1111.82	1191.69	854.13	1159.07	1143.1	759.08	1199.98	890.44	995.0	1111.82	1583.71	1277.29	728.11	1277.29	1015.93	854.13
CCT4	1295.13	1844.76	1250.98	1674.06	1295.13	2367.9	1044.52	1781.89	1359.57	1498.22	1225.22	1073.91	1233.75	1359.57	1225.22	1529.73	848.22	1397.83	1467.37	2148.82	2664.15	4543.8	2645.74	3443.31	2485.67	3018.3	3235.01	2796.65	3847.29	2485.67	2664.15	2855.44	2777.33	3349.13	2417.67	2287.2	2520.38	2573.36
CSNK1E	679.29	271.48	336.79	312.0	314.17	507.46	497.0	414.87	417.77	693.58	381.68	260.38	403.5	470.14	262.2	281.09	346.29	406.31	373.81	198.47	2816.11	3614.55	3146.52	3280.18	2609.3	2627.46	3168.41	2400.97	5183.54	2591.27	3419.52	3235.01	4152.18	4481.23	3419.52	3303.0	3395.89	2148.82
CXorf24	10.16	9.06	22.59	35.76	9.06	14.89	8.85	13.93	8.51	13.22	15.34	18.16	12.74	14.45	3.96	14.14	15.11	16.03	6.31	20.26	58.71	114.36	55.49	77.25	44.57	47.84	88.26	31.67	78.89	47.17	67.12	60.82	129.69	94.01	44.25	82.29	76.17	43.63
DBN1	80.57	72.01	49.56	234.57	56.28	127.89	48.52	48.18	72.01	204.07	23.59	45.85	36.27	20.56	13.62	108.9	21.47	33.78	84.04	30.34	1143.1	1498.22	693.58	988.12	642.59	500.46	1745.2	420.68	718.08	1151.06	1233.75	860.08	1487.87	2573.36	769.69	1467.37	896.64	708.18
DCTPP1	669.92	295.11	444.72	514.56	603.67	490.14	426.57	563.18	447.82	551.56	497.0	392.44	599.49	384.34	460.44	454.09	193.01	336.79	543.96	567.1	954.43	1437.15	872.1	1151.06	878.17	753.83	1183.45	679.29	915.51	902.89	921.88	1151.06	878.17	1369.04	1008.9	1233.75	947.83	660.68
DDX42	674.59	591.22	688.78	981.29	647.07	723.08	872.1	651.58	698.41	1044.52	928.3	796.86	954.43	450.94	612.11	842.36	264.03	728.11	819.3	493.56	1870.53	1721.16	1304.15	1883.54	1447.15	1119.56	1721.16	1369.04	2032.85	1628.26	1832.01	1745.2	2287.2	1605.83	1498.22	1519.15	1662.49	1175.27
DIABLO	1023.0	1208.34	1143.1	1104.13	1268.46	1369.04	1127.35	1111.82	1322.37	1340.84	1119.56	1295.13	1295.13	1242.34	825.0	1745.2	909.17	830.75	1183.45	1208.34	1540.37	1819.35	1427.22	1819.35	1322.37	1529.73	1417.35	1437.15	1407.55	1561.89	1378.57	1540.37	1561.89	2047.0	1340.84	1561.89	1540.37	1369.04
DPF2	209.84	159.9	249.73	334.46	206.94	343.89	182.55	414.87	293.07	239.52	241.19	305.55	164.42	181.28	187.71	199.85	100.83	305.55	267.73	248.0	981.29	1104.13	733.19	1015.93	785.88	941.27	733.19	656.11	1044.52	967.76	1008.9	967.76	1286.18	1044.52	802.41	954.43	836.53	981.29
DYNC2H1	30.78	24.28	37.59	50.27	49.91	24.46	11.47	29.7	21.94	27.25	17.77	69.03	11.73	45.53	11.73	27.05	11.55	46.18	10.39	13.42	246.28	242.88	211.31	332.14	205.5	77.25	332.14	281.09	285.03	226.54	267.73	226.54	438.59	178.77	242.88	271.48	234.57	215.77
EHMT2	253.23	139.07	435.55	463.65	480.04	327.56	123.5	441.64	307.69	273.37	241.19	264.03	148.09	190.34	279.14	153.34	139.07	417.77	271.48	420.68	1191.69	1331.57	902.89	1407.55	961.07	848.22	974.5	813.63	1388.16	974.5	1304.15	967.76	1781.89	1304.15	759.08	1104.13	1143.1	769.69
EIF2B1	486.75	507.46	507.46	629.35	665.29	521.76	426.57	503.95	587.13	651.58	503.95	507.46	444.72	353.59	450.94	629.35	309.83	476.71	500.46	647.07	934.76	967.76	819.3	1059.11	738.29	688.78	813.63	775.05	1023.0	813.63	890.44	836.53	909.17	1088.92	703.28	854.13	902.89	780.44
FAM218A	1.19	0.0	0.1	0.16	1.25	1.0	0.0	2.41	0.0	0.59	1.16	0.75	0.56	0.0	0.0	0.61	0.0	0.56	0.0	0.93	45.85	100.83	28.04	46.84	28.24	33.06	87.03	25.91	63.89	28.24	64.34	44.89	97.36	75.11	26.47	47.5	39.5	32.36
GOLGA6L4	26.28	16.03	17.38	6.67	14.45	6.16	27.84	9.41	8.51	37.85	20.71	10.08	17.25	8.85	24.11	2.29	2.36	10.08	5.73	11.04	68.07	37.32	35.0	57.49	38.95	29.27	36.79	27.64	66.18	48.87	69.52	53.95	103.69	56.28	41.22	43.32	40.07	28.86
GPR27	5.06	21.63	17.51	8.38	12.27	32.36	0.17	0.57	12.09	0.14	0.84	0.34	4.24	4.7	0.19	6.11	0.0	1.41	1.5	0.55	202.66	271.48	80.57	133.36	147.06	237.86	137.14	208.38	224.97	329.84	314.17	163.28	212.78	111.99	122.64	163.28	220.32	277.2
HARS2	293.07	175.07	392.44	348.71	241.19	249.73	239.52	297.17	305.55	287.01	279.14	343.89	264.03	236.21	267.73	237.86	127.89	305.55	242.88	256.78	595.34	591.22	435.55	647.07	423.61	400.71	426.57	341.51	540.19	450.94	500.46	575.03	647.07	532.74	392.44	473.41	476.71	358.54
HFM1	1.41	0.0	0.64	3.2	0.0	1.2	1.35	0.27	0.39	0.99	0.0	0.44	0.0	0.02	0.0	0.68	0.0	3.11	0.0	0.56	12.45	12.74	5.15	20.71	6.62	6.26	14.78	6.16	3.32	4.13	22.59	3.79	8.13	1.64	4.24	29.7	4.74	5.63
HNRNPC	4769.75	5112.16	4704.07	7130.55	6745.86	8598.28	5831.91	7857.29	7433.4	6607.01	5147.73	6607.01	5183.54	7537.18	5872.48	6983.79	5995.9	6745.86	5913.33	6516.03	12764.83	18052.61	8963.45	15499.21	8598.28	12676.65	12589.08	10368.08	16727.26	11992.79	10883.59	13033.07	13123.73	16269.83	10659.59	11584.24	14461.21	10014.87
