	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
AASDH	94.67	63.89	148.09	171.45	125.24	71.0	79.45	112.77	59.55	156.59	60.82	148.09	73.03	72.01	77.79	98.73	155.5	159.9	116.78	76.17	178.77	145.02	106.63	53.95	92.05	149.12	155.5	98.04	161.02	98.04	92.7	96.01	88.26	126.12	69.03	97.36	73.03	119.26	119.26	44.25	55.89	117.6	60.82
ABI1	4704.07	543.96	753.83	974.5	769.69	642.59	607.87	693.58	309.83	872.1	435.55	1066.48	693.58	384.34	616.37	447.82	921.88	1111.82	748.61	392.44	813.63	961.07	547.75	503.95	555.41	934.76	1015.93	563.18	759.08	738.29	521.76	830.75	753.83	848.22	395.18	802.41	575.03	921.88	769.69	490.14	348.71	921.88	175.07
AKAP10	162.14	223.41	423.61	497.0	348.71	164.42	277.2	336.79	228.13	339.14	242.88	409.15	178.77	141.02	155.5	226.54	466.88	435.55	265.87	178.77	423.61	470.14	303.44	181.28	231.32	414.87	490.14	217.27	400.71	305.55	253.23	356.05	281.09	384.34	242.88	325.29	215.77	441.64	307.69	159.9	157.68	381.68	44.57
AKAP11	88.88	85.22	316.37	450.94	258.57	103.69	193.01	214.27	133.36	312.0	117.6	403.5	173.85	116.78	141.02	145.02	406.31	435.55	234.57	98.73	336.79	395.18	176.29	114.36	202.66	220.32	348.71	121.79	381.68	234.57	183.82	283.05	198.47	346.29	127.0	249.73	124.37	379.04	199.85	166.73	121.79	287.01	38.67
ALS2	45.53	98.73	193.01	264.03	178.77	113.56	142.01	156.59	127.0	175.07	163.28	260.38	112.77	128.79	114.36	162.14	236.21	229.72	150.17	132.44	157.68	279.14	153.34	108.14	133.36	194.36	229.72	128.79	244.57	89.51	144.01	162.14	214.27	221.86	138.1	172.65	116.78	189.02	162.14	118.43	104.42	199.85	185.11
ANKRD12	312.0	92.05	256.78	466.88	224.97	67.59	161.02	217.27	94.01	244.57	59.97	339.14	125.24	85.82	79.45	111.21	327.56	323.03	156.59	108.9	356.05	403.5	116.78	157.68	111.21	206.94	376.41	87.65	536.45	127.0	158.79	177.53	87.65	297.17	120.94	83.45	100.83	253.23	191.67	102.97	70.01	246.28	26.47
API5	842.36	540.19	1216.75	1208.34	1037.29	693.58	791.35	688.78	647.07	1242.34	583.07	1167.14	866.07	536.45	759.08	651.58	1216.75	1096.5	995.0	624.99	1037.29	1277.29	775.05	647.07	642.59	1268.46	1216.75	647.07	1322.37	974.5	748.61	902.89	830.75	1167.14	486.75	974.5	679.29	1111.82	1015.93	629.35	718.08	1044.52	543.96
APOOL	75.11	57.08	166.73	199.85	124.37	62.12	97.36	54.72	57.89	209.84	68.07	171.45	76.71	37.32	43.02	43.32	183.82	190.34	100.83	34.51	105.89	244.57	70.01	51.35	50.98	93.35	246.28	37.59	277.2	146.03	94.67	86.43	130.6	212.78	50.27	117.6	71.5	149.12	134.3	71.0	35.76	144.01	71.5
ARHGEF12	1662.49	563.18	1685.71	2090.03	1388.16	444.72	1073.91	1119.56	785.88	1639.59	872.1	2032.85	941.27	624.99	842.36	629.35	2018.8	1832.01	1208.34	571.05	1104.13	1844.76	848.22	813.63	961.07	1498.22	1437.15	629.35	1781.89	1304.15	1127.35	1457.23	1199.98	1662.49	688.78	1295.13	1151.06	1674.06	1216.75	656.11	909.17	1572.76	438.59
ARIH1	638.15	295.11	563.18	532.74	412.0	309.83	334.46	450.94	343.89	460.44	262.2	651.58	379.04	339.14	289.02	366.09	518.15	595.34	426.57	260.38	591.22	599.49	346.29	493.56	412.0	447.82	642.59	412.0	518.15	299.25	373.81	591.22	454.09	490.14	438.59	395.18	293.07	633.73	409.15	232.94	279.14	599.49	154.42
