	TCGA.BC.A110.01A.11R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
AAK1	56.28	10.55	24.28	264.03	234.57	125.24	138.1	303.44	109.66	57.89	591.22	156.59	341.51	559.28	234.57	176.29	242.88	279.14	95.34	111.21	441.64	256.78	159.9	123.5	480.04	65.72	102.25	334.46	191.67	97.36	209.84	144.01	275.28	151.22	412.0	164.42	90.77	133.36	253.23	182.55	108.9	176.29	215.77	273.37	379.04	161.02	177.53	463.65	318.57	409.15	48.87	289.02	121.79	202.66	63.89	612.11	94.67	52.82	281.09	248.0	95.34	96.68	148.09	96.01	87.03	137.14	38.12	92.7	127.89	368.65	232.94	239.52	256.78	438.59	118.43	273.37	197.09	116.78	92.05	95.34	607.87	142.01	172.65	95.34	279.14	117.6	236.21	78.89	137.14	532.74	220.32	525.39	119.26	104.42	189.02	111.99	126.12	60.82	412.0	327.56	61.25	134.3	232.94	140.04	244.57	135.24	146.03	248.0	249.73	180.02	98.73	127.89	61.68	70.51	94.01	166.73	69.52	59.97	108.14	55.49	101.54
ADNP	206.94	175.07	212.78	915.51	902.89	420.68	642.59	1183.45	1088.92	660.68	934.76	559.28	1104.13	884.29	432.53	764.36	674.59	1242.34	753.83	665.29	981.29	559.28	796.86	884.29	1268.46	607.87	848.22	1081.39	1111.82	728.11	813.63	665.29	559.28	961.07	698.41	633.73	595.34	638.15	825.0	412.0	718.08	708.18	624.99	1350.18	769.69	518.15	1277.29	909.17	1030.12	633.73	476.71	1135.2	934.76	417.77	403.5	1143.1	947.83	454.09	713.11	1225.22	669.92	638.15	674.59	708.18	395.18	629.35	525.39	748.61	607.87	848.22	1030.12	743.43	995.0	764.36	738.29	1044.52	848.22	743.43	616.37	802.41	902.89	1023.0	595.34	532.74	679.29	642.59	1183.45	547.75	753.83	1233.75	718.08	1030.12	476.71	693.58	1023.0	974.5	733.19	656.11	830.75	830.75	497.0	595.34	954.43	638.15	684.02	660.68	503.95	825.0	543.96	624.99	575.03	769.69	480.04	575.03	591.22	743.43	540.19	435.55	567.1	599.49	616.37
AL590822.2	0.0	10.55	0.0	32.59	14.56	0.0	21.32	44.25	27.25	11.64	50.27	54.33	7.75	47.84	0.0	22.75	11.55	57.89	7.06	27.05	36.79	9.78	21.32	22.43	41.81	5.28	23.25	54.72	26.86	33.78	15.11	31.67	30.34	9.63	43.32	19.11	0.0	18.97	14.35	18.03	8.85	27.44	33.3	35.76	25.91	4.21	29.06	22.75	12.64	21.63	19.97	21.78	23.08	0.0	10.55	63.89	43.32	2.56	34.02	6.62	21.94	63.0	32.59	16.39	9.85	10.24	21.78	25.35	14.89	67.12	13.22	37.32	19.39	31.9	20.86	65.72	21.94	29.7	43.32	41.52	31.45	70.51	21.01	16.27	11.13	38.12	11.13	12.0	24.63	51.35	32.82	50.27	0.0	38.67	36.27	29.48	18.03	37.59	54.72	44.89	0.0	21.63	25.54	25.54	30.78	32.82	10.71	37.05	0.0	0.0	10.96	10.39	10.0	16.39	17.64	28.45	25.72	18.84	7.82	9.06	14.03
AMBRA1	127.0	195.72	107.38	363.56	400.71	161.02	271.48	532.74	406.31	305.55	559.28	265.87	376.41	444.72	214.27	332.14	312.0	466.88	366.09	323.03	426.57	381.68	314.17	309.83	432.53	275.28	363.56	460.44	376.41	314.17	318.57	279.14	285.03	305.55	312.0	283.05	291.04	318.57	358.54	246.28	309.83	339.14	258.57	397.93	281.09	251.48	376.41	248.0	368.65	239.52	246.28	397.93	295.11	260.38	275.28	514.56	260.38	163.28	299.25	353.59	224.97	387.02	265.87	341.51	133.36	256.78	318.57	309.83	267.73	409.15	373.81	480.04	291.04	320.8	297.17	387.02	169.07	269.6	305.55	312.0	473.41	356.05	297.17	226.54	139.07	211.31	351.14	271.48	346.29	507.46	320.8	423.61	177.53	295.11	323.03	301.33	351.14	289.02	281.09	483.38	229.72	318.57	291.04	361.04	507.46	334.46	244.57	444.72	221.86	256.78	236.21	341.51	279.14	262.2	279.14	387.02	343.89	197.09	341.51	309.83	297.17
ANKRD52	43.63	107.38	50.27	244.57	346.29	258.57	351.14	432.53	379.04	244.57	454.09	318.57	395.18	392.44	309.83	312.0	214.27	403.5	208.38	303.44	450.94	248.0	341.51	307.69	486.75	220.32	325.29	356.05	348.71	253.23	325.29	198.47	287.01	366.09	275.28	221.86	307.69	201.25	289.02	183.82	262.2	212.78	214.27	423.61	318.57	205.5	395.18	249.73	361.04	283.05	169.07	237.86	423.61	253.23	180.02	381.68	454.09	180.02	265.87	395.18	189.02	229.72	417.77	503.95	189.02	334.46	181.28	277.2	186.4	414.87	327.56	339.14	353.59	314.17	234.57	429.54	551.56	277.2	356.05	289.02	624.99	397.93	241.19	195.72	426.57	142.01	346.29	244.57	373.81	403.5	295.11	447.82	289.02	281.09	320.8	447.82	384.34	236.21	303.44	351.14	297.17	264.03	339.14	285.03	454.09	384.34	172.65	389.72	198.47	400.71	231.32	277.2	232.94	264.03	264.03	223.41	149.12	66.18	209.84	220.32	163.28
AREL1	80.57	109.66	103.69	397.93	414.87	295.11	293.07	373.81	575.03	318.57	368.65	429.54	476.71	483.38	334.46	384.34	339.14	426.57	295.11	343.89	507.46	373.81	387.02	423.61	473.41	316.37	412.0	417.77	450.94	395.18	486.75	301.33	406.31	412.0	371.22	265.87	312.0	251.48	381.68	293.07	395.18	346.29	334.46	444.72	368.65	289.02	366.09	358.54	473.41	307.69	226.54	325.29	273.37	231.32	151.22	642.59	470.14	224.97	376.41	525.39	285.03	323.03	387.02	529.06	228.13	323.03	273.37	392.44	323.03	486.75	460.44	389.72	497.0	429.54	334.46	551.56	490.14	379.04	379.04	291.04	688.78	511.0	307.69	305.55	500.46	283.05	438.59	264.03	379.04	429.54	392.44	511.0	299.25	423.61	447.82	323.03	371.22	303.44	400.71	423.61	334.46	295.11	457.25	403.5	463.65	441.64	285.03	473.41	291.04	332.14	346.29	332.14	301.33	334.46	325.29	307.69	205.5	105.89	267.73	277.2	297.17
ARID1A	133.36	135.24	205.5	780.44	1001.93	309.83	503.95	1242.34	1044.52	525.39	961.07	595.34	896.64	995.0	353.59	796.86	595.34	1277.29	532.74	713.11	1127.35	511.0	759.08	842.36	1225.22	480.04	884.29	1143.1	921.88	521.76	718.08	571.05	599.49	878.17	808.0	529.06	518.15	656.11	825.0	429.54	718.08	796.86	591.22	1322.37	802.41	403.5	1001.93	551.56	813.63	540.19	327.56	830.75	759.08	361.04	371.22	1225.22	961.07	285.03	660.68	928.3	536.45	514.56	842.36	796.86	187.71	571.05	432.53	713.11	555.41	995.0	988.12	890.44	819.3	785.88	674.59	941.27	860.08	941.27	713.11	830.75	1199.98	1023.0	540.19	525.39	679.29	409.15	941.27	366.09	909.17	1143.1	679.29	1135.2	417.77	743.43	872.1	813.63	733.19	511.0	775.05	1051.79	371.22	595.34	896.64	629.35	928.3	819.3	438.59	947.83	389.72	587.13	466.88	616.37	450.94	599.49	599.49	587.13	358.54	197.09	559.28	435.55	423.61
ASH1L	54.33	54.33	66.65	507.46	454.09	106.63	197.09	638.15	559.28	205.5	334.46	120.94	529.06	483.38	108.9	249.73	244.57	587.13	201.25	277.2	547.75	212.78	318.57	339.14	543.96	173.85	397.93	511.0	555.41	343.89	251.48	228.13	189.02	420.68	307.69	264.03	217.27	260.38	318.57	139.07	209.84	312.0	241.19	518.15	414.87	201.25	470.14	289.02	320.8	206.94	146.03	336.79	265.87	120.1	110.43	616.37	255.0	140.04	249.73	521.76	241.19	132.44	297.17	236.21	149.12	177.53	173.85	329.84	224.97	309.83	507.46	325.29	420.68	381.68	285.03	361.04	351.14	264.03	198.47	295.11	457.25	412.0	234.57	181.28	258.57	239.52	518.15	182.55	287.01	642.59	343.89	507.46	136.19	291.04	454.09	314.17	267.73	244.57	400.71	559.28	161.02	241.19	412.0	262.2	346.29	223.41	142.01	444.72	214.27	253.23	191.67	291.04	204.07	198.47	209.84	314.17	223.41	127.89	253.23	255.0	175.07
ATG13	866.07	934.76	708.18	1104.13	1159.07	607.87	866.07	1167.14	1199.98	988.12	1427.22	896.64	785.88	1216.75	988.12	1008.9	1008.9	1167.14	1111.82	947.83	1277.29	981.29	1159.07	967.76	1199.98	748.61	995.0	1277.29	1001.93	1044.52	1331.57	941.27	974.5	961.07	954.43	961.07	921.88	1023.0	1066.48	848.22	1199.98	848.22	1104.13	1111.82	1051.79	974.5	884.29	909.17	1127.35	791.35	947.83	802.41	909.17	848.22	947.83	1427.22	1073.91	651.58	988.12	921.88	738.29	1388.16	1096.5	1242.34	460.44	848.22	1044.52	1104.13	698.41	1225.22	1216.75	1427.22	1096.5	1135.2	808.0	1304.15	616.37	743.43	954.43	921.88	1457.23	1242.34	981.29	860.08	684.02	718.08	954.43	988.12	902.89	1159.07	1015.93	1159.07	796.86	1008.9	1037.29	743.43	1044.52	785.88	1175.27	1199.98	802.41	928.3	1119.56	1250.98	1135.2	1143.1	884.29	1286.18	733.19	1059.11	954.43	1023.0	738.29	995.0	890.44	1059.11	796.86	591.22	890.44	909.17	884.29
BAZ2A	153.34	155.5	204.07	1001.93	836.53	208.38	363.56	1477.58	1199.98	473.41	896.64	435.55	1044.52	934.76	334.46	579.04	551.56	1208.34	454.09	518.15	1259.69	353.59	638.15	738.29	1191.69	346.29	934.76	1151.06	981.29	703.28	503.95	470.14	571.05	866.07	629.35	518.15	463.65	420.68	679.29	327.56	447.82	571.05	507.46	1037.29	1051.79	307.69	1073.91	514.56	693.58	429.54	353.59	753.83	909.17	293.07	301.33	1175.27	780.44	289.02	563.18	1030.12	460.44	406.31	860.08	575.03	275.28	299.25	366.09	607.87	429.54	684.02	1096.5	684.02	825.0	872.1	624.99	748.61	638.15	595.34	490.14	693.58	1051.79	961.07	463.65	454.09	521.76	363.56	909.17	353.59	802.41	1331.57	753.83	1081.39	273.37	684.02	825.0	988.12	660.68	476.71	698.41	1135.2	356.05	454.09	769.69	571.05	624.99	547.75	353.59	974.5	460.44	624.99	387.02	656.11	447.82	466.88	518.15	547.75	406.31	191.67	420.68	486.75	314.17
